sk_object,objecttypeid,mapping,mapping_id,vendor
809134,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808899,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808675,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808967,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808905,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808836,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808887,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808984,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808796,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809177,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809052,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808680,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808882,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809102,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809167,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
817314,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809117,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809004,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808986,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809139,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808812,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808996,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809121,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809097,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809015,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809154,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809195,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809034,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808731,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808920,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809165,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809136,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809184,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809040,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808999,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808736,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809074,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808742,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809038,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808678,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809185,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808765,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809174,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808764,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809162,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809138,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809198,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808964,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808763,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808859,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809048,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
817477,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808730,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809205,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809202,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
817533,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808852,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809069,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809014,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809028,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808820,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809003,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808896,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808861,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808706,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808923,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808707,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808815,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808816,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
817453,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809194,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809149,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
832640,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808814,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809153,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
