begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL,L.Thrp.Time.Cell.DL.HighPrecision
2022-03-14,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,787632514528.0,42838765.0
2022-02-03,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,231689218808.0,10791130.0
2022-02-02,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,127150860024.0,5615490.0
2022-02-04,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,191703789656.0,8463044.0
2022-02-05,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,188886708504.0,8839487.0
2022-02-06,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,255777783792.0,10068620.0
2022-02-10,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,166883973744.0,6981531.0
2022-02-08,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,181962531128.0,8760917.0
2022-02-11,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,183382700360.0,6783072.0
2022-02-12,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,206726066256.0,9058845.0
2022-02-13,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,187222301768.0,9883165.0
2022-02-18,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,138989721136.0,7296883.0
2022-02-17,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,189796809624.0,7405699.0
2022-02-19,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,163256544328.0,7890302.0
2022-02-20,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,136617400328.0,7377077.0
2022-03-01,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,197628882144.0,8142571.0
2022-03-02,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,201319650440.0,7993396.0
2022-03-06,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,227578018776.0,9473739.0
2022-03-03,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,217699577664.0,9143747.0
2022-03-07,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,185210404392.0,7234262.0
2022-03-09,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,22154811120.0,748070.0
2022-03-10,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,181719436456.0,7975474.0
2022-03-11,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,213251947896.0,9318335.0
2022-03-12,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,202373504992.0,8350865.0
2022-03-13,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,204029303648.0,8961330.0
2022-03-15,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,217072144232.0,8065201.0
2022-03-14,4G_SUSSEX_II/,808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,140158168760.0,5915290.0
2022-02-03,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1169612967704.0,41491480.0
2022-02-02,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,903349963256.0,34358906.0
2022-02-04,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1015630382184.0,37787732.0
2022-02-05,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,951714300080.0,36497291.0
2022-02-06,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,798971051896.0,32523917.0
2022-02-10,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,838061946384.0,36797429.0
2022-02-08,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,901644041408.0,36713351.0
2022-02-11,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,984153888792.0,42838483.0
2022-02-12,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1085412486120.0,38854256.0
2022-02-13,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1027400259600.0,37716201.0
2022-02-18,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1120814947160.0,49866209.0
2022-02-17,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,955490519264.0,39270268.0
2022-02-19,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1107509346816.0,46026004.0
2022-02-20,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1034699595784.0,45391657.0
2022-03-01,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,823244405496.0,41427894.0
2022-03-02,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1018537989416.0,46572969.0
2022-03-06,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,821736014728.0,37180446.0
2022-03-03,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1182565345168.0,49986262.0
2022-03-07,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1085848933696.0,47015149.0
2022-03-09,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,77188899648.0,2914994.0
2022-03-10,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,1098586474536.0,47284608.0
2022-03-11,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1284548315728.0,53917434.0
2022-03-12,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,814827347592.0,36390584.0
2022-03-13,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,805313100840.0,37377992.0
2022-03-15,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1108807831936.0,48616802.0
2022-03-14,4G_KENEMATOWN/,808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1118900991824.0,49147781.0
2022-02-02,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,543356685768.0,45894771.0
2022-02-04,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,627477571328.0,49398285.0
2022-02-03,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,482791871464.0,40565069.0
2022-02-05,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,646134306888.0,49681181.0
2022-02-06,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,517951552280.0,39238993.0
2022-02-10,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,492809845648.0,41781682.0
2022-02-08,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,500870364952.0,36993982.0
2022-02-11,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,689887242152.0,55330811.0
2022-02-12,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,557254621480.0,40624210.0
2022-02-13,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,460442526488.0,37228659.0
2022-02-18,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,535696003728.0,43708496.0
2022-02-17,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,552684789696.0,45125346.0
2022-02-19,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,605631795432.0,47607144.0
2022-02-20,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,549506079232.0,45944317.0
2022-03-01,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,468303943056.0,41256864.0
2022-03-02,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,420014987648.0,40542501.0
2022-03-06,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,445914352528.0,40562704.0
2022-03-03,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,522946800080.0,49155603.0
2022-03-07,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,469252981320.0,39930052.0
2022-03-09,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,39074683608.0,2726409.0
2022-03-10,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,605320645880.0,49127816.0
2022-03-11,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,580529857416.0,49098887.0
2022-03-12,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,430644315480.0,35226189.0
2022-03-13,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,413344641920.0,36628182.0
2022-03-15,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,486614827848.0,38041258.0
2022-03-14,4G_DUKESTREET_II/,808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,419355509312.0,33393920.0
2022-02-02,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,1354473112032.0,71337378.0
2022-02-04,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1331196071272.0,70650144.0
2022-02-03,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1501562519144.0,77331505.0
2022-02-05,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1488657489128.0,74933501.0
2022-02-06,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1480728763784.0,75492342.0
2022-02-10,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1573140937232.0,77824296.0
2022-02-08,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1491874141760.0,76049402.0
2022-02-11,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1566677829792.0,75894054.0
2022-02-12,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1220606872176.0,64295894.0
2022-02-13,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1512519102072.0,75869912.0
2022-02-18,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1524372314144.0,74606664.0
2022-02-17,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,1211704198392.0,63611048.0
2022-02-19,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1400449602808.0,73971989.0
2022-02-20,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1375037590944.0,74370973.0
