begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,PDCP_SDU_VOL_DL,L.Thrp.bits.DL
2022-03-14,"4G_LOKKOHTOWN/Cell:eNodeB Function Name=4G_LOKKOHTOWN,Local Cell ID=8,Cell Name=4G_LOKKOHTOWN-8,eNodeB ID=5022,Cell FDD TDD indication=CELL_FDD",808903.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,467545698480.0
2022-03-15,"4G_LOKKOHTOWN/Cell:eNodeB Function Name=4G_LOKKOHTOWN,Local Cell ID=8,Cell Name=4G_LOKKOHTOWN-8,eNodeB ID=5022,Cell FDD TDD indication=CELL_FDD",808903.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,566675709624.0
2022-02-02,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,0,440846430712.0
2022-02-03,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,369026970056.0
2022-02-04,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,321540027264.0
2022-02-05,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,443957384712.0
2022-02-06,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,279121981216.0
2022-02-08,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,382430753416.0
2022-02-10,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,459973472176.0
2022-02-11,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,393847499968.0
2022-02-12,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,416640010256.0
2022-02-13,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,386437216592.0
