begintime,ne_name,integrity,VS.E1T1.ES.ES,VS.E1T1.ES.SES,VS.E1T1.ES.UAS,VS.E1T1.ES.BBE,VS.E1T1.ES.TES,VS.E1T1.ES.TSES,VS.E1T1.ES.TBBE,VS.E1T1.ES.ESR,VS.E1T1.ES.SESR,VS.E1T1.ES.UASR,VS.E1T1.ES.BBER,VS.E1T1.ES.TESR,VS.E1T1.ES.TSESR,VS.E1T1.ES.TBBER,VS.E1T1.ES.NUV,id,tickets_integration,alarms_integration,comments_integration,inos_integration
2022-02-10,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,False,False,False,False
2022-02-10,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,False,False,False,False
2022-02-11,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,False,False,False,False
2022-02-11,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,False,False,False,False
2022-02-12,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,False,False,False,False
2022-02-12,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,False,False,False,False
2022-02-13,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,False,False,False,False
2022-02-13,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,False,False,False,False
2022-02-17,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,False,False,False,False
2022-02-17,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,False,False,False,False
2022-02-18,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,False,False,False,False
2022-02-18,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,False,False,False,False
2022-02-19,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,False,False,False,False
2022-02-19,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,False,False,False,False
2022-02-20,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,False,False,False,False
2022-02-20,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,False,False,False,False
2022-03-01,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,False,False,False,False
2022-03-01,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,False,False,False,False
2022-03-02,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,False,False,False,False
2022-03-02,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,False,False,False,False
2022-03-03,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,False,False,False,False
2022-03-03,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,False,False,False,False
2022-03-06,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",91.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,False,False,False,False
2022-03-06,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",91.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,False,False,False,False
2022-03-07,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,False,False,False,False
2022-03-07,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,False,False,False,False
2022-03-09,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,False,False,False,False
2022-03-09,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,False,False,False,False
2022-03-10,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",95.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,False,False,False,False
2022-03-10,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",95.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False,False,False,False
2022-03-11,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,False,False,False,False
2022-03-11,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,False,False,False,False
2022-03-12,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",79.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,False,False,False,False
2022-03-12,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",79.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,False,False,False,False
2022-03-13,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",91.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,False,False,False,False
2022-03-13,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",91.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,False,False,False,False
2022-03-14,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,False,False,False,False
2022-03-14,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,False,False,False,False
2022-03-15,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,False,False,False,False
2022-03-15,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,False,False,False,False
