begintime,sk_object,duration,M8049C0,M8049C1,M8049C2,M8049C3
2022-03-11 01:45:00,21834.0,15,151.0,51213.0,6209.0,53820.0
2022-03-11 01:45:00,21835.0,15,88.0,46220.0,16480.0,47876.0
2022-03-11 01:45:00,21836.0,15,35.0,21432.0,2112.0,22244.0
2022-03-11 01:45:00,21837.0,15,32.0,16309.0,2704.0,17144.0
2022-03-11 01:45:00,21838.0,15,19.0,15111.0,987.0,15605.0
2022-03-11 02:00:00,21820.0,15,59.0,33159.0,2202.0,33921.0
2022-03-11 02:00:00,21821.0,15,18.0,17836.0,14093.0,18081.0
2022-03-11 02:00:00,21822.0,15,25.0,10850.0,2176.0,11353.0
2022-03-11 02:00:00,21823.0,15,167.0,40829.0,9343.0,47868.0
2022-03-11 02:00:00,21824.0,15,248.0,40570.0,23148.0,56996.0
2022-03-11 02:00:00,21825.0,15,106.0,42926.0,14515.0,44790.0
2022-03-11 02:00:00,21826.0,15,158.0,36745.0,7551.0,39612.0
2022-03-11 02:00:00,21827.0,15,134.0,38696.0,11909.0,41019.0
2022-03-11 02:00:00,21828.0,15,59.0,34712.0,14978.0,35491.0
2022-03-11 02:00:00,21829.0,15,83.0,24679.0,5761.0,25507.0
2022-03-11 02:00:00,21830.0,15,12.0,12615.0,4344.0,12846.0
2022-03-11 02:00:00,21831.0,15,117.0,31455.0,3219.0,32694.0
2022-03-11 02:00:00,21832.0,15,18.0,26637.0,1463.0,27381.0
2022-03-11 02:00:00,21833.0,15,8.0,8857.0,546.0,9404.0
2022-03-11 02:00:00,21834.0,15,154.0,49575.0,8844.0,54359.0
2022-03-11 02:00:00,21835.0,15,94.0,39096.0,4686.0,41480.0
2022-03-11 02:00:00,21836.0,15,34.0,20372.0,6364.0,21152.0
2022-03-11 02:00:00,21837.0,15,36.0,14765.0,1703.0,15793.0
2022-03-11 02:00:00,21838.0,15,21.0,13509.0,934.0,13771.0
2022-03-11 02:15:00,21820.0,15,46.0,33465.0,1229.0,34211.0
2022-03-11 02:15:00,21821.0,15,18.0,16052.0,8134.0,16578.0
2022-03-11 02:15:00,21822.0,15,24.0,12140.0,1576.0,12618.0
2022-03-11 02:15:00,21823.0,15,145.0,40967.0,13356.0,50990.0
2022-03-11 02:15:00,21824.0,15,208.0,40494.0,19538.0,53139.0
2022-03-11 02:15:00,21825.0,15,100.0,44355.0,3066.0,45307.0
