begintime,sk_object,duration,integrity,1542455326,1542455327,1542455328,1542455329,1542455330,1542455331,1542455332,1542455333,1542460727,1542460728,1542460729
2022-02-06,879952.0,86400.0,100.0,1055472708.0,110084123811.0,66779.0,5195396.0,1250930876.0,579502560542.0,0.0,0.0,,,
2022-02-05,879909.0,86400.0,100.0,406480721.0,88394040500.0,66789.0,5196610.0,1181386403.0,464861766579.0,0.0,0.0,,,
2022-03-13,879799.0,75600.0,87.5,621772298.0,58218600639.0,58411.0,4544494.0,588766008.0,253368125884.0,0.0,0.0,,,
2022-02-18,879798.0,86400.0,100.0,21524452.0,1820371198.0,65335.0,5082866.0,40143858.0,9889799370.0,0.0,0.0,,,
2022-02-08,879983.0,86400.0,100.0,749775470.0,75833343526.0,66759.0,5194118.0,848331926.0,352557774878.0,0.0,0.0,,,
2022-03-14,879921.0,86400.0,100.0,1446461036.0,127946332771.0,64232.0,4997432.0,1282891311.0,589713126748.0,0.0,0.0,,,
2022-02-12,879862.0,86400.0,100.0,94172638.0,7980709345.0,0.0,0.0,98680300.0,46914701804.0,0.0,0.0,,,
2022-02-08,879977.0,86400.0,100.0,406059442.0,40131636064.0,0.0,0.0,532573964.0,252788106764.0,0.0,0.0,,,
2022-03-12,879876.0,68400.0,79.16666666666667,903716731.0,86391078053.0,52490.0,4084200.0,879544439.0,351524998407.0,0.0,0.0,,,
2022-02-20,879779.0,86400.0,100.0,486356664.0,45756090248.0,66753.0,5193316.0,570929381.0,200375870142.0,0.0,0.0,,,
2022-03-02,879965.0,86400.0,100.0,226364348.0,22917874387.0,0.0,0.0,289993678.0,118549765041.0,0.0,0.0,,,
2022-02-19,879855.0,79200.0,91.66666666666667,676729258.0,69003839154.0,59773.0,4648266.0,721684029.0,284814525308.0,0.0,0.0,,,
2022-03-02,879932.0,86400.0,100.0,148670188.0,12625274296.0,0.0,0.0,195106205.0,91555707109.0,0.0,0.0,,,
2022-02-10,879972.0,86400.0,100.0,650958606.0,60357897111.0,66803.0,5197638.0,702801051.0,254584365140.0,0.0,0.0,,,
