begintime,duration,object,20001349,20001350,20001351,20001352,20001353,20001354,20001355,20001356,20001357,20001358,20001359,20001360,20001361,20001362,20001363,20001364,20001365,20001366,20001367,20001368,20001369
2021-09-26 21:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",1695.0,0.0,,,900.0,,,,,,,,,,,,,,,396459.0,
2021-09-26 21:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",3408.0,0.0,,,900.0,,,,,,,,,,,,,,,698626.0,
2021-09-26 21:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.0,
2021-09-26 20:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",4956.0,0.0,,,900.0,,,,,,,,,,,,,,,431309.0,
2021-09-26 20:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",2019.0,0.0,,,900.0,,,,,,,,,,,,,,,373407.0,
2021-09-26 21:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",3384.0,0.0,,,900.0,,,,,,,,,,,,,,,430748.0,
2021-09-26 21:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",1554.0,0.0,,,900.0,,,,,,,,,,,,,,,392634.0,
2021-09-26 21:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",3106.0,0.0,,,900.0,,,,,,,,,,,,,,,604631.0,
2021-09-26 21:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.0,
2021-09-26 22:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",3167.0,0.0,,,900.0,,,,,,,,,,,,,,,424284.0,
