begintime,sk_object,1593835630,1593835632,1593835633,1593835634,1593835679,1593835680,1593835681,1593835682,duration
2022-03-01 00:00:00,882420.0,0.0,6.0,4.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882421.0,0.0,8.0,6.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882422.0,0.0,4.0,3.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882423.0,0.0,5.0,4.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882424.0,0.0,8.0,7.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882425.0,0.0,7.0,5.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882426.0,0.0,5.0,4.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882427.0,0.0,8.0,4.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882428.0,0.0,62.0,38.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882429.0,0.0,9.0,5.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882430.0,0.0,52.0,30.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882431.0,0.0,4.0,3.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882432.0,0.0,5.0,2.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882433.0,0.0,11.0,8.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882434.0,0.0,8.0,6.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882435.0,0.0,3.0,1.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882437.0,0.0,5.0,3.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882438.0,0.0,3.0,2.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882439.0,0.0,3.0,1.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882440.0,0.0,5.0,1.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882441.0,0.0,5.0,4.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882442.0,0.0,5.0,3.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882443.0,0.0,48.0,28.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882444.0,0.0,4.0,2.0,0.0,,,,,PT3600S
