begintime,sk_object,1542455881,1542455397,1542455401,1542455404,1542455405,1542455393,1542455396,1542455400,1542455392,1542455872,1542455873,1542455874,1542455875,1542455876,1542455877,1542455878,1542455879,1542455880,duration
2022-03-01,7729456.0,,0.0,6192375.0,8872.0,9285027.0,0.0,0.0,5979.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729457.0,,0.0,799621.0,2354.0,1600137.0,0.0,0.0,821.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729458.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729459.0,,0.0,276.0,9.0,1054.0,0.0,0.0,6.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729460.0,,0.0,92703.0,218.0,132789.0,0.0,0.0,100.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729461.0,,0.0,782393.0,431.0,196308.0,0.0,0.0,1317.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729463.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729464.0,,0.0,1122963093.0,7431734.0,8292957327.0,0.0,0.0,4289828.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729465.0,,0.0,24811.0,27.0,13595.0,0.0,0.0,54.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729466.0,,0.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729467.0,,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729468.0,,0.0,433334.0,425.0,269480.0,0.0,0.0,807.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729469.0,,0.0,128012.0,366.0,155053.0,0.0,0.0,193.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729470.0,,0.0,6326.0,112.0,105967.0,0.0,0.0,19.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729471.0,,0.0,311420.0,74.0,44228.0,0.0,0.0,377.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729472.0,,0.0,38182.0,65.0,33352.0,0.0,0.0,116.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729473.0,,0.0,654099.0,2685.0,3129901.0,0.0,0.0,824.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729474.0,,0.0,36.0,2.0,148.0,0.0,0.0,1.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729475.0,,0.0,144.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729476.0,,0.0,42094.0,76.0,54745.0,0.0,0.0,58.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729477.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729478.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729479.0,,0.0,2600.0,13.0,10866.0,0.0,0.0,8.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729480.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729481.0,,0.0,23630.0,135.0,19795.0,0.0,0.0,129.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729482.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729483.0,,0.0,0.0,4.0,144.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729484.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729486.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729487.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729489.0,,0.0,14617.0,0.0,0.0,0.0,0.0,12.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729490.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729491.0,,0.0,883065.0,950.0,774562.0,0.0,0.0,1159.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729492.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729493.0,,0.0,118681.0,60.0,64048.0,0.0,0.0,136.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729494.0,,0.0,57959.0,46.0,30650.0,0.0,0.0,55.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729495.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729496.0,,0.0,22254.0,125.0,57319.0,0.0,0.0,73.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729497.0,,0.0,647.0,2.0,72.0,0.0,0.0,11.0,0.0,,,,,,,,,,PT3600S
