begintime,sk_object,duration,integrity,M8018C4,M8018C0,M8018C1,M8018C5,M8018C6,M8018C7,M8018C8,M8018C9,M8018C10,M8018C11
2022-03-15 23:00:00,20354.0,60.0,100.0,0.0,73.25,99.0,0.0,0.0,0.0,263386.0,3600.0,0.0,0.0
2022-03-18 04:00:00,20340.0,60.0,100.0,0.0,2.0,7.0,0.0,0.0,0.0,6404.0,3600.0,0.0,0.0
2022-03-17 01:00:00,20353.0,60.0,100.0,0.0,99.0,126.0,0.0,0.0,0.0,356979.0,3600.0,0.0,0.0
2022-03-17 04:00:00,20337.0,60.0,100.0,0.0,27.75,47.0,0.0,0.0,0.0,99689.0,3600.0,0.0,0.0
2022-03-16 01:00:00,20342.0,60.0,100.0,0.0,24.5,38.0,0.0,0.0,0.0,88867.0,3600.0,0.0,0.0
2022-03-12 18:00:00,20355.0,60.0,100.0,0.0,199.75,232.0,0.0,0.0,0.0,719049.0,3600.0,0.0,0.0
2022-03-17 01:00:00,20352.0,60.0,100.0,0.0,19.25,28.0,0.0,0.0,0.0,69459.0,3600.0,0.0,0.0
2022-03-11 13:00:00,20338.0,60.0,100.0,0.0,27.25,39.0,0.0,0.0,0.0,98595.0,3600.0,0.0,0.0
2022-03-16 12:00:00,20350.0,60.0,100.0,0.0,48.25,64.0,0.0,0.0,0.0,173416.0,3600.0,0.0,0.0
2022-03-12 17:00:00,20355.0,60.0,100.0,0.0,189.75,222.0,0.0,0.0,0.0,683568.0,3600.0,0.0,0.0
2022-03-15 20:00:00,20350.0,60.0,100.0,0.0,64.25,81.0,0.0,0.0,0.0,230947.0,3600.0,0.0,0.0
2022-03-15 12:00:00,20355.0,60.0,100.0,0.0,200.0,237.0,0.0,0.0,0.0,720373.0,3600.0,0.0,0.0
2022-03-13 07:00:00,20355.0,60.0,100.0,0.0,131.0,168.0,0.0,0.0,0.0,470984.0,3600.0,0.0,0.0
2022-03-13 03:00:00,20353.0,60.0,100.0,0.0,68.75,91.0,0.0,0.0,0.0,246671.0,3600.0,0.0,0.0
2022-03-15 02:00:00,20347.0,60.0,100.0,0.0,5.0,11.0,0.0,0.0,0.0,17660.0,3600.0,0.0,0.0
2022-03-11 22:00:00,20344.0,60.0,100.0,0.0,387.5,460.0,0.0,0.0,0.0,1395384.0,3600.0,0.0,0.0
2022-03-17 23:00:00,20355.0,60.0,100.0,0.0,216.75,282.0,0.0,0.0,0.0,780584.0,3600.0,0.0,0.0
2022-03-12 00:00:00,20353.0,60.0,100.0,0.0,163.25,236.0,0.0,0.0,0.0,587684.0,3600.0,0.0,0.0
2022-03-15 10:00:00,20345.0,60.0,100.0,0.0,345.25,392.0,0.0,0.0,0.0,1242146.0,3600.0,0.0,0.0
2022-03-12 13:00:00,20354.0,60.0,100.0,0.0,51.75,91.0,0.0,0.0,0.0,186291.0,3600.0,0.0,0.0
2022-03-12 14:00:00,20338.0,60.0,100.0,0.0,30.75,44.0,0.0,0.0,0.0,109326.0,3600.0,0.0,0.0
2022-03-16 23:00:00,20339.0,60.0,100.0,0.0,97.0,133.0,0.0,0.0,0.0,348771.0,3600.0,0.0,0.0
2022-03-15 14:00:00,20344.0,60.0,100.0,0.0,365.5,414.0,0.0,0.0,0.0,1316212.0,3600.0,0.0,0.0
2022-03-11 10:00:00,20346.0,60.0,100.0,0.0,131.5,159.0,0.0,0.0,0.0,472713.0,3600.0,0.0,0.0
