begintime,sk_object,1282438822,1282438823,1282438847,1282438848,1282454549,1282454554,duration
2022-03-03 15:00:00,7525854.0,67.0,17.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-03 16:00:00,7525853.0,26.0,5.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-03 16:00:00,7525854.0,59.0,13.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-03 17:00:00,7525853.0,28.0,5.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-03 17:00:00,7525854.0,78.0,19.0,24.0,17.0,0.0,0.0,PT3600S
2022-03-03 18:00:00,7525853.0,26.0,5.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-03 18:00:00,7525854.0,79.0,27.0,25.0,18.0,0.0,0.0,PT3600S
2022-03-03 19:00:00,7525853.0,25.0,5.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-03 19:00:00,7525854.0,56.0,15.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-03 20:00:00,7525853.0,25.0,5.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-03 20:00:00,7525854.0,73.0,23.0,24.0,17.0,0.0,0.0,PT3600S
2022-03-03 21:00:00,7525853.0,27.0,6.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-03 21:00:00,7525854.0,60.0,17.0,19.0,17.0,0.0,0.0,PT3600S
2022-03-03 22:00:00,7525853.0,22.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-03 22:00:00,7525854.0,57.0,13.0,20.0,17.0,0.0,0.0,PT3600S
2022-03-03 23:00:00,7525853.0,23.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-03 23:00:00,7525854.0,51.0,10.0,19.0,17.0,0.0,0.0,PT3600S
2022-03-06 02:00:00,7525853.0,20.0,4.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-06 02:00:00,7525854.0,48.0,7.0,19.0,17.0,0.0,0.0,PT3600S
2022-03-06 03:00:00,7525853.0,22.0,4.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-06 03:00:00,7525854.0,84.0,10.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-06 04:00:00,7525853.0,46.0,5.0,8.0,6.0,0.0,0.0,PT3600S
2022-03-06 04:00:00,7525854.0,84.0,7.0,22.0,17.0,0.0,0.0,PT3600S
2022-03-06 05:00:00,7525853.0,43.0,5.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-06 05:00:00,7525854.0,87.0,9.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-06 06:00:00,7525853.0,19.0,4.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-06 06:00:00,7525854.0,79.0,7.0,22.0,17.0,0.0,0.0,PT3600S
2022-03-06 07:00:00,7525853.0,20.0,4.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-06 07:00:00,7525854.0,63.0,11.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-06 08:00:00,7525853.0,20.0,4.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-06 08:00:00,7525854.0,54.0,12.0,19.0,17.0,0.0,0.0,PT3600S
2022-03-06 09:00:00,7525853.0,20.0,4.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-06 09:00:00,7525854.0,54.0,13.0,19.0,17.0,0.0,0.0,PT3600S
2022-03-06 10:00:00,7525853.0,21.0,4.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-06 10:00:00,7525854.0,61.0,13.0,19.0,18.0,0.0,0.0,PT3600S
