begintime,sk_object,duration,M8038C0,M8038C1,M8038C2,M8038C3,M8038C4,M8038C5,M8038C6,M8038C7,M8038C8,M8038C9,M8038C10,M8038C11,M8038C12,M8038C13,M8038C14,M8038C15,M8038C16,M8038C17,M8038C18,M8038C19,M8038C20,M8038C21,M8038C22,M8038C23,M8038C24,M8038C25,M8038C26,M8038C27,M8038C28,M8038C29,M8038C30,M8038C31,M8038C32,M8038C33,M8038C34,M8038C35,M8038C36,M8038C37,M8038C38,M8038C39,M8038C40,M8038C41,M8038C42,M8038C43,M8038C44,M8038C45,M8038C46,M8038C47,M8038C48,M8038C49,M8038C50,M8038C51,M8038C52,M8038C53,M8038C54,M8038C55,M8038C56,M8038C57,M8038C58,M8038C59,M8038C60,M8038C61,M8038C62,M8038C63,M8038C64,M8038C65,M8038C66
2022-03-11 01:00:00,21668.0,15,1218.0,900.0,34667665.0,4908.0,1859470.0,13558.0,29699.0,900000.0,20864.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12543512.0,15747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227700080.0,8795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137591.0,405591.0,0.0,,0.0,900.0,0.0,100.0,900.0,,,,,,,,,
2022-03-11 01:00:00,21669.0,15,473.0,900.0,272339.0,10227.0,56833.0,7607.0,687.0,900000.0,1938.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345352.0,4324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875048.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13915.0,12977.0,0.0,,0.0,900.0,0.0,100.0,900.0,,,,,,,,,
2022-03-11 01:00:00,21670.0,15,7510.0,900.0,44995490.0,64667.0,5048494.0,70282.0,180257.0,900000.0,203147.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586352.0,610.0,30657040.0,127165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548096.0,112.0,259400544.0,13733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794399.0,597661.0,0.0,,92.0,900.0,0.0,106.0,900.0,,,,,,,,,
2022-03-11 01:00:00,21671.0,15,13483.0,900.0,273096175.0,92909.0,27552736.0,100767.0,372932.0,900000.0,454245.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183266112.0,304248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511236184.0,76991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633730.0,4257506.0,0.0,,13.0,900.0,0.0,126.0,900.0,,,,,,,,,
2022-03-11 01:00:00,21672.0,15,1782.0,900.0,130669295.0,7360.0,32125446.0,8509.0,79730.0,900000.0,127925.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110011272.0,48856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612678896.0,28335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697879.0,1130959.0,0.0,,1.0,900.0,0.0,101.0,900.0,,,,,,,,,
2022-03-11 01:00:00,21673.0,15,1134.0,900.0,13914514.0,6334.0,630003.0,4891.0,16252.0,900000.0,30287.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3716088.0,22447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33053720.0,2548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49173.0,335821.0,0.0,,1.0,900.0,0.0,100.0,900.0,,,,,,,,,
2022-03-11 01:00:00,21674.0,15,54988.0,900.0,1168016965.0,342258.0,103907499.0,375893.0,3581170.0,900000.0,3955002.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3184.0,7.0,638831352.0,2854410.0,6789688.0,84688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10696.0,15.0,7339970592.0,2271724.0,14312.0,25.0,0.0,0.0,0.0,0.0,0.0,13739197.0,35776844.0,0.0,,99.0,900.0,0.0,444.0,900.0,,,,,,,,,
2022-03-11 01:00:00,21675.0,15,50168.0,900.0,786119461.0,283468.0,176679289.0,496617.0,4936922.0,900000.0,3573951.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11013472.0,10874.0,1132421856.0,2308147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60378360.0,25600.0,4467934296.0,3180978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14066408.0,35904526.0,0.0,,51.0,900.0,0.0,402.0,900.0,,,,,,,,,
2022-03-11 01:00:00,21676.0,15,5769.0,900.0,57163303.0,32774.0,3358600.0,53213.0,162949.0,900000.0,1047052.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21475560.0,120998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427800040.0,99976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383197.0,3732440.0,0.0,,1.0,900.0,0.0,104.0,900.0,,,,,,,,,
2022-03-11 01:00:00,21677.0,15,1627.0,900.0,33423880.0,8383.0,2167351.0,7327.0,43951.0,900000.0,37442.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7249736.0,18984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43931416.0,5173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150659.0,431714.0,0.0,,0.0,900.0,0.0,101.0,900.0,,,,,,,,,
