begintime,ne_name,sum_L.Thrp.bits.DL,contribution,count,target_without_worst_nes
2022-03-09,"4G_KINGTOM_II/Cell:eNodeB Function Name=4G_KINGTOM_II, Local Cell ID=2, Cell Name=4G_KINGTOM_II-2, eNodeB ID=5058, Cell FDD TDD indication=CELL_FDD",23074960040.0,0.0020215993079547405,186,9387255971368.0
2022-03-09,"4G_MURRAYTOWNBARRACKS/Cell:eNodeB Function Name=4G_MURRAYTOWNBARRACKS, Local Cell ID=6, Cell Name=4G_MURRAYTOWNBARRACKS-6, eNodeB ID=5012, Cell FDD TDD indication=CELL_FDD",23129489280.0,0.002026376619536481,187,9364126482088.0
2022-03-09,"4G_PORTLOKO_II/Cell:eNodeB Function Name=4G_PORTLOKO_II, Local Cell ID=3, Cell Name=4G_PORTLOKO_II-3, eNodeB ID=5049, Cell FDD TDD indication=CELL_FDD",23304920672.0,0.0020417461794423686,188,9340821561416.0
2022-03-09,"4G_KINGHARMAN/Cell:eNodeB Function Name=4G_KINGHARMAN, Local Cell ID=2, Cell Name=4G_KINGHARMAN-2, eNodeB ID=5054, Cell FDD TDD indication=CELL_FDD",23483319688.0,0.0020573757331516806,189,9317338241728.0
2022-03-09,"4G_SPURROAD_II/Cell:eNodeB Function Name=4G_SPURROAD_II, Local Cell ID=12, Cell Name=4G_SPURROAD_II-21, eNodeB ID=5001, Cell FDD TDD indication=CELL_TDD",23511357104.0,0.002059832093669063,190,9293826884624.0
2022-03-09,"4G_GODRECHSTREET/Cell:eNodeB Function Name=4G_GODRECHSTREET, Local Cell ID=3, Cell Name=4G_GODRECHSTREET-3, eNodeB ID=5019, Cell FDD TDD indication=CELL_FDD",23881049392.0,0.0020922208680063297,191,9269945835232.0
2022-03-09,"4G_LUNGITOWN/Cell:eNodeB Function Name=4G_LUNGITOWN, Local Cell ID=3, Cell Name=4G_LUNGITOWN-3, eNodeB ID=5116, Cell FDD TDD indication=CELL_FDD",24055758640.0,0.002107527160811944,192,9245890076592.0
2022-03-09,"4G_SUMBUYA/Cell:eNodeB Function Name=4G_SUMBUYA, Local Cell ID=3, Cell Name=4G_SUMBUYA-3, eNodeB ID=5126, Cell FDD TDD indication=CELL_FDD",24255355584.0,0.0021250138668847092,193,9221634721008.0
2022-03-09,"4G_KALABATOWN/Cell:eNodeB Function Name=4G_KALABATOWN, Local Cell ID=6, Cell Name=4G_KALABATOWN-6, eNodeB ID=5035, Cell FDD TDD indication=CELL_FDD",24567067760.0,0.0021523229984364133,194,9197067653248.0
2022-03-09,"4G_SWISS_RELIEF/Cell:eNodeB Function Name=4G_SWISS_RELIEF, Local Cell ID=6, Cell Name=4G_SWISS_RELIEF-6, eNodeB ID=5068, Cell FDD TDD indication=CELL_FDD",24838736552.0,0.0021761239255430284,195,9172228916696.0
2022-03-09,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II, Local Cell ID=6, Cell Name=4G_COLEFARM_II-6, eNodeB ID=5008, Cell FDD TDD indication=CELL_FDD",24953968208.0,0.0021862193812066683,196,9147274948488.0
2022-03-09,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN, Local Cell ID=1, Cell Name=4G_CONGOTOWN-1, eNodeB ID=5007, Cell FDD TDD indication=CELL_FDD",25092092816.0,0.0021983204904376386,197,9122182855672.0
2022-03-09,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA, Local Cell ID=1, Cell Name=4G_ADONKIA-1, eNodeB ID=5059, Cell FDD TDD indication=CELL_FDD",25299276352.0,0.0022164718585124333,198,9096883579320.0
2022-03-09,"4G_WILKINSONROAD/Cell:eNodeB Function Name=4G_WILKINSONROAD, Local Cell ID=3, Cell Name=4G_WILKINSONROAD-3, eNodeB ID=5005, Cell FDD TDD indication=CELL_FDD",25403775016.0,0.002225626995789308,199,9071479804304.0
2022-03-09,"4G_LESTERPEAK_II/Cell:eNodeB Function Name=4G_LESTERPEAK_II, Local Cell ID=6, Cell Name=4G_LESTERPEAK_II-6, eNodeB ID=5000, Cell FDD TDD indication=CELL_FDD",25419882008.0,0.002227038130795565,200,9046059922296.0
2022-03-09,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN, Local Cell ID=2, Cell Name=4G_CONGOTOWN-2, eNodeB ID=5007, Cell FDD TDD indication=CELL_FDD",25501132960.0,0.0022341565339498554,201,9020558789336.0
2022-03-09,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II, Local Cell ID=2, Cell Name=4G_COLEFARM_II-2, eNodeB ID=5008, Cell FDD TDD indication=CELL_FDD",25507455312.0,0.002234710435772684,202,8995051334024.0
2022-03-09,"4G_OFF_LEICESTERROAD/Cell:eNodeB Function Name=4G_OFF_LEICESTERROAD, Local Cell ID=2, Cell Name=4G_OFF_LEICESTERROAD-2, eNodeB ID=5127, Cell FDD TDD indication=CELL_FDD",25803182728.0,0.0022606191410745563,203,8969248151296.0
2022-03-09,"4G_KALABATOWN/Cell:eNodeB Function Name=4G_KALABATOWN, Local Cell ID=8, Cell Name=4G_KALABATOWN-8, eNodeB ID=5035, Cell FDD TDD indication=CELL_FDD",26087091592.0,0.0022854924219812053,204,8943161059704.0
2022-03-09,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI, Local Cell ID=1, Cell Name=4G_BINTUMANI-1, eNodeB ID=5006, Cell FDD TDD indication=CELL_FDD",26310730816.0,0.0023050854743499292,205,8916850328888.0
2022-03-09,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II, Local Cell ID=8, Cell Name=4G_MALAMA_II-8, eNodeB ID=5060, Cell FDD TDD indication=CELL_FDD",26487092112.0,0.0023205365032282267,206,8890363236776.0
