NE Name,fdn,ADLDACT,ADMODE,ADVER1,ADVER2,AUTOTYPE,BTSID,CVER,IDTYPE,MOIndex,PATCHNO1,PV,RVER,STTYPE,SoftwareVersion,VVER,className,name,neID
FTBSC02,"NE=280,BTSAUTODLDACTINFO=204",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,204,0,BYID,26_204,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=204,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=207",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,207,0,BYID,26_207,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=207,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=203",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,203,0,BYID,26_203,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=203,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=216",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,216,0,BYID,26_216,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=216,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=223",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,223,0,BYID,26_223,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=223,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=283",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,283,0,BYID,26_283,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=283,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=301",ON,COMMON_DLD,BTS3900V100R011C10SP320,0,BTSAUTODLDACT,301,10,BYID,26_301,32,0,11,BTS3900A_GSM,BTS3900V100R011C10SP320_0_0,100,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=301,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=51",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,51,0,BYID,26_51,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=51,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=55",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,55,0,BYID,26_55,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=55,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=72",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,72,0,BYID,26_72,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=72,26
