begintime,ne_name,ne_type,vendor,integrity,UL_PRB_UTIL_TTI_MEAN,PDCP_SDU_DELAY_UL_DTCH_MIN,MEAN_PRB_AVAIL_PUSCH,id
2022-10,"MRBTS-5050,LNBTS-5050,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,99.12,57.59,0.0,42.899,23
2022-10,"MRBTS-5050,LNBTS-5050,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,99.12,7.799,0.0,44.0,24
2022-10,"MRBTS-5062,LNBTS-5062,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,207.257,0.0,42.427,25
2022-10,"MRBTS-5062,LNBTS-5062,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,10.24,0.0,44.0,26
2022-10,"MRBTS-5062,LNBTS-5062,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,33.167,0.0,43.802,27
2022-10,"MRBTS-5062,LNBTS-5062,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,6.219,0.0,44.0,28
2022-10,"MRBTS-5062,LNBTS-5062,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,118.826,0.0,43.604,29
2022-10,"MRBTS-5062,LNBTS-5062,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,7.66,0.0,44.0,30
2022-10,"MRBTS-5078,LNBTS-5078,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,289.517,0.0,42.083,31
2022-10,"MRBTS-5078,LNBTS-5078,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,60.75,0.0,43.833,32
2022-10,"MRBTS-5078,LNBTS-5078,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,189.212,0.0,42.385,33
2022-10,"MRBTS-5078,LNBTS-5078,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,24.684,0.0,43.983,34
2022-10,"MRBTS-5078,LNBTS-5078,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,159.767,0.0,42.563,35
2022-10,"MRBTS-5078,LNBTS-5078,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,38.132,0.0,43.941,36
2022-10,"MRBTS-5079,LNBTS-5079,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,248.677,0.0,42.09,37
2022-10,"MRBTS-5079,LNBTS-5079,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,27.781,0.0,43.958,38
2022-10,"MRBTS-5079,LNBTS-5079,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,152.59,0.0,42.392,39
2022-10,"MRBTS-5079,LNBTS-5079,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,10.677,0.0,44.0,40
2022-10,"MRBTS-5079,LNBTS-5079,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,120.653,0.0,42.563,41
2022-10,"MRBTS-5079,LNBTS-5079,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,17.153,0.0,43.997,42
2022-10,"MRBTS-5080,LNBTS-5080,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,28.24,0.0,44.0,43
2022-10,"MRBTS-5080,LNBTS-5080,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,153.229,0.0,44.0,44
2022-10,"MRBTS-5080,LNBTS-5080,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,135.313,0.0,44.0,45
2022-10,"MRBTS-5081,LNBTS-5081,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,99.0,177.038,0.0,42.576,46
2022-10,"MRBTS-5081,LNBTS-5081,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,99.0,10.309,0.0,44.0,47
2022-10,"MRBTS-5081,LNBTS-5081,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,99.0,492.889,0.0,42.003,48
2022-10,"MRBTS-5081,LNBTS-5081,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,99.0,87.194,0.0,43.75,49
2022-10,"MRBTS-5081,LNBTS-5081,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,99.0,254.497,0.0,42.135,50
2022-10,"MRBTS-5081,LNBTS-5081,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,99.0,33.646,0.0,43.896,51
2022-10,"MRBTS-5082,LNBTS-5082,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,44.347,0.0,44.0,52
2022-10,"MRBTS-5082,LNBTS-5082,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,2.885,0.0,44.0,53
2022-10,"MRBTS-5082,LNBTS-5082,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,13.278,0.0,44.0,54
2022-10,"MRBTS-5083,LNBTS-5083,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,109.212,0.0,44.0,55
2022-10,"MRBTS-5083,LNBTS-5083,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,8.212,0.0,44.0,56
2022-10,"MRBTS-5083,LNBTS-5083,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,27.486,0.0,44.0,57
2022-10,"MRBTS-5084,LNBTS-5084,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,74.05,95.8,0.0,43.367,58
2022-10,"MRBTS-5084,LNBTS-5084,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,74.05,8.394,0.0,44.0,59
2022-10,"MRBTS-5084,LNBTS-5084,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,74.05,156.526,0.0,42.792,60
2022-10,"MRBTS-5084,LNBTS-5084,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,74.05,18.83,0.0,43.997,61
2022-10,"MRBTS-5084,LNBTS-5084,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,74.05,170.44,0.0,42.491,62
2022-10,"MRBTS-5084,LNBTS-5084,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,74.05,28.079,0.0,43.989,63
2022-10,"MRBTS-5085,LNBTS-5085,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,14.962,0.0,44.0,64
2022-10,"MRBTS-5085,LNBTS-5085,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,5.913,0.0,44.0,65
2022-10,"MRBTS-5085,LNBTS-5085,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,21.67,0.0,44.0,66
2022-10,"MRBTS-5086,LNBTS-5086,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,78.531,0.0,43.528,67
2022-10,"MRBTS-5086,LNBTS-5086,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,14.208,0.0,44.0,68
2022-10,"MRBTS-5086,LNBTS-5086,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,104.257,0.0,43.128,69
2022-10,"MRBTS-5086,LNBTS-5086,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,11.854,0.0,44.0,70
2022-10,"MRBTS-5086,LNBTS-5086,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,84.035,0.0,42.865,71
2022-10,"MRBTS-5086,LNBTS-5086,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,7.84,0.0,44.0,72
2022-10,"MRBTS-5089,LNBTS-5089,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,99.566,0.0,44.0,73
2022-10,"MRBTS-5089,LNBTS-5089,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,40.181,0.0,44.0,74
2022-10,"MRBTS-5089,LNBTS-5089,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,146.795,0.0,43.997,75
2022-10,"MRBTS-5090,LNBTS-5090,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,73.819,0.0,43.156,76
2022-10,"MRBTS-5090,LNBTS-5090,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,8.142,0.0,44.0,77
2022-10,"MRBTS-5090,LNBTS-5090,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,443.531,0.0,42.083,78
2022-10,"MRBTS-5090,LNBTS-5090,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,53.326,0.0,43.99,79
2022-10,"MRBTS-5090,LNBTS-5090,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,385.194,0.0,42.042,80
2022-10,"MRBTS-5090,LNBTS-5090,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,75.066,0.0,43.538,81
2022-10,"MRBTS-5091,LNBTS-5091,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,17.979,0.0,44.0,82
2022-10,"MRBTS-5091,LNBTS-5091,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,60.587,0.0,44.0,83
2022-10,"MRBTS-5091,LNBTS-5091,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,65.816,0.0,44.0,84
2022-10,"MRBTS-5102,LNBTS-5102,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,41.667,0.0,44.0,85
2022-10,"MRBTS-5102,LNBTS-5102,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,25.26,0.0,44.0,86
2022-10,"MRBTS-5102,LNBTS-5102,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,49.715,0.0,44.0,87
2022-10,"MRBTS-5200,LNBTS-5200,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,56.43,302.016,0.0,42.24,88
2022-10,"MRBTS-5200,LNBTS-5200,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,56.43,35.673,0.0,43.959,89
2022-10,"MRBTS-5200,LNBTS-5200,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,56.43,456.601,0.0,42.259,90
2022-10,"MRBTS-5200,LNBTS-5200,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,56.43,73.788,0.0,43.71,91
2022-10,"MRBTS-5200,LNBTS-5200,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,56.43,241.637,0.0,42.514,92
2022-10,"MRBTS-5200,LNBTS-5200,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,56.43,176.172,0.0,43.487,93
2022-11,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,314.528,0.0,42.052,94
2022-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,84.249,0.0,43.608,95
2022-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,168.122,0.0,42.234,96
2022-11,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,38.43,0.0,43.8,97
2022-11,"MRBTS-5023,LNBTS-5023,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,233.476,0.0,42.148,98
2022-11,"MRBTS-5023,LNBTS-5023,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,43.897,0.0,43.93,99
2022-11,"MRBTS-5044,LNBTS-5044,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.57,310.839,0.0,42.23,100
2022-11,"MRBTS-5044,LNBTS-5044,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.57,75.301,0.0,43.499,101
2022-11,"MRBTS-5044,LNBTS-5044,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.57,225.974,0.0,42.285,102
2022-11,"MRBTS-5044,LNBTS-5044,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.57,44.674,0.0,43.827,103
2022-11,"MRBTS-5044,LNBTS-5044,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.57,190.718,0.0,42.509,104
2022-11,"MRBTS-5044,LNBTS-5044,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.57,43.476,0.0,43.605,105
2022-11,"MRBTS-5045,LNBTS-5045,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.36,191.575,0.0,42.508,106
2022-11,"MRBTS-5045,LNBTS-5045,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.36,21.62,0.0,43.988,107
2022-11,"MRBTS-5045,LNBTS-5045,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.36,479.842,0.0,42.527,108
2022-11,"MRBTS-5045,LNBTS-5045,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.36,34.098,0.0,44.0,109
2022-11,"MRBTS-5045,LNBTS-5045,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.36,321.806,0.0,42.409,110
2022-11,"MRBTS-5045,LNBTS-5045,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.36,117.756,0.0,43.781,111
2022-11,"MRBTS-5050,LNBTS-5050,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,81.22,42.186,0.0,43.327,112
2022-11,"MRBTS-5050,LNBTS-5050,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,81.22,5.798,0.0,44.0,113
2022-11,"MRBTS-5050,LNBTS-5050,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,81.22,223.016,0.0,42.723,114
2022-11,"MRBTS-5050,LNBTS-5050,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,81.22,26.679,0.0,43.988,115
2022-11,"MRBTS-5050,LNBTS-5050,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,81.22,53.855,0.0,43.122,116
2022-11,"MRBTS-5050,LNBTS-5050,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,81.22,3.868,0.0,43.989,117
2022-11,"MRBTS-5062,LNBTS-5062,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.61,219.037,0.0,42.369,118
2022-11,"MRBTS-5062,LNBTS-5062,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.61,8.474,0.0,44.0,119
2022-11,"MRBTS-5062,LNBTS-5062,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.61,45.681,0.0,43.709,120
2022-11,"MRBTS-5062,LNBTS-5062,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.61,6.227,0.0,43.998,121
2022-11,"MRBTS-5062,LNBTS-5062,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.61,157.901,0.0,43.303,122
2022-11,"MRBTS-5062,LNBTS-5062,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.61,9.131,0.0,44.0,123
2022-11,"MRBTS-5078,LNBTS-5078,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,303.417,0.0,42.099,124
2022-11,"MRBTS-5078,LNBTS-5078,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,88.36,0.0,43.722,125
2022-11,"MRBTS-5078,LNBTS-5078,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,185.239,0.0,42.467,126
2022-11,"MRBTS-5078,LNBTS-5078,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,21.401,0.0,43.998,127
2022-11,"MRBTS-5078,LNBTS-5078,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,162.317,0.0,42.543,128
2022-11,"MRBTS-5078,LNBTS-5078,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,39.424,0.0,43.941,129
2022-11,"MRBTS-5079,LNBTS-5079,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,83.25,237.359,0.0,42.226,130
2022-11,"MRBTS-5079,LNBTS-5079,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,83.25,25.293,0.0,43.942,131
2022-11,"MRBTS-5079,LNBTS-5079,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,83.25,131.694,0.0,42.627,132
2022-11,"MRBTS-5079,LNBTS-5079,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,83.25,10.452,0.0,44.0,133
2022-11,"MRBTS-5079,LNBTS-5079,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,83.25,106.242,0.0,42.827,134
2022-11,"MRBTS-5079,LNBTS-5079,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,83.25,12.426,0.0,43.994,135
2022-11,"MRBTS-5080,LNBTS-5080,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,99.31,26.276,0.0,44.0,136
