table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,character_set_catalog,character_set_schema,character_set_name,collation_catalog,collation_schema,collation_name,domain_catalog,domain_schema,domain_name,udt_catalog,udt_schema,udt_name,scope_catalog,scope_schema,scope_name,maximum_cardinality,dtd_identifier,is_self_referencing,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_updatable
postgres,public,hourly_huawei_nodeb_1542455297,1542455307,15,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,15,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_nodeb_1542455297,1542460296,16,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,16,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_nodeb_1542455297,1542460297,17,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,17,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,det_huawei_bsc6910umts_67109033,begintime,1,,NO,timestamp without time zone,,,,,,6.0,,,,,,,,,,,,postgres,pg_catalog,timestamp,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,det_huawei_bsc6910umts_67109033,sk_object,4,,NO,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,det_huawei_bsc6910umts_67109033,67194647,5,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,det_huawei_bsc6910umts_67109033,67194648,6,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,6,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,det_huawei_bsc6910umts_67109033,duration,8,'PT3600S'::character varying,YES,character varying,20.0,80.0,,,,,,,,,,,,,,,,postgres,pg_catalog,varchar,,,,,8,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,be_counters_table,id,1,,NO,character varying,50.0,200.0,,,,,,,,,,,,,,,,postgres,pg_catalog,varchar,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,be_counters_table,time_dimension,2,,YES,character varying,50.0,200.0,,,,,,,,,,,,,,,,postgres,pg_catalog,varchar,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,be_counters_table,vendor,3,,YES,character varying,50.0,200.0,,,,,,,,,,,,,,,,postgres,pg_catalog,varchar,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,be_counters_table,ne_type,4,,YES,character varying,50.0,200.0,,,,,,,,,,,,,,,,postgres,pg_catalog,varchar,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,be_counters_table,object_id,5,,YES,character varying,200.0,800.0,,,,,,,,,,,,,,,,postgres,pg_catalog,varchar,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,be_counters_table,object_name,6,,YES,character varying,200.0,800.0,,,,,,,,,,,,,,,,postgres,pg_catalog,varchar,,,,,6,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_bsc6900gsm_1275068418,begintime,1,,NO,timestamp without time zone,,,,,,6.0,,,,,,,,,,,,postgres,pg_catalog,timestamp,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_bsc6900gsm_1275068418,sk_object,2,,NO,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_bsc6900gsm_1275068418,duration,3,,NO,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_bsc6900gsm_1275068418,integrity,4,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_bsc6900gsm_1275068418,1277069417,5,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_bsc6900gsm_1275068418,1277069419,6,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,6,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_bsc6900gsm_1275068418,1277069420,7,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,7,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_bsc6900gsm_1275068418,1277069421,8,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,8,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_bsc6900gsm_1275068418,1277069422,9,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,9,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_bsc6900gsm_1275068418,1277069423,10,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,10,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_bsc6900gsm_1275068418,1282411682,11,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,11,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_bsc6900gsm_1275068418,1282411683,12,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,12,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_bsc6900gsm_1275068418,1282436789,13,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,13,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_bsc6900gsm_1275068418,1282436790,14,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,14,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_bsc6900gsm_1275068418,1282438921,15,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,15,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_bsc6900gsm_1275068418,1282459444,16,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,16,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_bsc6900gsm_1275068418,is_busy_hour,17,0,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,17,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,starelid,1,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,staattnum,2,,NO,smallint,,,16.0,2.0,0.0,,,,,,,,,,,,,postgres,pg_catalog,int2,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stainherit,3,,NO,boolean,,,,,,,,,,,,,,,,,,postgres,pg_catalog,bool,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stanullfrac,4,,NO,real,,,24.0,2.0,,,,,,,,,,,,,,postgres,pg_catalog,float4,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stawidth,5,,NO,integer,,,32.0,2.0,0.0,,,,,,,,,,,,,postgres,pg_catalog,int4,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stadistinct,6,,NO,real,,,24.0,2.0,,,,,,,,,,,,,,postgres,pg_catalog,float4,,,,,6,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stakind1,7,,NO,smallint,,,16.0,2.0,0.0,,,,,,,,,,,,,postgres,pg_catalog,int2,,,,,7,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stakind2,8,,NO,smallint,,,16.0,2.0,0.0,,,,,,,,,,,,,postgres,pg_catalog,int2,,,,,8,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stakind3,9,,NO,smallint,,,16.0,2.0,0.0,,,,,,,,,,,,,postgres,pg_catalog,int2,,,,,9,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stakind4,10,,NO,smallint,,,16.0,2.0,0.0,,,,,,,,,,,,,postgres,pg_catalog,int2,,,,,10,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stakind5,11,,NO,smallint,,,16.0,2.0,0.0,,,,,,,,,,,,,postgres,pg_catalog,int2,,,,,11,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,staop1,12,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,12,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,staop2,13,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,13,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,staop3,14,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,14,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,staop4,15,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,15,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,staop5,16,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,16,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stacoll1,17,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,17,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stacoll2,18,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,18,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stacoll3,19,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,19,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stacoll4,20,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,20,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stacoll5,21,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,21,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stanumbers1,22,,YES,ARRAY,,,,,,,,,,,,,,,,,,postgres,pg_catalog,_float4,,,,,22,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stanumbers2,23,,YES,ARRAY,,,,,,,,,,,,,,,,,,postgres,pg_catalog,_float4,,,,,23,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stanumbers3,24,,YES,ARRAY,,,,,,,,,,,,,,,,,,postgres,pg_catalog,_float4,,,,,24,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stanumbers4,25,,YES,ARRAY,,,,,,,,,,,,,,,,,,postgres,pg_catalog,_float4,,,,,25,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stanumbers5,26,,YES,ARRAY,,,,,,,,,,,,,,,,,,postgres,pg_catalog,_float4,,,,,26,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stavalues1,27,,YES,anyarray,,,,,,,,,,,,,,,,,,postgres,pg_catalog,anyarray,,,,,27,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stavalues2,28,,YES,anyarray,,,,,,,,,,,,,,,,,,postgres,pg_catalog,anyarray,,,,,28,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stavalues3,29,,YES,anyarray,,,,,,,,,,,,,,,,,,postgres,pg_catalog,anyarray,,,,,29,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stavalues4,30,,YES,anyarray,,,,,,,,,,,,,,,,,,postgres,pg_catalog,anyarray,,,,,30,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_statistic,stavalues5,31,,YES,anyarray,,,,,,,,,,,,,,,,,,postgres,pg_catalog,anyarray,,,,,31,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,oid,1,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typname,2,,NO,name,,,,,,,,,,,,postgres,pg_catalog,C,,,,postgres,pg_catalog,name,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typnamespace,3,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typowner,4,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typlen,5,,NO,smallint,,,16.0,2.0,0.0,,,,,,,,,,,,,postgres,pg_catalog,int2,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typbyval,6,,NO,boolean,,,,,,,,,,,,,,,,,,postgres,pg_catalog,bool,,,,,6,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typtype,7,,NO,"""char""",,,,,,,,,,,,,,,,,,postgres,pg_catalog,char,,,,,7,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typcategory,8,,NO,"""char""",,,,,,,,,,,,,,,,,,postgres,pg_catalog,char,,,,,8,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typispreferred,9,,NO,boolean,,,,,,,,,,,,,,,,,,postgres,pg_catalog,bool,,,,,9,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typisdefined,10,,NO,boolean,,,,,,,,,,,,,,,,,,postgres,pg_catalog,bool,,,,,10,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typdelim,11,,NO,"""char""",,,,,,,,,,,,,,,,,,postgres,pg_catalog,char,,,,,11,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typrelid,12,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,12,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typsubscript,13,,NO,regproc,,,,,,,,,,,,,,,,,,postgres,pg_catalog,regproc,,,,,13,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typelem,14,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,14,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typarray,15,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,15,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typinput,16,,NO,regproc,,,,,,,,,,,,,,,,,,postgres,pg_catalog,regproc,,,,,16,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typoutput,17,,NO,regproc,,,,,,,,,,,,,,,,,,postgres,pg_catalog,regproc,,,,,17,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typreceive,18,,NO,regproc,,,,,,,,,,,,,,,,,,postgres,pg_catalog,regproc,,,,,18,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typsend,19,,NO,regproc,,,,,,,,,,,,,,,,,,postgres,pg_catalog,regproc,,,,,19,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typmodin,20,,NO,regproc,,,,,,,,,,,,,,,,,,postgres,pg_catalog,regproc,,,,,20,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typmodout,21,,NO,regproc,,,,,,,,,,,,,,,,,,postgres,pg_catalog,regproc,,,,,21,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typanalyze,22,,NO,regproc,,,,,,,,,,,,,,,,,,postgres,pg_catalog,regproc,,,,,22,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typalign,23,,NO,"""char""",,,,,,,,,,,,,,,,,,postgres,pg_catalog,char,,,,,23,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typstorage,24,,NO,"""char""",,,,,,,,,,,,,,,,,,postgres,pg_catalog,char,,,,,24,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typnotnull,25,,NO,boolean,,,,,,,,,,,,,,,,,,postgres,pg_catalog,bool,,,,,25,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typbasetype,26,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,26,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typtypmod,27,,NO,integer,,,32.0,2.0,0.0,,,,,,,,,,,,,postgres,pg_catalog,int4,,,,,27,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typndims,28,,NO,integer,,,32.0,2.0,0.0,,,,,,,,,,,,,postgres,pg_catalog,int4,,,,,28,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typcollation,29,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,29,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typdefaultbin,30,,YES,pg_node_tree,,,,,,,,,,,,postgres,pg_catalog,C,,,,postgres,pg_catalog,pg_node_tree,,,,,30,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typdefault,31,,YES,text,,1073741824.0,,,,,,,,,,postgres,pg_catalog,C,,,,postgres,pg_catalog,text,,,,,31,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_type,typacl,32,,YES,ARRAY,,,,,,,,,,,,,,,,,,postgres,pg_catalog,_aclitem,,,,,32,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,det_huawei_bsc6900gu_67109035,begintime,1,,NO,timestamp without time zone,,,,,,6.0,,,,,,,,,,,,postgres,pg_catalog,timestamp,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,det_huawei_bsc6900gu_67109035,sk_object,4,,NO,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,det_huawei_bsc6900gu_67109035,67194469,5,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,det_huawei_bsc6900gu_67109035,67194470,6,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,6,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,det_huawei_bsc6900gu_67109035,67194471,7,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,7,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,det_huawei_bsc6900gu_67109035,67194472,8,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,8,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,det_huawei_bsc6900gu_67109035,67194473,9,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,9,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,det_huawei_bsc6900gu_67109035,duration,11,'PT3600S'::character varying,YES,character varying,20.0,80.0,,,,,,,,,,,,,,,,postgres,pg_catalog,varchar,,,,,11,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_40001,begintime,1,,NO,timestamp without time zone,,,,,,6.0,,,,,,,,,,,,postgres,pg_catalog,timestamp,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_40001,sk_object,2,,NO,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_40001,duration,3,,NO,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_40001,integrity,4,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_40001,M40001C0,5,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_51300,begintime,1,,NO,timestamp without time zone,,,,,,6.0,,,,,,,,,,,,postgres,pg_catalog,timestamp,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_51300,sk_object,2,,NO,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_51300,duration,3,,NO,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_51300,integrity,4,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_51300,M51300C0,5,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_51300,M51300C1,6,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,6,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_51300,M51300C2,7,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,7,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_51300,M51300C3,8,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,8,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_51300,M51300C4,9,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,9,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_51300,M51300C5,10,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,10,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_51300,M51300C6,11,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,11,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_51300,M51300C7,12,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,12,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_nokia_macro_51300,M51300C8,13,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,13,NO,NO,,,,,,NO,NEVER,,YES
postgres,pg_catalog,pg_foreign_table,ftrelid,1,,NO,oid,,,,,,,,,,,,,,,,,,postgres,pg_catalog,oid,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
