node_id,node_name,tech,domain,type,vendor,lat,long,azimuth,Zone,district,region
25,G09_Bajakunda_1,2G,Radio,cell,Huawei,13.481843,-14.053507,60,Rural,Wuli East,Upper River Region
37,G09_Brikama Ba_1,2G,Radio,cell,Huawei,13.532752,-14.925251,180,Rural,Fuladou West,Central River Region
38,G09_Jambur_2,2G,Radio,cell,Huawei,13.307093,-16.696712,160,GBA,Kombo South,Western Region
39,G09_Brikama Ba_2,2G,Radio,cell,Huawei,13.532752,-14.925251,240,Rural,Fuladou West,Central River Region
40,G09_Jambur_3,2G,Radio,cell,Huawei,13.307093,-16.696712,330,GBA,Kombo South,Western Region
41,G09_Basori_1,2G,Radio,cell,Huawei,13.22767,-16.579877,160,Rural,Kombo North,Western Region
42,G09_Basori_2,2G,Radio,cell,Huawei,13.22767,-16.579877,250,Rural,Kombo North,Western Region
49,G09_White Building_1,2G,Radio,cell,Huawei,13.465954,-16.691005,0,GBA,Kanifing,Kanifing Municipality
50,G09_White Building_2,2G,Radio,cell,Huawei,13.465954,-16.691005,160,GBA,Kanifing,Kanifing Municipality
51,G09_White Building_3,2G,Radio,cell,Huawei,13.465954,-16.691005,240,GBA,Kanifing,Kanifing Municipality
55,G09_Earth Station_1,2G,Radio,cell,Huawei,13.401895,-16.653944,110,GBA,Kanifing,Kanifing Municipality
56,G09_Earth Station_2,2G,Radio,cell,Huawei,13.401895,-16.653944,200,GBA,Kanifing,Kanifing Municipality
57,G09_Earth Station_3,2G,Radio,cell,Huawei,13.401895,-16.653944,20,GBA,Kanifing,Kanifing Municipality
64,G09_Fass_1,2G,Radio,cell,Huawei,13.564781,-16.428517,20,Rural,Lower Niumi,North Bank Region
65,G09_Fass_2,2G,Radio,cell,Huawei,13.564781,-16.428517,130,Rural,Lower Niumi,North Bank Region
27,G09_Bajakunda_3,2G,Radio,cell,Huawei,13.481843,-14.053507,270,Rural,Wuli East,Upper River Region
66,G09_Fass_3,2G,Radio,cell,Huawei,13.564781,-16.428517,240,Rural,Lower Niumi,North Bank Region
67,G09_Fatoto_1,2G,Radio,cell,Huawei,13.39304,-13.907269,10,Rural,Kantora,Upper River Region
68,G09_Fatoto_2,2G,Radio,cell,Huawei,13.39304,-13.907269,115,Rural,Kantora,Upper River Region
69,G09_Fatoto_3,2G,Radio,cell,Huawei,13.39304,-13.907269,270,Rural,Kantora,Upper River Region
76,G09_Gunjur_1,2G,Radio,cell,Huawei,13.16955,-16.760743,0,GBA,Kombo South,Western Region
77,G09_Gunjur_2,2G,Radio,cell,Huawei,13.16955,-16.760743,100,GBA,Kombo South,Western Region
78,G09_Gunjur_3,2G,Radio,cell,Huawei,13.16955,-16.760743,200,GBA,Kombo South,Western Region
79,G09_Senegambia_1,2G,Radio,cell,Huawei,13.44226,-16.721727,0,GBA,Kanifing,Kanifing Municipality
80,G09_Senegambia_2,2G,Radio,cell,Huawei,13.44226,-16.721727,135,GBA,Kanifing,Kanifing Municipality
81,G09_Senegambia_3,2G,Radio,cell,Huawei,13.44226,-16.721727,260,GBA,Kanifing,Kanifing Municipality
88,G09_Sukuta Jabang Highway_2,2G,Radio,cell,Huawei,13.394479,-16.705676,125,GBA,Kombo North,Western Region
89,G09_Sukuta Jabang Highway_3,2G,Radio,cell,Huawei,13.394479,-16.705676,215,GBA,Kombo North,Western Region
90,G09_Jabang Estate_1,2G,Radio,cell,Huawei,13.356374,-16.705119,95,GBA,Kombo North,Western Region
101,G09_Kwenilla_2,2G,Radio,cell,Huawei,13.396557,-15.793325,230,Rural,Kiang Central,Lower River Region
103,G09_Lamin_1,2G,Radio,cell,Huawei,13.383897,-16.644597,20,GBA,Kombo North,Western Region
104,G09_Lamin_2,2G,Radio,cell,Huawei,13.383897,-16.644597,120,GBA,Kombo North,Western Region
105,G09_Lamin_3,2G,Radio,cell,Huawei,13.383897,-16.644597,240,GBA,Kombo North,Western Region
106,G09_Mansakonko_1,2G,Radio,cell,Huawei,13.455152,-15.535005,70,Rural,Mansakonko,Lower River Region
107,G09_Mansakonko_2,2G,Radio,cell,Huawei,13.455152,-15.535005,140,Rural,Mansakonko,Lower River Region
108,G09_Mansakonko_3,2G,Radio,cell,Huawei,13.455152,-15.535005,240,Rural,Mansakonko,Lower River Region
115,G09_Ndugu Kebbeh_1,2G,Radio,cell,Huawei,13.542507,-16.319659,120,Rural,Lower Niumi,North Bank Region
116,G09_Ndugu Kebbeh_2,2G,Radio,cell,Huawei,13.542507,-16.319659,230,Rural,Lower Niumi,North Bank Region
117,G09_Ndugu Kebbeh_3,2G,Radio,cell,Huawei,13.542507,-16.319659,330,Rural,Lower Niumi,North Bank Region
130,G09_Sanyang_1,2G,Radio,cell,Huawei,13.268192,-16.762662,30,GBA,Kombo South,Western Region
131,G09_Sanyang_2,2G,Radio,cell,Huawei,13.268192,-16.762662,160,GBA,Kombo South,Western Region
132,G09_Sanyang_3,2G,Radio,cell,Huawei,13.268192,-16.762662,280,GBA,Kombo South,Western Region
133,G09_Serra kunda mkt bldg_1,2G,Radio,cell,Huawei,13.439217,-16.682959,70,GBA,Kanifing,Kanifing Municipality
100,G09_Kwenilla_1,2G,Radio,cell,Huawei,13.396557,-15.793325,80,Rural,Kiang Central,Lower River Region
102,G09_Kwenilla_3,2G,Radio,cell,Huawei,13.396557,-15.793325,340,Rural,Kiang Central,Lower River Region
134,G09_Serra kunda mkt bldg_2,2G,Radio,cell,Huawei,13.439217,-16.682959,200,GBA,Kanifing,Kanifing Municipality
135,G09_Serra kunda mkt bldg_3,2G,Radio,cell,Huawei,13.439217,-16.682959,335,GBA,Kanifing,Kanifing Municipality
145,G09_Sinchubaliya_1,2G,Radio,cell,Huawei,13.393696,-16.674208,30,GBA,Kombo North,Western Region
146,G09_Sinchubaliya_2,2G,Radio,cell,Huawei,13.393696,-16.674208,150,GBA,Kombo North,Western Region
147,G09_Sinchubaliya_3,2G,Radio,cell,Huawei,13.393696,-16.674208,230,GBA,Kombo North,Western Region
148,G09_Somo Bldg_1,2G,Radio,cell,Huawei,13.425182,-16.674104,65,GBA,Kanifing,Kanifing Municipality
149,G09_Somo Bldg_2,2G,Radio,cell,Huawei,13.425182,-16.674104,190,GBA,Kanifing,Kanifing Municipality
154,G09_Sudowol_1,2G,Radio,cell,Huawei,13.361017,-13.99968,80,Rural,Kantora,Upper River Region
155,G09_Sudowol_2,2G,Radio,cell,Huawei,13.361017,-13.99968,190,Rural,Kantora,Upper River Region
156,G09_Sudowol_3,2G,Radio,cell,Huawei,13.361017,-13.99968,260,Rural,Kantora,Upper River Region
166,G09_Bundung_1,2G,Radio,cell,Huawei,13.426453,-16.6837,20,GBA,Kanifing,Kanifing Municipality
167,G09_Bundung_2,2G,Radio,cell,Huawei,13.426453,-16.6837,190,GBA,Kanifing,Kanifing Municipality
168,G09_Bundung_3,2G,Radio,cell,Huawei,13.426453,-16.6837,300,GBA,Kanifing,Kanifing Municipality
169,G09_Faji Kunda_1,2G,Radio,cell,Huawei,13.419903,-16.667111,80,GBA,Kanifing,Kanifing Municipality
170,G09_Faji Kunda_2,2G,Radio,cell,Huawei,13.419903,-16.667111,190,GBA,Kanifing,Kanifing Municipality
171,G09_Faji Kunda_3,2G,Radio,cell,Huawei,13.419903,-16.667111,300,GBA,Kanifing,Kanifing Municipality
172,G09_New Jeshwang_1,2G,Radio,cell,Huawei,13.436689,-16.674701,80,GBA,Kanifing,Kanifing Municipality
173,G09_New Jeshwang_2,2G,Radio,cell,Huawei,13.436689,-16.674701,190,GBA,Kanifing,Kanifing Municipality
174,G09_New Jeshwang_3,2G,Radio,cell,Huawei,13.436689,-16.674701,280,GBA,Kanifing,Kanifing Municipality
175,G09_Kabafita_1,2G,Radio,cell,Huawei,13.28309,-16.636769,90,GBA,Kombo Central,Western Region
178,G09_Jabang Estate_2,2G,Radio,cell,Huawei,13.356374,-16.705119,190,GBA,Kombo North,Western Region
179,G09_Jabang Estate_3,2G,Radio,cell,Huawei,13.356374,-16.705119,310,GBA,Kombo North,Western Region
180,G09_Mandinari_1,2G,Radio,cell,Huawei,13.367586,-16.60632,20,GBA,Kombo North,Western Region
181,G09_Mandinari_2,2G,Radio,cell,Huawei,13.367586,-16.60632,140,GBA,Kombo North,Western Region
182,G09_Mandinari_3,2G,Radio,cell,Huawei,13.367586,-16.60632,240,GBA,Kombo North,Western Region
183,G09_Illiassa_1,2G,Radio,cell,Huawei,13.565307,-15.748364,20,Rural,Lower Badibu,North Bank Region
187,G09_Essau_2,2G,Radio,cell,Huawei,13.482011,-16.522206,125,Rural,Lower Niumi,North Bank Region
188,G09_Essau_3,2G,Radio,cell,Huawei,13.482011,-16.522206,270,Rural,Lower Niumi,North Bank Region
189,G09_Denton Bridge_1,2G,Radio,cell,Huawei,13.468615,-16.629499,95,GBA,Kanifing,Kanifing Municipality
190,G09_Denton Bridge_2,2G,Radio,cell,Huawei,13.468615,-16.629499,265,GBA,Kanifing,Kanifing Municipality
193,G09_Kubariko_3,2G,Radio,cell,Huawei,13.332168,-16.629319,240,GBA,Kombo North,Western Region
194,G09_Farato-Paradise City_1,2G,Radio,cell,Huawei,13.307454,-16.658267,75,GBA,Kombo Central,Western Region
195,G09_Farato-Paradise City_2,2G,Radio,cell,Huawei,13.307454,-16.658267,195,GBA,Kombo Central,Western Region
192,G09_Kubariko_2,2G,Radio,cell,Huawei,13.332168,-16.629319,105,GBA,Kombo North,Western Region
160,G09_Tabokoto_1,2G,Radio,cell,Huawei,13.410206,-16.668953,50,GBA,Kanifing,Kanifing Municipality
161,G09_Tabokoto_2,2G,Radio,cell,Huawei,13.410206,-16.668953,120,GBA,Kanifing,Kanifing Municipality
162,G09_Tabokoto_3,2G,Radio,cell,Huawei,13.410206,-16.668953,260,GBA,Kanifing,Kanifing Municipality
191,G09_Kubariko_1,2G,Radio,cell,Huawei,13.332168,-16.629319,15,GBA,Kombo North,Western Region
210,G09_Ebo Town_1,2G,Radio,cell,Huawei,13.436607,-16.669311,60,GBA,Kanifing,Kanifing Municipality
211,G09_Ebo Town_2,2G,Radio,cell,Huawei,13.436607,-16.669311,150,GBA,Kanifing,Kanifing Municipality
214,G09_Busumbala II_2,2G,Radio,cell,Huawei,13.339416,-16.682984,120,GBA,Kombo North,Western Region
215,G09_Busumbala II_3,2G,Radio,cell,Huawei,13.339416,-16.682984,255,GBA,Kombo North,Western Region
216,G09_Farafenni 2_1,2G,Radio,cell,Huawei,13.575382,-15.601391,40,Rural,Upper Badibu,North Bank Region
217,G09_Busumbala_1,2G,Radio,cell,Huawei,13.320299,-16.667309,330,GBA,Kombo North,Western Region
218,G09_Busumbala_2,2G,Radio,cell,Huawei,13.320299,-16.667309,95,GBA,Kombo North,Western Region
219,G09_Busumbala_3,2G,Radio,cell,Huawei,13.320299,-16.667309,240,GBA,Kombo North,Western Region
220,G09_Brikama II_1,2G,Radio,cell,Huawei,13.266641,-16.642473,120,GBA,Kombo Central,Western Region
221,G09_Brikama II_2,2G,Radio,cell,Huawei,13.266641,-16.642473,200,GBA,Kombo Central,Western Region
222,G09_Brikama II_3,2G,Radio,cell,Huawei,13.266641,-16.642473,320,GBA,Kombo Central,Western Region
223,G09_Kartong_1,2G,Radio,cell,Huawei,13.097707,-16.761586,20,GBA,Kombo South,Western Region
225,G09_Farafenni 2_3,2G,Radio,cell,Huawei,13.575382,-15.601391,250,Rural,Upper Badibu,North Bank Region
226,G18_Test_2,2G,Radio,cell,Huawei,,,,,,
228,G09_Brikama Tower_1,2G,Radio,cell,Huawei,13.274743,-16.649217,30,GBA,Kombo Central,Western Region
229,G09_Brikama Tower_2,2G,Radio,cell,Huawei,13.274743,-16.649217,170,GBA,Kombo Central,Western Region
230,G09_Brikama Tower_3,2G,Radio,cell,Huawei,13.274743,-16.649217,290,GBA,Kombo Central,Western Region
240,G09_Kartong_2,2G,Radio,cell,Huawei,13.097707,-16.761586,90,GBA,Kombo South,Western Region
241,G09_Kartong_3,2G,Radio,cell,Huawei,13.097707,-16.761586,160,GBA,Kombo South,Western Region
242,G09_Marakissa_1,2G,Radio,cell,Huawei,13.216425,-16.648561,50,GBA,Kombo Central,Western Region
243,G09_Marakissa_2,2G,Radio,cell,Huawei,13.216425,-16.648561,160,GBA,Kombo Central,Western Region
245,G09_Brikama Ba_3,2G,Radio,cell,Huawei,13.532752,-14.925251,340,Rural,Fuladou West,Central River Region
253,G09_Nema Kunku_1,2G,Radio,cell,Huawei,13.402433,-16.683128,10,GBA,Kombo North,Western Region
254,G09_Nema Kunku_2,2G,Radio,cell,Huawei,13.402433,-16.683128,140,GBA,Kombo North,Western Region
255,G09_Nema Kunku_3,2G,Radio,cell,Huawei,13.402433,-16.683128,255,GBA,Kombo North,Western Region
9,L21_Dippa Kunda_9,4G,Radio,cell,Huawei,,,,,,
256,G09_Kombo Kerewan_1,2G,Radio,cell,Huawei,13.371528,-16.625793,90,GBA,Kombo North,Western Region
257,G09_Kombo Kerewan_2,2G,Radio,cell,Huawei,13.371528,-16.625793,150,GBA,Kombo North,Western Region
258,G09_Kombo Kerewan_3,2G,Radio,cell,Huawei,13.371528,-16.625793,230,GBA,Kombo North,Western Region
259,G09_Somita_1,2G,Radio,cell,Huawei,13.205891,-16.305407,110,Rural,Foni Brefet,Western Region
260,G09_Somita_2,2G,Radio,cell,Huawei,13.205891,-16.305407,190,Rural,Foni Brefet,Western Region
261,G09_Somita_3,2G,Radio,cell,Huawei,13.205891,-16.305407,270,Rural,Foni Brefet,Western Region
272,G09_Jiboroh_1,2G,Radio,cell,Huawei,13.185054,-16.577187,90,Rural,Kombo East,Western Region
273,G09_Jiboroh_2,2G,Radio,cell,Huawei,13.185054,-16.577187,190,Rural,Kombo East,Western Region
274,G09_Jiboroh_3,2G,Radio,cell,Huawei,13.185054,-16.577187,340,Rural,Kombo East,Western Region
289,G09_Marakissa_3,2G,Radio,cell,Huawei,13.216425,-16.648561,240,GBA,Kombo Central,Western Region
291,G09_Kerr Jarga_1,2G,Radio,cell,Huawei,,,,,,
292,G09_Kerr Jarga_2,2G,Radio,cell,Huawei,,,,,,
293,G09_Kerr Jarga_3,2G,Radio,cell,Huawei,,,,,,
144,G09_Sheraton_3,2G,Radio,cell,Huawei,13.395622,-16.753732,220,GBA,Kombo North,Western Region
26,G09_Bajakunda_2,2G,Radio,cell,Huawei,13.481843,-14.053507,160,Rural,Wuli East,Upper River Region
275,G09_Bakadagi_1,2G,Radio,cell,Huawei,13.302762,-14.387321,35,Rural,Jimara,Upper River Region
276,G09_Bakadagi_2,2G,Radio,cell,Huawei,13.302762,-14.387321,170,Rural,Jimara,Upper River Region
277,G09_Bakadagi_3,2G,Radio,cell,Huawei,13.302762,-14.387321,280,Rural,Jimara,Upper River Region
142,G09_Sheraton_1,2G,Radio,cell,Huawei,13.395622,-16.753732,60,GBA,Kombo North,Western Region
143,G09_Sheraton_2,2G,Radio,cell,Huawei,13.395622,-16.753732,140,GBA,Kombo North,Western Region
12,G09_Gamstar_1,2G,Radio,cell,Huawei,13.453018,-16.57429,185,GBA,Banjul,Banjul
13,G09_Gamstar_2,2G,Radio,cell,Huawei,13.453018,-16.57429,280,GBA,Banjul,Banjul
14,G09_Gamstar_3,2G,Radio,cell,Huawei,13.453018,-16.57429,310,GBA,Banjul,Banjul
70,G09_Gamtel Bakau_1,2G,Radio,cell,Huawei,13.479507,-16.66756,0,GBA,Kanifing,Kanifing Municipality
71,G09_Gamtel Bakau_2,2G,Radio,cell,Huawei,13.479507,-16.66756,100,GBA,Kanifing,Kanifing Municipality
72,G09_Gamtel Bakau_3,2G,Radio,cell,Huawei,13.479507,-16.66756,210,GBA,Kanifing,Kanifing Municipality
31,G09_Bato Kunku_1,2G,Radio,cell,Huawei,13.325792,-16.798796,10,GBA,Kombo South,Western Region
32,G09_Bato Kunku_2,2G,Radio,cell,Huawei,13.325792,-16.798796,90,GBA,Kombo South,Western Region
33,G09_Bato Kunku_3,2G,Radio,cell,Huawei,13.325792,-16.798796,170,GBA,Kombo South,Western Region
7,G09_Kaiaf_1,2G,Radio,cell,Huawei,13.411158,-15.610371,55,Rural,Kiang East,Lower River Region
279,G09_Ngeyen Sanjal_1,2G,Radio,cell,Huawei,13.592373,-15.44222,30,Rural,Sabach - Sanjal,North Bank Region
280,G09_Ngeyen Sanjal_2,2G,Radio,cell,Huawei,13.592373,-15.44222,150,Rural,Sabach - Sanjal,North Bank Region
281,G09_Ngeyen Sanjal_3,2G,Radio,cell,Huawei,13.592373,-15.44222,300,Rural,Sabach - Sanjal,North Bank Region
207,G09_Tanji_2,2G,Radio,cell,Huawei,13.358275,-16.797257,150,GBA,Kombo South,Western Region
208,G09_Tanji_3,2G,Radio,cell,Huawei,13.358275,-16.797257,245,GBA,Kombo South,Western Region
209,G09_Busumbala II_1,2G,Radio,cell,Huawei,13.339416,-16.682984,15,GBA,Kombo North,Western Region
176,G09_Kabafita_2,2G,Radio,cell,Huawei,13.28309,-16.636769,200,GBA,Kombo Central,Western Region
177,G09_Kabafita_3,2G,Radio,cell,Huawei,13.28309,-16.636769,320,GBA,Kombo Central,Western Region
250,G09_Brikama UTG_1,2G,Radio,cell,Huawei,13.284296,-16.654309,30,GBA,Kombo Central,Western Region
251,G09_Brikama UTG_2,2G,Radio,cell,Huawei,13.284296,-16.654309,160,GBA,Kombo Central,Western Region
252,G09_Brikama UTG_3,2G,Radio,cell,Huawei,13.284296,-16.654309,280,GBA,Kombo Central,Western Region
232,G09_Brikama Cow_3,2G,Radio,cell,Huawei,13.272474,-16.65124,320,GBA,Kombo Central,Western Region
233,G09_Tendaba Camp_1,2G,Radio,cell,Huawei,,,,,,
94,G09_Kudang_1,2G,Radio,cell,Huawei,13.660402,-15.065687,0,Rural,Niamina East,Central River Region
95,G09_Kudang_2,2G,Radio,cell,Huawei,13.660402,-15.065687,120,Rural,Niamina East,Central River Region
96,G09_Kudang_3,2G,Radio,cell,Huawei,13.660402,-15.065687,200,Rural,Niamina East,Central River Region
43,G09_Basori_3,2G,Radio,cell,Huawei,13.22767,-16.579877,350,Rural,Kombo North,Western Region
44,G09_Bulock_2,2G,Radio,cell,Huawei,13.183806,-16.405517,180,Rural,Foni Brefet,Western Region
45,G09_Bulock_3,2G,Radio,cell,Huawei,13.183806,-16.405517,290,Rural,Foni Brefet,Western Region
282,G09_Bulock_1,2G,Radio,cell,Huawei,13.183806,-16.405517,80,Rural,Foni Brefet,Western Region
91,G09_Kerewan_1,2G,Radio,cell,Huawei,13.495771,-16.087754,30,Rural,Lower Badibu,North Bank Region
93,G09_Kerewan_3,2G,Radio,cell,Huawei,13.495771,-16.087754,290,Rural,Lower Badibu,North Bank Region
92,G09_Kerewan_2,2G,Radio,cell,Huawei,13.495771,-16.087754,125,Rural,Lower Badibu,North Bank Region
85,G09_Kanuma_1,2G,Radio,cell,Huawei,13.497422,-16.509055,20,Rural,Lower Niumi,North Bank Region
86,G09_Kanuma_2,2G,Radio,cell,Huawei,13.497422,-16.509055,120,Rural,Lower Niumi,North Bank Region
87,G09_Kanuma_3,2G,Radio,cell,Huawei,13.497422,-16.509055,250,Rural,Lower Niumi,North Bank Region
46,G09_Bwiam_1,2G,Radio,cell,Huawei,13.231701,-16.077638,0,Rural,Foni Kansala,Western Region
47,G09_Bwiam_2,2G,Radio,cell,Huawei,13.231701,-16.077638,100,Rural,Foni Kansala,Western Region
48,G09_Bwiam_3,2G,Radio,cell,Huawei,13.231701,-16.077638,230,Rural,Foni Kansala,Western Region
201,G09_Brusubi_1,2G,Radio,cell,Huawei,13.398599,-16.726664,40,GBA,Kombo North,Western Region
202,G09_Brusubi_2,2G,Radio,cell,Huawei,13.398599,-16.726664,120,GBA,Kombo North,Western Region
203,G09_Brusubi_3,2G,Radio,cell,Huawei,13.398599,-16.726664,230,GBA,Kombo North,Western Region
82,G09_Kalaji_1,2G,Radio,cell,Huawei,13.248927,-15.834784,160,Rural,Foni Jarrol,Western Region
83,G09_Kalaji_2,2G,Radio,cell,Huawei,13.248927,-15.834784,250,Rural,Foni Jarrol,Western Region
84,G09_Kalaji_3,2G,Radio,cell,Huawei,13.248927,-15.834784,350,Rural,Foni Jarrol,Western Region
139,G09_Sibanor_1,2G,Radio,cell,Huawei,13.207006,-16.191847,80,Rural,Foni Brefet,Western Region
140,G09_Sibanor_2,2G,Radio,cell,Huawei,13.207006,-16.191847,170,Rural,Foni Brefet,Western Region
141,G09_Sibanor_3,2G,Radio,cell,Huawei,13.207006,-16.191847,270,Rural,Foni Brefet,Western Region
58,G09_Farababanta_1,2G,Radio,cell,Huawei,13.248195,-16.520254,20,Rural,Kombo East,Western Region
59,G09_Farababanta_2,2G,Radio,cell,Huawei,13.248195,-16.520254,140,Rural,Kombo East,Western Region
60,G09_Farababanta_3,2G,Radio,cell,Huawei,13.248195,-16.520254,280,Rural,Kombo East,Western Region
124,G09_Pakali Ba_1,2G,Radio,cell,Huawei,,,,,,
125,G09_Pakali Ba_2,2G,Radio,cell,Huawei,,,,,,
126,G09_Pakali Ba_3,2G,Radio,cell,Huawei,,,,,,
61,G09_Farafenni_1,2G,Radio,cell,Huawei,13.572049,-15.596224,90,Rural,Upper Badibu,North Bank Region
62,G09_Farafenni_2,2G,Radio,cell,Huawei,13.572049,-15.596224,170,Rural,Upper Badibu,North Bank Region
63,G09_Farafenni_3,2G,Radio,cell,Huawei,13.572049,-15.596224,280,Rural,Upper Badibu,North Bank Region
198,G09_Farato-Paradise City_3,2G,Radio,cell,Huawei,13.307454,-16.658267,315,GBA,Kombo Central,Western Region
118,G09_Nemasu_1,2G,Radio,cell,Huawei,13.416081,-16.690895,50,GBA,Kombo North,Western Region
119,G09_Nemasu_2,2G,Radio,cell,Huawei,13.416081,-16.690895,180,GBA,Kombo North,Western Region
120,G09_Nemasu_3,2G,Radio,cell,Huawei,13.416081,-16.690895,280,GBA,Kombo North,Western Region
28,G09_Bansang_1,2G,Radio,cell,Huawei,13.432151,-14.656466,30,Rural,Fuladou West,Upper River Region
30,G09_Jambur_1,2G,Radio,cell,Huawei,13.307093,-16.696712,60,GBA,Kombo South,Western Region
290,G09_Bansang_3,2G,Radio,cell,Huawei,13.432151,-14.656466,280,Rural,Fuladou West,Upper River Region
29,G09_Bansang_2,2G,Radio,cell,Huawei,13.432151,-14.656466,160,Rural,Fuladou West,Upper River Region
224,G09_Farafenni 2_2,2G,Radio,cell,Huawei,13.575382,-15.601391,135,Rural,Upper Badibu,North Bank Region
199,G09_Tanji_1,2G,Radio,cell,Huawei,13.358275,-16.797257,45,GBA,Kombo South,Western Region
200,G09_Basse_1,2G,Radio,cell,Huawei,13.31112,-14.213155,0,Rural,Fuladou East,Upper River Region
212,G09_Basse_2,2G,Radio,cell,Huawei,13.31112,-14.213155,160,Rural,Fuladou East,Upper River Region
213,G09_Basse_3,2G,Radio,cell,Huawei,13.31112,-14.213155,280,Rural,Fuladou East,Upper River Region
97,G09_Kuntaur_1,2G,Radio,cell,Huawei,13.65549,-14.871401,120,Rural,Niani,Central River Region
52,G09_Diabugu_1,2G,Radio,cell,Huawei,13.389266,-14.402954,80,Rural,Sandu,Upper River Region
53,G09_Diabugu_2,2G,Radio,cell,Huawei,13.389266,-14.402954,200,Rural,Sandu,Upper River Region
54,G09_Diabugu_3,2G,Radio,cell,Huawei,13.389266,-14.402954,280,Rural,Sandu,Upper River Region
73,G09_Sukuta Jabang Highway_1,2G,Radio,cell,Huawei,13.394479,-16.705676,25,GBA,Kombo North,Western Region
74,G09_George Town_2,2G,Radio,cell,Huawei,13.538347,-14.756994,240,Rural,Janjanbureh,Central River Region
75,G09_George Town_3,2G,Radio,cell,Huawei,13.538347,-14.756994,340,Rural,Janjanbureh,Central River Region
285,G09_George Town_1,2G,Radio,cell,Huawei,13.538347,-14.756994,120,Rural,Janjanbureh,Central River Region
34,G09_Bijilo Tower_1,2G,Radio,cell,Huawei,13.420461,-16.727907,90,GBA,Kombo North,Western Region
35,G09_Bijilo Tower_2,2G,Radio,cell,Huawei,13.420461,-16.727907,250,GBA,Kombo North,Western Region
36,G09_Bijilo Tower_3,2G,Radio,cell,Huawei,13.420461,-16.727907,345,GBA,Kombo North,Western Region
123,G09_Numuyel_3,2G,Radio,cell,Huawei,13.281032,-14.296418,280,Rural,Fuladou East,Upper River Region
122,G09_Numuyel_2,2G,Radio,cell,Huawei,13.281032,-14.296418,200,Rural,Fuladou East,Upper River Region
121,G09_Numuyel_1,2G,Radio,cell,Huawei,13.281032,-14.296418,120,Rural,Fuladou East,Upper River Region
157,G09_Sukuta_1,2G,Radio,cell,Huawei,13.419277,-16.705192,50,GBA,Kombo North,Western Region
158,G09_Sukuta_2,2G,Radio,cell,Huawei,13.419277,-16.705192,170,GBA,Kombo North,Western Region
159,G09_Sukuta_3,2G,Radio,cell,Huawei,13.419277,-16.705192,290,GBA,Kombo North,Western Region
196,G09_Kanilai Village_1,2G,Radio,cell,Huawei,13.167975,-16.010147,60,Rural,Foni Kansala,Western Region
197,G09_Kanilai Village_2,2G,Radio,cell,Huawei,13.167975,-16.010147,230,Rural,Foni Kansala,Western Region
278,G09_Kanilai Village_3,2G,Radio,cell,Huawei,13.167975,-16.010147,330,Rural,Foni Kansala,Western Region
234,G09_Comium Residence_1,2G,Radio,cell,Huawei,13.437878,-16.718046,40,GBA,Kanifing,Kanifing Municipality
235,G09_Comium Residence_2,2G,Radio,cell,Huawei,13.437878,-16.718046,140,GBA,Kanifing,Kanifing Municipality
236,G09_Comium Residence_3,2G,Radio,cell,Huawei,13.437878,-16.718046,275,GBA,Kanifing,Kanifing Municipality
109,G09_Mariama Kunda_1,2G,Radio,cell,Huawei,13.36486,-16.729403,120,GBA,Kombo North,Western Region
