NE Name,fdn,BQMARGIN,DRHOLEVRANGE,IDTYPE,INTELEVHOHYST,INTERCELLHYST,ISCHAINNCELL,MINOFFSET,MOIndex,NBR2GNCELLID,PBGTMARGIN,SRC2GNCELLID,SRCHOCTRLSWITCH,className,name,neID
FTBSC02,"NE=280,G2GNCELL=7029_433",69,72,BYID,69,72,NO,9,26_433_7029,7029,71,433,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7029, Source Cell Index=433",26
FTBSC02,"NE=280,G2GNCELL=7030_433",69,72,BYID,69,72,NO,11,26_433_7030,7030,71,433,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7030, Source Cell Index=433",26
FTBSC02,"NE=280,G2GNCELL=573_572",69,70,BYID,68,70,NO,4,26_572_573,573,69,572,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=573, Source Cell Index=572",26
FTBSC02,"NE=280,G2GNCELL=572_573",69,70,BYID,68,70,NO,4,26_573_572,572,69,573,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=572, Source Cell Index=573",26
FTBSC02,"NE=280,G2GNCELL=633_401",69,72,BYID,69,70,NO,6,26_401_633,633,69,401,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=633, Source Cell Index=401",26
FTBSC02,"NE=280,G2GNCELL=401_633",67,72,BYID,69,71,NO,7,26_633_401,401,72,633,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=401, Source Cell Index=633",26
FTBSC02,"NE=280,G2GNCELL=633_402",69,72,BYID,69,70,NO,6,26_402_633,633,69,402,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=633, Source Cell Index=402",26
FTBSC02,"NE=280,G2GNCELL=402_633",69,72,BYID,69,70,NO,6,26_633_402,402,69,633,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=402, Source Cell Index=633",26
FTBSC02,"NE=280,G2GNCELL=633_403",72,72,BYID,69,70,NO,1,26_403_633,633,66,403,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=633, Source Cell Index=403",26
FTBSC02,"NE=280,G2GNCELL=403_633",67,72,BYID,69,70,NO,7,26_633_403,403,72,633,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=403, Source Cell Index=633",26
FTBSC02,"NE=280,G2GNCELL=633_404",69,72,BYID,69,70,NO,6,26_404_633,633,69,404,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=633, Source Cell Index=404",26
FTBSC02,"NE=280,G2GNCELL=404_633",69,72,BYID,69,71,NO,4,26_633_404,404,69,633,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=404, Source Cell Index=633",26
