begintime,sk_object,duration,integrity,1593835805,1593835629,1593835804,1593835628,1593835647,1593835620,1593835637,1593835638,1593835639,1593835640,1593835648,1593835649,1593835650,1593835651,1593835801,1593835802
2022-02-03 00:00:00,7732519.0,3600.0,100.0,,,,,32222.0,,0.5949586,0.0,,,32222.0,32222.0,,,,
2022-02-03 00:00:00,7732520.0,3600.0,100.0,,,,,32491.0,,0.45909944,0.0,,,32491.0,32486.0,,,,
2022-02-03 00:00:00,7732521.0,3600.0,100.0,,,,,31403.0,,1.2196863,0.0,,,31403.0,31403.0,,,,
2022-02-03 00:00:00,7732522.0,3600.0,100.0,,,,,31055.0,,1.6339153,0.0,,,31037.0,31049.0,,,,
2022-02-03 00:00:00,7732523.0,3600.0,100.0,,,,,31968.0,,0.23279916,0.0,,,31968.0,31968.0,,,,
2022-02-03 00:00:00,7732524.0,3600.0,100.0,,,,,31869.0,,0.89932114,0.0,,,31869.0,31865.0,,,,
2022-02-03 00:00:00,7732525.0,3600.0,100.0,,,,,32886.0,,0.99578667,0.0,,,32884.0,32899.0,,,,
2022-02-03 00:00:00,7732526.0,3600.0,100.0,,,,,33518.0,,0.75331336,0.0,,,33516.0,33515.0,,,,
2022-02-03 00:00:00,7732527.0,3600.0,100.0,,,,,31788.0,,0.7803514,0.0,,,31788.0,31788.0,,,,
2022-02-03 00:00:00,7732528.0,3600.0,100.0,,,,,31855.0,,0.55211335,0.0,,,31855.0,31855.0,,,,
2022-02-03 00:00:00,7732529.0,3600.0,100.0,,,,,32110.0,,1.1120998,0.0,,,32107.0,32107.0,,,,
2022-02-03 00:00:00,7732530.0,3600.0,100.0,,,,,31812.0,,0.42635307,0.0,,,31812.0,31812.0,,,,
2022-02-03 00:00:00,7732531.0,3600.0,100.0,,,,,32466.0,,0.89921975,0.0,,,32462.0,32460.0,,,,
2022-02-03 00:00:00,7732532.0,3600.0,100.0,,,,,32671.0,,0.44598502,0.0,,,32671.0,32671.0,,,,
2022-02-03 00:00:00,7732533.0,3600.0,100.0,,,,,33131.0,,0.48661697,0.0,,,33131.0,33131.0,,,,
2022-02-03 00:00:00,7732534.0,3600.0,100.0,,,,,32069.0,,0.89527279,0.0,,,32067.0,32064.0,,,,
2022-02-03 00:00:00,7732535.0,3600.0,100.0,,,,,33529.0,,1.5854156,0.0,,,33529.0,33528.0,,,,
2022-02-03 00:00:00,7732536.0,3600.0,100.0,,,,,32313.0,,0.88988942,0.0,,,32312.0,32313.0,,,,
2022-02-03 00:00:00,7732537.0,3600.0,100.0,,,,,32590.0,,1.1688397,0.0,,,32590.0,32590.0,,,,
2022-02-03 00:00:00,7732538.0,3600.0,100.0,,,,,32378.0,,0.5906803,0.0,,,32378.0,32407.0,,,,
2022-02-03 00:00:00,7732539.0,3600.0,100.0,,,,,33034.0,,1.1470737,0.0,,,32853.0,32587.0,,,,
2022-02-03 00:00:00,7732540.0,3600.0,100.0,,,,,33001.0,,0.57137167,0.0,,,33001.0,33001.0,,,,
2022-02-03 00:00:00,7732541.0,3600.0,100.0,,,,,31928.0,,0.44891137,0.0,,,31928.0,31928.0,,,,
2022-02-03 00:00:00,7732542.0,3600.0,100.0,,,,,32319.0,,1.5245347,0.0,,,32317.0,32315.0,,,,
2022-02-03 00:00:00,7732543.0,3600.0,100.0,,,,,33349.0,,1.157388,0.0,,,33349.0,33349.0,,,,
2022-02-03 00:00:00,7732544.0,3600.0,100.0,,,,,30929.0,,0.64316392,0.0,,,30929.0,30929.0,,,,
2022-02-03 00:00:00,7732545.0,3600.0,100.0,,,,,33491.0,,0.44635695,0.0,,,33491.0,33491.0,,,,
2022-02-03 00:00:00,7732546.0,3600.0,100.0,,,,,32605.0,,0.40525165,0.0,,,32605.0,32605.0,,,,
2022-02-03 00:00:00,7732547.0,3600.0,100.0,,,,,32236.0,,0.56948137,0.0,,,32236.0,32236.0,,,,
2022-02-03 00:00:00,7732548.0,3600.0,100.0,,,,,31889.0,,0.44635892,0.0,,,31889.0,31889.0,,,,
2022-02-03 00:00:00,7732549.0,3600.0,100.0,,,,,32523.0,,0.45663774,0.0,,,32523.0,32523.0,,,,
2022-02-03 00:00:00,7732550.0,3600.0,100.0,,,,,32816.0,,1.2911546,0.0,,,32816.0,32816.0,,,,
2022-02-03 00:00:00,7732551.0,3600.0,100.0,,,,,32525.0,,0.77544665,0.0,,,32517.0,32512.0,,,,
2022-02-03 00:00:00,7732552.0,3600.0,100.0,,,,,32393.0,,1.0788903,0.0,,,32393.0,32394.0,,,,
2022-02-03 00:00:00,7732553.0,3600.0,100.0,,,,,31820.0,,0.99793053,0.0,,,31820.0,31820.0,,,,
2022-02-03 00:00:00,7732554.0,3600.0,100.0,,,,,31802.0,,0.65906084,0.0,,,31802.0,31802.0,,,,
2022-02-03 00:00:00,7732555.0,3600.0,100.0,,,,,31357.0,,0.82265055,0.0,,,31322.0,31326.0,,,,
2022-02-03 00:00:00,7732556.0,3600.0,100.0,,,,,32422.0,,0.99925721,0.0,,,32422.0,32422.0,,,,
2022-02-03 00:00:00,7732557.0,3600.0,100.0,,,,,32864.0,,0.94179636,0.0,,,32864.0,32860.0,,,,
2022-02-03 00:00:00,7732558.0,3600.0,100.0,,,,,32508.0,,0.95685804,0.0,,,32508.0,32512.0,,,,
2022-02-03 00:00:00,7732559.0,3600.0,100.0,,,,,31592.0,,0.76794195,0.0,,,31592.0,31592.0,,,,
2022-02-03 00:00:00,7732561.0,3600.0,100.0,,,,,32465.0,,1.2260697,0.0,,,32459.0,32455.0,,,,
2022-02-03 00:00:00,7732562.0,3600.0,100.0,,,,,31075.0,,1.0484018,0.0,,,31064.0,31070.0,,,,
2022-02-03 00:00:00,7732563.0,3600.0,100.0,,,,,31067.0,,0.74552637,0.0,,,31062.0,31064.0,,,,
2022-02-03 00:00:00,7732564.0,3600.0,100.0,,,,,31158.0,,0.41526079,0.0,,,31158.0,31158.0,,,,
2022-02-03 00:00:00,7732565.0,3600.0,100.0,,,,,31489.0,,0.42891443,0.0,,,31489.0,31489.0,,,,
2022-02-03 00:00:00,7732566.0,3600.0,100.0,,,,,33317.0,,0.41383526,0.0,,,33317.0,33317.0,,,,
2022-02-03 00:00:00,7732567.0,3600.0,100.0,,,,,33050.0,,0.48741692,0.0,,,33050.0,33046.0,,,,
2022-02-03 00:00:00,10348742.0,3600.0,100.0,,,,,32810.0,,0.19848612,0.0,,,32810.0,32810.0,,,,
2022-02-03 01:00:00,7732480.0,3600.0,100.0,,,,,33030.0,,1.143312,0.0,,,33026.0,33029.0,,,,
2022-02-03 01:00:00,7732481.0,3600.0,100.0,,,,,32132.0,,0.92990917,0.0,,,32127.0,32137.0,,,,
2022-02-03 01:00:00,7732482.0,3600.0,100.0,,,,,32910.0,,0.92757082,0.0,,,32906.0,32910.0,,,,
2022-02-03 01:00:00,7732483.0,3600.0,100.0,,,,,33600.0,,0.42687166,0.0,,,33600.0,33600.0,,,,
2022-02-03 01:00:00,7732484.0,3600.0,100.0,,,,,32666.0,,0.81356621,0.0,,,32666.0,32664.0,,,,
2022-02-03 01:00:00,7732485.0,3600.0,100.0,,,,,32785.0,,1.3113205,0.0,,,32758.0,32785.0,,,,
2022-02-03 01:00:00,7732486.0,3600.0,100.0,,,,,31380.0,,0.43631887,0.0,,,31380.0,31380.0,,,,
2022-02-03 01:00:00,7732487.0,3600.0,100.0,,,,,32667.0,,0.28430027,0.0,,,32667.0,32662.0,,,,
2022-02-03 01:00:00,7732488.0,3600.0,100.0,,,,,31796.0,,0.88988972,0.0,,,31796.0,31796.0,,,,
