begintime,ne_name,ne_type,vendor,integrity,L.Traffic.Board.SUNPT.DL.Max,id
2022-02-10,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,7.0,11
2022-02-10,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,95.83,0.0,12
2022-02-11,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,7.0,13
2022-02-11,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,95.83,0.0,14
2022-02-12,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,8.0,15
2022-02-12,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,91.67,0.0,16
2022-02-13,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,7.0,17
2022-02-13,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,0.0,18
2022-02-17,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,87.5,7.0,19
2022-02-17,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,66.67,0.0,20
2022-02-18,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,7.0,21
2022-02-18,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,29.17,0.0,22
2022-02-19,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,7.0,23
2022-02-19,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,91.67,0.0,24
2022-02-20,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,7.0,25
2022-02-20,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,66.67,0.0,26
2022-03-01,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,8.0,27
2022-03-01,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,0.0,28
2022-03-02,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,7.0,29
2022-03-02,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,0.0,30
2022-03-03,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,7.0,31
2022-03-03,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,0.0,32
2022-03-06,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,91.67,7.0,33
2022-03-06,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,91.67,0.0,34
2022-03-07,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,7.0,35
2022-03-07,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,0.0,36
2022-03-09,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,4.17,5.0,37
2022-03-09,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,4.17,0.0,38
2022-03-10,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,95.83,6.0,39
2022-03-10,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,95.83,0.0,40
2022-03-11,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,7.0,41
2022-03-11,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,0.0,42
2022-03-12,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,79.17,8.0,43
2022-03-12,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,79.17,0.0,44
2022-03-13,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,87.5,8.0,45
2022-03-13,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,87.5,0.0,46
2022-03-14,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,7.0,47
2022-03-14,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,0.0,48
2022-03-15,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,7.0,49
2022-03-15,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,0.0,50
