begintime,ne_name,ne_type,vendor,integrity,L.Thrp.bits.DL,L.E-RAB.AttEst.QCI.5,L.E-RAB.SuccEst.QCI.7,id
2022-02-13,"4G_HILLSTATION/Cell:eNodeB Function Name=4G_HILLSTATION,Local Cell ID=6,Cell Name=4G_HILLSTATION-6,eNodeB ID=5064,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,161044662088.0,0.0,34175.0,28
2022-02-13,"4G_KISSYBARRACKS/Cell:eNodeB Function Name=4G_KISSYBARRACKS,Local Cell ID=6,Cell Name=4G_KISSYBARRACKS-6,eNodeB ID=5052,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,687177604976.0,0.0,200402.0,29
2022-02-13,"4G_PORTLOKO_II/Cell:eNodeB Function Name=4G_PORTLOKO_II,Local Cell ID=3,Cell Name=4G_PORTLOKO_II-3,eNodeB ID=5049,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,531006289768.0,0.0,123356.0,30
2022-02-17,"4G_HILLSTATION/Cell:eNodeB Function Name=4G_HILLSTATION,Local Cell ID=6,Cell Name=4G_HILLSTATION-6,eNodeB ID=5064,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,87.5,102364059784.0,0.0,32320.0,31
2022-02-17,"4G_KISSYBARRACKS/Cell:eNodeB Function Name=4G_KISSYBARRACKS,Local Cell ID=6,Cell Name=4G_KISSYBARRACKS-6,eNodeB ID=5052,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,87.5,657318715136.0,0.0,197952.0,32
2022-02-17,"4G_PORTLOKO_II/Cell:eNodeB Function Name=4G_PORTLOKO_II,Local Cell ID=3,Cell Name=4G_PORTLOKO_II-3,eNodeB ID=5049,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,87.5,445179949864.0,0.0,123268.0,33
2022-02-18,"4G_HILLSTATION/Cell:eNodeB Function Name=4G_HILLSTATION,Local Cell ID=6,Cell Name=4G_HILLSTATION-6,eNodeB ID=5064,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,117712150224.0,0.0,28880.0,34
2022-02-18,"4G_KISSYBARRACKS/Cell:eNodeB Function Name=4G_KISSYBARRACKS,Local Cell ID=6,Cell Name=4G_KISSYBARRACKS-6,eNodeB ID=5052,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,745347156848.0,0.0,202547.0,35
2022-02-18,"4G_PORTLOKO_II/Cell:eNodeB Function Name=4G_PORTLOKO_II,Local Cell ID=3,Cell Name=4G_PORTLOKO_II-3,eNodeB ID=5049,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,481541074304.0,0.0,124799.0,36
2022-02-19,"4G_HILLSTATION/Cell:eNodeB Function Name=4G_HILLSTATION,Local Cell ID=6,Cell Name=4G_HILLSTATION-6,eNodeB ID=5064,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,136205476480.0,0.0,35066.0,37
