begintime,ne_name,ne_type,vendor,integrity,VS.CHANNELIZED.FAULTTIME,id
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=16,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,61
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=20,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,62
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=21,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,63
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=14,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,64
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=14,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,65
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=15,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,66
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=16,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,67
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=20,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,68
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=21,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,69
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=3,Slot No.=14,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,70
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=3,Slot No.=14,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,71
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=3,Slot No.=15,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,72
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=3,Slot No.=16,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,73
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=3,Slot No.=20,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,74
2022-02-05,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=3,Slot No.=21,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,75
2022-02-06,"FTBSC01/CHANNELIZED_OPTICAL_PORT:Port No.,Slot No.,Subrack No.",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,76
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=14,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,77
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=14,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,78
