begintime,sk_object,1279470417,1279470418,1279470419,1279470420,1279470421,1279470422,1279470423,duration
2022-03-06 06:00:00,7524261.0,21472311.0,32530430.0,0.0,3769748691.0,15843379430.0,7862217.0,31435468.0,PT3600S
2022-03-06 07:00:00,7524261.0,37016714.0,53185793.0,0.0,6545047672.0,24680524244.0,11069225.0,39436830.0,PT3600S
2022-03-06 08:00:00,7524261.0,46135454.0,61254755.0,0.0,8256025412.0,26988906231.0,12917775.0,40658737.0,PT3600S
2022-03-06 09:00:00,7524261.0,50278597.0,65055268.0,0.0,8895418913.0,28048031167.0,13567902.0,42982919.0,PT3600S
2022-03-06 10:00:00,7524261.0,53160778.0,68753634.0,0.0,9492264588.0,29593167783.0,16349613.0,47073246.0,PT3600S
2022-03-06 11:00:00,7524261.0,54440207.0,70569676.0,0.0,9741060255.0,30402962391.0,16690884.0,48354954.0,PT3600S
2022-03-06 12:00:00,7524261.0,56299261.0,74203569.0,0.0,9919806477.0,32145137389.0,17000126.0,50403960.0,PT3600S
2022-03-06 13:00:00,7524261.0,56974600.0,73648810.0,0.0,10160928807.0,31891945884.0,15784223.0,48600564.0,PT3600S
2022-03-06 14:00:00,7524261.0,60497249.0,76674705.0,0.0,10640339523.0,32634835468.0,18644532.0,52305772.0,PT3600S
2022-03-06 15:00:00,7524261.0,61103693.0,77538755.0,0.0,10827268358.0,33355814987.0,16157781.0,51198243.0,PT3600S
2022-03-06 16:00:00,7524261.0,59698862.0,75228923.0,0.0,10566215327.0,31952861278.0,16310422.0,48378701.0,PT3600S
2022-03-06 17:00:00,7524261.0,63593166.0,80086961.0,0.0,11077100841.0,33800059857.0,16923606.0,51603984.0,PT3600S
2022-03-06 18:00:00,7524261.0,66037334.0,81923388.0,0.0,11513689351.0,34264247374.0,17874985.0,53620430.0,PT3600S
2022-03-06 19:00:00,7524261.0,72129184.0,84419492.0,0.0,12341553653.0,33084008229.0,20623648.0,52590827.0,PT3600S
2022-03-06 20:00:00,7524261.0,80486205.0,90955466.0,0.0,13632586541.0,34399749936.0,21450524.0,53920024.0,PT3600S
2022-03-06 21:00:00,7524261.0,87255361.0,101555375.0,0.0,15177049841.0,40157841377.0,23242838.0,64871552.0,PT3600S
2022-03-06 22:00:00,7524261.0,86389169.0,108711341.0,0.0,15612840993.0,46604555552.0,24429845.0,72527098.0,PT3600S
2022-03-06 23:00:00,7524261.0,59329275.0,84083650.0,0.0,11121822777.0,39236351623.0,21226306.0,68139989.0,PT3600S
2022-03-07 00:00:00,7524261.0,33331761.0,51162893.0,0.0,6116139445.0,25219628881.0,12111859.0,46392644.0,PT3600S
2022-03-07 01:00:00,7524261.0,18290239.0,27592484.0,0.0,3089063687.0,13335001896.0,5745938.0,25729662.0,PT3600S
2022-03-07 02:00:00,7524261.0,14027044.0,19635612.0,0.0,2356219319.0,9165649076.0,4030059.0,15947740.0,PT3600S
2022-03-07 03:00:00,7524261.0,12217884.0,16884729.0,0.0,2047431945.0,7676662493.0,3496359.0,13197586.0,PT3600S
2022-03-07 04:00:00,7524261.0,11626213.0,15922157.0,0.0,1934721590.0,7182556746.0,3309988.0,12320645.0,PT3600S
2022-03-07 05:00:00,7524261.0,13409340.0,18892486.0,0.0,2204894053.0,8783996267.0,4270902.0,16574129.0,PT3600S
2022-03-07 06:00:00,7524261.0,22259950.0,32909644.0,0.0,3889736663.0,15843287277.0,8274400.0,32967902.0,PT3600S
2022-03-07 07:00:00,7524261.0,37939438.0,53287193.0,0.0,6838687210.0,25000430728.0,11294406.0,39214612.0,PT3600S
2022-03-07 08:00:00,7524261.0,47516575.0,61656278.0,0.0,8320054316.0,27071306647.0,13398765.0,43689328.0,PT3600S
2022-03-07 09:00:00,7524261.0,53912438.0,69740627.0,0.0,9523284447.0,30414992878.0,14585481.0,47804548.0,PT3600S
2022-03-07 10:00:00,7524261.0,57037464.0,72476025.0,0.0,10093100570.0,31155325811.0,16628098.0,48016015.0,PT3600S
2022-03-07 11:00:00,7524261.0,57257341.0,73779043.0,0.0,10131172604.0,31837777805.0,16412873.0,49213794.0,PT3600S
2022-03-07 12:00:00,7524261.0,55914312.0,72498771.0,0.0,9774359698.0,31143440165.0,16986968.0,49430258.0,PT3600S
2022-03-07 13:00:00,7524261.0,54702760.0,70894790.0,0.0,9435402616.0,30671143568.0,16992353.0,48317173.0,PT3600S
2022-03-07 14:00:00,7524261.0,54839605.0,71156950.0,0.0,9552536894.0,30756031984.0,15573544.0,47050385.0,PT3600S
2022-03-07 15:00:00,7524261.0,55661998.0,72774834.0,0.0,9735713319.0,31896070569.0,15022619.0,48323954.0,PT3600S
2022-03-07 16:00:00,7524261.0,56583470.0,73800973.0,0.0,10001905738.0,31708626679.0,16423268.0,49684667.0,PT3600S
2022-03-07 17:00:00,7524261.0,56800715.0,73896849.0,0.0,10125487540.0,31705765774.0,15440092.0,49730375.0,PT3600S
2022-03-07 18:00:00,7524261.0,60762577.0,78378073.0,0.0,10644347565.0,32937035911.0,16556927.0,50799741.0,PT3600S
2022-03-07 19:00:00,7524261.0,72170856.0,87034431.0,0.0,12288767585.0,34507746118.0,19515887.0,52149878.0,PT3600S
