begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL,L.E-RAB.AttEst.QCI.5,L.E-RAB.SuccEst.QCI.7,L.E-RAB.AttEst.QCI.8
2022-02-02,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,26571434208.0,0.0,3560.0,0.0
2022-02-04,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,36167930864.0,0.0,2384.0,0.0
2022-02-06,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,40740857248.0,0.0,5074.0,0.0
2022-02-05,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,39644559464.0,0.0,2530.0,0.0
2022-02-11,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,34868088584.0,0.0,3471.0,0.0
2022-02-08,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,26149824248.0,0.0,4271.0,0.0
2022-02-10,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,47622431360.0,0.0,3261.0,0.0
2022-02-12,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,48561022616.0,0.0,4001.0,0.0
2022-02-13,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,36916966312.0,0.0,3595.0,0.0
2022-02-17,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,47315854920.0,0.0,4888.0,0.0
2022-02-18,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,47767736800.0,0.0,7167.0,0.0
2022-02-19,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,78733124312.0,0.0,4656.0,0.0
2022-03-01,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1298630224.0,0.0,685.0,0.0
2022-02-20,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,38883712808.0,0.0,4657.0,0.0
2022-03-03,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,20033093152.0,0.0,2431.0,0.0
2022-03-02,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,29372802176.0,0.0,2335.0,0.0
2022-03-06,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,42462967048.0,0.0,2854.0,0.0
2022-03-07,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,47242785496.0,0.0,4164.0,2.0
2022-03-09,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,2723852064.0,0.0,327.0,0.0
2022-03-11,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,9899474336.0,0.0,5306.0,0.0
2022-03-10,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,12079775352.0,0.0,6381.0,0.0
2022-03-12,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,658684344.0,0.0,1015.0,1.0
2022-03-14,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,7643226616.0,0.0,2922.0,0.0
2022-03-13,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,9251435528.0,0.0,1729.0,0.0
2022-03-15,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,55569364280.0,0.0,4326.0,0.0
2022-02-02,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,863887913384.0,0.0,236341.0,18.0
2022-02-04,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,913641672568.0,0.0,256881.0,17.0
2022-02-03,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,909836159184.0,0.0,262078.0,15.0
2022-02-05,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,925190115624.0,0.0,262400.0,13.0
2022-02-06,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,901702385720.0,0.0,265958.0,12.0
2022-02-08,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,823042527048.0,0.0,265633.0,14.0
2022-02-10,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,916106777312.0,0.0,246430.0,16.0
2022-02-11,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,927329415992.0,0.0,265956.0,58.0
2022-02-12,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,940895683576.0,0.0,265144.0,74.0
2022-02-17,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,850106475560.0,0.0,234632.0,13.0
2022-02-13,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1033948884880.0,0.0,291190.0,14.0
2022-02-18,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,968813523008.0,0.0,273199.0,19.0
2022-02-19,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,926252228904.0,0.0,244968.0,16.0
2022-02-20,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,995280436288.0,0.0,273513.0,14.0
2022-03-01,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,913134977864.0,0.0,247258.0,9.0
2022-03-02,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,884664533024.0,0.0,227975.0,19.0
2022-03-03,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,891457185760.0,0.0,240903.0,3.0
2022-03-06,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,909645495912.0,0.0,250367.0,21.0
2022-03-07,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,878869782848.0,0.0,247133.0,14.0
2022-03-09,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,58635337224.0,0.0,13154.0,0.0
2022-03-10,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,831062736408.0,0.0,210433.0,2.0
2022-03-11,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,770327750952.0,0.0,225068.0,5.0
2022-03-12,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,795682936368.0,0.0,211230.0,2.0
2022-03-13,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,888407054056.0,0.0,221371.0,1.0
2022-03-14,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,787632514528.0,0.0,215308.0,10.0
2022-03-15,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,851364530592.0,0.0,236450.0,6.0
2022-02-02,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,127150860024.0,0.0,36337.0,34.0
2022-02-04,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,191703789656.0,0.0,37072.0,0.0
2022-02-03,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,231689218808.0,0.0,39261.0,2.0
2022-02-05,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,188886708504.0,0.0,43283.0,46.0
2022-02-06,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,255777783792.0,0.0,39952.0,2.0
2022-02-08,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,181962531128.0,0.0,37865.0,22.0
