begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,ifOutOctets,ifOutPackets,ifInErrors,ifOutFragPackets,ifOutFragments,ifInMCastPackets,ifInMCastOctets,ifOutMCastPackets,ifOutMCastOctets,ifInDiscardedMCastPackets,ifInDiscardedMCastOctets,ifOutDroppedPackets,ifOutDroppedOctets,ifInOctets
2022-11,"MRBTS-5083,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",246.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,55378098.0,38519.0,0.0,0.0,0.0,291.0,22636.0,0.0,0.0,291.0,22636.0,0.0,0.0,1548631.0
2022-10,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",245.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.6944444444444444,515282524.0,769063.0,0.0,0.0,0.0,274.0,21322.0,0.0,0.0,274.0,21322.0,0.0,0.0,1164384822.0
2022-10,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",245.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.9027777777777778,974018181.0,3903219.0,0.0,0.0,0.0,666.0,51762.0,0.0,0.0,666.0,51762.0,0.0,0.0,5183580054.0
2022-11,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",245.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,1.1111111111111112,231238578.0,976528.0,0.0,0.0,0.0,434.0,33754.0,0.0,0.0,434.0,33754.0,0.0,0.0,1808419705.0
2022-11,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",245.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11,"MRBTS-5044,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",249.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.3472222222222222,81819395.0,55287.0,0.0,1.0,1.0,269.0,20922.0,0.0,0.0,269.0,20922.0,0.0,0.0,2295022.0
2022-11,"MRBTS-5083,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",248.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,6210728.0,44057.0,0.0,0.0,0.0,292.0,22716.0,0.0,0.0,292.0,22716.0,0.0,0.0,117575793.0
2022-11,"MRBTS-5090,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",243.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,1218637.0,1038.0,0.0,0.0,0.0,285.0,22202.0,0.0,0.0,285.0,22202.0,0.0,0.0,496436.0
2022-11,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",262.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,199678.0,985.0,0.0,0.0,0.0,87.0,6730.0,0.0,0.0,87.0,6730.0,0.0,0.0,287205.0
2022-11,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",262.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,4.166666666666667,4452.0,106.0,0.0,0.0,0.0,2747.0,213688.0,0.0,0.0,2747.0,213688.0,0.0,0.0,217928.0
2022-11,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",252.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,204388.0,2230.0,0.0,0.0,0.0,85.0,6616.0,0.0,0.0,85.0,6616.0,0.0,0.0,285200.0
2022-11,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",252.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,4.166666666666667,3198332.0,65834.0,0.0,0.0,0.0,2756.0,214454.0,0.0,0.0,2756.0,214454.0,0.0,0.0,11897582.0
2022-11,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",253.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,4.166666666666667,395699.0,348.0,0.0,0.0,0.0,2753.0,214260.0,0.0,0.0,2753.0,214260.0,0.0,0.0,4483006.0
2022-11,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",253.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,1546.0,20.0,0.0,0.0,0.0,84.0,6536.0,0.0,0.0,84.0,6536.0,0.0,0.0,115786.0
2022-11,"MRBTS-5045,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",265.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4861111111111111,1632600.0,14883.0,0.0,0.0,0.0,146.0,11358.0,0.0,0.0,146.0,11358.0,0.0,0.0,1502330.0
2022-11,"MRBTS-5045,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",255.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4861111111111111,10111807.0,43943.0,0.0,0.0,0.0,143.0,11118.0,0.0,0.0,143.0,11118.0,0.0,0.0,64593205.0
2022-11,"MRBTS-5045,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",256.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4861111111111111,33460560.0,23307.0,0.0,0.0,0.0,144.0,11198.0,0.0,0.0,144.0,11198.0,0.0,0.0,887568.0
2022-11,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",260.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,193308.0,3159.0,0.0,0.0,0.0,109.0,8490.0,0.0,0.0,109.0,8490.0,0.0,0.0,547318.0
2022-11,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",261.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,870973.0,774.0,0.0,0.0,0.0,109.0,8490.0,0.0,0.0,109.0,8490.0,0.0,0.0,210987.0
2022-10,"MRBTS-5084,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",257.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.3472222222222222,52405.0,164.0,0.0,0.0,0.0,443.0,34474.0,0.0,0.0,443.0,34474.0,0.0,0.0,734556.0
2022-11,"MRBTS-5084,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",257.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,2230.0,29.0,0.0,0.0,0.0,94.0,7336.0,0.0,0.0,94.0,7336.0,0.0,0.0,143166.0
2022-11,"MRBTS-5084,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",264.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,637784.0,5910.0,0.0,0.0,0.0,94.0,7336.0,0.0,0.0,94.0,7336.0,0.0,0.0,645580.0
2022-10,"MRBTS-5084,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",264.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.3472222222222222,2227960.0,17904.0,0.0,0.0,0.0,439.0,34200.0,0.0,0.0,439.0,34200.0,0.0,0.0,2271736.0
2022-11,"MRBTS-5044,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",258.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.3472222222222222,1708952.0,16078.0,0.0,0.0,0.0,270.0,21002.0,0.0,0.0,270.0,21002.0,0.0,0.0,1802650.0
2022-11,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",259.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",259.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.9027777777777778,12381232.0,144079.0,0.0,0.0,0.0,669.0,52048.0,0.0,0.0,669.0,52048.0,0.0,0.0,17149400.0
2022-11,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",259.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,1.1111111111111112,5795500.0,63321.0,0.0,0.0,0.0,435.0,33880.0,0.0,0.0,435.0,33880.0,0.0,0.0,9025192.0
2022-10,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",259.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.6944444444444444,3277760.0,33152.0,0.0,0.0,0.0,276.0,21436.0,0.0,0.0,276.0,21436.0,0.0,0.0,4420464.0
2022-11,"MRBTS-5090,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",263.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,2342080.0,21597.0,0.0,0.0,0.0,286.0,22282.0,0.0,0.0,286.0,22282.0,0.0,0.0,2320006.0
2022-10,"MRBTS-5084,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",254.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.3472222222222222,88702750.0,447765.0,0.0,0.0,0.0,442.0,34394.0,0.0,0.0,442.0,34394.0,0.0,0.0,1033171342.0
2022-11,"MRBTS-5084,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",254.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,931987.0,4529.0,0.0,0.0,0.0,93.0,7256.0,0.0,0.0,93.0,7256.0,0.0,0.0,4028573.0
2022-11,"MRBTS-5044,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",266.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.3472222222222222,43267066.0,191159.0,0.0,0.0,0.0,268.0,20842.0,0.0,0.0,268.0,20842.0,0.0,0.0,416801803.0
