NE Name,fdn,MOIndex,NODEBFUNCTIONNAME,SECTOREQMID,ULOCELLID,className,name,neID
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=6_12",742_12_6,3G_ALLENTOWN,6,12,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=12, Sector Equipment ID=6",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=8_11",742_11_8,3G_ALLENTOWN,8,11,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=11, Sector Equipment ID=8",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=8_10",742_10_8,3G_ALLENTOWN,8,10,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=10, Sector Equipment ID=8",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=3_9",742_9_3,3G_ALLENTOWN,3,9,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=9, Sector Equipment ID=3",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=5_7",742_7_5,3G_ALLENTOWN,5,7,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=7, Sector Equipment ID=5",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=1_1",742_1_1,3G_ALLENTOWN,1,1,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=1, Sector Equipment ID=1",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=0_0",742_0_0,3G_ALLENTOWN,0,0,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=0, Sector Equipment ID=0",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=5_4",742_4_5,3G_ALLENTOWN,5,4,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=4, Sector Equipment ID=5",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=9_6",742_6_9,3G_ALLENTOWN,9,6,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=6, Sector Equipment ID=9",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=4_8",742_8_4,3G_ALLENTOWN,4,8,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=8, Sector Equipment ID=4",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=4_5",742_5_4,3G_ALLENTOWN,4,5,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=5, Sector Equipment ID=4",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=9_3",742_3_9,3G_ALLENTOWN,9,3,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=3, Sector Equipment ID=9",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=2_2",742_2_2,3G_ALLENTOWN,2,2,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=2, Sector Equipment ID=2",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=10_14",742_14_10,3G_ALLENTOWN,10,14,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=14, Sector Equipment ID=10",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=10_13",742_13_10,3G_ALLENTOWN,10,13,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=13, Sector Equipment ID=10",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=0_18",742_18_0,3G_ALLENTOWN,0,18,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=18, Sector Equipment ID=0",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=1_19",742_19_1,3G_ALLENTOWN,1,19,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=19, Sector Equipment ID=1",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=2_20",742_20_2,3G_ALLENTOWN,2,20,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=20, Sector Equipment ID=2",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=3_21",742_21_3,3G_ALLENTOWN,3,21,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=21, Sector Equipment ID=3",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=6_22",742_22_6,3G_ALLENTOWN,6,22,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=22, Sector Equipment ID=6",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=11_15",742_15_11,3G_ALLENTOWN,11,15,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=15, Sector Equipment ID=11",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=11_16",742_16_11,3G_ALLENTOWN,11,16,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=16, Sector Equipment ID=11",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=12_17",742_17_12,3G_ALLENTOWN,12,17,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=17, Sector Equipment ID=12",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=12_23",742_23_12,3G_ALLENTOWN,12,23,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=23, Sector Equipment ID=12",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=13_24",742_24_13,3G_ALLENTOWN,13,24,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=24, Sector Equipment ID=13",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=13_25",742_25_13,3G_ALLENTOWN,13,25,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=25, Sector Equipment ID=13",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=14_26",742_26_14,3G_ALLENTOWN,14,26,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=26, Sector Equipment ID=14",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=14_27",742_27_14,3G_ALLENTOWN,14,27,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=27, Sector Equipment ID=14",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=15_28",742_28_15,3G_ALLENTOWN,15,28,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=28, Sector Equipment ID=15",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=15_29",742_29_15,3G_ALLENTOWN,15,29,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=29, Sector Equipment ID=15",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=16_30",742_30_16,3G_ALLENTOWN,16,30,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=30, Sector Equipment ID=16",742
3G_ALLENTOWN,"NE=986,ULOCELLSECTOREQM=16_31",742_31_16,3G_ALLENTOWN,16,31,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ALLENTOWN, Local Cell ID=31, Sector Equipment ID=16",742
3G_ABERDEEN,"NE=339,ULOCELLSECTOREQM=0_3",85_3_0,3G_ABERDEEN,0,3,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ABERDEEN, Local Cell ID=3, Sector Equipment ID=0",85
3G_ABERDEEN,"NE=339,ULOCELLSECTOREQM=2_2",85_2_2,3G_ABERDEEN,2,2,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ABERDEEN, Local Cell ID=2, Sector Equipment ID=2",85
3G_ABERDEEN,"NE=339,ULOCELLSECTOREQM=1_1",85_1_1,3G_ABERDEEN,1,1,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ABERDEEN, Local Cell ID=1, Sector Equipment ID=1",85
3G_ABERDEEN,"NE=339,ULOCELLSECTOREQM=0_0",85_0_0,3G_ABERDEEN,0,0,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ABERDEEN, Local Cell ID=0, Sector Equipment ID=0",85
3G_ABERDEEN,"NE=339,ULOCELLSECTOREQM=3_6",85_6_3,3G_ABERDEEN,3,6,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ABERDEEN, Local Cell ID=6, Sector Equipment ID=3",85
3G_ABERDEEN,"NE=339,ULOCELLSECTOREQM=4_4",85_4_4,3G_ABERDEEN,4,4,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ABERDEEN, Local Cell ID=4, Sector Equipment ID=4",85
3G_ABERDEEN,"NE=339,ULOCELLSECTOREQM=4_7",85_7_4,3G_ABERDEEN,4,7,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ABERDEEN, Local Cell ID=7, Sector Equipment ID=4",85
3G_ABERDEEN,"NE=339,ULOCELLSECTOREQM=5_9",85_9_5,3G_ABERDEEN,5,9,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ABERDEEN, Local Cell ID=9, Sector Equipment ID=5",85
3G_ABERDEEN,"NE=339,ULOCELLSECTOREQM=6_10",85_10_6,3G_ABERDEEN,6,10,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ABERDEEN, Local Cell ID=10, Sector Equipment ID=6",85
3G_ABERDEEN,"NE=339,ULOCELLSECTOREQM=6_11",85_11_6,3G_ABERDEEN,6,11,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ABERDEEN, Local Cell ID=11, Sector Equipment ID=6",85
3G_ABERDEEN,"NE=339,ULOCELLSECTOREQM=7_5",85_5_7,3G_ABERDEEN,7,5,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ABERDEEN, Local Cell ID=5, Sector Equipment ID=7",85
3G_ABERDEEN,"NE=339,ULOCELLSECTOREQM=7_8",85_8_7,3G_ABERDEEN,7,8,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ABERDEEN, Local Cell ID=8, Sector Equipment ID=7",85
3G_ABERDEEN,"NE=339,ULOCELLSECTOREQM=1_19",85_19_1,3G_ABERDEEN,1,19,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ABERDEEN, Local Cell ID=19, Sector Equipment ID=1",85
3G_ABERDEEN,"NE=339,ULOCELLSECTOREQM=2_20",85_20_2,3G_ABERDEEN,2,20,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ABERDEEN, Local Cell ID=20, Sector Equipment ID=2",85
3G_ABERDEEN,"NE=339,ULOCELLSECTOREQM=3_18",85_18_3,3G_ABERDEEN,3,18,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ABERDEEN, Local Cell ID=18, Sector Equipment ID=3",85
3G_ABERDEEN,"NE=339,ULOCELLSECTOREQM=5_21",85_21_5,3G_ABERDEEN,5,21,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ABERDEEN, Local Cell ID=21, Sector Equipment ID=5",85
3G_ADAMSTREET,"NE=1071,ULOCELLSECTOREQM=0_4_2",827_2_4_0,3G_ADAMSTREET,4,2,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADAMSTREET, Local Cell ID=2, Sector Equipment ID=4",827
3G_ADAMSTREET,"NE=1071,ULOCELLSECTOREQM=0_3_7",827_7_3_0,3G_ADAMSTREET,3,7,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADAMSTREET, Local Cell ID=7, Sector Equipment ID=3",827
3G_ADAMSTREET,"NE=1071,ULOCELLSECTOREQM=0_2_1",827_1_2_0,3G_ADAMSTREET,2,1,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADAMSTREET, Local Cell ID=1, Sector Equipment ID=2",827
3G_ADAMSTREET,"NE=1071,ULOCELLSECTOREQM=0_0_0",827_0_0_0,3G_ADAMSTREET,0,0,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADAMSTREET, Local Cell ID=0, Sector Equipment ID=0",827
3G_ADAMSTREET,"NE=1071,ULOCELLSECTOREQM=0_6_8",827_8_6_0,3G_ADAMSTREET,6,8,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADAMSTREET, Local Cell ID=8, Sector Equipment ID=6",827
3G_ADAMSTREET,"NE=1071,ULOCELLSECTOREQM=0_6_5",827_5_6_0,3G_ADAMSTREET,6,5,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADAMSTREET, Local Cell ID=5, Sector Equipment ID=6",827
3G_ADAMSTREET,"NE=1071,ULOCELLSECTOREQM=0_5_6",827_6_5_0,3G_ADAMSTREET,5,6,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADAMSTREET, Local Cell ID=6, Sector Equipment ID=5",827
3G_ADAMSTREET,"NE=1071,ULOCELLSECTOREQM=0_5_3",827_3_5_0,3G_ADAMSTREET,5,3,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADAMSTREET, Local Cell ID=3, Sector Equipment ID=5",827
3G_ADAMSTREET,"NE=1071,ULOCELLSECTOREQM=0_4_20",827_20_4_0,3G_ADAMSTREET,4,20,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADAMSTREET, Local Cell ID=20, Sector Equipment ID=4",827
3G_ADAMSTREET,"NE=1071,ULOCELLSECTOREQM=0_3_4",827_4_3_0,3G_ADAMSTREET,3,4,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADAMSTREET, Local Cell ID=4, Sector Equipment ID=3",827
3G_ADAMSTREET,"NE=1071,ULOCELLSECTOREQM=0_2_19",827_19_2_0,3G_ADAMSTREET,2,19,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADAMSTREET, Local Cell ID=19, Sector Equipment ID=2",827
3G_ADAMSTREET,"NE=1071,ULOCELLSECTOREQM=0_0_18",827_18_0_0,3G_ADAMSTREET,0,18,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADAMSTREET, Local Cell ID=18, Sector Equipment ID=0",827
3G_ADDAX,"NE=885,ULOCELLSECTOREQM=2_2",641_2_2,3G_ADDAX,2,2,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADDAX, Local Cell ID=2, Sector Equipment ID=2",641
3G_ADDAX,"NE=885,ULOCELLSECTOREQM=1_1",641_1_1,3G_ADDAX,1,1,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADDAX, Local Cell ID=1, Sector Equipment ID=1",641
3G_ADDAX,"NE=885,ULOCELLSECTOREQM=0_0",641_0_0,3G_ADDAX,0,0,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADDAX, Local Cell ID=0, Sector Equipment ID=0",641
3G_ADDAX,"NE=885,ULOCELLSECTOREQM=0_3",641_3_0,3G_ADDAX,0,3,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADDAX, Local Cell ID=3, Sector Equipment ID=0",641
3G_ADDAX,"NE=885,ULOCELLSECTOREQM=1_4",641_4_1,3G_ADDAX,1,4,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADDAX, Local Cell ID=4, Sector Equipment ID=1",641
3G_ADDAX,"NE=885,ULOCELLSECTOREQM=2_5",641_5_2,3G_ADDAX,2,5,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADDAX, Local Cell ID=5, Sector Equipment ID=2",641
3G_ADDAX,"NE=885,ULOCELLSECTOREQM=3_9",641_9_3,3G_ADDAX,3,9,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADDAX, Local Cell ID=9, Sector Equipment ID=3",641
3G_ADDAX,"NE=885,ULOCELLSECTOREQM=4_10",641_10_4,3G_ADDAX,4,10,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADDAX, Local Cell ID=10, Sector Equipment ID=4",641
3G_ADDAX,"NE=885,ULOCELLSECTOREQM=4_11",641_11_4,3G_ADDAX,4,11,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADDAX, Local Cell ID=11, Sector Equipment ID=4",641
3G_ADDAX,"NE=885,ULOCELLSECTOREQM=2_8",641_8_2,3G_ADDAX,2,8,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADDAX, Local Cell ID=8, Sector Equipment ID=2",641
3G_ADDAX,"NE=885,ULOCELLSECTOREQM=1_7",641_7_1,3G_ADDAX,1,7,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADDAX, Local Cell ID=7, Sector Equipment ID=1",641
3G_ADDAX,"NE=885,ULOCELLSECTOREQM=0_6",641_6_0,3G_ADDAX,0,6,BTS3900ULOCELLSECTOREQM,"NodeB Function Name=3G_ADDAX, Local Cell ID=6, Sector Equipment ID=0",641
