begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL,L.RRCRedirection.IntraLTE,L.RRCRedirection.IntraLTE.Coverage
2022-03-02,"4G_KISSYROAD/Cell:eNodeB Function Name=4G_KISSYROAD,Local Cell ID=1,Cell Name=4G_KISSYROAD-1,eNodeB ID=5011,Cell FDD TDD indication=CELL_FDD",808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1348801120776.0,0.0,0.0
2022-03-03,"4G_KISSYROAD/Cell:eNodeB Function Name=4G_KISSYROAD,Local Cell ID=1,Cell Name=4G_KISSYROAD-1,eNodeB ID=5011,Cell FDD TDD indication=CELL_FDD",808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1441121349064.0,0.0,0.0
2022-03-06,"4G_KISSYROAD/Cell:eNodeB Function Name=4G_KISSYROAD,Local Cell ID=1,Cell Name=4G_KISSYROAD-1,eNodeB ID=5011,Cell FDD TDD indication=CELL_FDD",808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,1389502303392.0,0.0,0.0
2022-03-07,"4G_KISSYROAD/Cell:eNodeB Function Name=4G_KISSYROAD,Local Cell ID=1,Cell Name=4G_KISSYROAD-1,eNodeB ID=5011,Cell FDD TDD indication=CELL_FDD",808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1422673099304.0,0.0,0.0
2022-03-09,"4G_KISSYROAD/Cell:eNodeB Function Name=4G_KISSYROAD,Local Cell ID=1,Cell Name=4G_KISSYROAD-1,eNodeB ID=5011,Cell FDD TDD indication=CELL_FDD",808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,67912580400.0,0.0,0.0
2022-03-10,"4G_KISSYROAD/Cell:eNodeB Function Name=4G_KISSYROAD,Local Cell ID=1,Cell Name=4G_KISSYROAD-1,eNodeB ID=5011,Cell FDD TDD indication=CELL_FDD",808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,1385085741512.0,0.0,0.0
2022-03-11,"4G_KISSYROAD/Cell:eNodeB Function Name=4G_KISSYROAD,Local Cell ID=1,Cell Name=4G_KISSYROAD-1,eNodeB ID=5011,Cell FDD TDD indication=CELL_FDD",808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1194313517600.0,0.0,0.0
2022-03-12,"4G_KISSYROAD/Cell:eNodeB Function Name=4G_KISSYROAD,Local Cell ID=1,Cell Name=4G_KISSYROAD-1,eNodeB ID=5011,Cell FDD TDD indication=CELL_FDD",808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,1128109547744.0,0.0,0.0
2022-03-13,"4G_KISSYROAD/Cell:eNodeB Function Name=4G_KISSYROAD,Local Cell ID=1,Cell Name=4G_KISSYROAD-1,eNodeB ID=5011,Cell FDD TDD indication=CELL_FDD",808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,1083244603232.0,0.0,0.0
2022-03-14,"4G_KISSYROAD/Cell:eNodeB Function Name=4G_KISSYROAD,Local Cell ID=1,Cell Name=4G_KISSYROAD-1,eNodeB ID=5011,Cell FDD TDD indication=CELL_FDD",808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,665948727200.0,0.0,0.0
2022-03-15,"4G_KISSYROAD/Cell:eNodeB Function Name=4G_KISSYROAD,Local Cell ID=1,Cell Name=4G_KISSYROAD-1,eNodeB ID=5011,Cell FDD TDD indication=CELL_FDD",808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1009932581560.0,0.0,0.0
2022-02-02,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,281387538104.0,0.0,0.0
2022-02-03,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,324247541280.0,0.0,0.0
2022-02-04,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,280944209296.0,0.0,0.0
2022-02-05,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,242711873352.0,0.0,0.0
2022-02-06,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,249885423896.0,0.0,0.0
2022-02-12,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,70.83333333333333,2153392.0,0.0,0.0
2022-02-13,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,96908816.0,0.0,0.0
2022-02-17,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,218078760744.0,0.0,0.0
2022-02-18,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,206367047240.0,0.0,0.0
2022-02-19,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,216805789208.0,0.0,0.0
2022-02-20,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,190191747800.0,0.0,0.0
2022-03-01,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,209388323192.0,0.0,0.0
2022-03-02,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,247061648288.0,0.0,0.0
2022-03-03,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,203416677960.0,0.0,0.0
2022-03-06,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,250173478904.0,0.0,0.0
2022-03-07,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,233986463536.0,0.0,0.0
2022-03-09,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,11609978064.0,0.0,0.0
2022-03-10,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,221033869696.0,0.0,0.0
2022-03-11,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,209987851176.0,0.0,0.0
2022-03-12,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,181045247792.0,0.0,0.0
2022-03-13,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,206123779936.0,0.0,0.0
2022-03-14,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,94037666720.0,0.0,0.0
2022-03-15,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=1,Cell Name=4G_KENNEDYSTREET-1,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808887.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,114110426176.0,0.0,0.0
2022-02-02,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,848433831000.0,0.0,0.0
2022-02-03,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1001884862072.0,0.0,0.0
2022-02-04,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,838904660848.0,0.0,0.0
2022-02-05,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,920414613440.0,0.0,0.0
2022-02-06,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,925370270032.0,0.0,0.0
2022-02-08,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,777525435992.0,0.0,0.0
2022-02-10,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,791762884720.0,0.0,0.0
2022-02-11,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,956822029168.0,0.0,0.0
2022-02-12,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,800811165216.0,0.0,0.0
2022-02-13,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,984120156656.0,0.0,0.0
2022-02-17,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,809009161928.0,0.0,0.0
2022-02-18,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1014723550136.0,0.0,0.0
2022-02-19,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,961157703480.0,0.0,0.0
2022-02-20,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1087481893848.0,0.0,0.0
2022-03-01,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,847021719528.0,0.0,0.0
2022-03-02,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,846682752184.0,0.0,0.0
2022-03-03,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,980240143968.0,0.0,0.0
2022-03-06,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,1031833389456.0,0.0,0.0
2022-03-07,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,907726647776.0,0.0,0.0
2022-03-09,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,57317478152.0,0.0,0.0
2022-03-10,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,724336502472.0,0.0,0.0
2022-03-11,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,699592355080.0,0.0,0.0
2022-03-12,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,745942865464.0,0.0,0.0
2022-03-13,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,974047829072.0,0.0,0.0
2022-03-14,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,900513328472.0,0.0,0.0
2022-03-15,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1010572117840.0,0.0,0.0
