begintime,ne_name,ne_type,vendor,integrity,ISYS_HO_UTRAN_PREP_FAIL_OTH_NB,ISYS_HO_UTRAN_PREP_FAIL_TIM_NB,ISYS_HO_UTRAN_PREP_FAIL_AC_NB,ISYS_HO_UTRAN_ATT_NB,ISYS_HO_UTRAN_SUCC_NB,ISYS_HO_UTRAN_FAIL_NB,id
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05,HOT-1273,TCID-38019,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,72
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05,HOT-1273,TCID-34451,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,73
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05,HOT-1273,TCID-34452,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,74
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05,HOT-1273,TCID-35511,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,75
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05,HOT-1273,TCID-35514,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,76
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05,HOT-1273,TCID-35670,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,77
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05,HOT-1273,TCID-35675,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,78
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05,HOT-1273,TCID-36025,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,79
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05,HOT-1273,TCID-37910,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,80
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05,HOT-1273,TCID-37915,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,81
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05,HOT-1273,TCID-37919,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,82
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05,HOT-1273,TCID-38000,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,83
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05,HOT-1273,TCID-38005,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,84
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05,HOT-1273,TCID-38009,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, HOT-TCID, MCC-MNC",Nokia,100.0,0.0,0.0,0.0,0.0,0.0,0.0,85
