begintime,sk_object,duration,integrity,1282448458,1282432826,1282432827
2022-02-05 16:00:00,630562.0,3600.0,100.0,2.0,2.0,0.0
2022-02-03 16:00:00,630425.0,3600.0,100.0,6.0,6.0,0.0
2022-02-05 15:00:00,532821.0,3600.0,100.0,3.0,3.0,0.0
2022-03-14 16:00:00,493303.0,3600.0,100.0,1.0,1.0,0.0
2022-03-14 12:00:00,531648.0,3600.0,100.0,3.0,4.0,2.0
2022-02-04 09:00:00,600684.0,3600.0,100.0,2.0,2.0,0.0
2022-03-12 15:00:00,502252.0,3600.0,100.0,2.0,2.0,0.0
2022-03-10 14:00:00,630546.0,3600.0,100.0,2.0,2.0,2.0
2022-03-07 23:00:00,630545.0,3600.0,100.0,1.0,1.0,0.0
2022-03-07 17:00:00,531648.0,3600.0,100.0,2.0,2.0,0.0
2022-02-04 18:00:00,427065.0,3600.0,100.0,2.0,2.0,2.0
2022-02-03 01:00:00,630552.0,3600.0,100.0,1.0,1.0,0.0
2022-02-05 22:00:00,630409.0,3600.0,100.0,10.0,10.0,1.0
2022-02-04 14:00:00,573643.0,3600.0,100.0,1.0,1.0,1.0
2022-03-14 14:00:00,630432.0,3600.0,100.0,2.0,2.0,0.0
2022-02-08 22:00:00,490660.0,3600.0,100.0,1.0,1.0,1.0
2022-03-13 14:00:00,630426.0,3600.0,100.0,10.0,10.0,2.0
2022-02-08 14:00:00,630502.0,3600.0,100.0,3.0,3.0,0.0
2022-03-10 13:00:00,630467.0,3600.0,100.0,11.0,11.0,2.0
2022-03-10 12:00:00,490623.0,3600.0,100.0,2.0,2.0,0.0
2022-03-07 19:00:00,630564.0,3600.0,100.0,26.0,26.0,4.0
2022-03-15 00:00:00,630507.0,3600.0,100.0,1.0,1.0,1.0
2022-03-07 12:00:00,574878.0,3600.0,100.0,2.0,2.0,0.0
2022-02-06 14:00:00,463203.0,3600.0,100.0,0.0,1.0,1.0
2022-03-14 14:00:00,630412.0,3600.0,100.0,44.0,45.0,7.0
2022-02-08 12:00:00,566191.0,3600.0,100.0,1.0,1.0,0.0
2022-02-08 00:00:00,630552.0,3600.0,100.0,1.0,1.0,0.0
2022-02-03 21:00:00,630462.0,3600.0,100.0,4.0,4.0,0.0
2022-03-12 09:00:00,605839.0,3600.0,100.0,1.0,1.0,0.0
2022-03-10 19:00:00,630409.0,3600.0,100.0,10.0,10.0,4.0
2022-03-07 00:00:00,630468.0,3600.0,100.0,1.0,1.0,0.0
2022-02-08 11:00:00,453727.0,3600.0,100.0,1.0,1.0,0.0
2022-03-09 23:00:00,490593.0,3600.0,100.0,1.0,1.0,1.0
2022-03-07 15:00:00,630546.0,3600.0,100.0,7.0,7.0,2.0
2022-02-04 11:00:00,630505.0,3600.0,100.0,4.0,6.0,2.0
2022-03-15 22:00:00,630527.0,3600.0,100.0,1.0,1.0,0.0
2022-03-14 22:00:00,630426.0,3600.0,100.0,4.0,4.0,1.0
2022-03-06 13:00:00,490593.0,3600.0,100.0,1.0,1.0,0.0
2022-03-13 06:00:00,630515.0,3600.0,100.0,2.0,2.0,0.0
2022-03-12 18:00:00,630545.0,3600.0,100.0,6.0,6.0,0.0
2022-03-15 00:00:00,463261.0,3600.0,100.0,1.0,1.0,0.0
2022-03-12 11:00:00,263618.0,3600.0,100.0,1.0,1.0,1.0
2022-03-07 07:00:00,630412.0,3600.0,100.0,5.0,5.0,0.0
2022-03-15 08:00:00,630552.0,3600.0,100.0,11.0,11.0,1.0
2022-02-06 15:00:00,630412.0,3600.0,100.0,11.0,11.0,1.0
2022-02-05 16:00:00,630561.0,3600.0,100.0,22.0,22.0,8.0
2022-03-06 13:00:00,630506.0,3600.0,100.0,2.0,2.0,0.0
2022-02-05 10:00:00,630506.0,3600.0,100.0,0.0,1.0,1.0
2022-03-15 15:00:00,630515.0,3600.0,100.0,1.0,1.0,0.0
2022-03-12 20:00:00,630409.0,3600.0,100.0,17.0,18.0,3.0
2022-03-12 11:00:00,630561.0,3600.0,100.0,25.0,26.0,6.0
2022-02-05 09:00:00,630545.0,3600.0,100.0,7.0,7.0,2.0
2022-03-14 15:00:00,463205.0,3600.0,100.0,1.0,1.0,1.0
2022-03-07 12:00:00,490656.0,3600.0,100.0,2.0,2.0,1.0
2022-03-07 22:00:00,630515.0,3600.0,100.0,10.0,10.0,2.0
2022-03-12 14:00:00,630445.0,3600.0,100.0,18.0,18.0,0.0
2022-02-11 13:00:00,630555.0,3600.0,100.0,0.0,1.0,1.0
2022-02-17 15:00:00,605839.0,3600.0,100.0,1.0,1.0,0.0
2022-02-10 10:00:00,630505.0,3600.0,100.0,9.0,9.0,0.0
2022-02-11 04:00:00,502249.0,3600.0,100.0,1.0,1.0,0.0
2022-02-11 19:00:00,531648.0,3600.0,100.0,1.0,1.0,0.0
2022-02-12 20:00:00,630445.0,3600.0,100.0,9.0,9.0,1.0
2022-02-11 10:00:00,630546.0,3600.0,100.0,6.0,6.0,0.0
2022-02-11 11:00:00,263618.0,3600.0,100.0,1.0,1.0,1.0
2022-02-12 09:00:00,630546.0,3600.0,100.0,3.0,3.0,0.0
2022-02-04 23:00:00,630564.0,3600.0,100.0,8.0,8.0,1.0
2022-03-06 16:00:00,605859.0,3600.0,100.0,1.0,1.0,0.0
2022-03-12 22:00:00,442924.0,3600.0,100.0,1.0,1.0,0.0
2022-02-08 11:00:00,600684.0,3600.0,100.0,1.0,1.0,0.0
2022-02-08 18:00:00,630546.0,3600.0,100.0,4.0,5.0,1.0
2022-03-15 15:00:00,493303.0,3600.0,100.0,1.0,1.0,0.0
2022-03-14 16:00:00,630432.0,3600.0,100.0,1.0,1.0,0.0
2022-03-15 14:00:00,428644.0,3600.0,100.0,1.0,1.0,1.0
2022-03-13 11:00:00,630468.0,3600.0,100.0,3.0,3.0,2.0
2022-03-10 15:00:00,600684.0,3600.0,100.0,2.0,2.0,0.0
2022-03-15 09:00:00,630506.0,3600.0,100.0,2.0,2.0,0.0
2022-02-06 23:00:00,630564.0,3600.0,100.0,8.0,8.0,1.0
2022-03-15 06:00:00,605821.0,3600.0,100.0,1.0,1.0,0.0
2022-02-08 18:00:00,574899.0,3600.0,100.0,1.0,1.0,0.0
2022-02-08 09:00:00,490660.0,3600.0,100.0,1.0,1.0,0.0
2022-03-13 17:00:00,630546.0,3600.0,100.0,4.0,4.0,1.0
2022-03-07 10:00:00,630432.0,3600.0,100.0,3.0,3.0,1.0
2022-03-14 14:00:00,600798.0,3600.0,100.0,1.0,1.0,1.0
2022-03-07 22:00:00,263638.0,3600.0,100.0,1.0,1.0,0.0
2022-02-04 23:00:00,490623.0,3600.0,100.0,4.0,4.0,0.0
2022-02-06 17:00:00,630540.0,3600.0,100.0,1.0,1.0,0.0
2022-02-05 11:00:00,630462.0,3600.0,100.0,41.0,41.0,0.0
2022-03-13 11:00:00,574850.0,3600.0,100.0,3.0,3.0,3.0
2022-03-10 17:00:00,532821.0,3600.0,100.0,2.0,2.0,0.0
2022-03-12 14:00:00,630564.0,3600.0,100.0,5.0,5.0,0.0
2022-03-07 09:00:00,630467.0,3600.0,100.0,7.0,7.0,1.0
2022-03-07 14:00:00,630505.0,3600.0,100.0,1.0,1.0,0.0
2022-02-03 14:00:00,630564.0,3600.0,100.0,14.0,14.0,1.0
2022-03-13 22:00:00,630412.0,3600.0,100.0,6.0,6.0,3.0
2022-02-03 17:00:00,630552.0,3600.0,100.0,11.0,11.0,1.0
2022-02-04 13:00:00,630552.0,3600.0,100.0,18.0,18.0,3.0
2022-03-15 19:00:00,630468.0,3600.0,100.0,2.0,2.0,0.0
2022-02-03 13:00:00,566191.0,3600.0,100.0,1.0,1.0,0.0
2022-03-11 23:00:00,630467.0,3600.0,100.0,2.0,2.0,1.0
2022-02-08 07:00:00,532822.0,3600.0,100.0,1.0,1.0,0.0
2022-02-06 08:00:00,518043.0,3600.0,100.0,1.0,1.0,0.0
2022-02-05 18:00:00,630426.0,3600.0,100.0,13.0,13.0,1.0
2022-02-03 20:00:00,630468.0,3600.0,100.0,8.0,8.0,2.0
2022-02-08 11:00:00,263638.0,3600.0,100.0,1.0,1.0,0.0
2022-02-04 12:00:00,532822.0,3600.0,100.0,2.0,2.0,1.0
2022-02-03 11:00:00,532658.0,3600.0,100.0,3.0,3.0,1.0
2022-02-06 11:00:00,630468.0,3600.0,100.0,1.0,1.0,0.0
2022-02-05 19:00:00,630412.0,3600.0,100.0,43.0,44.0,7.0
2022-02-05 17:00:00,630412.0,3600.0,100.0,50.0,50.0,11.0
2022-02-08 16:00:00,630507.0,3600.0,100.0,1.0,1.0,0.0
2022-02-06 18:00:00,630546.0,3600.0,100.0,2.0,2.0,0.0
2022-03-13 07:00:00,574850.0,3600.0,100.0,1.0,1.0,0.0
2022-03-14 17:00:00,630425.0,3600.0,100.0,30.0,30.0,2.0
2022-03-10 16:00:00,453727.0,3600.0,100.0,1.0,1.0,0.0
2022-03-12 12:00:00,502251.0,3600.0,100.0,1.0,1.0,1.0
