begintime,ne_name,ne_type,vendor,integrity,VS.RRC.Rej.Sum,VS.RAB.AttEstab.AMR,id
2022-03-11,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,3.0,753.0,85
2022-03-11,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,1.0,396.0,86
2022-03-11,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,459.0,87
2022-03-11,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,1147.0,88
2022-03-12,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,79.17,0.0,782.0,89
2022-03-12,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,79.17,0.0,345.0,90
2022-03-12,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,79.17,1.0,360.0,91
2022-03-12,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,79.17,0.0,985.0,92
2022-03-13,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,91.67,1.0,418.0,93
2022-03-13,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,91.67,1.0,423.0,94
2022-03-13,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,91.67,0.0,401.0,95
2022-03-13,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,91.67,0.0,969.0,96
2022-03-14,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,1.0,620.0,97
2022-03-14,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,270.0,98
2022-03-14,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,375.0,99
2022-03-14,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,706.0,100
2022-03-15,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,95.83,0.0,631.0,101
2022-03-15,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,95.83,0.0,393.0,102
2022-03-15,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,95.83,0.0,334.0,103
2022-03-15,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,95.83,0.0,815.0,104
