begintime,ne_name,ne_type,vendor,integrity,NOKIA LTE_DL Traffic(GB),NOKIA LTE_ERAB Setup SR%,NOKIA LTE_ERAB Drop%,NOKIA LTE_RRC SR%,id
2024-03-01,"MRBTS-5079,LNBTS-5079,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,,,99.8695,14
2024-03-01,"MRBTS-5079,LNBTS-5079,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.5521,,,,15
2024-03-01,"MRBTS-5079,LNBTS-5079,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,99.8648,0.2741,,16
2024-03-01,"MRBTS-5079,LNBTS-5079,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.5572,,,99.206,17
2024-03-01,"MRBTS-5080,LNBTS-5080,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,8.278,,,,18
2024-03-01,"MRBTS-5081,LNBTS-5081,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,13.0589,,,,19
2024-03-01,"MRBTS-5081,LNBTS-5081,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,99.4644,1.1675,,20
2024-03-01,"MRBTS-5082,LNBTS-5082,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,1.0778,,,,21
2024-03-01,"MRBTS-5082,LNBTS-5082,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.6241,99.0479,1.1011,,22
2024-03-01,"MRBTS-5083,LNBTS-5083,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.6102,,,,23
2024-03-01,"MRBTS-5083,LNBTS-5083,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,,,96.4599,24
2024-03-01,"MRBTS-5084,LNBTS-5084,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,99.8967,0.4126,,25
2024-03-01,"MRBTS-5084,LNBTS-5084,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,,,99.8258,26
2024-03-01,"MRBTS-5084,LNBTS-5084,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.6989,,,,27
2024-03-01,"MRBTS-5084,LNBTS-5084,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,7.824,,,,28
2024-03-01,"MRBTS-5085,LNBTS-5085,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,1.0923,,,,29
2024-03-01,"MRBTS-5085,LNBTS-5085,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.1627,,,,30
2024-03-01,"MRBTS-5085,LNBTS-5085,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,1.2368,,,,31
2024-03-01,"MRBTS-5086,LNBTS-5086,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.1884,99.7632,0.1407,,32
2024-03-01,"MRBTS-5086,LNBTS-5086,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,,,99.631,33
2024-03-01,"MRBTS-5086,LNBTS-5086,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,3.8966,,,,34
2024-03-01,"MRBTS-5089,LNBTS-5089,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,,,98.9109,35
2024-03-01,"MRBTS-5090,LNBTS-5090,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,99.6862,0.6233,,36
2024-03-01,"MRBTS-5091,LNBTS-5091,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.7403,,,,37
2024-03-01,"MRBTS-5102,LNBTS-5102,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,1.4946,,,,38
2024-03-01,"MRBTS-5200,LNBTS-5200,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,0.9,0.0144,99.4444,0.0,99.7821,39
2024-03-01,"MRBTS-5200,LNBTS-5200,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,0.9,0.084,99.5914,0.3032,99.7349,40
2024-03-01,"MRBTS-5200,LNBTS-5200,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,0.9,0.0566,99.778,0.1107,99.1968,41
2024-03-01,"MRBTS-5200,LNBTS-5200,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,23.18,0.1349,99.5918,0.221,99.8251,42
2024-03-01,"MRBTS-5200,LNBTS-5200,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,0.9,0.0461,99.0747,0.0867,98.8835,43
2024-03-01,"MRBTS-5200,LNBTS-5200,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,23.18,0.0507,99.5232,0.1247,99.8935,44
2024-03-02,"MRBTS-5050,LNBTS-5050,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,97.36,0.3666,,,,45
2024-03-02,"MRBTS-5062,LNBTS-5062,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.3699,,,,46
2024-03-02,"MRBTS-5062,LNBTS-5062,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.3676,,,,47
2024-03-02,"MRBTS-5078,LNBTS-5078,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,99.8506,0.5011,,48
2024-03-02,"MRBTS-5081,LNBTS-5081,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.4494,,,,49
2024-03-02,"MRBTS-5082,LNBTS-5082,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,1.1411,,,,50
2024-03-02,"MRBTS-5084,LNBTS-5084,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,95.83,0.81,,,,51
2024-03-02,"MRBTS-5085,LNBTS-5085,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,1.2103,,,,52
2024-03-02,"MRBTS-5086,LNBTS-5086,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.4482,99.7311,0.1735,,53
2024-03-02,"MRBTS-5090,LNBTS-5090,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,99.4858,1.54,,54
2024-03-02,"MRBTS-5091,LNBTS-5091,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.4878,,,,55
2024-03-02,"MRBTS-5102,LNBTS-5102,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,3.4025,,,,56
2024-03-02,"MRBTS-5200,LNBTS-5200,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,0.9,0.0,,,99.1968,57
2024-03-03,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,1.9885,,,,58
2024-03-03,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,1.9283,,,,59
2024-03-03,"MRBTS-5023,LNBTS-5023,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,1.576,,,,60
2024-03-03,"MRBTS-5023,LNBTS-5023,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,7.8327,,,,61
2024-03-03,"MRBTS-5044,LNBTS-5044,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,9.2406,,,,62
2024-03-03,"MRBTS-5044,LNBTS-5044,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,8.9772,,,,63
2024-03-03,"MRBTS-5044,LNBTS-5044,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,2.4074,,,,64
2024-03-03,"MRBTS-5044,LNBTS-5044,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,6.6421,,,,65
2024-03-03,"MRBTS-5045,LNBTS-5045,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,1.2773,,,,66
2024-03-03,"MRBTS-5045,LNBTS-5045,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,8.2526,,,,67
2024-03-03,"MRBTS-5045,LNBTS-5045,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,9.3777,,,,68
2024-03-03,"MRBTS-5045,LNBTS-5045,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,4.1085,,,,69
2024-03-03,"MRBTS-5045,LNBTS-5045,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,7.8639,,,,70
2024-03-03,"MRBTS-5050,LNBTS-5050,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.5274,,,,71
2024-03-03,"MRBTS-5050,LNBTS-5050,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,2.2622,,,,72
2024-03-03,"MRBTS-5050,LNBTS-5050,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.7334,,,,73
2024-03-03,"MRBTS-5050,LNBTS-5050,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,5.2321,,,,74
2024-03-03,"MRBTS-5050,LNBTS-5050,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.2356,,,,75
2024-03-03,"MRBTS-5050,LNBTS-5050,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,2.7612,,,,76
2024-03-03,"MRBTS-5062,LNBTS-5062,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.2451,,,,77
2024-03-03,"MRBTS-5062,LNBTS-5062,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,5.8211,,,,78
2024-03-03,"MRBTS-5062,LNBTS-5062,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.1531,,,,79
2024-03-03,"MRBTS-5062,LNBTS-5062,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,2.1326,,,,80
2024-03-03,"MRBTS-5062,LNBTS-5062,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.3523,,,,81
2024-03-03,"MRBTS-5078,LNBTS-5078,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,2.449,,,,82
2024-03-03,"MRBTS-5078,LNBTS-5078,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,9.1129,,,,83
2024-03-03,"MRBTS-5078,LNBTS-5078,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.6658,,,,84
2024-03-03,"MRBTS-5078,LNBTS-5078,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,6.6872,,,,85
2024-03-03,"MRBTS-5078,LNBTS-5078,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,6.9775,,,,86
2024-03-03,"MRBTS-5079,LNBTS-5079,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,1.4955,,,,87
2024-03-03,"MRBTS-5079,LNBTS-5079,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.5239,,,,88
2024-03-03,"MRBTS-5079,LNBTS-5079,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.7514,,,,89
2024-03-03,"MRBTS-5080,LNBTS-5080,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,9.0675,,,,90
2024-03-03,"MRBTS-5080,LNBTS-5080,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,8.5427,,,,91
2024-03-03,"MRBTS-5081,LNBTS-5081,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,97.01,0.4588,,,,92
2024-03-03,"MRBTS-5081,LNBTS-5081,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,97.01,7.1117,,,,93
2024-03-03,"MRBTS-5081,LNBTS-5081,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,97.01,3.7439,,,,94
2024-03-03,"MRBTS-5081,LNBTS-5081,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,97.01,12.3248,,,,95
2024-03-03,"MRBTS-5081,LNBTS-5081,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,97.01,0.9598,,,,96
2024-03-03,"MRBTS-5081,LNBTS-5081,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,97.01,7.183,,,,97
2024-03-03,"MRBTS-5082,LNBTS-5082,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,1.6429,,,,98
2024-03-03,"MRBTS-5082,LNBTS-5082,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.3394,,,,99
2024-03-03,"MRBTS-5082,LNBTS-5082,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.6487,,,,100
2024-03-03,"MRBTS-5083,LNBTS-5083,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,6.4399,,,,101
2024-03-03,"MRBTS-5083,LNBTS-5083,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.6187,,,,102
2024-03-03,"MRBTS-5083,LNBTS-5083,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.5606,,,,103
2024-03-03,"MRBTS-5084,LNBTS-5084,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.3706,,,,104
2024-03-03,"MRBTS-5084,LNBTS-5084,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,1.66,,,,105
2024-03-03,"MRBTS-5084,LNBTS-5084,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,9.1817,,,,106
2024-03-03,"MRBTS-5084,LNBTS-5084,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.5667,,,,107
2024-03-03,"MRBTS-5084,LNBTS-5084,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,6.8771,,,,108
2024-03-03,"MRBTS-5085,LNBTS-5085,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.7795,,,,109
2024-03-03,"MRBTS-5085,LNBTS-5085,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,1.0043,,,,110
2024-03-03,"MRBTS-5086,LNBTS-5086,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.172,,,,111
2024-03-03,"MRBTS-5086,LNBTS-5086,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,3.1075,,,,112
2024-03-03,"MRBTS-5086,LNBTS-5086,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.2595,,,,113
2024-03-03,"MRBTS-5086,LNBTS-5086,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,4.1672,,,,114
2024-03-03,"MRBTS-5086,LNBTS-5086,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0613,,,,115
2024-03-03,"MRBTS-5086,LNBTS-5086,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,2.2488,,,,116
2024-03-03,"MRBTS-5089,LNBTS-5089,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,2.14,,,,117
2024-03-03,"MRBTS-5089,LNBTS-5089,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,2.2742,,,,118
2024-03-03,"MRBTS-5089,LNBTS-5089,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,3.8476,,,,119
2024-03-03,"MRBTS-5090,LNBTS-5090,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.5418,,,,120
2024-03-03,"MRBTS-5090,LNBTS-5090,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,4.362,,,,121
2024-03-03,"MRBTS-5090,LNBTS-5090,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,15.3917,,,,122
2024-03-03,"MRBTS-5090,LNBTS-5090,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,10.0517,,,,123
2024-03-03,"MRBTS-5091,LNBTS-5091,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.4458,,,,124
2024-03-03,"MRBTS-5091,LNBTS-5091,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,2.3357,,,,125
2024-03-03,"MRBTS-5102,LNBTS-5102,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,1.4148,,,,126
2024-03-03,"MRBTS-5102,LNBTS-5102,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,3.4915,,,,127
2024-03-03,"MRBTS-5200,LNBTS-5200,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,97.5,0.9257,,,,128
2024-03-03,"MRBTS-5200,LNBTS-5200,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,49.1,7.5507,,,100.0,129
2024-03-03,"MRBTS-5200,LNBTS-5200,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,97.5,3.6103,,,,130
2024-03-03,"MRBTS-5200,LNBTS-5200,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,49.1,13.8148,,,99.5432,131
2024-03-03,"MRBTS-5200,LNBTS-5200,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,49.1,4.0883,,,99.4273,132
2024-03-03,"MRBTS-5200,LNBTS-5200,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,97.5,3.9134,,,,133
2024-03-04,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,2.1301,,,,134
2024-03-04,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,8.9731,,,,135
2024-03-04,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,1.8445,,,,136
2024-03-04,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,7.2007,,,,137
