begintime,sk_object,duration,M51375C0,M51375C1,M51375C2,M51375C3,M51375C4,M51375C5,M51375C6,M51375C7,M51375C8,M51375C9,M51375C10,M51375C11,M51375C12,M51375C13,M51375C14,M51375C15
2022-03-11 00:15:00,15914.0,15,0.0,0.0,53922.0,693.0,0.0,0.0,0.0,0.0,722013.0,965.0,0.0,0.0,0.0,0.0,3180612549.0,2529829.0
2022-03-11 00:15:00,15915.0,15,0.0,0.0,54804.0,705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078650.0,14846.0
2022-03-11 00:15:00,15916.0,15,0.0,0.0,58220.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078938.0,14850.0
2022-03-11 00:15:00,15917.0,15,6288544.0,70159.0,76836.0,888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15918.0,15,5269568.0,57402.0,54242.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15919.0,15,0.0,0.0,54850.0,705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079031.0,14851.0
2022-03-11 00:15:00,15920.0,15,0.0,0.0,58274.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078938.0,14850.0
2022-03-11 00:15:00,15921.0,15,0.0,0.0,54242.0,697.0,0.0,0.0,0.0,0.0,1690085.0,2052.0,0.0,0.0,0.0,0.0,4555356814.0,3844348.0
2022-03-11 00:15:00,15922.0,15,2886672.0,32875.0,53728.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15923.0,15,6415440.0,70129.0,78668.0,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15924.0,15,5245944.0,57599.0,54162.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15925.0,15,0.0,0.0,58532.0,754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078949.0,14850.0
2022-03-11 00:15:00,15926.0,15,0.0,0.0,53922.0,693.0,0.0,0.0,0.0,0.0,628.0,13.0,0.0,0.0,0.0,0.0,1120950534.0,929883.0
2022-03-11 00:15:00,15927.0,15,0.0,0.0,54436.0,700.0,0.0,0.0,0.0,0.0,1687125.0,1847.0,0.0,0.0,0.0,0.0,4342387880.0,3735979.0
2022-03-11 00:15:00,15928.0,15,0.0,0.0,54128.0,695.0,0.0,0.0,76283.0,96.0,2526165.0,2507.0,0.0,0.0,0.0,0.0,3820318977.0,3261924.0
2022-03-11 00:15:00,15929.0,15,0.0,0.0,58384.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079030.0,14851.0
2022-03-11 00:15:00,15930.0,15,0.0,0.0,54930.0,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1081904.0,14882.0
2022-03-11 00:15:00,15931.0,15,9577076.0,107058.0,54356.0,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15932.0,15,3255904.0,37251.0,76882.0,888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15933.0,15,6193740.0,69350.0,54436.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15934.0,15,0.0,0.0,54770.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078587.0,14846.0
