begintime,sk_object,1279470420,1279470421,1279470417,1279470418,1279470419,1279470422,1279470423,duration
2022-03-03 08:00:00,627072.0,10274849842.0,30101108028.0,59762524.0,72067239.0,0.0,16531734.0,47207947.0,PT3600S
2022-03-03 09:00:00,627072.0,11707622927.0,31918096977.0,68446313.0,79531366.0,0.0,17644281.0,49440522.0,PT3600S
2022-03-03 10:00:00,627072.0,11978118897.0,33528948372.0,71101011.0,83552520.0,0.0,17746641.0,51232021.0,PT3600S
2022-03-03 11:00:00,627072.0,12074327524.0,33591038535.0,71250220.0,83524070.0,0.0,17975795.0,51257600.0,PT3600S
2022-03-03 12:00:00,627072.0,11437645567.0,32627040619.0,68346292.0,81045255.0,0.0,17199805.0,50860639.0,PT3600S
2022-03-03 13:00:00,627072.0,11226435271.0,32069463502.0,66108294.0,78701572.0,0.0,16852581.0,48207485.0,PT3600S
2022-03-03 14:00:00,627072.0,11499771353.0,33005030040.0,67446104.0,80610426.0,0.0,17693947.0,49711919.0,PT3600S
2022-03-03 15:00:00,627072.0,11858094956.0,33557951395.0,69107650.0,82303724.0,0.0,18210363.0,51393685.0,PT3600S
2022-03-03 16:00:00,627072.0,11573446130.0,33130975779.0,67103226.0,80410954.0,0.0,17923852.0,50886632.0,PT3600S
2022-03-03 17:00:00,627072.0,11937055277.0,33649973295.0,69703812.0,82493235.0,0.0,18170333.0,52717735.0,PT3600S
2022-03-03 18:00:00,627072.0,12898515727.0,35411035197.0,75110191.0,88404070.0,0.0,19929152.0,55419766.0,PT3600S
2022-03-03 19:00:00,627072.0,14496697677.0,35663393181.0,88375442.0,96703111.0,0.0,22379844.0,54186870.0,PT3600S
2022-03-03 20:00:00,627072.0,15732218299.0,33842765846.0,98419005.0,99840617.0,0.0,23566070.0,51990988.0,PT3600S
2022-03-03 21:00:00,627072.0,17847957716.0,39794528359.0,108028714.0,111780459.0,0.0,27933750.0,68110428.0,PT3600S
2022-03-03 22:00:00,627072.0,18776684064.0,51183085948.0,106159410.0,124447430.0,0.0,28191118.0,76795559.0,PT3600S
2022-03-03 23:00:00,627072.0,13555534616.0,44372717739.0,72988337.0,97119050.0,0.0,24670909.0,75411918.0,PT3600S
2022-03-06 02:00:00,627072.0,2821768489.0,12041251339.0,17096360.0,24163644.0,0.0,5403167.0,21686079.0,PT3600S
2022-03-06 03:00:00,627072.0,2249472423.0,9811899482.0,13721250.0,19794207.0,0.0,4052677.0,16015969.0,PT3600S
2022-03-06 04:00:00,627072.0,1939973821.0,8527146490.0,12216637.0,17040980.0,0.0,3405900.0,15275700.0,PT3600S
2022-03-06 05:00:00,627072.0,2264809348.0,10034341777.0,13763682.0,19937998.0,0.0,4256482.0,18136214.0,PT3600S
2022-03-06 06:00:00,627072.0,3727633713.0,15470104539.0,21502614.0,30851597.0,0.0,8333545.0,32101303.0,PT3600S
2022-03-06 07:00:00,627072.0,7581345942.0,27020300415.0,43937603.0,58241649.0,0.0,14352819.0,43936458.0,PT3600S
2022-03-06 08:00:00,627072.0,10041400929.0,28614576229.0,58117825.0,69110763.0,0.0,15391997.0,43894458.0,PT3600S
2022-03-06 09:00:00,627072.0,11177468806.0,30694683958.0,65953770.0,76432391.0,0.0,17394280.0,47318002.0,PT3600S
2022-03-06 10:00:00,627072.0,12383212466.0,33304746460.0,72567720.0,83635837.0,0.0,18513806.0,50306820.0,PT3600S
2022-03-06 11:00:00,627072.0,12884215323.0,34385910505.0,74798739.0,86702620.0,0.0,19093430.0,51850255.0,PT3600S
2022-03-06 12:00:00,627072.0,12948859284.0,34742388249.0,74905431.0,86467549.0,0.0,19291728.0,52162419.0,PT3600S
2022-03-06 13:00:00,627072.0,12839079349.0,34714001365.0,74883468.0,86593812.0,0.0,19000016.0,51854518.0,PT3600S
2022-03-06 14:00:00,627072.0,13570739511.0,35832276541.0,79932677.0,91003234.0,0.0,20138562.0,54579369.0,PT3600S
2022-03-06 15:00:00,627072.0,13994940682.0,36483010578.0,82494310.0,93280041.0,0.0,20709742.0,55413334.0,PT3600S
2022-03-06 16:00:00,627072.0,13469653626.0,35955492182.0,79081196.0,90986536.0,0.0,20705339.0,55620863.0,PT3600S
