begintime,ne_name,vendor,ne_type,sk_object,aggregation,integrity,L.Thrp.bits.DL,PDCP_SDU_VOL_DL
2022-02-17,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,87.5,47315854920.0,
2022-02-18,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,100.0,47767736800.0,
2022-02-19,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,100.0,78733124312.0,
2022-03-01,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,100.0,1298630224.0,
2022-03-03,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,100.0,20033093152.0,
2022-02-20,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,100.0,38883712808.0,
2022-03-02,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,100.0,29372802176.0,
2022-03-06,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,91.66666666666667,42462967048.0,
2022-03-09,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,4.166666666666667,2723852064.0,
2022-03-07,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,100.0,47242785496.0,
2022-03-10,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,95.83333333333333,12079775352.0,
2022-03-11,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,100.0,9899474336.0,
2022-03-12,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,79.16666666666667,658684344.0,
2022-03-14,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,100.0,7643226616.0,
2022-03-13,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,87.5,9251435528.0,
2022-03-15,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808672.0,dynamic,100.0,55569364280.0,
2022-02-03,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,909836159184.0,
2022-02-02,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,95.83333333333333,863887913384.0,
2022-02-04,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,913641672568.0,
2022-02-05,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,925190115624.0,
2022-02-06,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,901702385720.0,
2022-02-10,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,916106777312.0,
2022-02-08,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,823042527048.0,
2022-02-11,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,927329415992.0,
2022-02-12,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,940895683576.0,
2022-03-17,"MRBTS-5090,LNBTS-5090,LNCEL-31,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",847.0,dynamic,0.4166666666666667,,2090205.0
2022-02-17,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,87.5,850106475560.0,
2022-02-13,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,1033948884880.0,
2022-02-18,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,968813523008.0,
2022-02-19,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,926252228904.0,
2022-02-20,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,995280436288.0,
2022-03-02,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,884664533024.0,
2022-03-01,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,913134977864.0,
2022-03-03,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,891457185760.0,
2022-03-06,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,91.66666666666667,909645495912.0,
2022-03-07,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,878869782848.0,
2022-03-10,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,95.83333333333333,831062736408.0,
2022-03-09,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,4.166666666666667,58635337224.0,
2022-03-11,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,770327750952.0,
2022-03-12,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,79.16666666666667,795682936368.0,
2022-03-13,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,87.5,888407054056.0,
2022-03-14,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,787632514528.0,
2022-03-15,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808673.0,dynamic,100.0,851364530592.0,
2022-02-03,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,231689218808.0,
2022-02-02,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,95.83333333333333,127150860024.0,
2022-02-04,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,191703789656.0,
2022-02-05,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,188886708504.0,
2022-02-06,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,255777783792.0,
2022-02-10,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,166883973744.0,
2022-02-08,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,181962531128.0,
2022-02-11,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,183382700360.0,
2022-02-12,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,206726066256.0,
2022-02-17,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,87.5,189796809624.0,
2022-02-13,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,187222301768.0,
2022-02-18,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,138989721136.0,
2022-02-19,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",Huawei,eNodeB(4G) : Measurement of Cell Performance,808674.0,dynamic,100.0,163256544328.0,
