begintime,sk_object,duration,integrity,1593835630,1593835632,1593835633,1593835634,1593835679,1593835680,1593835681,1593835682
2022-03-06,7732598.0,79200.0,91.66666666666667,0.0,6.0,1.0,0.0,,,,
2022-03-15,7732634.0,86400.0,100.0,0.0,15.0,5.25,0.0,,,,
2022-03-12,7732595.0,68400.0,79.16666666666667,0.0,6.0,3.8421052631578947,0.0,,,,
2022-02-03,7732636.0,86400.0,100.0,0.0,12.0,4.833333333333333,0.0,,,,
2022-02-04,7732650.0,86400.0,100.0,0.0,12.0,4.708333333333333,0.0,,,,
2022-03-07,7732650.0,86400.0,100.0,0.0,11.0,4.875,0.0,,,,
2022-02-10,7732615.0,86400.0,100.0,0.0,13.0,7.666666666666667,0.0,,,,
2022-03-11,7732707.0,86400.0,100.0,0.0,8.0,5.666666666666667,0.0,,,,
2022-02-13,7732757.0,86400.0,100.0,0.0,7.0,5.0,0.0,,,,
2022-02-20,7732665.0,86400.0,100.0,0.0,6.0,4.0,0.0,,,,
2022-03-12,7732666.0,68400.0,79.16666666666667,0.0,5.0,1.0,0.0,,,,
2022-03-14,7732677.0,86400.0,100.0,0.0,7.0,4.958333333333333,0.0,,,,
2022-02-04,7732708.0,86400.0,100.0,0.0,15.0,6.375,0.0,,,,
2022-02-06,7732706.0,86400.0,100.0,0.0,12.0,4.791666666666667,0.0,,,,
2022-02-17,7732717.0,75600.0,87.5,0.0,26.0,11.19047619047619,0.0,,,,
2022-03-07,7732696.0,82800.0,95.83333333333333,0.0,42.0,4.695652173913044,0.0,,,,
2022-03-12,10348761.0,68400.0,79.16666666666667,0.0,5.0,1.0,0.0,,,,
2022-02-11,7732621.0,82800.0,95.83333333333333,0.0,64.0,6.521739130434782,0.0,,,,
2022-02-13,7732681.0,86400.0,100.0,0.0,7.0,4.625,0.0,,,,
2022-02-05,7732747.0,86400.0,100.0,0.0,10.0,6.666666666666667,0.0,,,,
2022-03-11,7732588.0,86400.0,100.0,0.0,5.0,1.0,0.0,,,,
