begintime,ne_name,sk_object,ne_type,vendor,integrity,L.E-RAB.NormRel,ERAB_REL_ENB,NOKIA LTE_DL Traffic(GB),HU LTE_DL Traffic(GB),NOKIA/HU DL Traffic_LTE,HU LTE_RRC SR%,HU LTE_ERAB Setup SR%,NOKIA LTE_ERAB Setup SR%,NOKIA/HU ERAB Setup SR%_LTE,HU LTE_ERAB Drop%,NOKIA LTE_ERAB Drop%,ERAB Setup Numerator,id
2022-02-02,"4G_CITYROAD/Cell:eNodeB Function Name=4G_CITYROAD,Local Cell ID=2,Cell Name=4G_CITYROAD-2,eNodeB ID=5040,Cell FDD TDD indication=CELL_FDD",808704.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,76474.0,,0.0,42.9526,42.9526,99.9687,95.6246,,95.6246,0.2075,,70833.0,54
2022-02-02,"4G_CITYROAD/Cell:eNodeB Function Name=4G_CITYROAD,Local Cell ID=3,Cell Name=4G_CITYROAD-3,eNodeB ID=5040,Cell FDD TDD indication=CELL_FDD",809088.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,100847.0,,0.0,55.458,55.458,99.9296,95.9192,,95.9192,0.192,,87227.0,55
2022-02-02,"4G_CKC_BO/Cell:eNodeB Function Name=4G_CKC_BO,Local Cell ID=1,Cell Name=4G_CKC_BO-1,eNodeB ID=5071,Cell FDD TDD indication=CELL_FDD",809062.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,8179.0,,0.0,6.2634,6.2634,99.977,99.9032,,99.9032,0.0122,,8255.0,56
2022-02-02,"4G_CKC_BO/Cell:eNodeB Function Name=4G_CKC_BO,Local Cell ID=2,Cell Name=4G_CKC_BO-2,eNodeB ID=5071,Cell FDD TDD indication=CELL_FDD",808937.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,18395.0,,0.0,12.9514,12.9514,99.9331,99.8703,,99.8703,0.0326,,18475.0,57
2022-02-02,"4G_CKC_BO/Cell:eNodeB Function Name=4G_CKC_BO,Local Cell ID=3,Cell Name=4G_CKC_BO-3,eNodeB ID=5071,Cell FDD TDD indication=CELL_FDD",808958.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,15608.0,,0.0,21.1652,21.1652,99.956,99.9495,,99.9495,0.0256,,15846.0,58
2022-02-02,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN,Local Cell ID=1,Cell Name=4G_CLINETOWN-1,eNodeB ID=5029,Cell FDD TDD indication=CELL_FDD",808752.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,303546.0,,0.0,102.7375,102.7375,99.9097,99.542,,99.542,0.0155,,267093.0,59
2022-02-02,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN,Local Cell ID=2,Cell Name=4G_CLINETOWN-2,eNodeB ID=5029,Cell FDD TDD indication=CELL_FDD",809147.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,227313.0,,0.0,81.979,81.979,99.907,99.6848,,99.6848,0.0224,,202063.0,60
2022-02-02,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN,Local Cell ID=3,Cell Name=4G_CLINETOWN-3,eNodeB ID=5029,Cell FDD TDD indication=CELL_FDD",808825.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,268835.0,,0.0,98.5543,98.5543,99.9423,99.6482,,99.6482,0.0141,,246735.0,61
2022-02-02,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN,Local Cell ID=6,Cell Name=4G_CLINETOWN-6,eNodeB ID=5029,Cell FDD TDD indication=CELL_FDD",808987.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,98579.0,,0.0,69.0373,69.0373,99.9538,99.8714,,99.8714,0.0091,,111037.0,62
2022-02-02,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN,Local Cell ID=7,Cell Name=4G_CLINETOWN-7,eNodeB ID=5029,Cell FDD TDD indication=CELL_FDD",809101.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,111101.0,,0.0,31.6461,31.6461,99.9851,99.9231,,99.9231,0.0072,,119491.0,63
2022-02-02,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN,Local Cell ID=8,Cell Name=4G_CLINETOWN-8,eNodeB ID=5029,Cell FDD TDD indication=CELL_FDD",809189.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,132222.0,,0.0,50.6226,50.6226,99.9777,99.7154,,99.7154,0.0038,,136625.0,64
2022-02-02,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=1,Cell Name=4G_COLEFARM_II-1,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",808929.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,74248.0,,0.0,63.7597,63.7597,99.9672,99.8023,,99.8023,0.0202,,66139.0,65
2022-02-02,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=2,Cell Name=4G_COLEFARM_II-2,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",808845.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,95428.0,,0.0,43.933,43.933,99.9019,99.5716,,99.5716,0.0199,,82049.0,66
2022-02-02,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=3,Cell Name=4G_COLEFARM_II-3,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809119.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,32973.0,,0.0,42.3722,42.3722,99.9683,99.7209,,99.7209,0.0152,,27864.0,67
2022-02-02,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809051.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,62370.0,,0.0,45.7322,45.7322,99.9822,99.9408,,99.9408,0.0032,,64158.0,68
2022-02-02,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=7,Cell Name=4G_COLEFARM_II-7,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809172.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,177655.0,,0.0,88.8293,88.8293,99.9551,99.8242,,99.8242,0.0118,,193078.0,69
