begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,EPS_BEARER_SETUP_ATTEMPTS,ERAB_REL_ENB,ERAB_REL_ENB_RNL_INA,ERAB_REL_ENB_RNL_RED,ERAB_REL_ENB_RNL_RRNA,ERAB_REL_EPC_PATH_SWITCH,ERAB_REL_TEMP_QCI1,ERAB_REL_SUCC_HO_UTRAN,ERAB_REL_SUCC_HO_GERAN,ERAB_REL_ENB_INI_S1_GLOB_RESET,ERAB_REL_MME_INI_S1_GLOB_RESET,ERAB_REL_ENB_INI_S1_PART_RESET,ERAB_REL_MME_INI_S1_PART_RESET,ERAB_REL_S1_OUTAGE,EPS_BEARER_SETUP_COMPLETIONS,EPC_EPS_BEARER_REL_REQ_NORM,EPC_EPS_BEARER_REL_REQ_DETACH,EPC_EPS_BEARER_REL_REQ_RNL,EPC_EPS_BEARER_REL_REQ_OTH,ERAB_REL_HO_PART
2024-03-17,"MRBTS-5090,LNBTS-5090,LNCEL-1,MCC-619,MNC-05",606.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,141.0,141.0,138.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,5.0,0.0,0.0,0.0,0.0
2024-03-16,"MRBTS-5090,LNBTS-5090,LNCEL-1,MCC-619,MNC-05",606.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,141.0,141.0,138.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,5.0,0.0,0.0,0.0,0.0
2024-03-17,"MRBTS-5083,LNBTS-5083,LNCEL-1,MCC-619,MNC-05",573.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,90.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,2.0,0.0,0.0,0.0
2024-03-16,"MRBTS-5083,LNBTS-5083,LNCEL-1,MCC-619,MNC-05",573.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,90.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,2.0,0.0,0.0,0.0
2024-03-17,"MRBTS-5084,LNBTS-5084,LNCEL-21,MCC-619,MNC-05",578.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,55.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0
2024-03-16,"MRBTS-5084,LNBTS-5084,LNCEL-21,MCC-619,MNC-05",578.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,55.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0
2024-03-17,"MRBTS-5089,LNBTS-5089,LNCEL-3,MCC-619,MNC-05",580.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,105.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0
2024-03-16,"MRBTS-5089,LNBTS-5089,LNCEL-3,MCC-619,MNC-05",580.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,105.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0
2024-03-17,"MRBTS-5090,LNBTS-5090,LNCEL-11,MCC-619,MNC-05",581.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,13.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
2024-03-16,"MRBTS-5090,LNBTS-5090,LNCEL-11,MCC-619,MNC-05",581.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,13.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
