begintime,sk_object,duration,integrity,67194469,67194470,67194471,67194472,67194473
2022-02-04,805832.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,805834.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,805830.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0,0.0
2022-03-11,805831.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,805833.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-08,805834.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,805831.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-02-05,805832.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,805834.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,805844.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,805845.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,805832.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,805844.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,805830.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-02-12,805844.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,805844.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,805831.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,805834.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,805831.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-08,805845.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,805845.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,805833.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,805831.0,3600.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0
2022-03-01,805834.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,805833.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,805832.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,805845.0,3600.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-05,805845.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,805844.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,805831.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-05,805834.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,805844.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0
2022-02-10,805831.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,805832.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,805834.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
2022-03-15,805831.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0
2022-03-07,805834.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0
2022-03-10,805830.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-13,805832.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,805835.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,805831.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,805835.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-03-14,805834.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,805831.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,805844.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-03-14,805831.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,805834.0,3600.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0
2022-03-02,805832.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,805845.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,805832.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,805830.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0
2022-03-10,805845.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
2022-03-12,805844.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-10,805830.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,805835.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,805845.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,805833.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-03-10,805844.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-06,805844.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,805845.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,805831.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,805830.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,805845.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-12,805835.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,805832.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0
2022-02-06,805831.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,805845.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-03-12,805834.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-04,805845.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,805832.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-02-18,805835.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,805833.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
2022-03-07,805831.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0
2022-02-10,805845.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,805830.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,805831.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,805844.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-08,805835.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,805835.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,805833.0,3600.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-20,805835.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,805831.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-02-10,805834.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,805830.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,805832.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-19,805835.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-05,805835.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,805844.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,805834.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0
2022-02-04,805834.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,805832.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-03-07,805832.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0
2022-03-01,805845.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,805830.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,805845.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0,0.0
2022-03-15,805845.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0
2022-02-08,805844.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-06,805833.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
2022-03-14,805844.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
