vendor,table_name,table_id,counter_name,counter_name_alias,counter_id,counter_description,counter_unit,aggregation,enabled,enable_for_parser_module,mapped_object_id,tables_in_database,mapped_object_name
Nokia,LTE Power and Quality DL,8010,CQI Level 0 for Codeword 1 Reported by 256QAM-configured UEs,UE_256QAM_CONF_CQI_CW1_LEVEL0,M8010C132,Wideband Channel Quality Indicator CQI class 00 for Codeword 1 reported by 256QAM-configured UEs.,Integer number,Sum,1,1,284,"nokia_common_8010,nokia_macro_8010","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Power and Quality DL,8010,CQI Level 9 for Codeword 1 Reported by 256QAM-configured UEs,UE_256QAM_CONF_CQI_CW1_LEVEL9,M8010C141,Wideband Channel Quality Indicator CQI class 09 for Codeword 1 reported by 256QAM-configured UEs.,Integer number,Sum,1,1,284,"nokia_common_8010,nokia_macro_8010","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Power and Quality DL,8010,CQI Level 10 for Codeword 1 Reported by 256QAM-configured UEs,UE_256QAM_CONF_CQI_CW1_LEVEL10,M8010C142,Wideband Channel Quality Indicator CQI class 10 for Codeword 1 reported by 256QAM-configured UEs.,Integer number,Sum,1,1,284,"nokia_common_8010,nokia_macro_8010","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Power and Quality DL,8010,CQI Level 13 for Codeword 1 Reported by 256QAM-configured UEs,UE_256QAM_CONF_CQI_CW1_LEVEL13,M8010C145,Wideband Channel Quality Indicator CQI class 13 for Codeword 1 reported by 256QAM-configured UEs.,Integer number,Sum,1,1,284,"nokia_common_8010,nokia_macro_8010","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Power and Quality DL,8010,CQI Level 15 for Codeword 1 Reported by 256QAM-configured UEs,UE_256QAM_CONF_CQI_CW1_LEVEL15,M8010C147,Wideband Channel Quality Indicator CQI class 15 for Codeword 1 reported by 256QAM-configured UEs.,Integer number,Sum,1,1,284,"nokia_common_8010,nokia_macro_8010","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Power and Quality DL,8010,Number of times when Beam ID 27 is used for the TM9 transmission.,BEAMID_27_USAGE_TM9,M8010C177,"This counter provides the number of times when beam from group 27 is used for the TM9 transmission. 

Note: Beams are dynamically updated by the UE feedback information, and a single beam is assigned per layer, which means that for a 4-layer transmission, 4 beams shall be used.",Integer number,Sum,1,1,284,"nokia_common_8010,nokia_macro_8010","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Power and Quality DL,8010,TM8 dual-user single-stream Beamforming mode,TM8_DUAL_USER_SINGLE_BF_MODE,M8010C66,This counter provides the number of PDSCH transmissions in dual-user single-stream beamforming mode in TM8.,Integer number,Sum,1,1,284,"nokia_common_8010,nokia_macro_8010","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Power and Quality DL,8010,Average PDCCH power per RE per DCI,PDCCH_POWER_AVG,M8010C67,"This measurement provides final PDCCH power per RE per DCI in each TTI without considering the cell/OFDM-symbol wide positive or negative adjustments.
The reported value [in dBm] is 100 times higher than the actual value (for example 1.00 is stored as 100).",Integer number,Average,1,1,284,"nokia_common_8010,nokia_macro_8010","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Power and Quality DL,8010,TM7 Beamforming mode,TM7_BF_MODE,M8010C68,This measurement provides the number of PDSCH transmissions in TM7 (single-stream beamforming mode).,Integer number,Sum,1,1,284,"nokia_common_8010,nokia_macro_8010","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Power and Quality DL,8010,TM9 dual-user single-stream mode,TM9_DUAL_USER_SINGLE_STREAM,M8010C70,This counter provides the number of PDSCH transmissions in dual-user single-stream mode in TM9.,Integer number,Sum,1,1,284,"nokia_common_8010,nokia_macro_8010","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Power and Quality DL,8010,MIMO Closed Loop Double Codeword Three Layer,MIMO_CL_2CW_3LAYER,M8010C71,This counter provides the number of times when MIMO Closed loop 2 Code Word mapping to 3-Layer mode is used.,Integer number,Sum,1,1,284,"nokia_common_8010,nokia_macro_8010","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Power and Quality DL,8010,MIMO Closed Loop Single Codeword Two Layer,MIMO_CL_1CW_2LAYER,M8010C73,This counter provides the number of times when MIMO Closed loop 1 Code Word mapping to 2-Layer mode is used.,Integer number,Sum,1,1,284,"nokia_common_8010,nokia_macro_8010","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Power and Quality DL,8010,Average Transmit Power,AVG_TRANS_PWR,M8010C74,"This measurement provides the average transmit power in milliwatts at the end of the collection interval.

This measurement has been tested and is released for the FRMr2.3 RF modules, the Fujitsu Single-Technology (ST-RRH), Multi-Technology (MT-RRH), and New-Design Multi-Technology (NDMT-RRH) Remote Radio Heads (RRH).",mW,Average,1,1,284,"nokia_common_8010,nokia_macro_8010","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Power and Quality DL,8010,UE Reported CQI Level 6 for Codeword 1,UE_REP_CQI_CW1_LEVEL_6,M8010C82,"This counter is part of the histogram ""UE Reported CQIs for Codeword 1"" and provides the number of events when the UE reports a wideband CQI (Channel Quality Information) level 6 for Codeword 1 (3GPP TS 36.212, 36.213, 36.331).
Only wideband CQI reports for Codeword 1 are counted; wideband CQI reports for Codeword 0 are not counted.",Integer number,Sum,1,1,284,"nokia_common_8010,nokia_macro_8010","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Power and Quality DL,8010,MIMO Closed Loop Double Codeword Two Layer TM9,MIMO_CL_2CW_2LAYER_TM9,M8010C97,"This counter provides the number of times that the MIMO Closed loop 2 Code Word mapping to 2-Layer mode is used in TM9.

Note: This counter also includes the transmissions done in UMsf (Unicast MBSFN subframe).",Integer number,Sum,1,1,284,"nokia_common_8010,nokia_macro_8010","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Power and Quality DL,8010,MIMO Closed Loop Double Codeword Four Layer TM9,MIMO_CL_2CW_4LAYER_TM9,M8010C99,"This counter provides the number of times that the MIMO Closed loop 2 Code Word mapping to 4-Layer mode is used in TM9.

Note: This counter also includes the transmissions done in UMsf (Unicast MBSFN subframe).",Integer number,Sum,1,1,284,"nokia_common_8010,nokia_macro_8010","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Resource,8011,Cell DL Available Capacity for non-GBR bearers in the range 40 < DL non-GBR AC <= 60,DL_AC_NON_GBR_40_TO_60,M8011C105,"This counter is a part of the histogram ""Cell DL Available Capacity (DL AC) for non-GBR bearers"" and provides the number of events when the measured downlink AC for non-GBR bearers of the cell was in the range 40 < DL non-GBR AC <= 60.
Load balancing is activated to shift traffic from the high-loaded LTE serving cell to the lower-loaded LTE neighbor cell by favoring handovers from the serving cell to the neighbor cell (by applying neighbor-cell-related handover thresholds that favor handovers to the neighbor cell).
The DL non-GBR AC of the cell is measured by the eNB internally and is used by the eNB in the context of cell load measurements for load balancing between cells (3GPP TS 36.423). A DL non-GBR AC value of ""0"" indicates no available capacity, and a value of ""100"" indicates maximum available capacity in the cell (see 3GPP TS 36.423).",Integer number,Sum,1,1,284,"nokia_common_8011,nokia_macro_8011","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Resource,8011,Number of successful SCell configurations with UL CA,CA_UL_SCELL_CONFIG_SUCC,M8011C172,This counter provides the number of successful SCell configuration attempts by UL CA.,Integer number,Sum,1,1,284,"nokia_common_8011,nokia_macro_8011","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,DN2,063,DEGRADED MINUTES,DEGRADED_MIN,063004,The degraded minutes.,min,Sum,1,1,224,,"BSC-DN2,CHNBR,PORT"
Nokia,LTE Cell Resource,8011,UL PRB utilization per TTI Level 1,UL_PRB_UTIL_TTI_LEVEL_1,M8011C12,The Physical Resource Block (PRB) utilization per TTI. The utilization is defined by the rate of used PRB per TTI. Utilization in the range of <= 10% is updated to this counter.,Integer number,Sum,1,1,284,"nokia_common_8011,nokia_macro_8011","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Resource,8011,PRB utilization of CRE UEs in DL ABS sub-frames per TTI Level 2,E_ICIC_DL_PRB_UTIL_LEVEL_2,M8011C120,"This counter provides the number of ABS sub-frames of CRE UEs with a PRB utilization range of 10 % < x <= 20 %. The PRB utilization is defined as the ratio of used PRB per ABS sub-frame compared to the total number of PRBs for dynamic scheduling of user plane traffic in the same TTI. 
Note: ""CRE UEs"" are UEs located in the range expansion area of the small cell.",Integer number,Sum,1,1,284,"nokia_common_8011,nokia_macro_8011","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Throughput,8012,MAC PDU volume PUSCH MCS18,TB_VOL_PUSCH_MCS18,M8012C66,The size of transport blocks scheduled on PUSCH per Modulation and Coding Scheme. The volume of MAC PDUs is considered.,bytes,Sum,1,1,284,"nokia_common_8012,nokia_macro_8012","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Resource,8011,PRB utilization of CRE UEs in DL ABS sub-frames per TTI Level 6,E_ICIC_DL_PRB_UTIL_LEVEL_6,M8011C124,"This counter provides the number of ABS sub-frames of CRE UEs with a PRB utilization range of 50 % < x <= 60 %. The PRB utilization is defined as the ratio of used PRB per ABS sub-frame compared to the total number of PRBs for dynamic scheduling of user plane traffic in the same TTI. 
Note: ""CRE UEs"" are UEs located in the range expansion area of the small cell.",Integer number,Sum,1,1,284,"nokia_common_8011,nokia_macro_8011","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Resource,8011,Average use ratio of PUSCH PRBs per TTI shared in UL MU-MIMO mode by 6 paired UEs,UL_MUMIMO_6PAIR_PUSCH_PRB_AVG,M8011C254,"This counter provides the average utilization ratio of PUSCH PRBs per TTI, which are shared by 6 paired UEs in UL MU-MIMO mode. This means that in each TTI, the number of shared PUSCH PRBs is divided by the total number of available PUSCH PRBs in this TTI.
The reported value is 100 times higher than the actual value (for example, 0.47 is stored as 47).",Integer number,Average,1,1,284,"nokia_common_8011,nokia_macro_8011","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Resource,8011,DL PRB utilization per TTI Level 2,DL_PRB_UTIL_TTI_LEVEL_2,M8011C26,The Physical Resource Block (PRB) utilization per TTI. The utilization is defined by the rate of used PRB per TTI. Utilization in the range of 10% < PRBUTIL < = 20% is updated to this counter.,Integer number,Sum,1,1,284,"nokia_common_8011,nokia_macro_8011","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Resource,8011,DL PRB utilization per TTI Level 3,DL_PRB_UTIL_TTI_LEVEL_3,M8011C27,The Physical Resource Block (PRB) utilization per TTI. The utilization is defined by the rate of used PRB per TTI. Utilization in the range of 20% < PRBUTIL < = 30% is updated to this counter.,Integer number,Sum,1,1,284,"nokia_common_8011,nokia_macro_8011","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Resource,8011,Number of SCell configurations blocked due to RRC connections load,NUM_LD_BLK_RRC_SCEL,M8011C279,This counter provides the number of times when SCell configuration was blocked due to exceeding the RRC connections thresholds.,Integer number,Sum,1,1,284,"nokia_common_8011,nokia_macro_8011","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Resource,8011,DL PRB utilization per TTI Level 4,DL_PRB_UTIL_TTI_LEVEL_4,M8011C28,The Physical Resource Block (PRB) utilization per TTI. The utilisation is defined by the rate of used PRB per TTI. Utilization in the range of 30% < PRBUTIL < = 40% is updated to this counter.,Integer number,Sum,1,1,284,"nokia_common_8011,nokia_macro_8011","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Resource,8011,Number of Load Based PCell configuration checks,NUM_LD_CHK_PCEL,M8011C280,This counter provides the number of Load Based PCell blocking conditions checks.,Integer number,Sum,1,1,284,"nokia_common_8011,nokia_macro_8011","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Resource,8011,Average number of UL used PRB per TTI for UCI only transmissions,PRB_USED_UCI_ONLY_AVG,M8011C283,"This counter provides the average number of used PRB in uplink per TTI, which the UL grants for UCI-only transmissions.  
The reported value is 100 times higher than the actual value (for example, 1.00 is stored as 100).",Integer number,Average,1,1,284,"nokia_common_8011,nokia_macro_8011","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Resource,8011,Cumulative usable shared spectrum,DSS_USABLE_PRB_SUM,M8011C295,This counter provides the aggregated number of PRBs from the shared spectrum that are available for allocation to LTE.,Integer number,Sum,1,1,284,"nokia_common_8011,nokia_macro_8011","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Resource,8011,DL PRB utilization per TTI Level 9,DL_PRB_UTIL_TTI_LEVEL_9,M8011C33,The Physical Resource Block (PRB) utilization per TTI. The utilization is defined by the rate of used PRB per TTI. Utilization in the range of 80% < PRBUTIL < = 90% is updated to this counter.,Integer number,Sum,1,1,284,"nokia_common_8011,nokia_macro_8011","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Resource,8011,DL PRB utilization per TTI Level 10,DL_PRB_UTIL_TTI_LEVEL_10,M8011C34,The Physical Resource Block (PRB) utilization per TTI. The utilization is defined by the rate of used PRB per TTI. Utilization in the range of 90% < PRBUTIL < = 100% is updated to this counter.,Integer number,Sum,1,1,284,"nokia_common_8011,nokia_macro_8011","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Resource,8011,Cell DL Available Capacity for PDCCH in the range 20 < PDCCH AC <= 40,DL_AC_PDCCH_20_TO_40,M8011C92,"This counter is a part of the histogram ""Cell DL Available Capacity (DL AC) for PDCCH"" and provides the number of events when the measured PDCCH AC of the cell was in the range 20 < PDCCH AC <= 40.
Load balancing is activated to shift traffic from the high-loaded LTE serving cell to the lower-loaded LTE neighbor cell by favoring handovers from the serving cell to the neighbor cell (by applying neighbor-cell-related handover thresholds that favor handovers to the neighbor cell).
The PDCCH AC of the cell is measured by the eNB internally and is used by the eNB in the context of cell load measurements for load balancing between cells (3GPP TS 36.423). A PDCCH AC value of ""0"" indicates no available capacity, and a value of ""100"" indicates maximum available capacity in the cell (see 3GPP TS 36.423).",Integer number,Sum,1,1,284,"nokia_common_8011,nokia_macro_8011","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Throughput,8012,PCell RLC data volume in UL,RLC_PDU_UL_VOL_CA_PCELL,M8012C196,This counter provides the UL data volume for the UEs that use this cell as PCell for CA,kilobytes,Sum,1,1,284,"nokia_common_8012,nokia_macro_8012","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE S1AP,8000,Number of Uplink NAS Transport messages,S1AP_NAS_UPLINK,M8000C29,The number of Uplink NAS Transport messages sent to MME.,Integer number,Sum,1,1,282,"nokia_common_8000,nokia_macro_8000",PLMN-MRBTS-LNBTS
Nokia,LTE Cell Throughput,8012,MAC PDU volume PUSCH MCS9,TB_VOL_PUSCH_MCS9,M8012C57,The size of transport blocks scheduled on PUSCH per Modulation and Coding Scheme. The volume of MAC PDUs is considered.,bytes,Sum,1,1,284,"nokia_common_8012,nokia_macro_8012","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Throughput,8012,MAC PDU volume PUSCH MCS12,TB_VOL_PUSCH_MCS12,M8012C60,The size of transport blocks scheduled on PUSCH per Modulation and Coding Scheme. The volume of MAC PDUs is considered.,bytes,Sum,1,1,284,"nokia_common_8012,nokia_macro_8012","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Throughput,8012,MAC PDU volume PUSCH MCS14,TB_VOL_PUSCH_MCS14,M8012C62,The size of transport blocks scheduled on PUSCH per Modulation and Coding Scheme. The volume of MAC PDUs is considered.,bytes,Sum,1,1,284,"nokia_common_8012,nokia_macro_8012","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Throughput,8012,MAC PDU volume PUSCH MCS16,TB_VOL_PUSCH_MCS16,M8012C64,The size of transport blocks scheduled on PUSCH per Modulation and Coding Scheme. The volume of MAC PDUs is considered.,bytes,Sum,1,1,284,"nokia_common_8012,nokia_macro_8012","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Throughput,8012,MAC SDU volume on UL-DCCH,MAC_SDU_VOL_UL_DCCH,M8012C70,MAC SDU volume on UL-DCCH,kilobytes,Sum,1,1,284,"nokia_common_8012,nokia_macro_8012","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Throughput,8012,MAC SDU volume on DL-DTCH,MAC_SDU_VOL_DL_DTCH,M8012C76,"MAC SDU volume on DL-DTCH.

In case of FDD Inter-band/Intra-band Carrier Aggregation with Two Flexi Zone Micro BTSs (LTE1858), the counter is applicable only to PCell traffic, that is, the SCell data is excluded.",kilobytes,Sum,1,1,284,"nokia_common_8012,nokia_macro_8012","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Throughput,8012,MAC PDU volume PDSCH MCS27,TB_VOL_PDSCH_MCS27,M8012C87,The size of transport blocks scheduled on PDSCH using MCS27 Modulation and Coding Scheme. The volume of MAC PDUs is considered.,bytes,Sum,1,1,284,"nokia_common_8012,nokia_macro_8012","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE Cell Throughput,8012,MAC PDU volume PDSCH MCS28,TB_VOL_PDSCH_MCS28,M8012C88,The size of transport blocks scheduled on PDSCH using MCS28 Modulation and Coding Scheme. The volume of MAC PDUs is considered.,bytes,Sum,1,1,284,"nokia_common_8012,nokia_macro_8012","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE UE State,8013,Number of detected Radio Link Failures for Maximum number of Downlink RLC Retransmissions,DETECTED_RLF_MAX_DL_RETR,M8013C109,"This counter denotes the number of UE releases or Intra-Cell Handovers started with the root cause Maximum number of Downlink RLC retransmissions for SRB1, SRB2 or DRB.

Note: Only legacy UEs shall be considered in this counter. There are dedicated counters for LTE-M and NB-IoT UEs.

Note: If the RLF condition is detected after the Handover command has been send to the UE (in a Handover scenario) it shall not be counted.",Integer number,Sum,1,1,284,"nokia_common_8013,nokia_macro_8013","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE UE State,8013,Number of detected Radio Link Failures for PUSCH or missing HARQ feedback,DETECTED_RLF_UL_PUSCH_HARQ,M8013C110,"This counter denotes the number of times the RLF timer was started (RLF condition was detected by the eNB) with the root cause PUSCH or missing HARQ feedback (ACK/NACK).

Note: If the RLF condition is detected after the Handover command has been send to the UE (in a Handover scenario) it shall not be counted.",Integer number,Sum,1,1,284,"nokia_common_8013,nokia_macro_8013","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE UE State,8013,eNB-initiated UE context releases due to TNL unspecified,UE_CTX_REL_ENB_TNL_UNSP,M8013C116,"This counter provides the number of UE context releases initiated by the eNB  due to ""TNL Unspecified"" cause.",Integer number,Sum,1,1,284,"nokia_common_8013,nokia_macro_8013","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE UE State,8013,Signaling Connection Establishment completions for emergency calls,SIGN_CONN_ESTAB_COMP_EMG,M8013C26,The number of Signaling Connection Establishment completions for emergency calls,Integer number,Sum,1,1,284,"nokia_common_8013,nokia_macro_8013","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE UE State,8013,Number of rejected RRC Connection Establishment Requests for emergency access,SIGN_CONN_ESTAB_REJ_EMG,M8013C30,"This measurement provides the total number of rejected RRC Connection Establishment Requests for establishment cause ""emergency"" irrespective of the rejection reason, which might be for example, lack of radio resources, overload  or any other reason.",Integer number,Sum,1,1,284,"nokia_common_8013,nokia_macro_8013","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE UE State,8013,Signaling Connection Establishment completions for high priority calls,SIGN_CONN_ESTAB_SUCC_HIPRIO,M8013C32,The number of Signaling Connection Establishment completions for highPriorityAccess calls.,Integer number,Sum,1,1,284,"nokia_common_8013,nokia_macro_8013","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
Nokia,LTE UE State,8013,"eNB initiated UE Context releases with radio network layer cause ""Inter-RAT redirection"" due to coverage reasons",UE_CTX_REL_ENB_RNL_IRAT_RED_CO,M8013C76,"This counter shows the number of released UE Contexts initiated by the eNB with radio network layer cause ""Inter-RAT redirection"" due to coverage reasons.

Note: Redirects due to coverage reasons come from feature LTE423 RRC connection release with redirect to WCDMA, GSM, eHRPD, CDMA/1xRTT and feature LTE1073 Measurement-based Redirect to UTRAN excluding cases when the trigger of redirect is feature LTE736 CS Fallback to UTRAN.

Note: ""S1AP: UE Context Release Request with cause """"Inter-RAT redirection"""" in case of eNACC to GSM and supervision timer TeNACCoverall expires (error handling) are excluded.
Redirect events towards Home eNodeB are excluded.""

Note2: Measurement based redirections to GERAN are currently not supported.",Integer number,Sum,1,1,284,"nokia_common_8013,nokia_macro_8013","PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC"
