begintime,sk_object,duration,integrity,M8004C0,M8004C1,M8004C2,M8004C3,M8004C4,M8004C5,M8004C6
2022-03-16,16134.0,1399.0,97.15277777777777,82404636.0,80037333.0,216311761.0,316472341.0,0.0,0.0,0.0
2022-03-16,16125.0,1440.0,100.0,12240092.0,14899755.0,51919445.0,48486110.0,0.0,0.0,0.0
2022-03-19,16139.0,1311.0,91.04166666666667,9086944.0,10335776.0,19997917.0,32727130.0,0.0,0.0,0.0
2022-03-17,16135.0,1380.0,95.83333333333333,30398248.0,33359994.0,81994538.0,75521622.0,0.0,0.0,0.0
2022-03-15,16128.0,1440.0,100.0,103703487.0,103038993.0,279044596.0,237752520.0,0.0,0.0,0.0
2022-03-18,16134.0,1440.0,100.0,91902810.0,89568652.0,233946467.0,301906470.0,0.0,0.0,0.0
2022-03-16,16128.0,1440.0,100.0,103154901.0,102588224.0,263155358.0,221934788.0,0.0,0.0,0.0
2022-03-18,16122.0,1440.0,100.0,776648.0,764196.0,883370.0,1811382.0,0.0,0.0,0.0
2022-03-16,16131.0,1440.0,100.0,105959643.0,102947434.0,258993097.0,251249123.0,0.0,0.0,0.0
2022-03-17,16129.0,1440.0,100.0,27768.0,25075.0,5032.0,131016.0,0.0,0.0,0.0
2022-03-13,16126.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,16135.0,1416.0,98.33333333333333,27100803.0,29340589.0,90979125.0,76048456.0,0.0,0.0,0.0
2022-03-11,16125.0,1440.0,100.0,11959354.0,13785045.0,31439192.0,39067455.0,0.0,0.0,0.0
2022-03-11,16137.0,1440.0,100.0,26353389.0,25674843.0,85873466.0,95523749.0,0.0,0.0,0.0
2022-03-19,16130.0,1380.0,95.83333333333333,22387920.0,25934984.0,57769647.0,96128168.0,0.0,0.0,0.0
2022-03-18,16121.0,1440.0,100.0,61476827.0,61831422.0,169498374.0,202889821.0,0.0,0.0,0.0
2022-03-11,16133.0,1440.0,100.0,2718103.0,4437176.0,4285773.0,5526685.0,0.0,0.0,0.0
2022-03-14,16139.0,1440.0,100.0,7227384.0,8656153.0,16491266.0,24487327.0,0.0,0.0,0.0
2022-03-15,16131.0,1440.0,100.0,105294573.0,101724858.0,275015700.0,275005266.0,0.0,0.0,0.0
2022-03-13,16136.0,1404.0,97.5,37210815.0,33977282.0,63920284.0,81745267.0,0.0,0.0,0.0
2022-03-15,16124.0,1440.0,100.0,9260190.0,9778317.0,35195064.0,24773132.0,0.0,0.0,0.0
2022-03-19,16134.0,1320.0,91.66666666666667,100615159.0,97169387.0,254204067.0,342294759.0,0.0,0.0,0.0
2022-03-19,16121.0,1250.0,86.80555555555556,57587562.0,58770849.0,152377745.0,195054090.0,0.0,0.0,0.0
2022-03-16,16130.0,1440.0,100.0,20943273.0,23257694.0,61403282.0,101237740.0,0.0,0.0,0.0
2022-03-12,16133.0,1440.0,100.0,2735670.0,4629442.0,4890882.0,6267633.0,0.0,0.0,0.0
2022-03-12,16128.0,1440.0,100.0,106546148.0,106574390.0,295306341.0,236456862.0,0.0,0.0,0.0
2022-03-19,16128.0,1311.0,91.04166666666667,97027467.0,96357949.0,259513619.0,196235011.0,0.0,0.0,0.0
2022-03-19,16125.0,1380.0,95.83333333333333,13967241.0,16060205.0,37886274.0,37450102.0,0.0,0.0,0.0
2022-03-14,16131.0,1440.0,100.0,96697400.0,93410835.0,237411495.0,225934660.0,0.0,0.0,0.0
2022-03-18,16124.0,1440.0,100.0,10013768.0,10593244.0,27441017.0,17730422.0,0.0,0.0,0.0
2022-03-15,16126.0,1378.0,95.69444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
