begintime,sk_object,duration,integrity,M51361C0,M51361C1,M51361C2,M51361C3,M51361C4
2022-03-14,15739.0,1440.0,100.0,1381949.0,-697.0,-44.09375,1188.0,86400.0
2022-03-18,15731.0,1440.0,100.0,1382162.0,-1767.0,-3.8229166666666665,1374.0,86399.0
2022-03-11,15739.0,1440.0,100.0,1382001.0,-26339.0,-397.3333333333333,17016.0,86400.0
2022-03-16,15737.0,1440.0,100.0,1252869.0,-75133.0,1607.6875,80473.0,84073.0
2022-03-18,15737.0,1440.0,100.0,1152066.0,-289005.0,-641.3333333333334,50841.0,81878.0
2022-03-14,15741.0,1440.0,100.0,1378922.0,-10557.0,-82.39583333333333,8592.0,86400.0
2022-03-18,15745.0,1440.0,100.0,1382125.0,-833.0,5.302083333333333,974.0,86400.0
2022-03-19,15745.0,1310.0,90.97222222222223,1258574.0,-1255.0,-53.39772727272727,1114.0,78681.0
2022-03-14,15745.0,1440.0,100.0,1373684.0,-229.0,7.947916666666667,242.0,86399.0
2022-03-14,15733.0,1440.0,100.0,1378894.0,-12183.0,-9.739583333333334,12262.0,86400.0
2022-03-16,15736.0,1421.0,98.68055555555556,1359090.0,-77860.0,-1045.611111111111,24195.0,85294.0
2022-03-18,15734.0,1440.0,100.0,1381935.0,-657.0,13.4375,794.0,86400.0
2022-03-15,15735.0,1440.0,100.0,1205922.0,-12246.0,5549.90625,4313235.0,82246.0
2022-03-19,15731.0,1310.0,90.97222222222223,1258741.0,-1657.0,12.829545454545455,1681.0,78686.0
2022-03-19,15746.0,1380.0,95.83333333333333,1320443.0,-10410.0,-243.0326086956522,7967.0,82800.0
2022-03-19,15733.0,1311.0,91.04166666666667,1258952.0,-2433.0,-25.78409090909091,1536.0,78688.0
2022-03-15,15739.0,1440.0,100.0,1363592.0,-1611.0,-62.052083333333336,893.0,85957.0
2022-03-12,15746.0,1440.0,100.0,1173426.0,-3416552.0,-26325.25,41425.0,85492.0
2022-03-11,15735.0,1440.0,100.0,1299213.0,-105401.0,716.65625,61739.0,85249.0
2022-03-18,15739.0,1440.0,100.0,1378992.0,-1219.0,-40.3125,1159.0,86400.0
2022-03-18,15735.0,1440.0,100.0,1306543.0,-119532.0,-893.3854166666666,11335.0,85722.0
2022-03-18,15746.0,1440.0,100.0,1268987.0,-22325.0,176.75,38274.0,86051.0
2022-03-14,15738.0,1440.0,100.0,1373758.0,-81.0,3.8958333333333335,105.0,86399.0
2022-03-16,15745.0,1440.0,100.0,1377338.0,-1798.0,-6.9375,914.0,86399.0
2022-03-13,15736.0,1404.0,97.5,1344725.0,-14338.0,3384.6041666666665,494980.0,84292.0
2022-03-12,15747.0,1440.0,100.0,1382398.0,-240.0,9.84375,218.0,86400.0
2022-03-14,15731.0,1440.0,100.0,1378738.0,-7448.0,1.9375,6927.0,86400.0
2022-03-16,15729.0,1440.0,100.0,1381967.0,-1721.0,30.65625,1386.0,86400.0
2022-03-13,15729.0,1440.0,100.0,1381668.0,-2165.0,11.65625,1776.0,86400.0
2022-03-12,15738.0,1440.0,100.0,1382342.0,-204.0,-2.40625,212.0,86400.0
2022-03-12,15729.0,1440.0,100.0,1381315.0,-2629.0,-5.052083333333333,2418.0,86400.0
2022-03-13,15738.0,1440.0,100.0,1382342.0,-174.0,6.760416666666667,216.0,86400.0
2022-03-15,15737.0,1440.0,100.0,1323308.0,-37950.0,-209.0,2125.0,85758.0
2022-03-15,15730.0,1378.0,95.69444444444444,1152595.0,-24484.0,33514.92391304348,6222201.0,78704.0
2022-03-12,15739.0,1440.0,100.0,1285869.0,-62520.0,8456.333333333334,9329083.0,84407.0
2022-03-13,15742.0,1440.0,100.0,1316074.0,-11951.0,1060.5104166666667,25076.0,85800.0
2022-03-11,15736.0,1296.0,90.0,1241859.0,-6508.0,13704.028985507246,1669888.0,77819.0
2022-03-15,15733.0,1440.0,100.0,1376370.0,-55863.0,281.7604166666667,125515.0,86400.0
2022-03-16,15740.0,1399.0,97.15277777777777,1217431.0,-346186.0,49687.885416666664,4365897.0,82332.0
2022-03-16,15735.0,1440.0,100.0,1167128.0,-416983.0,124899.875,7691770.0,82276.0
2022-03-13,15734.0,1440.0,100.0,1381975.0,-2682.0,1.0833333333333333,877.0,86400.0
2022-03-12,15742.0,1440.0,100.0,1221111.0,-5380543.0,-41768.645833333336,64367.0,84418.0
2022-03-15,15741.0,1440.0,100.0,1376604.0,-45295.0,871.3333333333334,110182.0,86400.0
