begintime,sk_object,duration,integrity,M8033C0,M8033C5,M8033C1,M8033C2,M8033C3,M8033C4,M8033C6,M8033C7,M8033C8
2022-03-19,21339.0,1380.0,95.83333333333333,7612.0,260.0,0.0,393.0,0.0,0.0,0.0,950.0,0.0
2022-03-17,21387.0,1440.0,100.0,3598.0,1138.0,0.0,576.0,0.0,0.0,0.0,10.0,0.0
2022-03-11,21351.0,1296.0,90.0,35791.0,625.0,0.0,1124.0,0.0,0.0,0.0,1261.0,0.0
2022-03-13,21332.0,1440.0,100.0,754.0,458.0,0.0,115.0,0.0,0.0,0.0,136.0,0.0
2022-03-16,21348.0,1440.0,100.0,6246.0,199.0,0.0,269.0,0.0,0.0,0.0,160.0,0.0
2022-03-13,21347.0,1440.0,100.0,20766.0,926.0,0.0,1025.0,0.0,0.0,0.0,321.0,0.0
2022-03-11,21377.0,1440.0,100.0,12073.0,480.0,0.0,753.0,0.0,0.0,0.0,1491.0,0.0
2022-03-14,21358.0,1440.0,100.0,6365.0,319.0,0.0,358.0,0.0,0.0,0.0,146.0,0.0
2022-03-15,21363.0,1440.0,100.0,25769.0,4033.0,0.0,3209.0,0.0,0.0,0.0,3176.0,0.0
2022-03-16,21313.0,1378.0,95.69444444444444,3760.0,284.0,0.0,258.0,0.0,0.0,0.0,78.0,0.0
2022-03-15,21385.0,1440.0,100.0,5186.0,1450.0,0.0,1206.0,0.0,0.0,0.0,149.0,0.0
2022-03-13,21356.0,1404.0,97.5,17210.0,1257.0,0.0,1657.0,0.0,0.0,0.0,2824.0,0.0
2022-03-15,21397.0,1440.0,100.0,15962.0,437.0,0.0,902.0,0.0,0.0,0.0,2431.0,0.0
2022-03-19,21327.0,1380.0,95.83333333333333,1178.0,30.0,0.0,31.0,0.0,0.0,0.0,24.0,0.0
2022-03-14,21350.0,1440.0,100.0,2575.0,3680.0,0.0,1955.0,0.0,0.0,0.0,215.0,0.0
2022-03-15,21340.0,1440.0,100.0,5131.0,319.0,0.0,433.0,0.0,0.0,0.0,760.0,0.0
2022-03-12,21380.0,1440.0,100.0,6076.0,654.0,0.0,1032.0,0.0,0.0,0.0,1121.0,0.0
2022-03-12,21360.0,1440.0,100.0,18539.0,1698.0,0.0,1487.0,0.0,0.0,0.0,335.0,0.0
2022-03-19,21311.0,1310.0,90.97222222222223,1374.0,1136.0,0.0,580.0,0.0,0.0,0.0,185.0,0.0
2022-03-19,21375.0,1380.0,95.83333333333333,4480.0,242.0,0.0,154.0,0.0,0.0,0.0,304.0,0.0
2022-03-11,21342.0,1440.0,100.0,2415.0,112.0,0.0,137.0,0.0,0.0,0.0,296.0,0.0
2022-03-13,21366.0,1440.0,100.0,21430.0,708.0,0.0,553.0,0.0,0.0,0.0,1954.0,0.0
2022-03-18,21377.0,1440.0,100.0,11647.0,516.0,0.0,786.0,0.0,0.0,0.0,1331.0,0.0
2022-03-16,21364.0,1440.0,100.0,3333.0,204.0,0.0,246.0,0.0,0.0,0.0,170.0,0.0
2022-03-15,21311.0,1440.0,100.0,1237.0,1059.0,0.0,691.0,0.0,0.0,0.0,112.0,0.0
2022-03-16,21339.0,1440.0,100.0,7771.0,183.0,0.0,414.0,0.0,0.0,0.0,1183.0,0.0
2022-03-15,21328.0,1362.0,94.58333333333333,7807.0,730.0,0.0,702.0,0.0,0.0,0.0,218.0,0.0
2022-03-18,21309.0,1440.0,100.0,7084.0,2356.0,0.0,1854.0,0.0,0.0,0.0,907.0,0.0
2022-03-19,21336.0,1320.0,91.66666666666667,2619.0,86.0,0.0,95.0,0.0,0.0,0.0,133.0,0.0
2022-03-16,21396.0,1440.0,100.0,34374.0,478.0,0.0,851.0,0.0,0.0,0.0,1318.0,0.0
2022-03-16,21365.0,1440.0,100.0,871.0,2883.0,0.0,445.0,0.0,0.0,0.0,23.0,0.0
2022-03-11,21339.0,1440.0,100.0,8584.0,245.0,0.0,439.0,0.0,0.0,0.0,1179.0,0.0
2022-03-17,21355.0,1380.0,95.83333333333333,4379.0,4688.0,0.0,1708.0,0.0,0.0,0.0,369.0,0.0
2022-03-19,21326.0,1310.0,90.97222222222223,16153.0,910.0,0.0,1277.0,0.0,0.0,0.0,2491.0,0.0
2022-03-13,21377.0,1440.0,100.0,10734.0,610.0,0.0,955.0,0.0,0.0,0.0,1258.0,0.0
2022-03-16,21377.0,1440.0,100.0,9766.0,561.0,0.0,889.0,0.0,0.0,0.0,1311.0,0.0
