begintime,sk_object,duration,integrity,67189907,67189908,73394034,73394035,73394036,73394037,73394038,67183495,67183496,67183497,67183498,73394039
2022-02-19,7591232.0,54000.0,62.5,0.0,0.0,55.0,0.0,55.0,55.0,0.0,55.0,54.0,0.0,0.0,0.0
2022-02-06,7588892.0,61200.0,70.83333333333333,0.0,0.0,49.0,0.0,49.0,48.0,0.0,48.0,47.0,0.0,0.0,0.0
2022-02-08,7847347.0,10800.0,12.5,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0
2022-02-17,7589680.0,50400.0,58.333333333333336,0.0,0.0,37.0,0.0,37.0,36.0,0.0,36.0,35.0,0.0,0.0,0.0
2022-03-02,7592192.0,36000.0,41.666666666666664,2.0,0.0,18.0,0.0,18.0,17.0,0.0,17.0,15.0,1.0,0.0,0.0
2022-02-18,7586821.0,64800.0,75.0,1.0,0.0,49.0,0.0,49.0,49.0,0.0,49.0,48.0,0.0,0.0,0.0
2022-03-06,7589023.0,68400.0,79.16666666666667,8.0,1.0,385.0,0.0,385.0,383.0,0.0,383.0,373.0,6.0,4.0,0.0
2022-03-13,7587693.0,57600.0,66.66666666666667,5.0,0.0,92.0,0.0,92.0,90.0,0.0,90.0,83.0,0.0,0.0,0.0
2022-02-18,7589972.0,61200.0,70.83333333333333,3.0,0.0,95.0,0.0,95.0,95.0,0.0,95.0,92.0,0.0,0.0,0.0
2022-02-12,9067792.0,82800.0,95.83333333333333,8.0,0.0,257.0,0.0,257.0,257.0,0.0,257.0,249.0,1.0,0.0,0.0
2022-03-14,7848826.0,54000.0,62.5,0.0,0.0,35.0,0.0,35.0,35.0,0.0,35.0,34.0,0.0,0.0,0.0
2022-03-12,7582614.0,3600.0,4.166666666666667,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-02-11,19559276.0,3600.0,4.166666666666667,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-03-02,7588570.0,57600.0,66.66666666666667,0.0,0.0,79.0,0.0,79.0,77.0,0.0,77.0,77.0,0.0,0.0,0.0
2022-02-20,7583614.0,57600.0,66.66666666666667,2.0,0.0,59.0,0.0,59.0,58.0,0.0,58.0,56.0,0.0,0.0,0.0
2022-02-10,7585413.0,46800.0,54.166666666666664,0.0,0.0,31.0,0.0,31.0,31.0,0.0,31.0,31.0,0.0,0.0,0.0
2022-02-20,7583960.0,79200.0,91.66666666666667,5.0,0.0,467.0,0.0,467.0,464.0,0.0,464.0,459.0,1.0,1.0,0.0
2022-02-20,7589460.0,25200.0,29.166666666666668,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,9.0,0.0,0.0,0.0
2022-02-11,7589865.0,61200.0,70.83333333333333,1.0,0.0,75.0,0.0,75.0,73.0,0.0,73.0,72.0,0.0,0.0,0.0
2022-02-20,7590489.0,54000.0,62.5,0.0,0.0,49.0,0.0,49.0,49.0,0.0,49.0,48.0,0.0,0.0,0.0
2022-02-17,12212671.0,3600.0,4.166666666666667,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-02-11,9600088.0,28800.0,33.333333333333336,0.0,0.0,8.0,0.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0
2022-03-03,7591323.0,75600.0,87.5,4.0,0.0,936.0,0.0,936.0,928.0,0.0,928.0,917.0,10.0,10.0,0.0
2022-02-13,7847915.0,25200.0,29.166666666666668,0.0,0.0,12.0,0.0,12.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0
2022-03-11,7583847.0,54000.0,62.5,0.0,0.0,27.0,0.0,27.0,27.0,0.0,27.0,27.0,0.0,0.0,0.0
2022-03-12,9315858.0,64800.0,75.0,0.0,0.0,187.0,0.0,187.0,184.0,0.0,184.0,184.0,1.0,1.0,0.0
2022-02-05,9603055.0,36000.0,41.666666666666664,1.0,0.0,25.0,0.0,25.0,25.0,0.0,25.0,24.0,0.0,0.0,0.0
2022-03-13,9597991.0,28800.0,33.333333333333336,1.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,9.0,0.0,0.0,0.0
2022-03-12,7588681.0,61200.0,70.83333333333333,2.0,0.0,86.0,0.0,86.0,86.0,0.0,86.0,84.0,1.0,1.0,0.0
2022-02-10,7592290.0,57600.0,66.66666666666667,2.0,0.0,118.0,0.0,118.0,115.0,0.0,115.0,113.0,1.0,1.0,0.0
2022-02-20,7591190.0,39600.0,45.833333333333336,1.0,0.0,22.0,0.0,22.0,22.0,0.0,22.0,20.0,0.0,0.0,0.0
2022-03-15,7585997.0,54000.0,62.5,4.0,0.0,60.0,0.0,60.0,59.0,0.0,59.0,54.0,0.0,0.0,0.0
2022-02-03,7586662.0,68400.0,79.16666666666667,1.0,0.0,64.0,0.0,64.0,62.0,0.0,62.0,59.0,1.0,1.0,0.0
2022-03-15,7585142.0,68400.0,79.16666666666667,3.0,0.0,392.0,0.0,392.0,389.0,0.0,389.0,383.0,0.0,0.0,0.0
2022-02-08,7585186.0,72000.0,83.33333333333333,5.0,0.0,483.0,0.0,483.0,478.0,0.0,478.0,473.0,1.0,1.0,0.0
2022-03-10,7591243.0,50400.0,58.333333333333336,4.0,0.0,37.0,0.0,37.0,37.0,0.0,37.0,32.0,0.0,0.0,0.0
2022-03-01,7588170.0,54000.0,62.5,0.0,0.0,49.0,0.0,49.0,47.0,0.0,47.0,45.0,0.0,0.0,0.0
2022-02-17,7583043.0,68400.0,79.16666666666667,0.0,0.0,87.0,0.0,87.0,83.0,0.0,83.0,81.0,1.0,1.0,0.0
2022-03-02,10484881.0,21600.0,25.0,0.0,0.0,11.0,0.0,11.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0
2022-02-05,10196245.0,7200.0,8.333333333333334,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
2022-03-02,7592051.0,57600.0,66.66666666666667,1.0,0.0,509.0,0.0,509.0,507.0,0.0,507.0,505.0,1.0,0.0,0.0
2022-02-04,12508000.0,10800.0,12.5,3.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,2.0,0.0,0.0,0.0
2022-02-17,7586415.0,61200.0,70.83333333333333,1.0,0.0,79.0,0.0,79.0,79.0,0.0,79.0,77.0,0.0,0.0,0.0
2022-03-06,7587514.0,72000.0,83.33333333333333,8.0,0.0,436.0,0.0,436.0,434.0,0.0,434.0,426.0,3.0,3.0,0.0
2022-03-10,7583030.0,68400.0,79.16666666666667,3.0,0.0,301.0,0.0,301.0,296.0,0.0,296.0,291.0,1.0,1.0,0.0
2022-03-11,7583420.0,46800.0,54.166666666666664,0.0,0.0,35.0,0.0,35.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0
2022-03-15,7586005.0,68400.0,79.16666666666667,6.0,0.0,235.0,0.0,235.0,231.0,0.0,231.0,223.0,2.0,2.0,0.0
2022-03-06,7583467.0,64800.0,75.0,3.0,0.0,426.0,0.0,426.0,425.0,0.0,425.0,420.0,0.0,0.0,0.0
2022-02-10,7584901.0,50400.0,58.333333333333336,0.0,0.0,35.0,0.0,35.0,34.0,0.0,34.0,34.0,0.0,0.0,0.0
2022-03-10,7851639.0,43200.0,50.0,1.0,0.0,35.0,0.0,35.0,35.0,0.0,35.0,34.0,0.0,0.0,0.0
2022-02-18,7852067.0,61200.0,70.83333333333333,3.0,0.0,86.0,0.0,86.0,85.0,0.0,85.0,82.0,0.0,0.0,0.0
