Local ID,Peer ID,Tech,domain,type,Local Name,Peer Name
257,41.0,2G,Radio,Relation,,
258,41.0,2G,Radio,Relation,,
180,41.0,2G,Radio,Relation,,
181,41.0,2G,Radio,Relation,,
182,41.0,2G,Radio,Relation,,
232,41.0,2G,Radio,Relation,,
313,41.0,2G,Radio,Relation,,
314,41.0,2G,Radio,Relation,,
198,42.0,2G,Radio,Relation,,
256,42.0,2G,Radio,Relation,,
257,42.0,2G,Radio,Relation,,
258,42.0,2G,Radio,Relation,,
180,42.0,2G,Radio,Relation,,
181,42.0,2G,Radio,Relation,,
193,42.0,2G,Radio,Relation,,
232,42.0,2G,Radio,Relation,,
313,42.0,2G,Radio,Relation,,
314,42.0,2G,Radio,Relation,,
191,43.0,2G,Radio,Relation,,
192,43.0,2G,Radio,Relation,,
256,43.0,2G,Radio,Relation,,
257,43.0,2G,Radio,Relation,,
258,43.0,2G,Radio,Relation,,
180,43.0,2G,Radio,Relation,,
181,43.0,2G,Radio,Relation,,
182,43.0,2G,Radio,Relation,,
193,43.0,2G,Radio,Relation,,
220,43.0,2G,Radio,Relation,,
313,176.0,2G,Radio,Relation,,
313,177.0,2G,Radio,Relation,,
313,195.0,2G,Radio,Relation,,
314,195.0,2G,Radio,Relation,,
176,313.0,2G,Radio,Relation,,
177,313.0,2G,Radio,Relation,,
195,313.0,2G,Radio,Relation,,
195,314.0,2G,Radio,Relation,,
250,232.0,2G,Radio,Relation,,
232,250.0,2G,Radio,Relation,,
22,129.0,2G,Radio,Relation,,
232,177.0,2G,Radio,Relation,,
177,232.0,2G,Radio,Relation,,
313,194.0,2G,Radio,Relation,,
313,250.0,2G,Radio,Relation,,
313,252.0,2G,Radio,Relation,,
313,175.0,2G,Radio,Relation,,
314,177.0,2G,Radio,Relation,,
314,250.0,2G,Radio,Relation,,
314,252.0,2G,Radio,Relation,,
314,175.0,2G,Radio,Relation,,
314,176.0,2G,Radio,Relation,,
232,194.0,2G,Radio,Relation,,
232,175.0,2G,Radio,Relation,,
2,150.0,2G,Radio,Relation,,
210,254.0,2G,Radio,Relation,,
312,254.0,2G,Radio,Relation,,
312,57.0,2G,Radio,Relation,,
174,151.0,2G,Radio,Relation,,
118,22.0,2G,Radio,Relation,,
136,164.0,2G,Radio,Relation,,
151,174.0,2G,Radio,Relation,,
129,22.0,2G,Radio,Relation,,
194,313.0,2G,Radio,Relation,,
250,313.0,2G,Radio,Relation,,
252,313.0,2G,Radio,Relation,,
175,313.0,2G,Radio,Relation,,
176,314.0,2G,Radio,Relation,,
177,314.0,2G,Radio,Relation,,
194,314.0,2G,Radio,Relation,,
250,314.0,2G,Radio,Relation,,
252,314.0,2G,Radio,Relation,,
175,232.0,2G,Radio,Relation,,
175,314.0,2G,Radio,Relation,,
254,210.0,2G,Radio,Relation,,
22,118.0,2G,Radio,Relation,,
151,149.0,2G,Radio,Relation,,
153,150.0,2G,Radio,Relation,,
167,151.0,2G,Radio,Relation,,
24,189.0,2G,Radio,Relation,,
23,190.0,2G,Radio,Relation,,
232,218.0,2G,Radio,Relation,,
314,219.0,2G,Radio,Relation,,
56,24.0,2G,Radio,Relation,,
150,2.0,2G,Radio,Relation,,
254,312.0,2G,Radio,Relation,,
57,312.0,2G,Radio,Relation,,
149,151.0,2G,Radio,Relation,,
151,167.0,2G,Radio,Relation,,
218,232.0,2G,Radio,Relation,,
190,23.0,2G,Radio,Relation,,
189,24.0,2G,Radio,Relation,,
219,314.0,2G,Radio,Relation,,
24,56.0,2G,Radio,Relation,,
318,319.0,2G,Radio,Relation,,
319,318.0,2G,Radio,Relation,,
320,318.0,2G,Radio,Relation,,
320,319.0,2G,Radio,Relation,,
318,320.0,2G,Radio,Relation,,
319,320.0,2G,Radio,Relation,,
316,315.0,2G,Radio,Relation,,
315,316.0,2G,Radio,Relation,,
315,317.0,2G,Radio,Relation,,
316,317.0,2G,Radio,Relation,,
317,315.0,2G,Radio,Relation,,
317,316.0,2G,Radio,Relation,,
313,306.0,2G,Radio,Relation,,
312,70.0,2G,Radio,Relation,,
312,71.0,2G,Radio,Relation,,
312,118.0,2G,Radio,Relation,,
312,152.0,2G,Radio,Relation,,
22,158.0,2G,Radio,Relation,,
232,195.0,2G,Radio,Relation,,
232,198.0,2G,Radio,Relation,,
70,1.0,2G,Radio,Relation,,
158,22.0,2G,Radio,Relation,,
195,232.0,2G,Radio,Relation,,
198,232.0,2G,Radio,Relation,,
152,312.0,2G,Radio,Relation,,
71,312.0,2G,Radio,Relation,,
306,313.0,2G,Radio,Relation,,
38,320.0,2G,Radio,Relation,,
320,38.0,2G,Radio,Relation,,
1,70.0,2G,Radio,Relation,,
188,12.0,2G,Radio,Relation,,
189,13.0,2G,Radio,Relation,,
12,188.0,2G,Radio,Relation,,
13,189.0,2G,Radio,Relation,,
203,161.0,2G,Radio,Relation,,
232,219.0,2G,Radio,Relation,,
313,219.0,2G,Radio,Relation,,
56,135.0,2G,Radio,Relation,,
56,159.0,2G,Radio,Relation,,
70,174.0,2G,Radio,Relation,,
190,302.0,2G,Radio,Relation,,
179,146.0,2G,Radio,Relation,,
72,174.0,2G,Radio,Relation,,
254,22.0,2G,Radio,Relation,,
128,72.0,2G,Radio,Relation,,
153,149.0,2G,Radio,Relation,,
79,151.0,2G,Radio,Relation,,
161,203.0,2G,Radio,Relation,,
219,232.0,2G,Radio,Relation,,
219,313.0,2G,Radio,Relation,,
72,128.0,2G,Radio,Relation,,
146,179.0,2G,Radio,Relation,,
22,254.0,2G,Radio,Relation,,
174,70.0,2G,Radio,Relation,,
174,72.0,2G,Radio,Relation,,
151,79.0,2G,Radio,Relation,,
233,183.0,2G,Radio,Relation,,
233,184.0,2G,Radio,Relation,,
233,185.0,2G,Radio,Relation,,
237,233.0,2G,Radio,Relation,,
233,237.0,2G,Radio,Relation,,
233,100.0,2G,Radio,Relation,,
233,101.0,2G,Radio,Relation,,
233,15.0,2G,Radio,Relation,,
233,7.0,2G,Radio,Relation,,
233,8.0,2G,Radio,Relation,,
233,102.0,2G,Radio,Relation,,
233,112.0,2G,Radio,Relation,,
233,113.0,2G,Radio,Relation,,
233,114.0,2G,Radio,Relation,,
237,183.0,2G,Radio,Relation,,
237,7.0,2G,Radio,Relation,,
237,100.0,2G,Radio,Relation,,
237,101.0,2G,Radio,Relation,,
237,102.0,2G,Radio,Relation,,
237,15.0,2G,Radio,Relation,,
237,8.0,2G,Radio,Relation,,
237,112.0,2G,Radio,Relation,,
237,113.0,2G,Radio,Relation,,
237,114.0,2G,Radio,Relation,,
15,233.0,2G,Radio,Relation,,
183,233.0,2G,Radio,Relation,,
184,233.0,2G,Radio,Relation,,
185,233.0,2G,Radio,Relation,,
7,233.0,2G,Radio,Relation,,
8,233.0,2G,Radio,Relation,,
100,233.0,2G,Radio,Relation,,
101,233.0,2G,Radio,Relation,,
102,233.0,2G,Radio,Relation,,
112,233.0,2G,Radio,Relation,,
113,233.0,2G,Radio,Relation,,
114,233.0,2G,Radio,Relation,,
183,237.0,2G,Radio,Relation,,
7,237.0,2G,Radio,Relation,,
8,237.0,2G,Radio,Relation,,
100,237.0,2G,Radio,Relation,,
101,237.0,2G,Radio,Relation,,
102,237.0,2G,Radio,Relation,,
112,237.0,2G,Radio,Relation,,
15,237.0,2G,Radio,Relation,,
113,237.0,2G,Radio,Relation,,
114,237.0,2G,Radio,Relation,,
167,235.0,2G,Radio,Relation,,
234,166.0,2G,Radio,Relation,,
235,149.0,2G,Radio,Relation,,
236,166.0,2G,Radio,Relation,,
235,172.0,2G,Radio,Relation,,
236,149.0,2G,Radio,Relation,,
236,150.0,2G,Radio,Relation,,
173,235.0,2G,Radio,Relation,,
79,149.0,2G,Radio,Relation,,
148,235.0,2G,Radio,Relation,,
149,235.0,2G,Radio,Relation,,
150,235.0,2G,Radio,Relation,,
174,235.0,2G,Radio,Relation,,
235,167.0,2G,Radio,Relation,,
149,236.0,2G,Radio,Relation,,
150,236.0,2G,Radio,Relation,,
235,148.0,2G,Radio,Relation,,
235,173.0,2G,Radio,Relation,,
235,174.0,2G,Radio,Relation,,
149,79.0,2G,Radio,Relation,,
235,150.0,2G,Radio,Relation,,
49,158.0,2G,Radio,Relation,,
321,322.0,2G,Radio,Relation,,
322,321.0,2G,Radio,Relation,,
323,321.0,2G,Radio,Relation,,
321,323.0,2G,Radio,Relation,,
322,323.0,2G,Radio,Relation,,
323,322.0,2G,Radio,Relation,,
323,130.0,2G,Radio,Relation,,
323,131.0,2G,Radio,Relation,,
323,132.0,2G,Radio,Relation,,
321,32.0,2G,Radio,Relation,,
321,33.0,2G,Radio,Relation,,
322,32.0,2G,Radio,Relation,,
322,33.0,2G,Radio,Relation,,
32,323.0,2G,Radio,Relation,,
130,323.0,2G,Radio,Relation,,
131,323.0,2G,Radio,Relation,,
33,323.0,2G,Radio,Relation,,
76,323.0,2G,Radio,Relation,,
221,322.0,2G,Radio,Relation,,
222,322.0,2G,Radio,Relation,,
132,323.0,2G,Radio,Relation,,
305,323.0,2G,Radio,Relation,,
130,322.0,2G,Radio,Relation,,
131,322.0,2G,Radio,Relation,,
230,322.0,2G,Radio,Relation,,
38,322.0,2G,Radio,Relation,,
76,322.0,2G,Radio,Relation,,
77,322.0,2G,Radio,Relation,,
32,321.0,2G,Radio,Relation,,
33,321.0,2G,Radio,Relation,,
303,322.0,2G,Radio,Relation,,
215,321.0,2G,Radio,Relation,,
219,321.0,2G,Radio,Relation,,
30,321.0,2G,Radio,Relation,,
38,321.0,2G,Radio,Relation,,
40,321.0,2G,Radio,Relation,,
130,321.0,2G,Radio,Relation,,
323,305.0,2G,Radio,Relation,,
323,32.0,2G,Radio,Relation,,
323,33.0,2G,Radio,Relation,,
323,76.0,2G,Radio,Relation,,
322,221.0,2G,Radio,Relation,,
322,222.0,2G,Radio,Relation,,
322,230.0,2G,Radio,Relation,,
322,76.0,2G,Radio,Relation,,
322,130.0,2G,Radio,Relation,,
322,131.0,2G,Radio,Relation,,
322,303.0,2G,Radio,Relation,,
322,38.0,2G,Radio,Relation,,
322,77.0,2G,Radio,Relation,,
321,130.0,2G,Radio,Relation,,
321,215.0,2G,Radio,Relation,,
321,219.0,2G,Radio,Relation,,
321,30.0,2G,Radio,Relation,,
321,38.0,2G,Radio,Relation,,
321,40.0,2G,Radio,Relation,,
215,178.0,2G,Radio,Relation,,
232,322.0,2G,Radio,Relation,,
55,10.0,2G,Radio,Relation,,
57,10.0,2G,Radio,Relation,,
321,110.0,2G,Radio,Relation,,
322,232.0,2G,Radio,Relation,,
322,289.0,2G,Radio,Relation,,
322,314.0,2G,Radio,Relation,,
180,10.0,2G,Radio,Relation,,
180,9.0,2G,Radio,Relation,,
181,9.0,2G,Radio,Relation,,
110,321.0,2G,Radio,Relation,,
289,322.0,2G,Radio,Relation,,
257,191.0,2G,Radio,Relation,,
191,182.0,2G,Radio,Relation,,
181,191.0,2G,Radio,Relation,,
182,191.0,2G,Radio,Relation,,
258,191.0,2G,Radio,Relation,,
119,73.0,2G,Radio,Relation,,
255,73.0,2G,Radio,Relation,,
304,223.0,2G,Radio,Relation,,
305,223.0,2G,Radio,Relation,,
304,273.0,2G,Radio,Relation,,
342,109.0,2G,Radio,Relation,,
343,109.0,2G,Radio,Relation,,
344,109.0,2G,Radio,Relation,,
342,110.0,2G,Radio,Relation,,
343,110.0,2G,Radio,Relation,,
344,110.0,2G,Radio,Relation,,
342,111.0,2G,Radio,Relation,,
343,111.0,2G,Radio,Relation,,
344,111.0,2G,Radio,Relation,,
342,142.0,2G,Radio,Relation,,
343,142.0,2G,Radio,Relation,,
344,142.0,2G,Radio,Relation,,
342,143.0,2G,Radio,Relation,,
343,143.0,2G,Radio,Relation,,
344,143.0,2G,Radio,Relation,,
342,144.0,2G,Radio,Relation,,
343,144.0,2G,Radio,Relation,,
344,144.0,2G,Radio,Relation,,
342,178.0,2G,Radio,Relation,,
343,178.0,2G,Radio,Relation,,
344,178.0,2G,Radio,Relation,,
343,179.0,2G,Radio,Relation,,
344,179.0,2G,Radio,Relation,,
342,199.0,2G,Radio,Relation,,
343,199.0,2G,Radio,Relation,,
344,199.0,2G,Radio,Relation,,
345,19.0,2G,Radio,Relation,,
342,201.0,2G,Radio,Relation,,
343,201.0,2G,Radio,Relation,,
342,202.0,2G,Radio,Relation,,
343,202.0,2G,Radio,Relation,,
344,202.0,2G,Radio,Relation,,
342,203.0,2G,Radio,Relation,,
343,203.0,2G,Radio,Relation,,
344,203.0,2G,Radio,Relation,,
342,207.0,2G,Radio,Relation,,
343,207.0,2G,Radio,Relation,,
344,207.0,2G,Radio,Relation,,
342,208.0,2G,Radio,Relation,,
343,208.0,2G,Radio,Relation,,
344,208.0,2G,Radio,Relation,,
345,20.0,2G,Radio,Relation,,
345,21.0,2G,Radio,Relation,,
342,294.0,2G,Radio,Relation,,
343,294.0,2G,Radio,Relation,,
344,294.0,2G,Radio,Relation,,
342,295.0,2G,Radio,Relation,,
343,295.0,2G,Radio,Relation,,
344,295.0,2G,Radio,Relation,,
342,296.0,2G,Radio,Relation,,
343,296.0,2G,Radio,Relation,,
344,296.0,2G,Radio,Relation,,
342,30.0,2G,Radio,Relation,,
343,30.0,2G,Radio,Relation,,
344,30.0,2G,Radio,Relation,,
342,31.0,2G,Radio,Relation,,
343,31.0,2G,Radio,Relation,,
344,31.0,2G,Radio,Relation,,
342,32.0,2G,Radio,Relation,,
343,32.0,2G,Radio,Relation,,
344,32.0,2G,Radio,Relation,,
342,33.0,2G,Radio,Relation,,
343,33.0,2G,Radio,Relation,,
344,33.0,2G,Radio,Relation,,
109,342.0,2G,Radio,Relation,,
110,342.0,2G,Radio,Relation,,
111,342.0,2G,Radio,Relation,,
142,342.0,2G,Radio,Relation,,
143,342.0,2G,Radio,Relation,,
144,342.0,2G,Radio,Relation,,
178,342.0,2G,Radio,Relation,,
199,342.0,2G,Radio,Relation,,
201,342.0,2G,Radio,Relation,,
202,342.0,2G,Radio,Relation,,
203,342.0,2G,Radio,Relation,,
207,342.0,2G,Radio,Relation,,
208,342.0,2G,Radio,Relation,,
294,342.0,2G,Radio,Relation,,
295,342.0,2G,Radio,Relation,,
296,342.0,2G,Radio,Relation,,
30,342.0,2G,Radio,Relation,,
31,342.0,2G,Radio,Relation,,
32,342.0,2G,Radio,Relation,,
33,342.0,2G,Radio,Relation,,
343,342.0,2G,Radio,Relation,,
344,342.0,2G,Radio,Relation,,
38,342.0,2G,Radio,Relation,,
40,342.0,2G,Radio,Relation,,
90,342.0,2G,Radio,Relation,,
109,343.0,2G,Radio,Relation,,
110,343.0,2G,Radio,Relation,,
111,343.0,2G,Radio,Relation,,
142,343.0,2G,Radio,Relation,,
143,343.0,2G,Radio,Relation,,
144,343.0,2G,Radio,Relation,,
178,343.0,2G,Radio,Relation,,
179,343.0,2G,Radio,Relation,,
199,343.0,2G,Radio,Relation,,
201,343.0,2G,Radio,Relation,,
202,343.0,2G,Radio,Relation,,
203,343.0,2G,Radio,Relation,,
207,343.0,2G,Radio,Relation,,
208,343.0,2G,Radio,Relation,,
294,343.0,2G,Radio,Relation,,
295,343.0,2G,Radio,Relation,,
296,343.0,2G,Radio,Relation,,
30,343.0,2G,Radio,Relation,,
31,343.0,2G,Radio,Relation,,
32,343.0,2G,Radio,Relation,,
33,343.0,2G,Radio,Relation,,
342,343.0,2G,Radio,Relation,,
344,343.0,2G,Radio,Relation,,
38,343.0,2G,Radio,Relation,,
40,343.0,2G,Radio,Relation,,
90,343.0,2G,Radio,Relation,,
109,344.0,2G,Radio,Relation,,
110,344.0,2G,Radio,Relation,,
111,344.0,2G,Radio,Relation,,
142,344.0,2G,Radio,Relation,,
143,344.0,2G,Radio,Relation,,
144,344.0,2G,Radio,Relation,,
179,344.0,2G,Radio,Relation,,
199,344.0,2G,Radio,Relation,,
201,344.0,2G,Radio,Relation,,
202,344.0,2G,Radio,Relation,,
203,344.0,2G,Radio,Relation,,
207,344.0,2G,Radio,Relation,,
208,344.0,2G,Radio,Relation,,
294,344.0,2G,Radio,Relation,,
295,344.0,2G,Radio,Relation,,
296,344.0,2G,Radio,Relation,,
30,344.0,2G,Radio,Relation,,
31,344.0,2G,Radio,Relation,,
32,344.0,2G,Radio,Relation,,
33,344.0,2G,Radio,Relation,,
342,344.0,2G,Radio,Relation,,
343,344.0,2G,Radio,Relation,,
38,344.0,2G,Radio,Relation,,
40,344.0,2G,Radio,Relation,,
90,344.0,2G,Radio,Relation,,
346,345.0,2G,Radio,Relation,,
347,345.0,2G,Radio,Relation,,
345,346.0,2G,Radio,Relation,,
347,346.0,2G,Radio,Relation,,
345,347.0,2G,Radio,Relation,,
346,347.0,2G,Radio,Relation,,
342,38.0,2G,Radio,Relation,,
343,38.0,2G,Radio,Relation,,
344,38.0,2G,Radio,Relation,,
342,40.0,2G,Radio,Relation,,
342,90.0,2G,Radio,Relation,,
343,90.0,2G,Radio,Relation,,
344,90.0,2G,Radio,Relation,,
345,103.0,2G,Radio,Relation,,
345,104.0,2G,Radio,Relation,,
345,105.0,2G,Radio,Relation,,
345,145.0,2G,Radio,Relation,,
345,146.0,2G,Radio,Relation,,
345,147.0,2G,Radio,Relation,,
346,19.0,2G,Radio,Relation,,
345,204.0,2G,Radio,Relation,,
345,206.0,2G,Radio,Relation,,
346,20.0,2G,Radio,Relation,,
345,253.0,2G,Radio,Relation,,
345,254.0,2G,Radio,Relation,,
345,255.0,2G,Radio,Relation,,
345,348.0,2G,Radio,Relation,,
345,349.0,2G,Radio,Relation,,
345,350.0,2G,Radio,Relation,,
345,55.0,2G,Radio,Relation,,
346,55.0,2G,Radio,Relation,,
345,56.0,2G,Radio,Relation,,
346,56.0,2G,Radio,Relation,,
345,57.0,2G,Radio,Relation,,
346,57.0,2G,Radio,Relation,,
346,103.0,2G,Radio,Relation,,
346,348.0,2G,Radio,Relation,,
346,349.0,2G,Radio,Relation,,
346,350.0,2G,Radio,Relation,,
346,104.0,2G,Radio,Relation,,
346,105.0,2G,Radio,Relation,,
346,253.0,2G,Radio,Relation,,
346,254.0,2G,Radio,Relation,,
346,255.0,2G,Radio,Relation,,
346,146.0,2G,Radio,Relation,,
346,147.0,2G,Radio,Relation,,
347,19.0,2G,Radio,Relation,,
346,204.0,2G,Radio,Relation,,
346,205.0,2G,Radio,Relation,,
346,206.0,2G,Radio,Relation,,
347,20.0,2G,Radio,Relation,,
347,21.0,2G,Radio,Relation,,
347,55.0,2G,Radio,Relation,,
347,348.0,2G,Radio,Relation,,
347,349.0,2G,Radio,Relation,,
347,350.0,2G,Radio,Relation,,
347,57.0,2G,Radio,Relation,,
347,103.0,2G,Radio,Relation,,
347,104.0,2G,Radio,Relation,,
347,105.0,2G,Radio,Relation,,
347,254.0,2G,Radio,Relation,,
347,145.0,2G,Radio,Relation,,
347,204.0,2G,Radio,Relation,,
347,205.0,2G,Radio,Relation,,
347,206.0,2G,Radio,Relation,,
347,255.0,2G,Radio,Relation,,
347,146.0,2G,Radio,Relation,,
347,147.0,2G,Radio,Relation,,
19,345.0,2G,Radio,Relation,,
20,345.0,2G,Radio,Relation,,
21,345.0,2G,Radio,Relation,,
348,345.0,2G,Radio,Relation,,
55,345.0,2G,Radio,Relation,,
56,345.0,2G,Radio,Relation,,
57,345.0,2G,Radio,Relation,,
103,345.0,2G,Radio,Relation,,
349,345.0,2G,Radio,Relation,,
350,345.0,2G,Radio,Relation,,
104,345.0,2G,Radio,Relation,,
105,345.0,2G,Radio,Relation,,
204,345.0,2G,Radio,Relation,,
253,345.0,2G,Radio,Relation,,
254,345.0,2G,Radio,Relation,,
255,345.0,2G,Radio,Relation,,
145,345.0,2G,Radio,Relation,,
146,345.0,2G,Radio,Relation,,
147,345.0,2G,Radio,Relation,,
205,345.0,2G,Radio,Relation,,
206,345.0,2G,Radio,Relation,,
19,346.0,2G,Radio,Relation,,
20,346.0,2G,Radio,Relation,,
55,346.0,2G,Radio,Relation,,
103,346.0,2G,Radio,Relation,,
348,346.0,2G,Radio,Relation,,
349,346.0,2G,Radio,Relation,,
350,346.0,2G,Radio,Relation,,
56,346.0,2G,Radio,Relation,,
57,346.0,2G,Radio,Relation,,
104,346.0,2G,Radio,Relation,,
105,346.0,2G,Radio,Relation,,
253,346.0,2G,Radio,Relation,,
254,346.0,2G,Radio,Relation,,
145,346.0,2G,Radio,Relation,,
146,346.0,2G,Radio,Relation,,
204,346.0,2G,Radio,Relation,,
205,346.0,2G,Radio,Relation,,
206,346.0,2G,Radio,Relation,,
147,346.0,2G,Radio,Relation,,
19,347.0,2G,Radio,Relation,,
20,347.0,2G,Radio,Relation,,
21,347.0,2G,Radio,Relation,,
55,347.0,2G,Radio,Relation,,
56,347.0,2G,Radio,Relation,,
348,347.0,2G,Radio,Relation,,
349,347.0,2G,Radio,Relation,,
350,347.0,2G,Radio,Relation,,
57,347.0,2G,Radio,Relation,,
103,347.0,2G,Radio,Relation,,
104,347.0,2G,Radio,Relation,,
105,347.0,2G,Radio,Relation,,
253,347.0,2G,Radio,Relation,,
145,347.0,2G,Radio,Relation,,
204,347.0,2G,Radio,Relation,,
205,347.0,2G,Radio,Relation,,
206,347.0,2G,Radio,Relation,,
146,347.0,2G,Radio,Relation,,
147,347.0,2G,Radio,Relation,,
352,351.0,2G,Radio,Relation,,
351,352.0,2G,Radio,Relation,,
351,353.0,2G,Radio,Relation,,
352,353.0,2G,Radio,Relation,,
353,351.0,2G,Radio,Relation,,
353,352.0,2G,Radio,Relation,,
351,166.0,2G,Radio,Relation,,
351,167.0,2G,Radio,Relation,,
351,169.0,2G,Radio,Relation,,
351,170.0,2G,Radio,Relation,,
351,55.0,2G,Radio,Relation,,
351,56.0,2G,Radio,Relation,,
351,57.0,2G,Radio,Relation,,
351,171.0,2G,Radio,Relation,,
351,253.0,2G,Radio,Relation,,
351,254.0,2G,Radio,Relation,,
351,118.0,2G,Radio,Relation,,
351,120.0,2G,Radio,Relation,,
351,255.0,2G,Radio,Relation,,
351,145.0,2G,Radio,Relation,,
351,146.0,2G,Radio,Relation,,
351,147.0,2G,Radio,Relation,,
351,148.0,2G,Radio,Relation,,
351,149.0,2G,Radio,Relation,,
351,150.0,2G,Radio,Relation,,
351,160.0,2G,Radio,Relation,,
351,161.0,2G,Radio,Relation,,
351,162.0,2G,Radio,Relation,,
352,166.0,2G,Radio,Relation,,
352,167.0,2G,Radio,Relation,,
352,168.0,2G,Radio,Relation,,
352,169.0,2G,Radio,Relation,,
352,55.0,2G,Radio,Relation,,
352,56.0,2G,Radio,Relation,,
352,57.0,2G,Radio,Relation,,
352,170.0,2G,Radio,Relation,,
352,171.0,2G,Radio,Relation,,
352,253.0,2G,Radio,Relation,,
352,118.0,2G,Radio,Relation,,
352,254.0,2G,Radio,Relation,,
352,255.0,2G,Radio,Relation,,
352,119.0,2G,Radio,Relation,,
352,120.0,2G,Radio,Relation,,
352,145.0,2G,Radio,Relation,,
352,146.0,2G,Radio,Relation,,
352,147.0,2G,Radio,Relation,,
352,148.0,2G,Radio,Relation,,
352,149.0,2G,Radio,Relation,,
352,150.0,2G,Radio,Relation,,
352,160.0,2G,Radio,Relation,,
352,161.0,2G,Radio,Relation,,
352,162.0,2G,Radio,Relation,,
353,166.0,2G,Radio,Relation,,
353,167.0,2G,Radio,Relation,,
353,168.0,2G,Radio,Relation,,
353,55.0,2G,Radio,Relation,,
353,56.0,2G,Radio,Relation,,
353,57.0,2G,Radio,Relation,,
353,169.0,2G,Radio,Relation,,
353,170.0,2G,Radio,Relation,,
353,171.0,2G,Radio,Relation,,
353,253.0,2G,Radio,Relation,,
353,254.0,2G,Radio,Relation,,
353,255.0,2G,Radio,Relation,,
353,118.0,2G,Radio,Relation,,
353,119.0,2G,Radio,Relation,,
353,120.0,2G,Radio,Relation,,
353,145.0,2G,Radio,Relation,,
353,146.0,2G,Radio,Relation,,
353,147.0,2G,Radio,Relation,,
353,148.0,2G,Radio,Relation,,
353,149.0,2G,Radio,Relation,,
353,150.0,2G,Radio,Relation,,
353,160.0,2G,Radio,Relation,,
353,162.0,2G,Radio,Relation,,
169,351.0,2G,Radio,Relation,,
55,351.0,2G,Radio,Relation,,
56,351.0,2G,Radio,Relation,,
57,351.0,2G,Radio,Relation,,
170,351.0,2G,Radio,Relation,,
171,351.0,2G,Radio,Relation,,
145,351.0,2G,Radio,Relation,,
146,351.0,2G,Radio,Relation,,
147,351.0,2G,Radio,Relation,,
148,351.0,2G,Radio,Relation,,
149,351.0,2G,Radio,Relation,,
150,351.0,2G,Radio,Relation,,
160,351.0,2G,Radio,Relation,,
161,351.0,2G,Radio,Relation,,
162,351.0,2G,Radio,Relation,,
55,352.0,2G,Radio,Relation,,
56,352.0,2G,Radio,Relation,,
57,352.0,2G,Radio,Relation,,
169,352.0,2G,Radio,Relation,,
170,352.0,2G,Radio,Relation,,
171,352.0,2G,Radio,Relation,,
145,352.0,2G,Radio,Relation,,
146,352.0,2G,Radio,Relation,,
147,352.0,2G,Radio,Relation,,
148,352.0,2G,Radio,Relation,,
160,352.0,2G,Radio,Relation,,
161,352.0,2G,Radio,Relation,,
162,352.0,2G,Radio,Relation,,
55,353.0,2G,Radio,Relation,,
56,353.0,2G,Radio,Relation,,
57,353.0,2G,Radio,Relation,,
169,353.0,2G,Radio,Relation,,
