begintime,sk_object,duration,integrity,M51326C0,M51326C1,M51326C2,M51326C3
2022-03-14,15632.0,1440.0,100.0,7741847.0,539311724.0,4190574.0,186148032.0
2022-03-18,15635.0,1440.0,100.0,7863765.0,596011400.0,6114363.0,508321368.0
2022-03-12,15644.0,1440.0,100.0,12903668.0,962279852.0,8125838.0,590240412.0
2022-03-16,15642.0,1400.0,97.22222222222223,4075497.0,276773304.0,2643953.0,158407580.0
2022-03-11,15635.0,1440.0,100.0,8086616.0,614371304.0,6468703.0,537274256.0
2022-03-14,15643.0,1440.0,100.0,6615520.0,472642236.0,3401802.0,117216608.0
2022-03-17,15640.0,1440.0,100.0,13840210.0,1002986928.0,8987520.0,648729356.0
2022-03-11,15639.0,1440.0,100.0,9448039.0,694302484.0,7423386.0,620025104.0
2022-03-12,15641.0,1440.0,100.0,4536972.0,313663848.0,2863750.0,204187608.0
2022-03-14,15628.0,1440.0,100.0,7050082.0,503677636.0,3720388.0,149866420.0
2022-03-16,15628.0,1440.0,100.0,7629315.0,545358276.0,4014234.0,159028344.0
2022-03-14,15636.0,1440.0,100.0,8115988.0,580245984.0,4552656.0,243856700.0
2022-03-13,15640.0,1397.0,97.01388888888889,13600372.0,989962760.0,8910719.0,655913164.0
2022-03-13,15632.0,1440.0,100.0,8448531.0,590962760.0,4532056.0,194459216.0
2022-03-11,15641.0,1440.0,100.0,4488471.0,315480500.0,2873207.0,199528980.0
2022-03-19,15644.0,1311.0,91.04166666666667,11695971.0,870671620.0,7355954.0,535658064.0
2022-03-14,15634.0,1440.0,100.0,12813434.0,940500456.0,8516134.0,638615344.0
2022-03-12,15638.0,1440.0,100.0,8698040.0,617643392.0,4703963.0,217117660.0
2022-03-17,15636.0,1440.0,100.0,8840828.0,632702616.0,4913700.0,251823204.0
2022-03-17,15639.0,1380.0,95.83333333333333,8808288.0,666144420.0,7181222.0,603387976.0
2022-03-12,15645.0,1440.0,100.0,3181339.0,222122500.0,1799628.0,98917168.0
2022-03-12,15642.0,1402.0,97.36111111111111,3911540.0,265576640.0,2514443.0,145907396.0
2022-03-13,15638.0,1440.0,100.0,8565394.0,608203632.0,4651247.0,219019796.0
2022-03-17,15630.0,1440.0,100.0,4605956.0,320458232.0,3018920.0,243967356.0
2022-03-13,15636.0,1440.0,100.0,8930023.0,641307236.0,4984080.0,261696460.0
2022-03-18,15641.0,1440.0,100.0,4602733.0,326707208.0,2973131.0,206585732.0
2022-03-19,15628.0,1311.0,91.04166666666667,7420845.0,531093508.0,3923321.0,157807500.0
2022-03-16,15640.0,1440.0,100.0,13775207.0,997727504.0,9026719.0,664952424.0
2022-03-15,15637.0,1362.0,94.58333333333333,5351211.0,373159856.0,3591565.0,276254604.0
2022-03-11,15637.0,1440.0,100.0,5876537.0,413635704.0,4115566.0,309379172.0
2022-03-17,15629.0,1380.0,95.83333333333333,6942641.0,486852168.0,5079500.0,402803288.0
2022-03-11,15629.0,1440.0,100.0,7035239.0,491767316.0,4956364.0,402630624.0
2022-03-18,15632.0,1440.0,100.0,8499033.0,594528308.0,4570662.0,197678220.0
2022-03-16,15637.0,1440.0,100.0,5408856.0,378944924.0,3661049.0,271372920.0
2022-03-11,15631.0,1440.0,100.0,10841358.0,793029364.0,6459823.0,402012580.0
2022-03-15,15634.0,1440.0,100.0,13606804.0,1006946684.0,9075185.0,671170504.0
2022-03-11,15627.0,1296.0,90.0,12627933.0,874578716.0,8346803.0,610801012.0
2022-03-16,15627.0,1421.0,98.68055555555556,13559253.0,940467012.0,9021760.0,656508644.0
2022-03-17,15641.0,1380.0,95.83333333333333,4465487.0,311477420.0,2804306.0,197549136.0
2022-03-15,15645.0,1440.0,100.0,3126608.0,219245800.0,1786683.0,90985400.0
2022-03-17,15631.0,1440.0,100.0,10638849.0,777379764.0,6343552.0,392902324.0
2022-03-13,15629.0,1440.0,100.0,7000122.0,488179368.0,4966184.0,408151880.0
2022-03-13,15639.0,1440.0,100.0,8569327.0,632641080.0,6532446.0,556880388.0
2022-03-14,15630.0,1440.0,100.0,4307337.0,299703652.0,2894811.0,236929408.0
2022-03-12,15632.0,1440.0,100.0,8811566.0,615500272.0,4750363.0,209505192.0
2022-03-16,15629.0,1440.0,100.0,7122805.0,499113160.0,5032708.0,434692040.0
