Severity,Alarm ID,Name,NE type,Alarm source,MO Name,Location Information,Occurred On (NT),Cleared On (NT),Acknowledged On (ST),Cleared by,Acknowledged by,Clearance Status,RRU Name,CELL Name,Acknowledgement Status,BBU Name,eNodeB ID,gNodeB ID,Log Serial Number,User label,Equipment Alarm Serial Number,Additional Information,Maintenance Status,Subnet
Major,29240,Cell Unavailable,BTS5900,Farato,eNodeB Function Name=L_Farato; Local Cell ID=5; Cell Name=L18_Farato_5; Cell FDD TDD indication=CELL_FDD,eNodeB Function Name=L_Farato; Local Cell ID=5; Cell FDD TDD indication=FDD; NB-IoT Cell Flag=FALSE; Cell Name=L18_Farato_5; eNodeB ID=4185; Cell ID=5; Specific Problem=RF module abnormal,2024-05-30 14:03:18,2024-05-30 14:06:46,2024-05-30 15:14:48,< NE operator >,Noc_monitoring,Cleared,-,L18_Farato_5,Acknowledged,Farato,4185,-,14007326,-,434,RAT_INFO=L; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; eNodeBId=4185,NORMAL,ROOT/EASY_DEPLOYMENT
Major,26235,RF Unit Maintenance Link Failure,BTS5900,Farato,Cabinet No.=0; Subrack No.=71; Slot No.=0; 0-71-0,Cabinet No.=0; Subrack No.=71; Slot No.=0; Board Type=MRRU; Specific Problem=Other,2024-05-30 14:03:04,2024-05-30 14:06:37,2024-05-30 15:14:48,< NE operator >,Noc_monitoring,Cleared,0-71-0,-,Acknowledged,Farato,4185,-,14007301,-,433,RAT_INFO=L; AFFECTED_RAT=L; DID=NULL; RF Site Name=NULL; RF Unit Name=0-71-0; Cumulative Duration(s)=100; eNodeBId=4185,NORMAL,ROOT/EASY_DEPLOYMENT
Major,25622,Mains Input Out of Range,BTS5900,Sinchu Sorry,Board Type=PMU; Cabinet No.=0; Subrack No.=7; Slot No.=0,Cabinet No.=0; Subrack No.=7; Slot No.=0; Board Type=PMU; Manager Cabinet No.=0; Manager Subrack No.=0; Specific Problem=AC Undervoltage,2024-05-30 13:59:47,2024-05-30 14:00:56,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Sinchu Sorry,4143,-,14007271,-,1233,RAT_INFO=L; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=40; eNodeBId=4143,NORMAL,ROOT/EASY_DEPLOYMENT
Major,25901,Remote Maintenance Link Failure,BTS5900,Fatoto,Fatoto,Cabinet No.=0; Subrack No.=0; Slot No.=7,2024-05-30 13:15:54,2024-05-30 13:50:49,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Fatoto,4055,-,14007205,-,627,RAT_INFO=GL; AFFECTED_RAT=GL; DID=NULL; eNodeBId=4055,NORMAL,ROOT/EASY_DEPLOYMENT
Major,21825,CSL Fault,GBTS,BSC/G_Essau,G_Essau,Site Index=85; Site Name=G_Essau,2024-05-27 08:29:09,2024-05-27 08:30:09,2024-05-27 08:30:40,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,-,-,-,13978437,-,4931112,-,NORMAL,ROOT
Major,29240,Cell Unavailable,BTS5900,Fatoto,eNodeB Function Name=L_Fatoto; Local Cell ID=2; Cell Name=L07_Fatoto_2; Cell FDD TDD indication=CELL_FDD,eNodeB Function Name=L_Fatoto; Local Cell ID=2; Cell FDD TDD indication=FDD; NB-IoT Cell Flag=FALSE; Cell Name=L07_Fatoto_2; eNodeB ID=4055; Cell ID=2; Specific Problem=External link fault,2024-05-30 13:14:45,2024-05-30 13:50:49,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,L07_Fatoto_2,Acknowledged,Fatoto,4055,-,14007204,-,626,RAT_INFO=GL; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; eNodeBId=4055,NORMAL,ROOT/EASY_DEPLOYMENT
Major,29240,Cell Unavailable,BTS5900,Fatoto,eNodeB Function Name=L_Fatoto; Local Cell ID=1; Cell Name=L07_Fatoto_1; Cell FDD TDD indication=CELL_FDD,eNodeB Function Name=L_Fatoto; Local Cell ID=1; Cell FDD TDD indication=FDD; NB-IoT Cell Flag=FALSE; Cell Name=L07_Fatoto_1; eNodeB ID=4055; Cell ID=1; Specific Problem=External link fault,2024-05-30 13:14:45,2024-05-30 13:50:49,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,L07_Fatoto_1,Acknowledged,Fatoto,4055,-,14007203,-,625,RAT_INFO=GL; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; eNodeBId=4055,NORMAL,ROOT/EASY_DEPLOYMENT
Major,29240,Cell Unavailable,BTS5900,Fatoto,eNodeB Function Name=L_Fatoto; Local Cell ID=6; Cell Name=L18_Fatoto_6; Cell FDD TDD indication=CELL_FDD,eNodeB Function Name=L_Fatoto; Local Cell ID=6; Cell FDD TDD indication=FDD; NB-IoT Cell Flag=FALSE; Cell Name=L18_Fatoto_6; eNodeB ID=4055; Cell ID=6; Specific Problem=External link fault,2024-05-30 13:14:45,2024-05-30 13:50:49,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,L18_Fatoto_6,Acknowledged,Fatoto,4055,-,14007202,-,624,RAT_INFO=GL; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; eNodeBId=4055,NORMAL,ROOT/EASY_DEPLOYMENT
Major,29240,Cell Unavailable,BTS5900,Fatoto,eNodeB Function Name=L_Fatoto; Local Cell ID=5; Cell Name=L18_Fatoto_5; Cell FDD TDD indication=CELL_FDD,eNodeB Function Name=L_Fatoto; Local Cell ID=5; Cell FDD TDD indication=FDD; NB-IoT Cell Flag=FALSE; Cell Name=L18_Fatoto_5; eNodeB ID=4055; Cell ID=5; Specific Problem=External link fault,2024-05-30 13:14:45,2024-05-30 13:50:49,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,L18_Fatoto_5,Acknowledged,Fatoto,4055,-,14007201,-,623,RAT_INFO=GL; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; eNodeBId=4055,NORMAL,ROOT/EASY_DEPLOYMENT
Major,29240,Cell Unavailable,BTS5900,Fatoto,eNodeB Function Name=L_Fatoto; Local Cell ID=4; Cell Name=L18_Fatoto_4; Cell FDD TDD indication=CELL_FDD,eNodeB Function Name=L_Fatoto; Local Cell ID=4; Cell FDD TDD indication=FDD; NB-IoT Cell Flag=FALSE; Cell Name=L18_Fatoto_4; eNodeB ID=4055; Cell ID=4; Specific Problem=External link fault,2024-05-30 13:14:45,2024-05-30 13:50:49,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,L18_Fatoto_4,Acknowledged,Fatoto,4055,-,14007200,-,622,RAT_INFO=GL; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; eNodeBId=4055,NORMAL,ROOT/EASY_DEPLOYMENT
Major,29240,Cell Unavailable,BTS5900,Fatoto,eNodeB Function Name=L_Fatoto; Local Cell ID=3; Cell Name=L07_Fatoto_3; Cell FDD TDD indication=CELL_FDD,eNodeB Function Name=L_Fatoto; Local Cell ID=3; Cell FDD TDD indication=FDD; NB-IoT Cell Flag=FALSE; Cell Name=L07_Fatoto_3; eNodeB ID=4055; Cell ID=3; Specific Problem=External link fault,2024-05-30 13:14:45,2024-05-30 13:50:49,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,L07_Fatoto_3,Acknowledged,Fatoto,4055,-,14007199,-,621,RAT_INFO=GL; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; eNodeBId=4055,NORMAL,ROOT/EASY_DEPLOYMENT
Warning,29204,X2 Interface Fault,BTS5900,Fatoto,eNodeB Function Name=L_Fatoto,eNodeB Function Name=L_Fatoto; Neighboring Base Station Type=eNodeB; Specific Problem=Lower-layer link fault,2024-05-30 13:12:06,2024-05-30 13:50:49,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Fatoto,4055,-,14007195,-,618,RAT_INFO=GL; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; Description=Undefined; eNodeBId=4055,NORMAL,ROOT/EASY_DEPLOYMENT
Major,25888,SCTP Link Fault,BTS5900,Fatoto,Link No.=1,Link No.=1; Description=NULL; Peer IP Address=172.30.26.2; Service Type=GSM Signaling Link,2024-05-30 13:12:01,2024-05-30 13:50:49,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Fatoto,4055,-,14007197,-,620,RAT_INFO=GL; AFFECTED_RAT=G; DID=NULL; Cumulative Duration(s)=90; eNodeBId=4055,NORMAL,ROOT/EASY_DEPLOYMENT
Major,25888,SCTP Link Fault,BTS5900,Fatoto,Link No.=0,Link No.=0; Description=NULL; Peer IP Address=172.30.26.2; Service Type=GSM Signaling Link,2024-05-30 13:12:01,2024-05-30 13:50:49,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Fatoto,4055,-,14007196,-,619,RAT_INFO=GL; AFFECTED_RAT=G; DID=NULL; Cumulative Duration(s)=90; eNodeBId=4055,NORMAL,ROOT/EASY_DEPLOYMENT
Critical,29213,eNodeB S1 Control Plane Transmission Interruption,BTS5900,Fatoto,eNodeB Function Name=L_Fatoto,eNodeB Function Name=L_Fatoto; CN Operator ID=0,2024-05-30 13:11:58,2024-05-30 13:50:49,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Fatoto,4055,-,14007194,-,617,RAT_INFO=GL; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; eNodeBId=4055,NORMAL,ROOT/EASY_DEPLOYMENT
Major,25622,Mains Input Out of Range,BTS5900,Gouygi Market,Board Type=PMU; Cabinet No.=0; Subrack No.=7; Slot No.=0,Cabinet No.=0; Subrack No.=7; Slot No.=0; Board Type=PMU; Manager Cabinet No.=0; Manager Subrack No.=0; Specific Problem=AC Undervoltage,2024-05-30 13:30:29,2024-05-30 13:45:00,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Gouygi Market,4117,-,14007094,-,854,RAT_INFO=L; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=40; eNodeBId=4117,NORMAL,ROOT/EASY_DEPLOYMENT
Major,25622,Mains Input Out of Range,BTS5900,Sinchu Sorry,Board Type=PMU; Cabinet No.=0; Subrack No.=7; Slot No.=0,Cabinet No.=0; Subrack No.=7; Slot No.=0; Board Type=PMU; Manager Cabinet No.=0; Manager Subrack No.=0; Specific Problem=AC Undervoltage,2024-05-30 13:18:37,2024-05-30 13:25:13,2024-05-30 13:41:53,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Sinchu Sorry,4143,-,14007049,-,1232,RAT_INFO=L; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=40; eNodeBId=4143,NORMAL,ROOT/EASY_DEPLOYMENT
Major,25622,Mains Input Out of Range,BTS5900,LK Sabiji Market,Board Type=PMU; Cabinet No.=0; Subrack No.=7; Slot No.=0,Cabinet No.=0; Subrack No.=7; Slot No.=0; Board Type=PMU; Manager Cabinet No.=0; Manager Subrack No.=0; Specific Problem=AC Phase Loss,2024-05-30 13:19:15,2024-05-30 14:59:12,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,LK Sabiji Market,4129,-,14007034,-,6539,RAT_INFO=L; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=40; eNodeBId=4129,NORMAL,ROOT/EASY_DEPLOYMENT
Critical,301,NE Is Disconnected,OSS,OSS,Fatoto,neName=Fatoto; neIP=172.24.40.59; neBackupIP=NULL; NE error port=6007; NE error code=N/A; Error message=Port handshake timed out; Mediation partition=MediationService0305; OMC IP=172.30.24.7,2024-05-30 13:15:24,2024-05-30 13:50:01,2024-05-30 15:14:48,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,-,-,-,14007028,-,1,eNodeBId=4055,NORMAL,ROOT
Critical,301,NE Is Disconnected,OSS,OSS,Pakali Ba,neName=Pakali Ba; neIP=172.24.40.38; neBackupIP=NULL; NE error port=6007; NE error code=N/A; Error message=Port handshake timed out; Mediation partition=MediationService0305; OMC IP=172.30.24.7,2024-05-29 09:35:44,2024-05-29 09:57:44,2024-05-29 10:01:03,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,-,-,-,13998032,-,1,eNodeBId=4034,NORMAL,ROOT
Warning,29204,X2 Interface Fault,BTS5900,Diabugu,eNodeB Function Name=L_Diabugu,eNodeB Function Name=L_Diabugu; Neighboring Base Station Type=eNodeB; Specific Problem=Lower-layer link fault,2024-05-30 13:12:55,2024-05-30 13:49:56,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Diabugu,4051,-,14007025,-,567,RAT_INFO=GL; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; Description=4055; eNodeBId=4051,NORMAL,ROOT/EASY_DEPLOYMENT
Warning,29204,X2 Interface Fault,BTS5900,Kuntaur,eNodeB Function Name=L_Kuntaur,eNodeB Function Name=L_Kuntaur; Neighboring Base Station Type=eNodeB; Specific Problem=Lower-layer link fault,2024-05-30 13:13:08,2024-05-30 13:50:09,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Kuntaur,4045,-,14007024,-,4614324,RAT_INFO=GL; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; Description=4055; eNodeBId=4045,NORMAL,ROOT/EASY_DEPLOYMENT
Warning,29204,X2 Interface Fault,BTS5900,Allunghari,eNodeB Function Name=L_Allunghari,eNodeB Function Name=L_Allunghari; Neighboring Base Station Type=eNodeB; Specific Problem=Lower-layer link fault,2024-05-30 13:13:56,2024-05-30 13:50:59,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Allunghari,4176,-,14007023,-,1485,RAT_INFO=L; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; Description=4055; eNodeBId=4176,NORMAL,ROOT/EASY_DEPLOYMENT
Warning,29204,X2 Interface Fault,BTS5900,Baja Kunda,eNodeB Function Name=L_Baja Kunda,eNodeB Function Name=L_Baja Kunda; Neighboring Base Station Type=eNodeB; Specific Problem=Lower-layer link fault,2024-05-30 13:13:10,2024-05-30 13:50:17,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Baja Kunda,4039,-,14007021,-,761,RAT_INFO=GL; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; Description=4055; eNodeBId=4039,NORMAL,ROOT/EASY_DEPLOYMENT
Warning,29204,X2 Interface Fault,BTS5900,Numuyel,eNodeB Function Name=L_Numuyel,eNodeB Function Name=L_Numuyel; Neighboring Base Station Type=eNodeB; Specific Problem=Lower-layer link fault,2024-05-30 13:12:02,2024-05-30 13:49:09,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Numuyel,4056,-,14007022,-,874,RAT_INFO=GL; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; Description=4055; eNodeBId=4056,NORMAL,ROOT/EASY_DEPLOYMENT
Warning,29204,X2 Interface Fault,BTS5900,Sudowol,eNodeB Function Name=L_Sudowol,eNodeB Function Name=L_Sudowol; Neighboring Base Station Type=eNodeB; Specific Problem=Lower-layer link fault,2024-05-30 13:10:51,2024-05-30 13:48:46,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Sudowol,4080,-,14007020,-,741,RAT_INFO=GL; AFFECTED_RAT=L; DID=NULL; Cumulative Duration(s)=90; Description=4055; eNodeBId=4080,NORMAL,ROOT/EASY_DEPLOYMENT
Major,21801,GSM Cell out of Service,GBTS,BSC/G_Fatoto,LABEL=G09_Fatoto_3; CellIndex=69; CGI=6070303ED0229,Site Index=22; Cell Index=69; Alarm Cause=Other causes; Site Type=eGBTS; Site Name=G_Fatoto; Cell Name=G09_Fatoto_3; Cell CGI=607-03-3ed-229; Local Cell ID=2,2024-05-30 13:13:42,2024-05-30 13:51:57,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,G09_Fatoto_3,Acknowledged,-,-,-,14007016,-,4931258,-,NORMAL,ROOT
Major,21801,GSM Cell out of Service,GBTS,BSC/G_Fatoto,LABEL=G09_Fatoto_2; CellIndex=68; CGI=6070303ED0228,Site Index=22; Cell Index=68; Alarm Cause=Other causes; Site Type=eGBTS; Site Name=G_Fatoto; Cell Name=G09_Fatoto_2; Cell CGI=607-03-3ed-228; Local Cell ID=1,2024-05-30 13:13:42,2024-05-30 13:52:02,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,G09_Fatoto_2,Acknowledged,-,-,-,14007015,-,4931257,-,NORMAL,ROOT
Major,21801,GSM Cell out of Service,GBTS,BSC/G_Fatoto,LABEL=G09_Fatoto_1; CellIndex=67; CGI=6070303ED0227,Site Index=22; Cell Index=67; Alarm Cause=Other causes; Site Type=eGBTS; Site Name=G_Fatoto; Cell Name=G09_Fatoto_1; Cell CGI=607-03-3ed-227; Local Cell ID=0,2024-05-30 13:13:42,2024-05-30 13:51:57,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,G09_Fatoto_1,Acknowledged,-,-,-,14007014,-,4931256,-,NORMAL,ROOT
Major,21825,CSL Fault,GBTS,BSC/G_Fatoto,G_Fatoto,Site Index=22; Site Name=G_Fatoto,2024-05-30 13:13:42,2024-05-30 13:50:01,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,-,-,-,14007013,-,4931255,-,NORMAL,ROOT
Minor,780,The Data Transmission Channel Between the Trace Server and the NE Is Disrupted,OSS,OSS,OSS,NE Name=Fatoto; NE IP=172.24.40.59; NE Disconnect Port=6007; TSMediation Partition=TSMediationService1301; Trace Server IP=172.30.24.12; Backup Port=None,2024-05-30 13:13:22,2024-05-30 13:50:22,2024-05-30 15:14:48,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,-,-,-,14007011,-,0,-,NORMAL,ROOT
Minor,21541,SCTP Link Fault,BSC6900 GSM,BSC,SCTP link No.=; Slot No.=; Subrack No.=; SCTP Link ID=151,Subrack No.=0; Slot No.=0; Subsystem No.=4; SCTP Link ID=151; SCTP Link No.=65535; Interface Type=Abis; BTS ID=22; BTS Name=G_Fatoto; Alarm Cause=peer abort uncertainly,2024-05-30 13:12:00,2024-05-30 13:49:58,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,-,-,-,14007001,-,4931254,-,NORMAL,ROOT
Minor,21541,SCTP Link Fault,BSC6900 GSM,BSC,SCTP link No.=; Slot No.=; Subrack No.=; SCTP Link ID=150,Subrack No.=0; Slot No.=0; Subsystem No.=4; SCTP Link ID=150; SCTP Link No.=65535; Interface Type=Abis; BTS ID=22; BTS Name=G_Fatoto; Alarm Cause=peer abort uncertainly,2024-05-30 13:12:00,2024-05-30 13:49:58,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,-,-,-,14007000,-,4931253,-,NORMAL,ROOT
Major,25622,Mains Input Out of Range,BTS5900,Brikama Medina,Board Type=PMU; Cabinet No.=0; Subrack No.=7; Slot No.=0,Cabinet No.=0; Subrack No.=7; Slot No.=0; Board Type=PMU; Manager Cabinet No.=0; Manager Subrack No.=0; Specific Problem=AC Undervoltage,2024-05-30 13:07:03,2024-05-30 13:08:34,2024-05-30 13:41:53,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Brikama Medina,4178,-,14006974,-,743,RAT_INFO=GL; AFFECTED_RAT=GL; DID=NULL; Cumulative Duration(s)=40; eNodeBId=4178,NORMAL,ROOT/EASY_DEPLOYMENT
Major,25880,Ethernet Link Fault,BTS5900,Fatoto,Fatoto,Cabinet No.=0; Subrack No.=0; Slot No.=7; Port No.=0; Specific Problem=Ethernet Link Fault,2024-05-30 13:00:37,2024-05-30 13:10:48,2024-05-30 15:14:49,< NE operator >,Noc_monitoring,Cleared,-,-,Acknowledged,Fatoto,4055,-,14006954,-,613,RAT_INFO=GL; AFFECTED_RAT=GL; DID=NULL; Cumulative Duration(s)=90; eNodeBId=4055,NORMAL,ROOT/EASY_DEPLOYMENT
