begintime,duration,object,20001222
2021-09-26 19:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S2C2","['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '900.0']"
2021-09-26 19:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S3C1","['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '529.0', '371.0']"
2021-09-26 19:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S3C2","['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '893.0', '7.0']"
2021-09-26 19:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S1C1","['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '96.0', '804.0']"
2021-09-26 19:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S1C2","['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '90.0', '810.0']"
2021-09-26 19:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S2C1","['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '5.0', '895.0']"
2021-09-26 19:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S2C2","['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '900.0']"
2021-09-26 19:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S3C1","['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '406.0', '494.0']"
2021-09-26 19:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S3C2","['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '900.0', '0.0']"
2021-09-26 19:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S1C1","['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '307.0', '593.0']"
2021-09-26 19:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S1C2","['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '60.0', '840.0']"
2021-09-26 19:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S2C1","['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '2.0', '898.0']"
2021-09-26 19:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S2C2","['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '900.0']"
2021-09-26 19:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S3C1","['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '206.0', '694.0']"
2021-09-26 19:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S3C2","['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '899.0', '1.0']"
