begintime,ne_name,ne_type,vendor,integrity,HU LTE_RRC SR%,HU LTE_ERAB Setup SR%,HU LTE_ERAB Drop%,id
2024-03-06,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II,Local Cell ID=3,Cell Name=4G_BLACKHALLROAD_II-3,eNodeB ID=5028,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.8652,99.8107,0.0103,39
2024-03-06,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II,Local Cell ID=7,Cell Name=4G_BLACKHALLROAD_II-7,eNodeB ID=5028,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.9811,99.8581,0.0075,40
2024-03-06,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE,Local Cell ID=1,Cell Name=4G_BONTHE-1,eNodeB ID=5128,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.8928,100.0,0.0,41
2024-03-06,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE,Local Cell ID=2,Cell Name=4G_BONTHE-2,eNodeB ID=5128,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,100.0,100.0,0.0,42
2024-03-06,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE,Local Cell ID=3,Cell Name=4G_BONTHE-3,eNodeB ID=5128,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,98.4962,100.0,0.0,43
2024-03-06,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=1,Cell Name=4G_BOTOWN-1,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.8573,99.8825,0.0434,44
2024-03-06,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=2,Cell Name=4G_BOTOWN-2,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.953,99.8452,0.0207,45
2024-03-06,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=3,Cell Name=4G_BOTOWN-3,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.9321,99.7668,0.0423,46
2024-03-06,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=6,Cell Name=4G_BOTOWN-6,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.9659,99.8978,0.0252,47
2024-03-06,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=7,Cell Name=4G_BOTOWN-7,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.9869,99.9014,0.0317,48
2024-03-06,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=8,Cell Name=4G_BOTOWN-8,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.9821,99.8164,0.0293,49
2024-03-06,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=1,Cell Name=4G_BYRNELANECOLLIGATE-1,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.974,99.6481,0.0053,50
2024-03-06,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=2,Cell Name=4G_BYRNELANECOLLIGATE-2,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.9306,99.8013,0.0254,51
2024-03-06,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=3,Cell Name=4G_BYRNELANECOLLIGATE-3,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.9685,99.7804,0.0137,52
2024-03-06,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=6,Cell Name=4G_BYRNELANECOLLIGATE-6,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.9744,99.6868,0.0078,53
2024-03-06,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=7,Cell Name=4G_BYRNELANECOLLIGATE-7,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.9866,99.8942,0.0099,54
2024-03-06,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=8,Cell Name=4G_BYRNELANECOLLIGATE-8,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.9931,99.9359,0.005,55
2024-03-06,"4G_CITYROAD/Cell:eNodeB Function Name=4G_CITYROAD,Local Cell ID=1,Cell Name=4G_CITYROAD-1,eNodeB ID=5040,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.9415,99.1637,0.4658,56
2024-03-06,"4G_CITYROAD/Cell:eNodeB Function Name=4G_CITYROAD,Local Cell ID=2,Cell Name=4G_CITYROAD-2,eNodeB ID=5040,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.983,99.4145,0.6535,57
2024-03-06,"4G_CITYROAD/Cell:eNodeB Function Name=4G_CITYROAD,Local Cell ID=3,Cell Name=4G_CITYROAD-3,eNodeB ID=5040,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.943,98.2346,0.6822,58
2024-03-06,"4G_CKC_BO/Cell:eNodeB Function Name=4G_CKC_BO,Local Cell ID=1,Cell Name=4G_CKC_BO-1,eNodeB ID=5071,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.9647,99.7435,0.0084,59
2024-03-06,"4G_CKC_BO/Cell:eNodeB Function Name=4G_CKC_BO,Local Cell ID=2,Cell Name=4G_CKC_BO-2,eNodeB ID=5071,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,99.931,99.854,0.0301,60
