begintime,sk_object,duration,integrity,1542455881,1542455397,1542455401,1542455404,1542455405,1542455393,1542455396,1542455400,1542455392,1542455872,1542455873,1542455874,1542455875,1542455876,1542455877,1542455878,1542455879,1542455880
2022-03-01,7729758.0,86400.0,100.0,,0.0,0.0,2.0,124.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7730434.0,86400.0,100.0,,0.0,13257602997.0,68788814.0,78968136150.0,0.0,0.0,37753634.0,0.0,,,,,,,,,
2022-02-03,7729904.0,86400.0,100.0,,0.0,549339.0,552.0,393850.0,0.0,0.0,948.0,0.0,,,,,,,,,
2022-02-03,7729918.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7729427.0,86400.0,100.0,,0.0,15985698.0,11674.0,6277879.0,0.0,0.0,27794.0,0.0,,,,,,,,,
2022-02-03,7729689.0,86400.0,100.0,,0.0,3610883.0,4236.0,2620636.0,0.0,0.0,4910.0,0.0,,,,,,,,,
2022-02-06,7729605.0,82800.0,95.83333333333333,,0.0,426322.0,1491.0,1169863.0,0.0,0.0,643.0,0.0,,,,,,,,,
2022-02-04,7730389.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7730655.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7729477.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-03-01,7729696.0,86400.0,100.0,,0.0,1541311.0,2488.0,1671360.0,0.0,0.0,2139.0,0.0,,,,,,,,,
2022-03-01,7729846.0,86400.0,100.0,,0.0,9437870.0,25183.0,18602573.0,0.0,0.0,13510.0,0.0,,,,,,,,,
2022-03-01,7729431.0,86400.0,100.0,,0.0,72.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,
2022-03-01,7730171.0,86400.0,100.0,,0.0,110715.0,128.0,62864.0,0.0,0.0,138.0,0.0,,,,,,,,,
2022-02-03,7729426.0,86400.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022-02-03,7729866.0,86400.0,100.0,,0.0,4927.0,17.0,1632.0,0.0,0.0,30.0,0.0,,,,,,,,,
