NE Name,fdn,BTSID,MOIndex,className,name,neID
FTBSC02,"NE=280,BTSIP=139",139,26_139,BSC6900GSMBTSIP,BTS Index=139,26
FTBSC02,"NE=280,BTSIP=213",213,26_213,BSC6900GSMBTSIP,BTS Index=213,26
FTBSC02,"NE=280,BTSIP=177",177,26_177,BSC6900GSMBTSIP,BTS Index=177,26
FTBSC02,"NE=280,BTSIP=176",176,26_176,BSC6900GSMBTSIP,BTS Index=176,26
FTBSC02,"NE=280,BTSIP=200",200,26_200,BSC6900GSMBTSIP,BTS Index=200,26
FTBSC02,"NE=280,BTSIP=181",181,26_181,BSC6900GSMBTSIP,BTS Index=181,26
FTBSC02,"NE=280,BTSIP=186",186,26_186,BSC6900GSMBTSIP,BTS Index=186,26
FTBSC02,"NE=280,BTSIP=182",182,26_182,BSC6900GSMBTSIP,BTS Index=182,26
FTBSC02,"NE=280,BTSIP=120",120,26_120,BSC6900GSMBTSIP,BTS Index=120,26
FTBSC02,"NE=280,BTSIP=228",228,26_228,BSC6900GSMBTSIP,BTS Index=228,26
FTBSC02,"NE=280,BTSIP=175",175,26_175,BSC6900GSMBTSIP,BTS Index=175,26
FTBSC02,"NE=280,BTSIP=179",179,26_179,BSC6900GSMBTSIP,BTS Index=179,26
FTBSC02,"NE=280,BTSIP=145",145,26_145,BSC6900GSMBTSIP,BTS Index=145,26
FTBSC02,"NE=280,BTSIP=166",166,26_166,BSC6900GSMBTSIP,BTS Index=166,26
FTBSC02,"NE=280,BTSIP=232",232,26_232,BSC6900GSMBTSIP,BTS Index=232,26
FTBSC02,"NE=280,BTSIP=247",247,26_247,BSC6900GSMBTSIP,BTS Index=247,26
FTBSC02,"NE=280,BTSIP=251",251,26_251,BSC6900GSMBTSIP,BTS Index=251,26
FTBSC02,"NE=280,BTSIP=51",51,26_51,BSC6900GSMBTSIP,BTS Index=51,26
FTBSC02,"NE=280,BTSIP=55",55,26_55,BSC6900GSMBTSIP,BTS Index=55,26
FTBSC02,"NE=280,BTSIP=72",72,26_72,BSC6900GSMBTSIP,BTS Index=72,26
FTBSC02,"NE=280,BTSIP=80",80,26_80,BSC6900GSMBTSIP,BTS Index=80,26
FTBSC02,"NE=280,BTSIP=56",56,26_56,BSC6900GSMBTSIP,BTS Index=56,26
FTBSC02,"NE=280,BTSIP=60",60,26_60,BSC6900GSMBTSIP,BTS Index=60,26
FTBSC02,"NE=280,BTSIP=64",64,26_64,BSC6900GSMBTSIP,BTS Index=64,26
FTBSC02,"NE=280,BTSIP=92",92,26_92,BSC6900GSMBTSIP,BTS Index=92,26
FTBSC02,"NE=280,BTSIP=68",68,26_68,BSC6900GSMBTSIP,BTS Index=68,26
FTBSC02,"NE=280,BTSIP=101",101,26_101,BSC6900GSMBTSIP,BTS Index=101,26
FTBSC02,"NE=280,BTSIP=144",144,26_144,BSC6900GSMBTSIP,BTS Index=144,26
FTBSC02,"NE=280,BTSIP=178",178,26_178,BSC6900GSMBTSIP,BTS Index=178,26
FTBSC02,"NE=280,BTSIP=108",108,26_108,BSC6900GSMBTSIP,BTS Index=108,26
FTBSC02,"NE=280,BTSIP=162",162,26_162,BSC6900GSMBTSIP,BTS Index=162,26
FTBSC02,"NE=280,BTSIP=129",129,26_129,BSC6900GSMBTSIP,BTS Index=129,26
FTBSC02,"NE=280,BTSIP=204",204,26_204,BSC6900GSMBTSIP,BTS Index=204,26
FTBSC02,"NE=280,BTSIP=207",207,26_207,BSC6900GSMBTSIP,BTS Index=207,26
FTBSC02,"NE=280,BTSIP=124",124,26_124,BSC6900GSMBTSIP,BTS Index=124,26
FTBSC02,"NE=280,BTSIP=107",107,26_107,BSC6900GSMBTSIP,BTS Index=107,26
FTBSC02,"NE=280,BTSIP=187",187,26_187,BSC6900GSMBTSIP,BTS Index=187,26
FTBSC02,"NE=280,BTSIP=150",150,26_150,BSC6900GSMBTSIP,BTS Index=150,26
FTBSC02,"NE=280,BTSIP=123",123,26_123,BSC6900GSMBTSIP,BTS Index=123,26
FTBSC02,"NE=280,BTSIP=236",236,26_236,BSC6900GSMBTSIP,BTS Index=236,26
FTBSC02,"NE=280,BTSIP=238",238,26_238,BSC6900GSMBTSIP,BTS Index=238,26
FTBSC02,"NE=280,BTSIP=202",202,26_202,BSC6900GSMBTSIP,BTS Index=202,26
FTBSC02,"NE=280,BTSIP=114",114,26_114,BSC6900GSMBTSIP,BTS Index=114,26
FTBSC02,"NE=280,BTSIP=53",53,26_53,BSC6900GSMBTSIP,BTS Index=53,26
FTBSC02,"NE=280,BTSIP=57",57,26_57,BSC6900GSMBTSIP,BTS Index=57,26
FTBSC02,"NE=280,BTSIP=70",70,26_70,BSC6900GSMBTSIP,BTS Index=70,26
FTBSC02,"NE=280,BTSIP=71",71,26_71,BSC6900GSMBTSIP,BTS Index=71,26
FTBSC02,"NE=280,BTSIP=76",76,26_76,BSC6900GSMBTSIP,BTS Index=76,26
FTBSC02,"NE=280,BTSIP=83",83,26_83,BSC6900GSMBTSIP,BTS Index=83,26
FTBSC02,"NE=280,BTSIP=111",111,26_111,BSC6900GSMBTSIP,BTS Index=111,26
FTBSC02,"NE=280,BTSIP=206",206,26_206,BSC6900GSMBTSIP,BTS Index=206,26
FTBSC02,"NE=280,BTSIP=54",54,26_54,BSC6900GSMBTSIP,BTS Index=54,26
FTBSC02,"NE=280,BTSIP=74",74,26_74,BSC6900GSMBTSIP,BTS Index=74,26
FTBSC02,"NE=280,BTSIP=94",94,26_94,BSC6900GSMBTSIP,BTS Index=94,26
FTBSC02,"NE=280,BTSIP=173",173,26_173,BSC6900GSMBTSIP,BTS Index=173,26
FTBSC02,"NE=280,BTSIP=110",110,26_110,BSC6900GSMBTSIP,BTS Index=110,26
FTBSC02,"NE=280,BTSIP=196",196,26_196,BSC6900GSMBTSIP,BTS Index=196,26
FTBSC02,"NE=280,BTSIP=155",155,26_155,BSC6900GSMBTSIP,BTS Index=155,26
FTBSC02,"NE=280,BTSIP=203",203,26_203,BSC6900GSMBTSIP,BTS Index=203,26
FTBSC02,"NE=280,BTSIP=220",220,26_220,BSC6900GSMBTSIP,BTS Index=220,26
FTBSC02,"NE=280,BTSIP=224",224,26_224,BSC6900GSMBTSIP,BTS Index=224,26
FTBSC02,"NE=280,BTSIP=225",225,26_225,BSC6900GSMBTSIP,BTS Index=225,26
FTBSC02,"NE=280,BTSIP=193",193,26_193,BSC6900GSMBTSIP,BTS Index=193,26
FTBSC02,"NE=280,BTSIP=121",121,26_121,BSC6900GSMBTSIP,BTS Index=121,26
FTBSC02,"NE=280,BTSIP=168",168,26_168,BSC6900GSMBTSIP,BTS Index=168,26
FTBSC02,"NE=280,BTSIP=244",244,26_244,BSC6900GSMBTSIP,BTS Index=244,26
FTBSC02,"NE=280,BTSIP=243",243,26_243,BSC6900GSMBTSIP,BTS Index=243,26
FTBSC02,"NE=280,BTSIP=245",245,26_245,BSC6900GSMBTSIP,BTS Index=245,26
FTBSC02,"NE=280,BTSIP=58",58,26_58,BSC6900GSMBTSIP,BTS Index=58,26
FTBSC02,"NE=280,BTSIP=194",194,26_194,BSC6900GSMBTSIP,BTS Index=194,26
FTBSC02,"NE=280,BTSIP=125",125,26_125,BSC6900GSMBTSIP,BTS Index=125,26
FTBSC02,"NE=280,BTSIP=122",122,26_122,BSC6900GSMBTSIP,BTS Index=122,26
FTBSC02,"NE=280,BTSIP=89",89,26_89,BSC6900GSMBTSIP,BTS Index=89,26
FTBSC02,"NE=280,BTSIP=154",154,26_154,BSC6900GSMBTSIP,BTS Index=154,26
FTBSC02,"NE=280,BTSIP=216",216,26_216,BSC6900GSMBTSIP,BTS Index=216,26
FTBSC02,"NE=280,BTSIP=217",217,26_217,BSC6900GSMBTSIP,BTS Index=217,26
FTBSC02,"NE=280,BTSIP=147",147,26_147,BSC6900GSMBTSIP,BTS Index=147,26
FTBSC02,"NE=280,BTSIP=223",223,26_223,BSC6900GSMBTSIP,BTS Index=223,26
FTBSC02,"NE=280,BTSIP=229",229,26_229,BSC6900GSMBTSIP,BTS Index=229,26
FTBSC02,"NE=280,BTSIP=149",149,26_149,BSC6900GSMBTSIP,BTS Index=149,26
FTBSC02,"NE=280,BTSIP=134",134,26_134,BSC6900GSMBTSIP,BTS Index=134,26
FTBSC02,"NE=280,BTSIP=235",235,26_235,BSC6900GSMBTSIP,BTS Index=235,26
FTBSC02,"NE=280,BTSIP=233",233,26_233,BSC6900GSMBTSIP,BTS Index=233,26
FTBSC02,"NE=280,BTSIP=170",170,26_170,BSC6900GSMBTSIP,BTS Index=170,26
FTBSC02,"NE=280,BTSIP=246",246,26_246,BSC6900GSMBTSIP,BTS Index=246,26
FTBSC02,"NE=280,BTSIP=130",130,26_130,BSC6900GSMBTSIP,BTS Index=130,26
FTBSC02,"NE=280,BTSIP=192",192,26_192,BSC6900GSMBTSIP,BTS Index=192,26
FTBSC02,"NE=280,BTSIP=109",109,26_109,BSC6900GSMBTSIP,BTS Index=109,26
FTBSC02,"NE=280,BTSIP=100",100,26_100,BSC6900GSMBTSIP,BTS Index=100,26
FTBSC02,"NE=280,BTSIP=249",249,26_249,BSC6900GSMBTSIP,BTS Index=249,26
FTBSC02,"NE=280,BTSIP=252",252,26_252,BSC6900GSMBTSIP,BTS Index=252,26
FTBSC02,"NE=280,BTSIP=254",254,26_254,BSC6900GSMBTSIP,BTS Index=254,26
FTBSC02,"NE=280,BTSIP=258",258,26_258,BSC6900GSMBTSIP,BTS Index=258,26
FTBSC02,"NE=280,BTSIP=274",274,26_274,BSC6900GSMBTSIP,BTS Index=274,26
FTBSC02,"NE=280,BTSIP=276",276,26_276,BSC6900GSMBTSIP,BTS Index=276,26
FTBSC02,"NE=280,BTSIP=283",283,26_283,BSC6900GSMBTSIP,BTS Index=283,26
FTBSC02,"NE=280,BTSIP=294",294,26_294,BSC6900GSMBTSIP,BTS Index=294,26
FTBSC02,"NE=280,BTSIP=263",263,26_263,BSC6900GSMBTSIP,BTS Index=263,26
FTBSC02,"NE=280,BTSIP=40",40,26_40,BSC6900GSMBTSIP,BTS Index=40,26
FTBSC02,"NE=280,BTSIP=268",268,26_268,BSC6900GSMBTSIP,BTS Index=268,26
FTBSC02,"NE=280,BTSIP=271",271,26_271,BSC6900GSMBTSIP,BTS Index=271,26
FTBSC02,"NE=280,BTSIP=280",280,26_280,BSC6900GSMBTSIP,BTS Index=280,26
FTBSC02,"NE=280,BTSIP=282",282,26_282,BSC6900GSMBTSIP,BTS Index=282,26
FTBSC02,"NE=280,BTSIP=600",600,26_600,BSC6900GSMBTSIP,BTS Index=600,26
FTBSC02,"NE=280,BTSIP=262",262,26_262,BSC6900GSMBTSIP,BTS Index=262,26
FTBSC02,"NE=280,BTSIP=210",210,26_210,BSC6900GSMBTSIP,BTS Index=210,26
FTBSC02,"NE=280,BTSIP=115",115,26_115,BSC6900GSMBTSIP,BTS Index=115,26
FTBSC02,"NE=280,BTSIP=135",135,26_135,BSC6900GSMBTSIP,BTS Index=135,26
FTBSC02,"NE=280,BTSIP=279",279,26_279,BSC6900GSMBTSIP,BTS Index=279,26
FTBSC02,"NE=280,BTSIP=281",281,26_281,BSC6900GSMBTSIP,BTS Index=281,26
FTBSC02,"NE=280,BTSIP=299",299,26_299,BSC6900GSMBTSIP,BTS Index=299,26
FTBSC02,"NE=280,BTSIP=301",301,26_301,BSC6900GSMBTSIP,BTS Index=301,26
FTBSC02,"NE=280,BTSIP=198",198,26_198,BSC6900GSMBTSIP,BTS Index=198,26
FTBSC02,"NE=280,BTSIP=222",222,26_222,BSC6900GSMBTSIP,BTS Index=222,26
FTBSC02,"NE=280,BTSIP=118",118,26_118,BSC6900GSMBTSIP,BTS Index=118,26
FTBSC02,"NE=280,BTSIP=143",143,26_143,BSC6900GSMBTSIP,BTS Index=143,26
FTBSC02,"NE=280,BTSIP=212",212,26_212,BSC6900GSMBTSIP,BTS Index=212,26
FTBSC02,"NE=280,BTSIP=272",272,26_272,BSC6900GSMBTSIP,BTS Index=272,26
FTBSC02,"NE=280,BTSIP=292",292,26_292,BSC6900GSMBTSIP,BTS Index=292,26
FTBSC02,"NE=280,BTSIP=293",293,26_293,BSC6900GSMBTSIP,BTS Index=293,26
FTBSC02,"NE=280,BTSIP=257",257,26_257,BSC6900GSMBTSIP,BTS Index=257,26
FTBSC02,"NE=280,BTSIP=260",260,26_260,BSC6900GSMBTSIP,BTS Index=260,26
FTBSC02,"NE=280,BTSIP=160",160,26_160,BSC6900GSMBTSIP,BTS Index=160,26
FTBSC02,"NE=280,BTSIP=275",275,26_275,BSC6900GSMBTSIP,BTS Index=275,26
FTBSC02,"NE=280,BTSIP=153",153,26_153,BSC6900GSMBTSIP,BTS Index=153,26
FTBSC02,"NE=280,BTSIP=259",259,26_259,BSC6900GSMBTSIP,BTS Index=259,26
FTBSC02,"NE=280,BTSIP=277",277,26_277,BSC6900GSMBTSIP,BTS Index=277,26
FTBSC02,"NE=280,BTSIP=290",290,26_290,BSC6900GSMBTSIP,BTS Index=290,26
FTBSC02,"NE=280,BTSIP=289",289,26_289,BSC6900GSMBTSIP,BTS Index=289,26
FTBSC02,"NE=280,BTSIP=267",267,26_267,BSC6900GSMBTSIP,BTS Index=267,26
FTBSC02,"NE=280,BTSIP=269",269,26_269,BSC6900GSMBTSIP,BTS Index=269,26
FTBSC02,"NE=280,BTSIP=288",288,26_288,BSC6900GSMBTSIP,BTS Index=288,26
FTBSC02,"NE=280,BTSIP=336",336,26_336,BSC6900GSMBTSIP,BTS Index=336,26
FTBSC02,"NE=280,BTSIP=335",335,26_335,BSC6900GSMBTSIP,BTS Index=335,26
FTBSC02,"NE=280,BTSIP=352",352,26_352,BSC6900GSMBTSIP,BTS Index=352,26
FTBSC02,"NE=280,BTSIP=350",350,26_350,BSC6900GSMBTSIP,BTS Index=350,26
FTBSC02,"NE=280,BTSIP=351",351,26_351,BSC6900GSMBTSIP,BTS Index=351,26
FTBSC02,"NE=280,BTSIP=354",354,26_354,BSC6900GSMBTSIP,BTS Index=354,26
FTBSC02,"NE=280,BTSIP=353",353,26_353,BSC6900GSMBTSIP,BTS Index=353,26
FTBSC02,"NE=280,BTSIP=356",356,26_356,BSC6900GSMBTSIP,BTS Index=356,26
FTBSC02,"NE=280,BTSIP=357",357,26_357,BSC6900GSMBTSIP,BTS Index=357,26
FTBSC02,"NE=280,BTSIP=358",358,26_358,BSC6900GSMBTSIP,BTS Index=358,26
FTBSC02,"NE=280,BTSIP=363",363,26_363,BSC6900GSMBTSIP,BTS Index=363,26
FTBSC02,"NE=280,BTSIP=364",364,26_364,BSC6900GSMBTSIP,BTS Index=364,26
FTBSC02,"NE=280,BTSIP=366",366,26_366,BSC6900GSMBTSIP,BTS Index=366,26
FTBSC02,"NE=280,BTSIP=373",373,26_373,BSC6900GSMBTSIP,BTS Index=373,26
FTBSC02,"NE=280,BTSIP=397",397,26_397,BSC6900GSMBTSIP,BTS Index=397,26
FTBSC02,"NE=280,BTSIP=401",401,26_401,BSC6900GSMBTSIP,BTS Index=401,26
FTBSC02,"NE=280,BTSIP=404",404,26_404,BSC6900GSMBTSIP,BTS Index=404,26
FTBSC02,"NE=280,BTSIP=400",400,26_400,BSC6900GSMBTSIP,BTS Index=400,26
FTBSC02,"NE=280,BTSIP=402",402,26_402,BSC6900GSMBTSIP,BTS Index=402,26
FTBSC02,"NE=280,BTSIP=403",403,26_403,BSC6900GSMBTSIP,BTS Index=403,26
FTBSC02,"NE=280,BTSIP=418",418,26_418,BSC6900GSMBTSIP,BTS Index=418,26
FTBSC02,"NE=280,BTSIP=414",414,26_414,BSC6900GSMBTSIP,BTS Index=414,26
FTBSC02,"NE=280,BTSIP=415",415,26_415,BSC6900GSMBTSIP,BTS Index=415,26
FTBSC02,"NE=280,BTSIP=385",385,26_385,BSC6900GSMBTSIP,BTS Index=385,26
FTBSC02,"NE=280,BTSIP=428",428,26_428,BSC6900GSMBTSIP,BTS Index=428,26
FTBSC02,"NE=280,BTSIP=429",429,26_429,BSC6900GSMBTSIP,BTS Index=429,26
FTBSC02,"NE=280,BTSIP=433",433,26_433,BSC6900GSMBTSIP,BTS Index=433,26
FTBSC02,"NE=280,BTSIP=451",451,26_451,BSC6900GSMBTSIP,BTS Index=451,26
