vendor,table_name,table_id,counter_name,counter_name_alias,counter_id,counter_description,counter_unit,aggregation,enabled,enable_for_parser_module,mapped_object_id,tables_in_database,mapped_object_name,is_archived,busy_hour_aggregation,busy_hour_formula,busy_hour_column,aggregation_in_upper
Huawei,Reserve Counter <per RNC>,67108964,VS.Reserved.Counter12,VS.Reserved.Counter12,73453655,Reserved counter12,None,sum,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,SUM
Huawei,HSDPA Measurement,50331648,VS.AckRetrans.1,VS.AckRetrans.1,50331658,,None,sum,1,1,1,huawei_nodeb_50331648,NodeB(3G) : Measurement of Local Cell Performance,,,,,SUM
Huawei,E-RAB Setup Measurement,1526726657,L.E-RAB.SuccEst.QCI.7,L.E-RAB.SuccEst.QCI.7,1526726681,,None,sum,1,1,117,huawei_enodeb_1526726657,eNodeB(4G) : Measurement of Cell Performance,,,,,SUM
Huawei,HSDPA Measurement,50331648,VS.AckRetrans.3,VS.AckRetrans.3,50331660,,None,sum,1,1,1,huawei_nodeb_50331648,NodeB(3G) : Measurement of Local Cell Performance,,,,,SUM
Huawei,E-RAB Setup Measurement,1526726657,L.E-RAB.AttEst.QCI.8,L.E-RAB.AttEst.QCI.8,1526726682,,None,sum,1,1,117,huawei_enodeb_1526726657,eNodeB(4G) : Measurement of Cell Performance,,,,,SUM
Huawei,SRNC Relocation Measurement,67108964,VS.SRELOC.AttExecUENotInvolPS,VS.SRELOC.AttExecUENotInvolPS,67192142,Number of PS Relocation Execution Attempts for SRNC (UE Not Involved),None,sum,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,SUM
Huawei,SRNC Relocation Measurement,67108964,VS.SRELOC.AttExecUENotInvolCS,VS.SRELOC.AttExecUENotInvolCS,67192143,Number of CS Relocation Execution Attempts for SRNC (UE Not Involved),None,sum,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,SUM
Huawei,SCTP IP Measurement,67109007,VS.SCTP.RETX.PKGNUM,VS.SCTP.RETX.PKGNUM,67192144,T6007:Number of Packets Resent on the SCTP Link,packet,sum,1,1,21,"huawei_bsc6900gsm_67109007,huawei_bsc6900gu_67109007",Controller : Measurement of SCTP Link Performance,,,,,SUM
Huawei,Hard Handover Measurement <per RNC>,67108964,VS.HHO.SuccIntraFreq.RNC,VS.HHO.SuccIntraFreq.RNC,67192285,Number of Successful Intra-Frequency Hard Handovers for RNC,None,sum,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,SUM
Huawei,HSUPA Measurement <per Cell>,67108972,VS.HSUPA.RAB.AbnormRel,VS.HSUPA.RAB.AbnormRel,67192364,Number of HSUPA RABs Abnormal Releases for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,HSUPA Measurement <per Cell>,67108972,VS.HSUPA.RAB.NormRel,VS.HSUPA.RAB.NormRel,67192365,Number of HSUPA RABs Normal Released for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,HSUPA Measurement <per Cell>,67108972,VS.HSUPA.SHO.AttOut,VS.HSUPA.SHO.AttOut,67192367,Number of EDCH RL Addition and Deletion Attempts by Soft Handover for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,HSUPA Measurement <per Cell>,67108972,VS.HSUPA.SHO.SuccOut,VS.HSUPA.SHO.SuccOut,67192368,Number of Successful EDCH RL Additions and Deletions by Soft Handover for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,HSUPA Measurement <per Cell>,67108972,VS.HSUPA.SHO.ServCellChg.SuccOut,VS.HSUPA.SHO.ServCellChg.SuccOut,67192369,Number of Successful HSUPA Serving Cell Changes in Soft Handover Status for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
ericsson,Vt15Ttp,20000107,pmSes,pmSes,20001413,,sec,sum,1,1,1402,,RBSVt15Ttp,,,,,SUM
ericsson,Vt15Ttp,20000107,pmUas,pmUas,20001414,,sec,sum,1,1,1402,,RBSVt15Ttp,,,,,SUM
ericsson,Iub,20000051,pmNoOfDiscardedMsg,pmNoOfDiscardedMsg,20000920,,#,sum,1,1,1402,,RBSIub,,,,,SUM
ericsson,UtranCell,20000230,pmNoOfSwDownNgHo,pmNoOfSwDownNgHo,20002948,,#,sum,1,1,1402,,RNCUtranCell,,,,,SUM
ericsson,Aal0TpVccTp,20000000,pmBwErrBlocks,pmBwErrBlocks,20000000,,#,sum,1,1,1402,,RBSAal0TpVccTp,,,,,SUM
ericsson,Aal0TpVccTp,20000000,pmBwLostCells,pmBwLostCells,20000001,,#,sum,1,1,1402,,RBSAal0TpVccTp,,,,,SUM
ericsson,Aal0TpVccTp,20000000,pmBwMissinsCells,pmBwMissinsCells,20000002,,#,sum,1,1,1402,,RBSAal0TpVccTp,,,,,SUM
ericsson,ImaLink,20000144,pmRxFc,pmRxFc,20001772,,#,sum,1,1,1402,,RNCImaLink,,,,,SUM
ericsson,Mtp3bSpItu,20000184,pmNoOfCBARec,pmNoOfCBARec,20002271,,#,sum,1,1,1402,,RNCMtp3bSpItu,,,,,SUM
ericsson,Sts1SpeTtp,20000217,pmEsp,pmEsp,20002602,,sec,sum,1,1,1402,,RNCSts1SpeTtp,,,,,SUM
ericsson,UtranCell_V,20000231,pmRes1,pmRes1,20003471,,#,sum,1,1,1402,,RNCUtranCell_V,,,,,SUM
ericsson,E1Ttp,20000019,pmEs,pmEs,20000153,,sec,sum,1,1,1402,,RBSE1Ttp,,,,,SUM
ericsson,Aal0TpVccTp,20000000,pmFwErrBlocks,pmFwErrBlocks,20000003,,#,sum,1,1,1402,,RBSAal0TpVccTp,,,,,SUM
ericsson,Aal0TpVccTp,20000000,pmFwLostCells,pmFwLostCells,20000004,,#,sum,1,1,1402,,RBSAal0TpVccTp,,,,,SUM
ericsson,Aal0TpVccTp,20000000,pmFwMissinsCells,pmFwMissinsCells,20000005,,#,sum,1,1,1402,,RBSAal0TpVccTp,,,,,SUM
ericsson,Aal0TpVccTp,20000000,pmLostBrCells,pmLostBrCells,20000006,,#,sum,1,1,1402,,RBSAal0TpVccTp,,,,,SUM
ericsson,Aal0TpVccTp,20000000,pmLostFpmCells,pmLostFpmCells,20000007,,#,sum,1,1,1402,,RBSAal0TpVccTp,,,,,SUM
ericsson,Aal1TpVccTp,20000001,pmBwErrBlocks,pmBwErrBlocks,20000008,,#,sum,1,1,1402,,RBSAal1TpVccTp,,,,,SUM
ericsson,Aal1TpVccTp,20000001,pmBwLostCells,pmBwLostCells,20000009,,#,sum,1,1,1402,,RBSAal1TpVccTp,,,,,SUM
ericsson,Aal1TpVccTp,20000001,pmBwMissinsCells,pmBwMissinsCells,20000010,,#,sum,1,1,1402,,RBSAal1TpVccTp,,,,,SUM
ericsson,Aal1TpVccTp,20000001,pmFwErrBlocks,pmFwErrBlocks,20000011,,#,sum,1,1,1402,,RBSAal1TpVccTp,,,,,SUM
ericsson,Aal1TpVccTp,20000001,pmFwLostCells,pmFwLostCells,20000012,,#,sum,1,1,1402,,RBSAal1TpVccTp,,,,,SUM
ericsson,SccpSP,20000213,pmNoOfUDTRec,pmNoOfUDTRec,20002549,,#,sum,1,1,1402,,RNCSccpSP,,,,,SUM
ericsson,T1Ttp,20000224,pmEs,pmEs,20002630,,sec,sum,1,1,1402,,RNCT1Ttp,,,,,SUM
Nokia,AMR RX Quality,107,HR_515_UL_RXQ_1,AMR HR 5.15 ON UPLINK DIRECTION WITH RXQUAL 1,107151,Number of AMR HR 5.15 kbit/s codec mode (bitrate) usages when the RX quality is within class 1 on the uplink direction. On the fast link adaptation (LA) mode the bitrate is the last used one during the measurement report interval. On the slow LA mode this counter indicates the only used bitrate during the measurement report interval.,Integer number,sum,0,1,205,,"2G : BSC-BCF-BTS-TRX,SEG,TTP,TRXFQ",,,,,SUM
Huawei,HSDPA Measurement,50331648,VS.AckRetrans.5,VS.AckRetrans.5,50331662,,None,sum,1,1,1,huawei_nodeb_50331648,NodeB(3G) : Measurement of Local Cell Performance,,,,,SUM
Huawei,HSUPA Measurement <per Cell>,67108972,VS.HSUPA.SHO.ServCellChg.AttOut,VS.HSUPA.SHO.ServCellChg.AttOut,67192370,Number of HSUPA Serving Cell Change Attempts in Soft Handover Status for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,HSUPA Measurement <per Cell>,67108972,VS.HSUPA.HHO.E2E.SuccOutInterFreq,VS.HSUPA.HHO.E2E.SuccOutInterFreq,67192373,Number of Successful HSUPA Serving Cell Changes Due to Inter-Frequency Hard Handover without Channel Change for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,HSUPA Measurement <per Cell>,67108972,VS.HSUPA.HHO.E2E.AttOutInterFreq,VS.HSUPA.HHO.E2E.AttOutInterFreq,67192374,Number of HSUPA Serving Cell Change Attempts Due to Inter-Frequency Hard Handover without Channel Change for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,RB Procedure Measurement <per RNC>,67108964,VS.DRD.RB.D2H.Att.RNC,VS.DRD.RB.D2H.Att.RNC,67192444,Number of DCH-to-HSDPA Directed Retry Attempts for RNC,None,sum,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,SUM
Huawei,RB Procedure Measurement <per RNC>,67108964,VS.DRD.RB.D2H.Succ.RNC,VS.DRD.RB.D2H.Succ.RNC,67192445,Number of Successful DCH-to-HSDPA Directed Retry for RNC,None,sum,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,SUM
Huawei,HSUPA Measurement <per Cell>,67108972,VS.HSUPA.E2D.Succ,VS.HSUPA.E2D.Succ,67192470,Number of Successful Channel Conversions from EDCH to DCH for HSUPA Service for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,HSUPA Measurement <per Cell>,67108972,VS.HSUPA.E2D.Att,VS.HSUPA.E2D.Att,67192471,Number of Channel Conversion Attempts from EDCH to DCH for HSUPA Service for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,HSUPA Measurement <per Cell>,67108972,VS.HSUPA.HHO.E2D.SuccOutIntraFreq,VS.HSUPA.HHO.E2D.SuccOutIntraFreq,67192472,Number of Successful HSUPA Intra-Frequency Hard Handovers for Cell(EDCH to DCH),None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,HSUPA Measurement <per Cell>,67108972,VS.HSUPA.HHO.E2D.SuccOutInterFreq,VS.HSUPA.HHO.E2D.SuccOutInterFreq,67192474,Number of Successful HSUPA Inter-Frequency Hard Handovers for Cell(EDCH to DCH),None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,HSUPA Measurement <per Cell>,67108972,VS.HSUPA.HHO.E2D.AttOutInterFreq,VS.HSUPA.HHO.E2D.AttOutInterFreq,67192475,Number of HSUPA Inter-Frequency Hard Handover Attempts for Cell(EDCH to DCH),None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,HSUPA Measurement <per Cell>,67108972,VS.HSUPA.D2E.Succ,VS.HSUPA.D2E.Succ,67192476,Number of Successful Channel Conversions from DCH to EDCH for HSUPA Service for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,HSUPA Measurement <per Cell>,67108972,VS.HSUPA.D2E.Att,VS.HSUPA.D2E.Att,67192477,Number of Channel Conversion Attempts from DCH to EDCH for HSUPA Service for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,Soft Handover Measurement <per RNC>,67108964,VS.SHO.AS.6.RNC,VS.SHO.AS.6.RNC,67203935,Mean Number of UEs with Six Radio Links for RNC,None,avg,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,AVG
Huawei,HSUPA Measurement <per Cell>,67108972,VS.HSUPA.E2F.Succ,VS.HSUPA.E2F.Succ,67192481,Number of Successful Channel Conversions from EDCH to FACH for HSUPA Service for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,HSUPA Measurement <per Cell>,67108972,VS.HSUPA.MeanChThroughput.TotalBytes,VS.HSUPA.MeanChThroughput.TotalBytes,67192486,Number of Total Bytes Received in Uplink of HSUPA MAC-d Flow for Cell,byte,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,E-RAB Setup Measurement,1526726657,L.E-RAB.SuccEst.QCI.8,L.E-RAB.SuccEst.QCI.8,1526726683,,None,sum,1,1,117,huawei_enodeb_1526726657,eNodeB(4G) : Measurement of Cell Performance,,,,,SUM
Huawei,Hard Handover Measurement <per RNC>,67108964,VS.HHO.AttIntraFreq.RNC,VS.HHO.AttIntraFreq.RNC,67192284,Number of Intra-Frequency Hard Handover Requests for RNC,None,sum,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,SUM
Huawei,Inter-RAT Handover Measurement <per Cell>,67108972,VS.IRATHO.HSUPA.SuccOutPSUTRAN,VS.IRATHO.HSUPA.SuccOutPSUTRAN,67192506,Number of Successful PS Outgoing Inter-RAT Handovers for HSUPA Services for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,Inter-RAT Handover Measurement <per Cell>,67108972,VS.IRATHO.HSUPA.AttOutPSUTRAN,VS.IRATHO.HSUPA.AttOutPSUTRAN,67192507,Number of PS Outgoing Inter-RAT Handover Attempts for HSUPA Services for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
ericsson,utranrelation,20000232,pmSuccNonBlindInterFreqHoCsConversational,pmSuccNonBlindInterFreqHoCsConversational,20003545,,#,sum,1,1,1402,,RNCutranrelation,,,,,SUM
Huawei,Traffic Measurement per PLMN,67109044,VS.CSLoad.MaxErlang.Equiv.PLMN.RNC,VS.CSLoad.MaxErlang.Equiv.PLMN.RNC,67192511,Maximum equivalent CS Erlang for RNC per Operator,Erl,max,1,1,25,huawei_bsc6900gu_67109044,Controller(3G) : Measurement of CNOperator Performance,,,,,MAX
Huawei,CS Signaling Measurement per Iu Interface,67108965,VS.IU.LdBalRtCS.IMSI,VS.IU.LdBalRtCS.IMSI,67192538,Number of Times that CS Load Balancing is Performed by IMSI Users,None,sum,1,1,11,huawei_bsc6900gu_67108965,Controller(3G) : Measurement of Iu Interface Performance,,,,,SUM
Huawei,CS Signaling Measurement per Iu Interface,67108965,VS.IU.LdBalRtCS.InValidNRI,VS.IU.LdBalRtCS.InValidNRI,67192539,Number of Times that CS Load Balancing is Performed by TMSI Users Due to Invalid NRI,None,sum,1,1,11,huawei_bsc6900gu_67108965,Controller(3G) : Measurement of Iu Interface Performance,,,,,SUM
Huawei,NodeB OAM Flow Measurement,67109051,VS.OAM.FLOW.TXBYTES,VS.OAM.FLOW.TXBYTES,67195466,Number of Bytes Transmitted on OM Flow,byte,sum,1,1,45,huawei_bsc6900gu_67109051,Controller(3G) : Measurement of NodeB OAM Flow Performance,,,,,SUM
Huawei,CS Signaling Measurement per Iu Interface,67108965,VS.IU.LdBalRtCS.IMEI,VS.IU.LdBalRtCS.IMEI,67192540,Number of Times that CS Load Balancing is Performed by IMEI Users,None,sum,1,1,11,huawei_bsc6900gu_67108965,Controller(3G) : Measurement of Iu Interface Performance,,,,,SUM
Huawei,PS Signaling Measurement per Iu Interface,67108965,VS.IU.Load.RoutePS.IMSI,VS.IU.Load.RoutePS.IMSI,67192541,Number of Performed PS Load Balancing by IMSI Users,None,sum,1,1,11,huawei_bsc6900gu_67108965,Controller(3G) : Measurement of Iu Interface Performance,,,,,SUM
Huawei,PS Signaling Measurement per Iu Interface,67108965,VS.IU.Load.RoutePS.NRI,VS.IU.Load.RoutePS.NRI,67192542,Number of Performed PS Load Balancing by TMSI Users Due to Invalid NRI,None,sum,1,1,11,huawei_bsc6900gu_67108965,Controller(3G) : Measurement of Iu Interface Performance,,,,,SUM
Huawei,PS Signaling Measurement per Iu Interface,67108965,VS.IU.Load.RoutePS.IMEI,VS.IU.Load.RoutePS.IMEI,67192543,Number of Performed PS Load Balancing by IMEI Users,None,sum,1,1,11,huawei_bsc6900gu_67108965,Controller(3G) : Measurement of Iu Interface Performance,,,,,SUM
Huawei,SRNC Measurement per Iur Interface,67108969,VS.SHO.FailRLSetupIur.TransCong.Rx,VS.SHO.FailRLSetupIur.TransCong.Rx,67192577,Number of Radio Link Setup Failures on Iur Interface for SRNC (Transport Resource Unavailable),None,sum,1,1,14,huawei_bsc6900gu_67108969,Controller(3G) : Measurement of Iur Interface Performance,,,,,SUM
Huawei,SRNC Measurement per Iur Interface,67108969,VS.SHO.FailRLAddIur.TransCong.Rx,VS.SHO.FailRLAddIur.TransCong.Rx,67192578,Number of Radio Link Addition Failures on Iur Interface for SRNC (Transport Resource Unavailable),None,sum,1,1,14,huawei_bsc6900gu_67108969,Controller(3G) : Measurement of Iur Interface Performance,,,,,SUM
Huawei,DRNC Measurement per Iur Interface,67108969,VS.SHO.FailRLRecfgIur.TransCongRx,VS.SHO.FailRLRecfgIur.TransCongRx,67192579,Number of Failed Radio Link Synchronous Reconfigurations on Iur Interface for DRNC (Transport Resource Unavailable),None,sum,1,1,14,huawei_bsc6900gu_67108969,Controller(3G) : Measurement of Iur Interface Performance,,,,,SUM
Huawei,DRNC Measurement per Iur Interface,67108969,VS.SHO.FailRLSetupIur.TransCongTx,VS.SHO.FailRLSetupIur.TransCongTx,67192580,Number of Failed Radio Link Setups on Iur Interface for DRNC (Transport Resource Unavailable),None,sum,1,1,14,huawei_bsc6900gu_67108969,Controller(3G) : Measurement of Iur Interface Performance,,,,,SUM
Huawei,DRNC Measurement per Iur Interface,67108969,VS.SHO.FailRLAddIur.TransCong.Tx,VS.SHO.FailRLAddIur.TransCong.Tx,67192581,Number of Failed Radio Link Additions on Iur Interface for DRNC (Transport Resource Unavailable),None,sum,1,1,14,huawei_bsc6900gu_67108969,Controller(3G) : Measurement of Iur Interface Performance,,,,,SUM
Huawei,SRNC Relocation Measurement,67108964,VS.SRELOC.AttExecUEInvolCS,VS.SRELOC.AttExecUEInvolCS,67192683,Number of CS Relocation Execution Attempts for SRNC (UE Involved),None,sum,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,SUM
Huawei,SRNC Relocation Measurement,67108964,VS.SRELOC.AttExecUEInvolPS,VS.SRELOC.AttExecUEInvolPS,67192684,Number of PS Relocation Execution Attempts for SRNC (UE Involved),None,sum,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,SUM
Huawei,SRNC Relocation Measurement,67108964,VS.SRELOC.SuccExecUEInvolCS,VS.SRELOC.SuccExecUEInvolCS,67192685,Number of Successful CS Relocation Executions for SRNC (UE Involved),None,sum,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,SUM
Huawei,SRNC Relocation Measurement,67108964,VS.SRELOC.SuccExecUEInvolPS,VS.SRELOC.SuccExecUEInvolPS,67192686,Number of Successful PS Relocation Executions for SRNC (UE Involved),None,sum,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,SUM
Huawei,SRNC Relocation Measurement,67108964,VS.SRELOC.SuccExecUENonInvolCS,VS.SRELOC.SuccExecUENonInvolCS,67192687,Number of Successful CS Relocation Executions for SRNC (UE Not Involved),None,sum,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,SUM
Huawei,SRNC Relocation Measurement,67108964,VS.SRELOC.SuccExecUENonInvolPS,VS.SRELOC.SuccExecUENonInvolPS,67192688,Number of Successful PS Relocation Executions for SRNC (UE Not Involved),None,sum,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,SUM
Huawei,Paging Measurement <per RNC>,67108964,VS.RANAP.PsPaging.Loss,VS.RANAP.PsPaging.Loss,67192714,Number of Unsuccessful CN Paging Requests of PS Domain for RNC,None,sum,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,SUM
Huawei,E-RAB Setup Measurement,1526726657,L.E-RAB.AttEst.QCI.9,L.E-RAB.AttEst.QCI.9,1526726684,,None,sum,1,1,117,huawei_enodeb_1526726657,eNodeB(4G) : Measurement of Cell Performance,,,,,SUM
Huawei,RAB Release Measurement <per Cell>,67108972,VS.RAB.RelReqPS.BE.HSDPA.Cong.Golden,VS.RAB.RelReqPS.BE.HSDPA.Cong.Golden,67192975,Number of HSDPA RABs Carrying Golden Users BE Traffic Released Due to Congestion for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,RAB Release Measurement <per Cell>,67108972,VS.RAB.RelReqPS.BE.HSDPA.Cong.Silver,VS.RAB.RelReqPS.BE.HSDPA.Cong.Silver,67192976,Number of HSDPA RABs Carrying Silver Users BE Traffic Released Due to Congestion for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,Throughput and Data Volume Measurement,1526726657,L.Thrp.Time.UL.QCI.1,L.Thrp.Time.UL.QCI.1,1526726777,,ms,sum,1,1,117,huawei_enodeb_1526726657,eNodeB(4G) : Measurement of Cell Performance,,,,,SUM
Huawei,RAB Release Measurement <per Cell>,67108972,VS.RAB.RelReqPS.BE.HSDPA.Cong.Copper,VS.RAB.RelReqPS.BE.HSDPA.Cong.Copper,67192977,Number of HSDPA RABs Carrying Copper Users BE Traffic Released Due to Congestion for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,RAB Release Measurement <per Cell>,67108972,VS.RAB.RelReqPS.BE.HSUPA.Cong.Golden,VS.RAB.RelReqPS.BE.HSUPA.Cong.Golden,67192978,Number of HSUPA RABs Carrying Golden Users BE Traffic Released Due to Congestion for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,RAB Release Measurement <per Cell>,67108972,VS.RAB.RelReqPS.BE.HSUPA.Cong.Silver,VS.RAB.RelReqPS.BE.HSUPA.Cong.Silver,67192979,Number of HSUPA RABs Carrying Silver Users BE Traffic Released Due to Congestion for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,RAB Release Measurement <per Cell>,67108972,VS.RAB.RelReqPS.BE.HSUPA.Cong.Copper,VS.RAB.RelReqPS.BE.HSUPA.Cong.Copper,67192980,Number of HSUPA RABs Carrying Copper Users BE Traffic Released Due to Congestion for Cell,None,sum,1,1,15,huawei_bsc6900gu_67108972,Controller(3G) : Measurement of Cell Performance,,,,,SUM
Huawei,Traffic Measurement <per RNC>,67108964,VS.R99PSLoad.MaxULThruput.RNC,VS.R99PSLoad.MaxULThruput.RNC,67192985,Maximum Throughput of Uplink PS R99 Traffic for RNC,kbit/s,max,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,MAX
Huawei,Traffic Measurement <per RNC>,67108964,VS.R99PSLoad.MaxDLThruput.RNC,VS.R99PSLoad.MaxDLThruput.RNC,67192988,Maximum Throughput of Downlink PS R99 Traffic for RNC,kbit/s,max,1,1,10,huawei_bsc6900gu_67108964,Controller(3G) : Measurement of RNC Performance,,,,,MAX
