begintime,ne_name,ne_type,vendor,integrity,L.Thrp.bits.DL,4G traffic,id
2022-02-02,Cell Name=4G_CLINETOWN-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,882508011728.0,882508011728.0,59
2022-02-02,Cell Name=4G_CLINETOWN-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,704193958816.0,704193958816.0,60
2022-02-02,Cell Name=4G_CLINETOWN-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,846575256296.0,846575256296.0,61
2022-02-02,Cell Name=4G_CLINETOWN-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,593025732624.0,593025732624.0,62
2022-02-02,Cell Name=4G_CLINETOWN-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,271838004512.0,271838004512.0,63
2022-02-02,Cell Name=4G_CLINETOWN-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,434845074104.0,434845074104.0,64
2022-02-02,Cell Name=4G_COLEFARM_II-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,547691370160.0,547691370160.0,65
2022-02-02,Cell Name=4G_COLEFARM_II-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,377381717520.0,377381717520.0,66
2022-02-02,Cell Name=4G_COLEFARM_II-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,363974179744.0,363974179744.0,67
2022-02-02,Cell Name=4G_COLEFARM_II-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,392836275728.0,392836275728.0,68
2022-02-02,Cell Name=4G_COLEFARM_II-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,763037748952.0,763037748952.0,69
2022-02-02,Cell Name=4G_COLEFARM_II-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,668626051688.0,668626051688.0,70
2022-02-02,Cell Name=4G_COLLEGIATESCHOOL_II-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,886857703152.0,886857703152.0,71
2022-02-02,Cell Name=4G_COLLEGIATESCHOOL_II-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,275715020576.0,275715020576.0,72
2022-02-02,Cell Name=4G_COLLEGIATESCHOOL_II-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,737477201224.0,737477201224.0,73
2022-02-02,Cell Name=4G_COLLEGIATESCHOOL_II-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1352637612560.0,1352637612560.0,74
2022-02-02,Cell Name=4G_COLLEGIATESCHOOL_II-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1349605862792.0,1349605862792.0,75
2022-02-02,Cell Name=4G_COLLEGIATESCHOOL_II-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,602987171704.0,602987171704.0,76
2022-02-02,Cell Name=4G_CONGOTOWN-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,400022007480.0,400022007480.0,77
2022-02-02,Cell Name=4G_CONGOTOWN-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,450739870312.0,450739870312.0,78
2022-02-02,Cell Name=4G_CONGOTOWN-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,655289751640.0,655289751640.0,79
2022-02-02,Cell Name=4G_CONGOTOWN-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,318991891832.0,318991891832.0,80
2022-02-02,Cell Name=4G_CONGOTOWN-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,782556301384.0,782556301384.0,81
2022-02-02,Cell Name=4G_CONGOTOWN-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,667082582008.0,667082582008.0,82
2022-02-02,Cell Name=4G_DAMAROAD-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1207583541032.0,1207583541032.0,83
2022-02-02,Cell Name=4G_DAMAROAD-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,275864907040.0,275864907040.0,84
2022-02-02,Cell Name=4G_DAMAROAD-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,515798438152.0,515798438152.0,85
2022-02-02,Cell Name=4G_DILLET-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,416279768304.0,416279768304.0,86
2022-02-02,Cell Name=4G_DILLET-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,281809430576.0,281809430576.0,87
2022-02-02,Cell Name=4G_DILLET-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,352947464648.0,352947464648.0,88
2022-02-02,Cell Name=4G_DILLET-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,261814740920.0,261814740920.0,89
2022-02-02,Cell Name=4G_DILLET-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,755859927384.0,755859927384.0,90
2022-02-02,Cell Name=4G_DILLET-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,366291685256.0,366291685256.0,91
2022-02-02,Cell Name=4G_DUKESTREET_II-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,824350138776.0,824350138776.0,92
2022-02-02,Cell Name=4G_DUKESTREET_II-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,579696658096.0,579696658096.0,93
2022-02-02,Cell Name=4G_DUKESTREET_II-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,543356685768.0,543356685768.0,94
2022-02-02,Cell Name=4G_DUKESTREET_II-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,802738734624.0,802738734624.0,95
2022-02-02,Cell Name=4G_DUKESTREET_II-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,439515985424.0,439515985424.0,96
2022-02-02,Cell Name=4G_DUKESTREET_II-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,901573351992.0,901573351992.0,97
2022-02-02,Cell Name=4G_DUNDASTREET-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,667996700880.0,667996700880.0,98
2022-02-02,Cell Name=4G_DUNDASTREET-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,314282904088.0,314282904088.0,99
2022-02-02,Cell Name=4G_DUNDASTREET-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,689118970976.0,689118970976.0,100
2022-02-02,Cell Name=4G_DUNDASTREET-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,182788677664.0,182788677664.0,101
2022-02-02,Cell Name=4G_DUNDASTREET-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,345491728640.0,345491728640.0,102
2022-02-02,Cell Name=4G_DUNDASTREET-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,421633845848.0,421633845848.0,103
2022-02-02,Cell Name=4G_DWARZK-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,382749332392.0,382749332392.0,104
2022-02-02,Cell Name=4G_DWARZK-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,523242315568.0,523242315568.0,105
2022-02-02,Cell Name=4G_DWARZK-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,539992659288.0,539992659288.0,106
2022-02-02,Cell Name=4G_DWARZK-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,447095319176.0,447095319176.0,107
2022-02-02,Cell Name=4G_ECOWASST-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,332725823120.0,332725823120.0,108
2022-02-02,Cell Name=4G_ECOWASST-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,358418764280.0,358418764280.0,109
2022-02-02,Cell Name=4G_ECOWASST-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,175050242432.0,175050242432.0,110
2022-02-02,Cell Name=4G_ECOWASST-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,294527446704.0,294527446704.0,111
2022-02-02,Cell Name=4G_FBC-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1243176146808.0,1243176146808.0,112
2022-02-02,Cell Name=4G_FBC-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,61532419136.0,61532419136.0,113
2022-02-02,Cell Name=4G_FBC-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,179308132848.0,179308132848.0,114
2022-02-02,Cell Name=4G_FBC-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1120410595680.0,1120410595680.0,115
2022-02-02,Cell Name=4G_GODERICH-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,539609568344.0,539609568344.0,116
2022-02-02,Cell Name=4G_GODERICH-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,106607607008.0,106607607008.0,117
2022-02-02,Cell Name=4G_GODERICH-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,655521344368.0,655521344368.0,118
2022-02-02,Cell Name=4G_GODERICH-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,651622785384.0,651622785384.0,119
2022-02-02,Cell Name=4G_GODERICH-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,739431556512.0,739431556512.0,120
2022-02-02,Cell Name=4G_GODERICH-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,625012929328.0,625012929328.0,121
2022-02-02,Cell Name=4G_GODRECHSTREET-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,419945336744.0,419945336744.0,122
2022-02-02,Cell Name=4G_GODRECHSTREET-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,792424921600.0,792424921600.0,123
2022-02-02,Cell Name=4G_GODRECHSTREET-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,482522001776.0,482522001776.0,124
2022-02-02,Cell Name=4G_GODRECHSTREET-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,519886013600.0,519886013600.0,125
2022-02-02,Cell Name=4G_GODRECHSTREET-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,702729648768.0,702729648768.0,126
2022-02-02,Cell Name=4G_HILLCUTROAD_II-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,599302996792.0,599302996792.0,127
2022-02-02,Cell Name=4G_HILLCUTROAD_II-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,634266456512.0,634266456512.0,128
2022-02-02,Cell Name=4G_HILLCUTROAD_II-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,724627416768.0,724627416768.0,129
2022-02-02,Cell Name=4G_HILLSTATION-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,828317931976.0,828317931976.0,130
2022-02-02,Cell Name=4G_HILLSTATION-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,538520788960.0,538520788960.0,131
2022-02-02,Cell Name=4G_HILLSTATION-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,350715704064.0,350715704064.0,132
2022-02-02,Cell Name=4G_HILLSTATION-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,134641003240.0,134641003240.0,133
2022-02-02,Cell Name=4G_HILLSTATION-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,539996374984.0,539996374984.0,134
2022-02-02,Cell Name=4G_HILLSTATION-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,409343428496.0,409343428496.0,135
2022-02-02,Cell Name=4G_IMATT_II-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,236609371976.0,236609371976.0,136
2022-02-02,Cell Name=4G_IMATT_II-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,308574211256.0,308574211256.0,137
2022-02-02,Cell Name=4G_IMATT_II-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,191254837072.0,191254837072.0,138
2022-02-02,Cell Name=4G_IMATT_II-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,146413329696.0,146413329696.0,139
2022-02-02,Cell Name=4G_IMATT_II-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,614213452512.0,614213452512.0,140
2022-02-02,Cell Name=4G_JUBAHILL-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,668081518576.0,668081518576.0,141
2022-02-02,Cell Name=4G_JUBAHILL-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,593215856576.0,593215856576.0,142
2022-02-02,Cell Name=4G_JUBAHILL-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1461793941424.0,1461793941424.0,143
2022-02-02,Cell Name=4G_JUBAHILL-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,673619491224.0,673619491224.0,144
2022-02-02,Cell Name=4G_JUBAHILL-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1398958564136.0,1398958564136.0,145
2022-02-02,Cell Name=4G_JUBAHILL-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,339260262912.0,339260262912.0,146
2022-02-02,Cell Name=4G_JUITOWN_II-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,723502727016.0,723502727016.0,147
2022-02-02,Cell Name=4G_JUITOWN_II-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,249469323744.0,249469323744.0,148
2022-02-02,Cell Name=4G_JUITOWN_II-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1068472797856.0,1068472797856.0,149
2022-02-02,Cell Name=4G_JUITOWN_II-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,237388561016.0,237388561016.0,150
2022-02-02,Cell Name=4G_KALABATOWN-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,681911777280.0,681911777280.0,151
2022-02-02,Cell Name=4G_KALABATOWN-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,840026007608.0,840026007608.0,152
2022-02-02,Cell Name=4G_KALABATOWN-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,790098260696.0,790098260696.0,153
2022-02-02,Cell Name=4G_KALABATOWN-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,482610208976.0,482610208976.0,154
2022-02-02,Cell Name=4G_KALABATOWN-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,256652604648.0,256652604648.0,155
2022-02-02,Cell Name=4G_KALABATOWN-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,599608793408.0,599608793408.0,156
2022-02-02,Cell Name=4G_KAMBIA_RELIEVE-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,33.33,0.0,0.0,157
2022-02-02,Cell Name=4G_KAMBIA_RELIEVE-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,33.33,0.0,0.0,158
2022-02-02,Cell Name=4G_KAMBIA_RELIEVE-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,33.33,0.0,0.0,159
2022-02-02,Cell Name=4G_KENEMA_ENTRANCE-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,70999335584.0,70999335584.0,160
2022-02-02,Cell Name=4G_KENEMA_ENTRANCE-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,95996591904.0,95996591904.0,161
2022-02-02,Cell Name=4G_KENEMA_ENTRANCE-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,31964770208.0,31964770208.0,162
