begintime,sk_object,duration,integrity,73422157,73423829,73423830,73430523,73430526,73440118,73446392,73446393,73448317
2022-02-03,7527931.0,86400.0,100.0,12.0,0.0,0.0,318.0,0.0,7.875,288.0,0.0,11.0
2022-02-13,7527909.0,86400.0,100.0,0.0,3353766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,7527919.0,3600.0,4.166666666666667,0.0,69200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,7527912.0,86400.0,100.0,0.0,2871659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,7527917.0,86400.0,100.0,1.0,0.0,0.0,15.0,0.0,0.0,5.0,0.0,12.0
2022-03-13,7527928.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,7527934.0,75600.0,87.5,0.0,1726136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,7527930.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,7527916.0,86400.0,100.0,23.0,0.0,0.0,324.0,210.0,13.708333333333334,292.0,177.0,3171.5833333333335
2022-03-14,7527927.0,86400.0,100.0,0.0,5866009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,7527917.0,68400.0,79.16666666666667,1.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,12.0
2022-03-13,7527918.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,7527931.0,86400.0,100.0,13.0,0.0,0.0,321.0,0.0,7.958333333333333,291.0,0.0,11.0
2022-02-05,7527928.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,7527917.0,86400.0,100.0,1.0,0.0,0.0,15.0,0.0,0.041666666666666664,5.0,0.0,12.0
2022-02-04,7527915.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,7527911.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,7527923.0,86400.0,100.0,4.0,0.0,0.0,15.0,20.0,1.25,4.0,12.0,15618.625
2022-02-12,7527928.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,7527932.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-08,7527937.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,7527932.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,7527936.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,7527934.0,86400.0,100.0,0.0,1876238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,7527924.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,7527914.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,7527910.0,86400.0,100.0,0.0,8856001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,7527934.0,68400.0,79.16666666666667,0.0,1954848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,7527912.0,75600.0,87.5,0.0,2415477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-06,7527919.0,79200.0,91.66666666666667,0.0,3357601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,7527934.0,86400.0,100.0,0.0,1970870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,7527908.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,7527924.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,7527936.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,7527916.0,86400.0,100.0,23.0,0.0,0.0,313.0,211.0,13.083333333333334,280.0,169.0,3173.7916666666665
2022-03-07,7527919.0,86400.0,100.0,0.0,3660500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,7527933.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,7527908.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,7527935.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-05,7527936.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,7527916.0,86400.0,100.0,23.0,0.0,0.0,325.0,207.0,13.666666666666666,293.0,173.0,3180.0416666666665
2022-02-04,7527924.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,7527927.0,86400.0,100.0,0.0,6539138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,7527915.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,7527913.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,7527923.0,86400.0,100.0,4.0,0.0,0.0,16.0,22.0,1.5416666666666667,12.0,17.0,17278.541666666668
2022-02-03,7527909.0,86400.0,100.0,0.0,3420816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,7527937.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,7527924.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,7527933.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,7527936.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,7527919.0,86400.0,100.0,0.0,3456184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,7527909.0,3600.0,4.166666666666667,0.0,67463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,7527925.0,86400.0,100.0,17.0,0.0,0.0,407.0,0.0,10.041666666666666,362.0,0.0,12.0
2022-03-14,7527914.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,7527924.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,7527933.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,7527936.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,7527917.0,86400.0,100.0,1.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,12.0
2022-03-15,7527927.0,86400.0,100.0,0.0,6388321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,7527921.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,7527908.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,7527914.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,7527928.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,7527915.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,7527937.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,7527918.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,7527931.0,86400.0,100.0,12.0,0.0,0.0,317.0,0.0,8.0,287.0,0.0,11.0
2022-03-09,7527927.0,3600.0,4.166666666666667,0.0,132232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,7527929.0,75600.0,87.5,0.0,2797524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,7527921.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,7527923.0,82800.0,95.83333333333333,4.0,0.0,0.0,16.0,22.0,1.3478260869565217,3.0,14.0,16103.04347826087
2022-02-19,7527921.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,7527913.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,7527936.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-06,7527917.0,79200.0,91.66666666666667,1.0,0.0,0.0,15.0,0.0,0.0,6.0,0.0,12.0
2022-03-14,7527930.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,7527913.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,7527914.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,7527909.0,86400.0,100.0,0.0,3255183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,7527909.0,86400.0,100.0,0.0,3178666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,7527921.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,7527913.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-05,7527920.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,7527916.0,86400.0,100.0,23.0,0.0,0.0,322.0,205.0,13.291666666666666,286.0,169.0,3099.9583333333335
2022-03-13,7527921.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,7527918.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-06,7527927.0,79200.0,91.66666666666667,0.0,6272305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,7527925.0,86400.0,100.0,26.0,0.0,0.0,416.0,170.0,14.666666666666666,368.0,139.0,2687.4583333333335
2022-03-03,7527920.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,7527918.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,7527918.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,7527917.0,86400.0,100.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,12.0
2022-02-20,7527915.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,7527918.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,7527908.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,7527912.0,82800.0,95.83333333333333,0.0,2788146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,7527932.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,7527914.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,7527922.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,7527915.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,7527928.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,7527929.0,86400.0,100.0,0.0,2629423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,7527932.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,7527933.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,7527914.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,7527923.0,86400.0,100.0,4.0,0.0,0.0,15.0,22.0,1.5,10.0,16.0,16883.458333333332
2022-02-12,7527936.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,7527914.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-08,7527916.0,86400.0,100.0,23.0,0.0,0.0,316.0,201.0,13.291666666666666,283.0,169.0,3190.7083333333335
2022-03-03,7527932.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,7527919.0,75600.0,87.5,0.0,3568248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,7527933.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,7527913.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,7527926.0,86400.0,100.0,32.0,0.0,0.0,427.0,256.0,17.333333333333332,384.0,219.0,5494.375
2022-02-08,7527931.0,86400.0,100.0,12.0,0.0,0.0,315.0,0.0,7.791666666666667,283.0,0.0,11.0
