begintime,sk_object,duration,integrity,M51361C0,M51361C1,M51361C2,M51361C3,M51361C4
2022-03-11 19:00:00,15747.0,60.0,100.0,57599.0,-54.0,-3.75,50.0,3600.0
2022-03-11 09:00:00,15733.0,60.0,100.0,57600.0,51.0,88.75,158.0,3600.0
2022-03-11 05:00:00,15730.0,60.0,100.0,57597.0,-4034.0,-949.5,1359.0,3600.0
2022-03-11 14:00:00,15736.0,60.0,100.0,57600.0,-71.0,73.0,215.0,3600.0
2022-03-11 02:00:00,15743.0,60.0,100.0,57599.0,-293.0,-191.0,-92.0,3600.0
2022-03-11 06:00:00,15736.0,60.0,100.0,57600.0,-125.0,-48.25,-8.0,3600.0
2022-03-12 04:00:00,15730.0,60.0,100.0,57592.0,-2158.0,-855.25,-16.0,3600.0
2022-03-11 09:00:00,15746.0,60.0,100.0,57599.0,-474.0,1118.0,2534.0,3600.0
2022-03-11 18:00:00,15741.0,60.0,100.0,57595.0,-196.0,-145.25,-98.0,3600.0
2022-03-11 00:00:00,15730.0,60.0,100.0,57308.0,86.0,3886.0,10091.0,3600.0
2022-03-12 05:00:00,15733.0,60.0,100.0,57600.0,-336.0,-90.5,195.0,3600.0
2022-03-11 07:00:00,15733.0,60.0,100.0,57600.0,-53.0,-34.75,-14.0,3600.0
2022-03-12 06:00:00,15740.0,60.0,100.0,57564.0,-9872.0,-1291.75,4338.0,3600.0
2022-03-11 02:00:00,15734.0,60.0,100.0,57600.0,-53.0,-7.0,2.0,3600.0
2022-03-11 21:00:00,15730.0,60.0,100.0,28479.0,-83065.0,35193.25,249049.0,3159.0
2022-03-11 20:00:00,15732.0,60.0,100.0,51687.0,-20873.0,-6356.5,0.0,3600.0
2022-03-11 12:00:00,15736.0,60.0,100.0,57600.0,149.0,258.75,371.0,3600.0
2022-03-11 15:00:00,15747.0,60.0,100.0,57600.0,-71.0,-44.75,-4.0,3600.0
2022-03-11 06:00:00,15737.0,60.0,100.0,57544.0,106.0,585.5,2509.0,3600.0
2022-03-11 00:00:00,15747.0,60.0,100.0,57600.0,5.0,24.5,48.0,3600.0
2022-03-12 08:00:00,15743.0,60.0,100.0,57592.0,55.0,130.5,207.0,3600.0
2022-03-11 17:00:00,15746.0,60.0,100.0,57592.0,-799.0,1170.25,2603.0,3600.0
2022-03-11 18:00:00,15737.0,60.0,100.0,57556.0,6199.0,10013.5,12502.0,3600.0
2022-03-11 05:00:00,15733.0,60.0,100.0,57599.0,-135.0,-91.0,45.0,3600.0
2022-03-12 03:00:00,15735.0,60.0,100.0,57600.0,-63.0,501.5,1338.0,3600.0
2022-03-11 11:00:00,15741.0,60.0,100.0,57599.0,117.0,171.75,208.0,3600.0
2022-03-11 03:00:00,15740.0,60.0,100.0,57600.0,-70.0,1446.25,3101.0,3600.0
2022-03-11 06:00:00,15747.0,60.0,100.0,57600.0,17.0,76.25,202.0,3600.0
2022-03-11 22:00:00,15741.0,60.0,100.0,56376.0,4581.0,32921.75,82174.0,3600.0
2022-03-12 02:00:00,15740.0,60.0,100.0,57596.0,-861.0,-315.75,-100.0,3600.0
2022-03-11 12:00:00,15730.0,60.0,100.0,57175.0,3957.0,8390.75,13436.0,3600.0
2022-03-11 14:00:00,15739.0,60.0,100.0,57600.0,-163.0,77.0,389.0,3600.0
2022-03-12 00:00:00,15735.0,60.0,100.0,54017.0,-14758.0,-10745.5,11093.0,3584.0
2022-03-11 03:00:00,15730.0,60.0,100.0,57597.0,-7846.0,-3552.5,-1024.0,3600.0
2022-03-12 07:00:00,15734.0,60.0,100.0,57593.0,-75.0,-32.75,-6.0,3600.0
2022-03-11 16:00:00,15732.0,60.0,100.0,57599.0,-122.0,152.0,559.0,3600.0
2022-03-11 04:00:00,15739.0,60.0,100.0,57600.0,-109.0,-64.75,8.0,3600.0
2022-03-12 02:00:00,15738.0,60.0,100.0,57600.0,-47.0,-12.75,30.0,3600.0
2022-03-11 00:00:00,15744.0,60.0,100.0,57599.0,-2542.0,-947.75,949.0,3600.0
2022-03-11 12:00:00,15745.0,60.0,100.0,57596.0,34.0,108.25,151.0,3600.0
