begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL
2022-02-02,"4G_GODERICH/Cell:eNodeB Function Name=4G_GODERICH,Local Cell ID=8,Cell Name=4G_GODERICH-8,eNodeB ID=5016,Cell FDD TDD indication=CELL_FDD",808756.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,625012929328.0
2022-02-02,"4G_HILLSTATION/Cell:eNodeB Function Name=4G_HILLSTATION,Local Cell ID=1,Cell Name=4G_HILLSTATION-1,eNodeB ID=5064,Cell FDD TDD indication=CELL_FDD",808757.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,828317931976.0
2022-02-02,"4G_SWISSHOTEL/Cell:eNodeB Function Name=4G_SWISSHOTEL,Local Cell ID=3,Cell Name=4G_SWISSHOTEL-3,eNodeB ID=5055,Cell FDD TDD indication=CELL_FDD",808758.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,416044000592.0
2022-02-02,"4G_MMCE/Cell:eNodeB Function Name=4G_MMCE,Local Cell ID=7,Cell Name=4G_MMCE-7,eNodeB ID=5009,Cell FDD TDD indication=CELL_FDD",808759.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,881126471064.0
2022-02-02,"4G_GODRECHSTREET/Cell:eNodeB Function Name=4G_GODRECHSTREET,Local Cell ID=3,Cell Name=4G_GODRECHSTREET-3,eNodeB ID=5019,Cell FDD TDD indication=CELL_FDD",808761.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,482522001776.0
2022-02-02,"4G_OAU_II/Cell:eNodeB Function Name=4G_OAU_II,Local Cell ID=8,Cell Name=4G_OAU_II-8,eNodeB ID=5013,Cell FDD TDD indication=CELL_FDD",808762.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,155770894224.0
2022-02-02,"4G_KISSYSHELL_II/Cell:eNodeB Function Name=4G_KISSYSHELL_II,Local Cell ID=6,Cell Name=4G_KISSYSHELL_II-6,eNodeB ID=5037,Cell FDD TDD indication=CELL_FDD",808763.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,361164209904.0
2022-02-02,"4G_KISSYROAD/Cell:eNodeB Function Name=4G_KISSYROAD,Local Cell ID=7,Cell Name=4G_KISSYROAD-7,eNodeB ID=5011,Cell FDD TDD indication=CELL_FDD",808764.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,397225455088.0
2022-02-02,"4G_KISSYROAD/Cell:eNodeB Function Name=4G_KISSYROAD,Local Cell ID=3,Cell Name=4G_KISSYROAD-3,eNodeB ID=5011,Cell FDD TDD indication=CELL_FDD",808765.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,884677727160.0
2022-02-02,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN,Local Cell ID=6,Cell Name=4G_CONGOTOWN-6,eNodeB ID=5007,Cell FDD TDD indication=CELL_FDD",808766.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,318991891832.0
2022-02-02,"4G_SPURROAD_II/Cell:eNodeB Function Name=4G_SPURROAD_II,Local Cell ID=6,Cell Name=4G_SPURROAD_II-6,eNodeB ID=5001,Cell FDD TDD indication=CELL_FDD",808767.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,138491351504.0
2022-02-02,"4G_HILLCUTROAD_II/Cell:eNodeB Function Name=4G_HILLCUTROAD_II,Local Cell ID=3,Cell Name=4G_HILLCUTROAD_II-3,eNodeB ID=5113,Cell FDD TDD indication=CELL_FDD",808768.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,724627416768.0
2022-02-02,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=8,Cell Name=4G_COLEFARM_II-8,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",808769.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,668626051688.0
2022-02-02,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE,Local Cell ID=2,Cell Name=4G_BONTHE-2,eNodeB ID=5128,Cell FDD TDD indication=CELL_FDD",808770.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,14326461280.0
2022-02-02,"4G_PENDUMA_DOVEFACTORY/Cell:eNodeB Function Name=4G_PENDUMA_DOVEFACTORY,Local Cell ID=3,Cell Name=4G_PENDUMA_DOVEFACTORY-3,eNodeB ID=5114,Cell FDD TDD indication=CELL_FDD",808822.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,4160114264.0
2022-02-02,"4G_LUNSAR_II/Cell:eNodeB Function Name=4G_LUNSAR_II,Local Cell ID=3,Cell Name=4G_LUNSAR_II-3,eNodeB ID=5047,Cell FDD TDD indication=CELL_FDD",808771.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,442057586664.0
2022-02-02,"4G_GODERICH/Cell:eNodeB Function Name=4G_GODERICH,Local Cell ID=2,Cell Name=4G_GODERICH-2,eNodeB ID=5016,Cell FDD TDD indication=CELL_FDD",808772.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,106607607008.0
2022-02-02,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=8,Cell Name=4G_ADONKIA-8,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",808773.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,468484857640.0
2022-02-02,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN,Local Cell ID=8,Cell Name=4G_CONGOTOWN-8,eNodeB ID=5007,Cell FDD TDD indication=CELL_FDD",808774.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,667082582008.0
2022-02-02,"4G_OAU_II/Cell:eNodeB Function Name=4G_OAU_II,Local Cell ID=3,Cell Name=4G_OAU_II-3,eNodeB ID=5013,Cell FDD TDD indication=CELL_FDD",808789.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,131044599080.0
2022-02-02,"4G_PALMRESORT/Cell:eNodeB Function Name=4G_PALMRESORT,Local Cell ID=3,Cell Name=4G_PALMRESORT-3,eNodeB ID=5025,Cell FDD TDD indication=CELL_FDD",808792.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,288689060008.0
2022-02-02,"4G_ECOWASST/Cell:eNodeB Function Name=4G_ECOWASST,Local Cell ID=7,Cell Name=4G_ECOWASST-7,eNodeB ID=5063,Cell FDD TDD indication=CELL_FDD",808793.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,294527446704.0
2022-02-02,"4G_SPURROAD_II/Cell:eNodeB Function Name=4G_SPURROAD_II,Local Cell ID=2,Cell Name=4G_SPURROAD_II-3,eNodeB ID=5001,Cell FDD TDD indication=CELL_FDD",808795.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,469672034232.0
2022-02-02,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=3,Cell Name=4G_KENNEDYSTREET-3,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808796.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,402257213792.0
