begintime,sk_object,duration,integrity,1282423987,1282423988
2022-02-17 04:00:00,630581.0,3600.0,100.0,1.426,1.27
2022-03-07 00:00:00,630581.0,3600.0,100.0,3.078,2.766
2022-03-15 08:00:00,630582.0,3600.0,100.0,12.132,11.769
2022-02-03 06:00:00,630581.0,3600.0,100.0,3.723,3.42
2022-02-03 19:00:00,630567.0,3600.0,100.0,17.38,16.813
2022-03-15 19:00:00,630582.0,3600.0,100.0,16.403,15.973
2022-03-14 23:00:00,630567.0,3600.0,100.0,4.932,4.586
2022-02-05 03:00:00,630581.0,3600.0,100.0,1.401,1.21
2022-03-02 10:00:00,630566.0,3600.0,100.0,13.494,12.965
2022-03-14 12:00:00,630567.0,3600.0,100.0,10.815,10.321
2022-02-13 18:00:00,630566.0,3600.0,100.0,14.371,13.716
2022-03-07 21:00:00,630582.0,3600.0,100.0,17.204,16.904
2022-03-01 01:00:00,630566.0,3600.0,100.0,2.078,1.813
2022-03-11 04:00:00,630567.0,3600.0,100.0,1.316,1.164
2022-03-02 22:00:00,630582.0,3600.0,100.0,10.577,10.026
2022-03-15 15:00:00,630566.0,3600.0,100.0,11.029,10.58
2022-02-12 17:00:00,630567.0,3600.0,100.0,13.076,12.403
2022-02-13 23:00:00,630582.0,3600.0,100.0,6.022,5.616
2022-02-11 17:00:00,630581.0,3600.0,100.0,13.13,12.483
2022-02-17 21:00:00,630582.0,3600.0,100.0,17.11,16.652
2022-03-13 17:00:00,630581.0,3600.0,100.0,12.36,11.712
2022-03-14 09:00:00,630581.0,3600.0,100.0,12.424,12.015
2022-02-10 20:00:00,630582.0,3600.0,100.0,18.73,18.424
2022-03-11 21:00:00,630581.0,3600.0,100.0,16.847,16.454
2022-03-06 10:00:00,630567.0,3600.0,100.0,13.056,12.578
2022-03-15 07:00:00,630581.0,3600.0,100.0,8.857,8.572
2022-02-20 23:00:00,630581.0,3600.0,100.0,5.382,4.973
2022-02-08 11:00:00,630581.0,3600.0,100.0,13.154,12.557
2022-03-12 14:00:00,630567.0,3600.0,100.0,11.585,10.991
2022-02-11 22:00:00,630566.0,3600.0,100.0,11.329,10.852
2022-02-04 12:00:00,630567.0,3600.0,100.0,12.586,11.959
2022-02-19 02:00:00,630581.0,3600.0,100.0,1.785,1.511
2022-02-19 10:00:00,630582.0,3600.0,100.0,13.443,12.908
2022-03-12 16:00:00,630566.0,3600.0,100.0,11.465,10.839
2022-02-17 22:00:00,630581.0,3600.0,100.0,11.662,11.151
2022-02-12 08:00:00,630581.0,3600.0,100.0,12.416,12.098
2022-02-06 13:00:00,630566.0,3600.0,100.0,12.382,11.756
2022-02-03 04:00:00,630581.0,3600.0,100.0,1.423,1.271
2022-03-03 07:00:00,630581.0,3600.0,100.0,9.379,9.02
2022-03-11 09:00:00,630566.0,3600.0,100.0,14.065,13.536
2022-03-01 02:00:00,630567.0,3600.0,100.0,1.624,1.389
2022-03-10 20:00:00,630567.0,3600.0,100.0,18.988,18.588
2022-02-20 22:00:00,630566.0,3600.0,100.0,10.112,9.643
2022-02-20 08:00:00,630582.0,3600.0,100.0,11.177,10.825
2022-02-13 05:00:00,630581.0,3600.0,100.0,1.837,1.649
2022-02-08 23:00:00,630582.0,3600.0,100.0,5.731,5.316
2022-02-03 10:00:00,630581.0,3600.0,100.0,13.184,12.716
2022-02-13 12:00:00,630567.0,3600.0,100.0,12.028,11.494
2022-03-02 00:00:00,630582.0,3600.0,100.0,3.178,2.85
2022-02-04 20:00:00,630567.0,3600.0,100.0,19.499,19.216
2022-02-03 02:00:00,630581.0,3600.0,100.0,1.6,1.351
2022-02-19 06:00:00,630566.0,3600.0,100.0,3.358,3.073
2022-02-17 17:00:00,630567.0,3600.0,100.0,13.072,12.382
2022-02-13 00:00:00,630566.0,3600.0,100.0,3.796,3.42
2022-03-01 01:00:00,630581.0,3600.0,100.0,2.076,1.813
2022-02-19 11:00:00,630581.0,3600.0,100.0,12.869,12.267
2022-03-03 13:00:00,630566.0,3600.0,100.0,12.139,11.487
2022-03-11 07:00:00,630581.0,3600.0,100.0,9.629,9.229
2022-03-03 02:00:00,630567.0,3600.0,100.0,1.476,1.258
2022-02-03 09:00:00,630581.0,3600.0,100.0,13.532,13.047
2022-02-13 13:00:00,630581.0,3600.0,100.0,12.324,11.704
2022-03-01 15:00:00,630581.0,3600.0,100.0,12.906,12.193
2022-02-18 11:00:00,630582.0,3600.0,100.0,13.291,12.713
2022-02-19 10:00:00,630566.0,3600.0,100.0,13.432,12.905
2022-02-03 16:00:00,630566.0,3600.0,100.0,12.565,11.951
2022-02-04 21:00:00,630581.0,3600.0,100.0,16.419,16.114
2022-02-13 21:00:00,630566.0,3600.0,100.0,16.325,15.907
2022-03-10 12:00:00,630581.0,3600.0,100.0,12.323,11.744
2022-03-13 22:00:00,630582.0,3600.0,100.0,9.393,8.936
2022-02-19 19:00:00,630567.0,3600.0,100.0,17.116,16.57
2022-02-10 20:00:00,630567.0,3600.0,100.0,18.713,18.449
2022-03-03 22:00:00,630566.0,3600.0,100.0,10.566,10.062
2022-03-14 08:00:00,630582.0,3600.0,100.0,11.669,11.332
2022-02-05 23:00:00,630567.0,3600.0,100.0,6.398,5.951
2022-02-19 09:00:00,630567.0,3600.0,100.0,13.563,13.064
2022-02-06 19:00:00,630581.0,3600.0,100.0,16.939,16.412
2022-03-07 13:00:00,630567.0,3600.0,100.0,12.486,11.884
2022-02-18 12:00:00,630566.0,3600.0,100.0,12.345,11.726
2022-02-04 02:00:00,630566.0,3600.0,100.0,1.621,1.365
2022-03-11 02:00:00,630582.0,3600.0,100.0,1.595,1.357
2022-02-12 17:00:00,630566.0,3600.0,100.0,13.078,12.392
2022-03-01 02:00:00,630581.0,3600.0,100.0,1.62,1.385
2022-02-17 19:00:00,630567.0,3600.0,100.0,17.582,16.987
2022-02-05 16:00:00,630581.0,3600.0,100.0,12.095,11.496
2022-02-19 03:00:00,630581.0,3600.0,100.0,1.495,1.278
2022-02-08 10:00:00,630566.0,3600.0,100.0,13.368,12.812
2022-03-10 16:00:00,630567.0,3600.0,100.0,12.058,11.449
2022-02-13 22:00:00,630566.0,3600.0,100.0,11.286,10.803
2022-03-11 08:00:00,630567.0,3600.0,100.0,13.194,12.71
2022-02-19 11:00:00,630567.0,3600.0,100.0,12.864,12.276
2022-02-10 07:00:00,630567.0,3600.0,100.0,8.595,8.225
2022-02-12 15:00:00,630582.0,3600.0,100.0,12.292,11.653
