NE Name,fdn,BSCFLAG,CICNO,DPCGIDX,MOIndex,OPCIDX,OPMODE,PN,SN,SRN,STCIC,TSN,TSTYPE,className,name,neID
FTBSC02,"NE=280,AE1T1=5_14_0_21",MAINBSC,181,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,21,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_22",MAINBSC,182,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,22,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_23",MAINBSC,183,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,23,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_24",MAINBSC,184,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,24,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_25",MAINBSC,185,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,25,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_26",MAINBSC,186,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,26,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_27",MAINBSC,187,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,27,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_28",MAINBSC,188,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,28,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_29",MAINBSC,189,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,29,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_30",MAINBSC,190,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,30,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_31",MAINBSC,191,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,31,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=6_14_0_1",MAINBSC,193,0,26_0_14_6,0,MODSGLCIC,6,14,0,192,1,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=6,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=6_14_0_2",MAINBSC,194,0,26_0_14_6,0,MODSGLCIC,6,14,0,192,2,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=6,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=6_14_0_3",MAINBSC,195,0,26_0_14_6,0,MODSGLCIC,6,14,0,192,3,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=6,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=6_14_0_4",MAINBSC,196,0,26_0_14_6,0,MODSGLCIC,6,14,0,192,4,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=6,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=6_14_0_5",MAINBSC,197,0,26_0_14_6,0,MODSGLCIC,6,14,0,192,5,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=6,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=6_14_0_6",MAINBSC,198,0,26_0_14_6,0,MODSGLCIC,6,14,0,192,6,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=6,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=6_14_0_7",MAINBSC,199,0,26_0_14_6,0,MODSGLCIC,6,14,0,192,7,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=6,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_3",MAINBSC,227,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,3,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
