begintime,sk_object,50332573,50332574,50342574,50342575,50342635,50342636,duration
2022-03-01 00:00:00,889214.0,1024.0,97.483,71.0,170.0,9.967,15.0,PT3600S
2022-03-01 00:00:00,889215.0,1024.0,107.325,68.0,158.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889216.0,1024.0,111.942,81.0,148.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889217.0,1024.0,39.158,21.5,90.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889218.0,512.0,76.688,55.0,120.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889219.0,1024.0,104.417,66.0,168.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889220.0,512.0,84.221,47.5,194.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889221.0,512.0,43.521,26.5,75.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889222.0,512.0,34.208,22.5,74.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889223.0,512.0,4.333,0.5,13.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889224.0,1024.0,35.463,16.5,93.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889225.0,512.0,13.846,3.5,25.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889226.0,512.0,54.571,34.5,74.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889227.0,1024.0,24.504,10.5,35.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889228.0,1024.0,90.858,53.5,140.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889229.0,1024.0,1.258,0.0,8.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889230.0,1024.0,32.042,14.0,59.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889231.0,1024.0,15.85,6.5,29.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889232.0,256.0,9.0,3.5,20.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889233.0,1024.0,98.846,64.5,150.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889234.0,512.0,19.15,9.5,65.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889235.0,1024.0,144.1,84.0,217.0,0.0,0.0,PT3600S
