begintime,sk_object,duration,integrity,M8910C0,M8910C1,M8910C2,M8910C3,M8910C4,M8910C5,M8910C6,M8910C7,M8910C8,M8910C9,M8910C10,M8910C11,M8910C12,M8910C13,M8910C14,M8910C15,M8910C16,M8910C17,M8910C18,M8910C19,M8910C20,M8910C21,M8910C22,M8910C23,M8910C24,M8910C25,M8910C26,M8910C27,M8910C28,M8910C29
2022-03-17,6594.0,6.0,0.4166666666666667,0.0,0.0,1912.0,4.0,1528.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6615.0,5.0,0.3472222222222222,0.0,0.0,0.0,0.0,233032.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-19,87799.0,4.0,0.2777777777777778,0.0,0.0,0.0,0.0,50051704.0,6361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6613.0,5.0,0.3472222222222222,0.0,0.0,0.0,0.0,149160.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6577.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,52052344.0,13574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6607.0,5.0,0.3472222222222222,0.0,0.0,8656.0,1.0,1424663312.0,90491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-19,6599.0,16.0,1.1111111111111112,0.0,0.0,4512816.0,1396.0,1363360848.0,247751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-15,6575.0,2.0,0.1388888888888889,0.0,0.0,0.0,0.0,189258064.0,60913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6580.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,2991720.0,5578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12,6575.0,10.0,0.6944444444444444,0.0,0.0,28040184.0,4887.0,2175911032.0,292309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6595.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,199288.0,3343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6576.0,6.0,0.4166666666666667,0.0,0.0,132928.0,35.0,2244224.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6586.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,200494904.0,8818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6584.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,39277992.0,13800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-19,6592.0,14.0,0.9722222222222222,0.0,0.0,21424.0,1804.0,1280397352.0,478137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12,6612.0,10.0,0.6944444444444444,0.0,0.0,123472.0,1133.0,2134871472.0,157997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-15,6599.0,2.0,0.1388888888888889,0.0,0.0,0.0,0.0,1650408.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6605.0,7.0,0.4861111111111111,0.0,0.0,0.0,0.0,6035568.0,15437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-15,6591.0,2.0,0.1388888888888889,0.0,0.0,0.0,0.0,1670828232.0,421054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
