begintime,sk_object,duration,integrity,M8038C0,M8038C1,M8038C2,M8038C3,M8038C4,M8038C5,M8038C6,M8038C7,M8038C8,M8038C9,M8038C10,M8038C11,M8038C12,M8038C13,M8038C14,M8038C15,M8038C16,M8038C17,M8038C18,M8038C19,M8038C20,M8038C21,M8038C22,M8038C23,M8038C24,M8038C25,M8038C26,M8038C27,M8038C28,M8038C29,M8038C30,M8038C31,M8038C32,M8038C33,M8038C34,M8038C35,M8038C36,M8038C37,M8038C38,M8038C39,M8038C40,M8038C41,M8038C42,M8038C43,M8038C44,M8038C45,M8038C46,M8038C47,M8038C48,M8038C49,M8038C50,M8038C51,M8038C52,M8038C53,M8038C54,M8038C55,M8038C56,M8038C57,M8038C58,M8038C59,M8038C60,M8038C61,M8038C62,M8038C63,M8038C64,M8038C65,M8038C66
2022-03-17,2873.0,6.0,0.4166666666666667,557.0,300.0,1298008.0,10141.0,36651007.0,11694.0,21875.0,299990.0,58790.0,299993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21312.0,31.0,283091112.0,59714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1415248.0,1668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1082191.0,51815.0,0.0,,1.0,307.0,0.0,109.0,352.0,,,,,,,,,
2022-03-12,2852.0,5.0,0.3472222222222222,3618.0,834.0,120488410.0,12637.0,25679590.0,10380.0,202244.0,833050.0,404411.0,833060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165705904.0,238422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280919264.0,20680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2468469.0,4863239.0,0.0,,29.0,831.0,0.0,115.0,832.0,,,,,,,,,
2022-03-12,2885.0,10.0,0.6944444444444444,2206.0,652.0,27882728.0,17528.0,1863294.0,17877.0,90812.0,633076.0,74728.0,633084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11155632.0,62314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121572544.0,9851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256923.0,845058.0,0.0,,0.0,649.0,0.0,102.0,659.0,,,,,,,,,
2022-03-12,2875.0,5.0,0.3472222222222222,831.0,834.0,18838485.0,14760.0,2474430.0,14721.0,10125.0,833050.0,26670.0,833050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19073840.0,17617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139153720.0,5927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157991.0,316592.0,0.0,,1.0,831.0,0.0,120.0,832.0,,,,,,,,,
2022-03-15,2879.0,2.0,0.1388888888888889,1173.0,119.0,26414223.0,20158.0,1367836.0,20759.0,47956.0,102866.0,49133.0,102853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6799464.0,27050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97567136.0,10619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202633.0,640412.0,0.0,,1.0,116.0,0.0,119.0,129.0,,,,,,,,,
2022-03-11,2883.0,13.0,0.9027777777777778,39578.0,831.0,486504833.0,153153.0,57838242.0,144569.0,1761114.0,830995.0,1338899.0,830997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237264.0,114.0,267330928.0,648424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656446008.0,129922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135503.0,11293926.0,0.0,,1.0,831.0,0.0,202.0,831.0,,,,,,,,,
2022-03-17,2875.0,6.0,0.4166666666666667,1225.0,300.0,2247717.0,19854.0,373783.0,20781.0,9733.0,299990.0,8159.0,299997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1828208.0,11857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1830968.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45994.0,38472.0,0.0,,0.0,323.0,0.0,102.0,353.0,,,,,,,,,
2022-03-17,2847.0,6.0,0.4166666666666667,886.0,300.0,5160755.0,6018.0,282586.0,8393.0,6893.0,299991.0,16998.0,299994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1744040.0,8470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38815560.0,3557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211668.0,131448.0,0.0,,0.0,308.0,0.0,101.0,353.0,,,,,,,,,
2022-03-12,2879.0,10.0,0.6944444444444444,10387.0,652.0,271536607.0,79550.0,409062480.0,90168.0,625475.0,633076.0,626193.0,633084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25792.0,9.0,3240771952.0,503144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1238483936.0,241852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10564537.0,10627926.0,0.0,,1.0,646.0,0.0,132.0,659.0,,,,,,,,,
2022-03-11,2879.0,13.0,0.9027777777777778,30365.0,831.0,435497021.0,162676.0,102827046.0,197019.0,2601118.0,830971.0,2643459.0,830963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32584.0,118.0,689344024.0,1840190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57704.0,424.0,2251040168.0,993316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13378562.0,25348195.0,0.0,,111.0,831.0,0.0,323.0,831.0,,,,,,,,,
