begintime,sk_object,duration,integrity,M51321C0,M51321C1,M51321C2,M51321C3,M51321C4,M51321C5,M51321C6,M51321C7,M51321C8,M51321C9,M51321C10,M51321C11,M51321C12,M51321C13,M51321C14
2022-03-13 06:00:00,15463.0,60.0,100.0,19554000.0,219245.0,7496680.0,116472.0,0.0,0.0,0.0,2788.0,216876.0,0.0,0.0,2788.0,216876.0,0.0,0.0
2022-03-13 11:00:00,15470.0,60.0,100.0,36518036.0,379542.0,30691988.0,290759.0,0.0,0.0,0.0,2728.0,212260.0,0.0,0.0,2728.0,212260.0,0.0,0.0
2022-03-13 10:00:00,15462.0,60.0,100.0,18441424137.0,16712114.0,3087989261.0,10972221.0,0.0,0.0,0.0,2783.0,216522.0,0.0,0.0,2783.0,216522.0,0.0,0.0
2022-03-14 12:00:00,15458.0,60.0,100.0,4552712.0,62480.0,563954.0,509.0,0.0,0.0,0.0,2784.0,216648.0,0.0,0.0,2784.0,216648.0,0.0,0.0
2022-03-16 20:00:00,15490.0,60.0,100.0,42867356.0,463938.0,17325784.0,253540.0,0.0,0.0,0.0,2546.0,198068.0,0.0,0.0,2546.0,198068.0,0.0,0.0
2022-03-12 02:00:00,15479.0,60.0,100.0,4546970.0,62409.0,281830.0,345.0,0.0,0.0,0.0,2781.0,216408.0,0.0,0.0,2781.0,216408.0,0.0,0.0
2022-03-14 16:00:00,15475.0,60.0,100.0,4548020.0,62453.0,548930.0,475.0,0.0,0.0,0.0,2784.0,216602.0,0.0,0.0,2784.0,216602.0,0.0,0.0
2022-03-17 11:00:00,15461.0,60.0,100.0,31989014.0,347994.0,10745856.0,180930.0,0.0,0.0,0.0,2552.0,198594.0,0.0,0.0,2552.0,198594.0,0.0,0.0
2022-03-15 05:00:00,15467.0,60.0,100.0,4549370.0,62457.0,517733.0,452.0,0.0,0.0,0.0,2785.0,216682.0,0.0,0.0,2785.0,216682.0,0.0,0.0
2022-03-15 16:00:00,15505.0,60.0,100.0,18730005167.0,16696524.0,2770364553.0,12279433.0,0.0,1.0,2.0,2788.0,216876.0,0.0,0.0,2788.0,216876.0,0.0,0.0
2022-03-12 07:00:00,15475.0,60.0,100.0,4555458.0,62496.0,168251.0,384.0,0.0,0.0,0.0,2780.0,216328.0,0.0,0.0,2780.0,216328.0,0.0,0.0
2022-03-14 05:00:00,15504.0,60.0,100.0,17727518.0,205280.0,14647840.0,145944.0,0.0,0.0,0.0,2783.0,216522.0,0.0,0.0,2783.0,216522.0,0.0,0.0
2022-03-12 22:00:00,15460.0,60.0,100.0,4404787168.0,3801933.0,465352916.0,2509793.0,0.0,0.0,0.0,2789.0,216956.0,0.0,0.0,2789.0,216956.0,0.0,0.0
2022-03-12 06:00:00,15495.0,60.0,100.0,4553098.0,62484.0,552756.0,507.0,0.0,0.0,0.0,2783.0,216568.0,0.0,0.0,2783.0,216568.0,0.0,0.0
2022-03-14 08:00:00,15500.0,60.0,100.0,4545376.0,62387.0,279327.0,343.0,0.0,0.0,0.0,2774.0,215802.0,0.0,0.0,2774.0,215802.0,0.0,0.0
2022-03-16 23:00:00,15506.0,60.0,100.0,9172841535.0,7690129.0,884221552.0,4536627.0,0.0,0.0,0.0,2785.0,216636.0,0.0,0.0,2785.0,216636.0,0.0,0.0
2022-03-17 11:00:00,15457.0,60.0,100.0,14432958097.0,12509880.0,2097328719.0,9133092.0,0.0,296.0,592.0,2747.0,213734.0,0.0,0.0,2747.0,213734.0,0.0,0.0
2022-03-18 11:00:00,15510.0,60.0,100.0,4527552.0,62168.0,536270.0,506.0,0.0,0.0,0.0,2782.0,216442.0,0.0,0.0,2782.0,216442.0,0.0,0.0
2022-03-12 20:00:00,15463.0,60.0,100.0,44947560.0,499342.0,17013052.0,268313.0,0.0,0.0,0.0,2789.0,216956.0,0.0,0.0,2789.0,216956.0,0.0,0.0
2022-03-17 21:00:00,15484.0,60.0,100.0,4514328.0,61987.0,532237.0,440.0,0.0,0.0,0.0,2776.0,215962.0,0.0,0.0,2776.0,215962.0,0.0,0.0
2022-03-17 04:00:00,15464.0,60.0,100.0,26030428.0,296369.0,15977664.0,184800.0,0.0,0.0,0.0,2788.0,216876.0,0.0,0.0,2788.0,216876.0,0.0,0.0
2022-03-18 01:00:00,15470.0,60.0,100.0,18946566.0,216212.0,15072964.0,151781.0,0.0,0.0,0.0,2784.0,216602.0,0.0,0.0,2784.0,216602.0,0.0,0.0
2022-03-17 07:00:00,15483.0,60.0,100.0,4927650.0,67630.0,284493.0,425.0,0.0,0.0,0.0,3019.0,234988.0,0.0,0.0,3019.0,234988.0,0.0,0.0
2022-03-11 15:00:00,15503.0,60.0,100.0,4472240.0,61410.0,516982.0,435.0,0.0,0.0,0.0,2726.0,212054.0,0.0,0.0,2726.0,212054.0,0.0,0.0
2022-03-15 16:00:00,15471.0,60.0,100.0,4540818.0,62352.0,522688.0,436.0,0.0,0.0,0.0,2779.0,216248.0,0.0,0.0,2779.0,216248.0,0.0,0.0
2022-03-19 03:00:00,15472.0,60.0,100.0,5447293281.0,4476862.0,543803469.0,2927312.0,0.0,0.0,0.0,2787.0,216842.0,0.0,0.0,2787.0,216842.0,0.0,0.0
2022-03-18 08:00:00,15466.0,60.0,100.0,25068512.0,277399.0,17256976.0,182597.0,0.0,0.0,0.0,2780.0,216328.0,0.0,0.0,2780.0,216328.0,0.0,0.0
2022-03-14 16:00:00,15460.0,60.0,100.0,3528616450.0,2948776.0,441340014.0,1821066.0,0.0,0.0,0.0,2787.0,216888.0,0.0,0.0,2787.0,216888.0,0.0,0.0
2022-03-14 20:00:00,15498.0,60.0,100.0,68175956.0,755040.0,47647056.0,529654.0,0.0,0.0,0.0,2786.0,216808.0,0.0,0.0,2786.0,216808.0,0.0,0.0
