sk_object,object,objecttypeid,duration,userlabel,is_connected,is_included_in_validation,dwh_created,dwh_last_modified,object_technology
9794901,"FTBSC02/GCELL_NCELL:LABEL=COMPOUND_RELIEF-6, CellIndex=1876, CGI=61905028B5286/BCCH:756/BCC,NCC:5:5",huawei_bsc6900gsm_1275069424,PT3600S,FTBSC02,1.0,0.0,2022-02-08 09:30:03.582641,2022-02-08 09:30:03.582641,
122700904,"FTBSC01/UCELL_NCELL:Label=3G_HILLTOP-14, CellID=38161/RNC:1271/DEST Cell ID:34001",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-19 10:30:58.165814,2022-05-13 02:48:36.753596,
17992670,"FTBSC01/UCELL_NCELL:Label=3G_ADAMSTREET-33, CellID=37429/RNC:1271/DEST Cell ID:34006",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-10 05:30:00.400182,2022-05-13 02:48:36.753596,
30479647,"FTBSC01/UCELL_NCELL:Label=3G_LOKKOHTOWN-53, CellID=35197/RNC:1271/DEST Cell ID:35229",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-12 03:30:00.858855,2022-05-13 02:48:36.753596,
14205726,"FTBSC01/UCELL_NCELL:Label=3G_DUKESTREET_II-53, CellID=35427/RNC:1271/DEST Cell ID:35384",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-09 00:30:01.423411,2022-05-13 02:48:36.753596,
270825,"FTBSC02/E1T1_ES:Port No.=204, Slot No.=21, Subrack No.=2",huawei_bsc6900gu_82835615,PT3600S,FTBSC02,1.0,0.0,2022-02-04 23:34:06.795618,2022-05-13 02:54:52.910966,
14204160,"FTBSC01/UCELL_NCELL:Label=3G_DILLET-44, CellID=36424/RNC:1271/DEST Cell ID:37751",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-09 00:30:01.423411,2022-02-09 00:30:01.423411,
17511290,"FTBSC02/GCELL_NCELL:LABEL=DUNDASTREET-7, CellIndex=634, CGI=61905025850A7/BCCH:54/BCC,NCC:2:7",huawei_bsc6900gsm_1275069424,PT3600S,FTBSC02,1.0,0.0,2022-02-10 04:30:02.414349,2022-02-10 04:30:02.414349,
31265786,"FTBSC01/UCELL_NCELL:Label=3G_DILLET-34, CellID=36423/RNC:1271/DEST Cell ID:35276",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-12 07:44:59.073869,2022-05-13 02:48:36.753596,
10075751,"FTBSC02/GCELL_GCELL:LABEL=DILLET-7, CellIndex=405, CGI=61905025836FD/CGI:6190502502820",huawei_bsc6900gsm_1275069423,PT3600S,FTBSC02,1.0,0.0,2022-02-08 10:30:01.249911,2022-02-08 10:30:01.249911,
23845158,"FTBSC01/UCELL_NCELL:Label=3G_ECOWASST-34, CellID=36403/RNC:1271/DEST Cell ID:34026",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-11 02:30:04.733881,2022-05-13 02:48:36.753596,
107012972,"FTBSC01/UCELL_NCELL:Label=3G_DWARZK-13, CellID=34540/RNC:1271/DEST Cell ID:36422",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-10 21:30:53.226689,2022-05-13 02:48:36.753596,
8026684,"FTBSC02/GCELL_NCELL:LABEL=KINGHARMAN-3, CellIndex=563, CGI=61905025827DB/BCCH:57/BCC,NCC:1:0",huawei_bsc6900gsm_1275069424,PT3600S,FTBSC02,1.0,0.0,2022-02-08 01:30:02.175911,2022-02-08 01:30:02.175911,
110338024,"FTBSC01/UCELL_NCELL:Label=3G_PALMRESORT-31, CellID=34923/RNC:1271/DEST Cell ID:37035",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-14 04:31:41.997446,2022-05-13 02:48:36.753596,
48083729,"FTBSC01/UCELL_NCELL:Label=3G_AFCOM-32, CellID=35918/RNC:1271/DEST Cell ID:34816",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-18 08:30:55.561238,2022-05-13 02:48:36.753596,
23845189,"FTBSC01/UCELL_NCELL:Label=3G_ECOWASST-34, CellID=36403/RNC:1271/DEST Cell ID:37713",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-11 02:30:04.733881,2022-05-13 02:48:36.753596,
40873922,"FTBSC01/UCELL_NCELL:Label=3G_KINGTOM_II-41, CellID=34764/RNC:1271/DEST Cell ID:36350",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-15 18:35:07.116073,2022-05-13 02:48:36.753596,
34148191,"FTBSC01/UCELL_NCELL:Label=3G_PALMRESORT-24, CellID=38362/RNC:1271/DEST Cell ID:34940",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-12 16:35:04.399093,2022-05-13 02:48:36.753596,
14615421,"FTBSC01/UCELL_NCELL:Label=3G_DUKESTREET_II-31, CellID=34133/RNC:1271/DEST Cell ID:37825",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-09 02:30:04.370714,2022-05-13 02:48:36.753596,
69306210,"FTBSC01/UCELL_NCELL:Label=3G_LUNGI-23, CellID=35495/RNC:1271/DEST Cell ID:38483",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-25 18:31:52.927461,2022-05-13 02:48:36.753596,
92645993,"FTBSC01/UCELL_NCELL:Label=3G_ODEON-32, CellID=38838/RNC:1271/DEST Cell ID:34766",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-07 14:32:30.836744,2022-05-13 02:48:36.753596,
11657303,"FTBSC01/UCELL_NCELL:Label=3G_DILLET-54, CellID=36425/RNC:1271/DEST Cell ID:36808",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-08 15:30:00.604237,2022-02-08 15:30:00.604237,
73309547,"FTBSC01/UCELL_NCELL:Label=3G_METCHEM_GODERICH-12, CellID=38756/RNC:1271/DEST Cell ID:36469",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-26 10:30:53.512765,2022-05-13 02:48:36.753596,
110353248,"FTBSC01/UCELL_NCELL:Label=3G_LOKKOHTOWN-64, CellID=36706/RNC:1271/DEST Cell ID:38494",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-14 04:31:41.997446,2022-05-13 02:48:36.753596,
37794629,"FTBSC01/UCELL_NCELL:Label=3G_LEICESTERROAD-14, CellID=38261/RNC:1271/DEST Cell ID:37401",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-15 07:34:56.813658,2022-05-13 02:48:36.753596,
1253362,"FTBSC01/GCELL_GCELL:LABEL=MAMBARIDGE-7, CellIndex=669, CGI=6190501F72FCD/CGI:61905020031F9",huawei_bsc6900gu_1275069423,PT3600S,FTBSC01,1.0,0.0,2022-02-05 03:17:10.536575,2022-02-05 03:17:10.536575,
43764354,"FTBSC01/UCELL_NCELL:Label=3G_AYV-32, CellID=35068/RNC:1271/DEST Cell ID:34097",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-17 07:34:59.525796,2022-05-13 02:48:36.753596,
13612917,"FTBSC02/GCELL_NCELL:LABEL=GONDAMA-1, CellIndex=1633, CGI=6190501ED5065/BCCH:57/BCC,NCC:1:2",huawei_bsc6900gsm_1275069424,PT3600S,FTBSC02,1.0,0.0,2022-02-08 22:30:04.642836,2022-02-08 22:30:04.642836,
108134859,"FTBSC01/UCELL_NCELL:Label=3G_GODERICH-92, CellID=37928/RNC:1271/DEST Cell ID:34902",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-12 23:30:41.023636,2022-05-13 02:48:36.753596,
107854037,"FTBSC01/UCELL_NCELL:Label=3G_MUCTARUDRIVE_II-54, CellID=38335/RNC:1271/DEST Cell ID:37271",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-11 00:30:49.523111,2022-05-13 02:48:36.753596,
73569286,"FTBSC01/UCELL_NCELL:Label=3G_REGENT-12, CellID=35856/RNC:1273/DEST Cell ID:37907",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-26 11:30:59.788061,2022-05-13 02:48:36.753596,
115662535,"FTBSC01/UCELL_NCELL:Label=3G_KISSYBARRACKS-61, CellID=35220/RNC:1271/DEST Cell ID:34122",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-17 20:30:40.922930,2022-05-13 02:48:36.753596,
40337611,"FTBSC01/UCELL_NCELL:Label=3G_ODEON-13, CellID=34200/RNC:1271/DEST Cell ID:36204",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-15 16:35:03.328666,2022-05-13 02:48:36.753596,
10439100,"FTBSC01/GCELL_NCELL:LABEL=APPROVEDSCHOOL_II-6, CellIndex=100, CGI=6190502652F72/BCCH:61/BCC,NCC:1:7",huawei_bsc6900gu_1275069424,PT3600S,FTBSC01,1.0,0.0,2022-02-08 11:30:00.744126,2022-02-08 11:30:00.744126,
14206787,"FTBSC01/UCELL_NCELL:Label=3G_DUNDASTREET-63, CellID=35232/RNC:1271/DEST Cell ID:38264",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-09 00:30:01.423411,2022-05-13 02:48:36.753596,
110357869,"FTBSC01/UCELL_NCELL:Label=3G_HILLTOP-21, CellID=35822/RNC:1271/DEST Cell ID:35817",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-14 04:31:41.997446,2022-05-13 02:48:36.753596,
7518159,"FTBSC02/GCELL_NCELL:LABEL=SEFADUTOWN-7, CellIndex=973, CGI=6190501FE4E95/BCCH:55/BCC,NCC:0:1",huawei_bsc6900gsm_1275069424,PT3600S,FTBSC02,1.0,0.0,2022-02-08 00:17:15.976451,2022-02-08 00:17:15.976451,
11251860,"FTBSC02/GCELL_NCELL:LABEL=ABERDEEN-7, CellIndex=389, CGI=61905025836C1/BCCH:52/BCC,NCC:5:2",huawei_bsc6900gsm_1275069424,PT3600S,FTBSC02,1.0,0.0,2022-02-08 14:30:02.085649,2022-02-08 14:30:02.085649,
573852,"FTBSC01/GCELL_NCELL:LABEL=MAMBARIDGE-1, CellIndex=665, CGI=6190501F72FC7/BCCH:53/BCC,NCC:6:1",huawei_bsc6900gu_1275069424,PT3600S,FTBSC01,1.0,0.0,2022-02-04 23:34:06.795618,2022-02-04 23:34:06.795618,
854872,"4G_BYRNELANECOLLIGATE/ECELL_WCELL:eNodeB Function Name=4G_BYRNELANECOLLIGATE, RNC cell ID=35044, Local cell ID=8, Mobile country code=619, Mobile network code=05, RNC ID=1271",huawei_enodeb_1526726671,PT3600S,4G_BYRNELANECOLLIGATE,1.0,0.0,2022-02-04 23:34:06.795618,2022-02-04 23:34:06.795618,
110339755,"FTBSC01/UCELL_NCELL:Label=3G_BLACKHALLROAD-34, CellID=36633/RNC:1273/DEST Cell ID:38244",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-14 04:31:41.997446,2022-05-13 02:48:36.753596,
10394952,"FTBSC02/GCELL_NCELL:LABEL=HILLTOP-6, CellIndex=1911, CGI=61905025A3828/BCCH:781/BCC,NCC:0:6",huawei_bsc6900gsm_1275069424,PT3600S,FTBSC02,1.0,0.0,2022-02-08 11:30:00.744126,2022-02-08 11:30:00.744126,
111311962,"FTBSC01/UCELL_NCELL:Label=3G_DILLET-62, CellID=35241/RNC:1271/DEST Cell ID:35347",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-15 02:30:33.382664,2022-05-13 02:48:36.753596,
38614153,"FTBSC01/UCELL_NCELL:Label=3G_BYRNELANECOLLIGATE-43, CellID=35464/RNC:1271/DEST Cell ID:34033",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-15 10:34:58.746292,2022-05-13 02:48:36.753596,
115055872,"FTBSC01/UCELL_NCELL:Label=3G_KINGTOM_II-14, CellID=38211/RNC:1271/DEST Cell ID:36752",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-17 18:30:38.142463,2022-05-13 02:48:36.753596,
12116021,"FTBSC02/GCELL_NCELL:LABEL=COMPOUNDSTREET_II-8, CellIndex=1007, CGI=61905028B4F72/BCCH:776/BCC,NCC:4:2",huawei_bsc6900gsm_1275069424,PT3600S,FTBSC02,1.0,0.0,2022-02-08 17:30:04.957552,2022-02-08 17:30:04.957552,
30480875,"FTBSC01/UCELL_NCELL:Label=3G_LUNGIAIRPORT-42, CellID=34229/RNC:1271/DEST Cell ID:35246",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-12 03:30:00.858855,2022-05-13 02:48:36.753596,
48741956,"FTBSC01/UCELL_NCELL:Label=3G_PALMRESORT-13, CellID=34920/RNC:1271/DEST Cell ID:37023",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-18 10:30:59.028073,2022-05-13 02:48:36.753596,
7525786,FTBSC02/GBTSIP:BTS Index=385,huawei_bsc6900gsm_1290825292,PT3600S,FTBSC02,1.0,0.0,2022-02-08 00:17:15.976451,2022-02-08 00:17:15.976451,
39510909,"FTBSC01/UCELL_NCELL:Label=3G_REGENT-33, CellID=35859/RNC:1271/DEST Cell ID:38174",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-15 13:35:05.502783,2022-05-13 02:48:36.753596,
27918124,"FTBSC02/GCELL_NCELL:LABEL=HILLCUTROAD_II-6, CellIndex=549, CGI=61905025A3788/BCCH:763/BCC,NCC:3:7",huawei_bsc6900gsm_1275069424,PT3600S,FTBSC02,1.0,0.0,2022-02-11 18:30:03.909473,2022-02-11 18:30:03.909473,
38050890,"FTBSC01/UCELL_NCELL:Label=3G_FBC-21, CellID=34032/RNC:1271/DEST Cell ID:35493",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-15 08:35:00.811465,2022-05-13 02:48:36.753596,
32438809,"FTBSC01/UCELL_NCELL:Label=3G_SPURROAD_II-23, CellID=34815/RNC:1271/DEST Cell ID:34551",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-12 10:47:27.914776,2022-05-13 02:48:36.753596,
92634868,"FTBSC01/UCELL_NCELL:Label=3G_ODEON-52, CellID=38846/RNC:1271/DEST Cell ID:34169",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-07 14:32:30.836744,2022-05-13 02:48:36.753596,
77524055,"FTBSC01/UCELL_NCELL:Label=3G_KENNEDYSTREET-23, CellID=35085/RNC:1271/DEST Cell ID:35835",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-27 01:30:57.301953,2022-05-13 02:48:36.753596,
78376736,"FTBSC01/UCELL_NCELL:Label=3G_KENNEDYSTREET-12, CellID=35086/RNC:1271/DEST Cell ID:34816",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-27 05:30:42.499274,2022-05-13 02:48:36.753596,
7865661,"FTBSC01/UCELL_NCELL:Label=3G_DILLET-11, CellID=34531/RNC:1271/DEST Cell ID:35244",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-08 00:30:01.506752,2022-02-08 00:30:01.506752,
25013131,"FTBSC02/GCELL_NCELL:LABEL=BOHILL-4, CellIndex=1156, CGI=61905021D5720/BCCH:59/BCC,NCC:2:5",huawei_bsc6900gsm_1275069424,PT3600S,FTBSC02,1.0,0.0,2022-02-11 08:30:02.567055,2022-02-11 08:30:02.567055,
14207789,"FTBSC01/UCELL_NCELL:Label=3G_ECOWASST-23, CellID=34855/RNC:1271/DEST Cell ID:35828",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-09 00:30:01.423411,2022-05-13 02:48:36.753596,
64287525,"FTBSC01/UCELL_NCELL:Label=3G_DILLET-64, CellID=36426/RNC:1271/DEST Cell ID:35235",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-20 20:31:00.534729,2022-05-13 02:48:36.753596,
107314129,"FTBSC01/UCELL_NCELL:Label=3G_MALTASTREET-43, CellID=35334/RNC:1271/DEST Cell ID:34095",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-10 22:31:02.346541,2022-05-13 02:48:36.753596,
116035950,"FTBSC01/UCELL_NCELL:Label=3G_LUNGIAIRPORT-43, CellID=35014/RNC:1271/DEST Cell ID:37581",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-17 21:30:37.412869,2022-05-13 02:48:36.753596,
116819609,"FTBSC01/UCELL_NCELL:Label=3G_DILLET-33, CellID=34539/RNC:1271/DEST Cell ID:37407",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-18 00:30:35.826741,2022-05-13 02:48:36.753596,
49527630,"FTBSC01/UCELL_NCELL:Label=3G_CLINETOWN-13, CellID=34010/RNC:1271/DEST Cell ID:34190",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-18 13:31:00.714975,2022-05-13 02:48:36.753596,
