begintime,object,UL Traffic Volume (GB),DL Traffic Volume (GB)
2022-02-02 01:00:00,3G_BINTUMANI-22,0.142194993,0.798083287
2022-02-02 01:00:00,3G_BINTUMANI-23,0.055705734,0.309264955
2022-02-02 01:00:00,3G_BINTUMANI-24,0.024901198,0.098857035
2022-02-02 01:00:00,3G_BINTUMANI-31,0.011360748,0.123161029
2022-02-02 01:00:00,3G_BINTUMANI-32,0.003209196,0.00782836
2022-02-02 01:00:00,3G_BINTUMANI-33,0.001333258,0.011223411
2022-02-02 01:00:00,3G_BINTUMANI-34,0.00621988,0.04739762
2022-02-02 01:00:00,3G_BINTUMANI-41,0.025331088,0.656874121
2022-02-02 01:00:00,3G_BINTUMANI-42,0.024660618,0.403098577
2022-02-02 01:00:00,3G_BINTUMANI-43,0.000306218,0.000638228
2022-02-02 01:00:00,3G_BINTUMANI-44,0.002288409,0.009248156
2022-02-02 01:00:00,3G_BLACKHALLROAD-11,0.026041004,0.138488569
2022-02-02 01:00:00,3G_BLACKHALLROAD-12,0.056919437,0.367596553
2022-02-02 01:00:00,3G_BLACKHALLROAD-13,0.043694538,0.529868065
2022-02-02 01:00:00,3G_BLACKHALLROAD-14,0.041909708,0.312260296
2022-02-02 01:00:00,3G_BLACKHALLROAD-21,0.159423642,1.242617079
2022-02-02 01:00:00,3G_BLACKHALLROAD-22,0.159651938,0.8218736
2022-02-02 01:00:00,3G_BLACKHALLROAD-23,0.089332587,0.378441665
2022-02-02 01:00:00,3G_BLACKHALLROAD-24,0.068495567,0.459087547
2022-02-02 01:00:00,3G_BLACKHALLROAD-31,0.174272594,1.711971203
2022-02-02 01:00:00,3G_BLACKHALLROAD-32,0.167681783,1.589651388
2022-02-02 01:00:00,3G_BLACKHALLROAD-33,0.170571747,1.65641441
2022-02-02 01:00:00,3G_BLACKHALLROAD-34,0.14503109,1.553611682
2022-02-02 01:00:00,3G_BLACKHALLROAD-41,0.128801839,1.327743226
2022-02-02 01:00:00,3G_BLACKHALLROAD-42,0.040896566,0.667770323
2022-02-02 01:00:00,3G_BLACKHALLROAD-43,0.051350072,0.45092467
2022-02-02 01:00:00,3G_BLACKHALLROAD-44,0.04817208,0.816722787
2022-02-02 01:00:00,3G_BLACKHALLROAD-51,0.145492311,0.555610055
2022-02-02 01:00:00,3G_BLACKHALLROAD-52,0.045788364,0.505147931
2022-02-02 01:00:00,3G_BLACKHALLROAD-53,0.019866273,0.077795024
2022-02-02 01:00:00,3G_BLACKHALLROAD-54,0.073691719,0.497235903
2022-02-02 01:00:00,3G_BLACKHALLROAD-61,0.093305304,1.175480017
2022-02-02 01:00:00,3G_BLACKHALLROAD-62,0.117331536,0.692051068
