begintime,sk_object,duration,M8073C0
2022-03-13 00:00:00,22693.0,15,0.0
2022-03-13 14:00:00,22633.0,15,0.0
2022-03-13 13:45:00,22628.0,15,0.0
2022-03-12 17:30:00,22629.0,15,0.0
2022-03-14 10:30:00,22681.0,15,17.0
2022-03-11 01:30:00,22656.0,15,0.0
2022-03-13 05:00:00,22645.0,15,0.0
2022-03-13 10:45:00,22615.0,15,0.0
2022-03-12 12:30:00,22634.0,15,0.0
2022-03-11 00:30:00,22622.0,15,0.0
2022-03-11 21:15:00,22617.0,15,0.0
2022-03-13 17:00:00,22669.0,15,0.0
2022-03-13 04:00:00,22670.0,15,0.0
2022-03-12 23:30:00,22679.0,15,0.0
2022-03-14 00:00:00,22658.0,15,0.0
2022-03-14 05:30:00,22638.0,15,0.0
2022-03-11 05:30:00,22612.0,15,0.0
2022-03-12 08:15:00,22644.0,15,0.0
2022-03-11 07:45:00,22690.0,15,0.0
2022-03-14 01:00:00,22647.0,15,0.0
2022-03-14 12:45:00,22623.0,15,0.0
2022-03-13 20:45:00,22653.0,15,5.0
2022-03-11 02:45:00,22616.0,15,0.0
2022-03-12 19:15:00,22628.0,15,0.0
2022-03-11 02:45:00,22645.0,15,0.0
2022-03-14 16:15:00,22689.0,15,0.0
2022-03-15 00:45:00,22618.0,15,7.0
2022-03-14 10:00:00,22617.0,15,0.0
2022-03-11 15:15:00,22639.0,15,0.0
2022-03-14 06:00:00,22686.0,15,0.0
2022-03-12 08:00:00,22671.0,15,0.0
2022-03-15 01:45:00,22630.0,15,0.0
2022-03-14 15:15:00,22690.0,15,0.0
2022-03-11 06:30:00,22603.0,15,5.0
2022-03-12 01:45:00,22614.0,15,0.0
2022-03-13 15:45:00,22690.0,15,0.0
2022-03-13 23:30:00,22647.0,15,0.0
2022-03-13 16:30:00,22693.0,15,0.0
2022-03-12 14:15:00,22606.0,15,0.0
2022-03-14 07:00:00,22666.0,15,0.0
2022-03-14 05:00:00,22660.0,15,0.0
2022-03-11 08:30:00,22618.0,15,38.0
2022-03-13 18:30:00,22670.0,15,0.0
2022-03-14 04:15:00,22686.0,15,0.0
2022-03-14 01:45:00,22677.0,15,0.0
2022-03-11 03:45:00,22627.0,15,0.0
2022-03-13 01:00:00,22665.0,15,0.0
2022-03-11 06:45:00,22656.0,15,0.0
2022-03-14 06:30:00,22674.0,15,13.0
2022-03-11 14:15:00,22604.0,15,0.0
2022-03-11 15:45:00,22678.0,15,0.0
2022-03-12 22:00:00,22624.0,15,0.0
2022-03-12 22:00:00,22654.0,15,0.0
2022-03-11 14:00:00,22620.0,15,0.0
2022-03-11 17:30:00,22691.0,15,0.0
2022-03-14 22:30:00,22664.0,15,16.0
2022-03-13 17:30:00,22619.0,15,0.0
2022-03-11 06:15:00,22657.0,15,0.0
2022-03-12 00:30:00,22645.0,15,0.0
2022-03-13 17:45:00,22632.0,15,32.0
2022-03-12 20:45:00,22628.0,15,0.0
2022-03-13 03:00:00,22669.0,15,0.0
2022-03-13 00:30:00,22674.0,15,3.0
2022-03-11 09:15:00,22644.0,15,0.0
2022-03-13 12:15:00,22687.0,15,0.0
2022-03-14 14:30:00,22657.0,15,0.0
2022-03-11 10:45:00,22622.0,15,0.0
2022-03-13 03:30:00,22629.0,15,0.0
2022-03-12 14:00:00,22654.0,15,0.0
2022-03-14 21:45:00,22643.0,15,0.0
2022-03-11 06:15:00,22617.0,15,0.0
2022-03-12 12:15:00,22642.0,15,0.0
2022-03-14 15:45:00,22604.0,15,0.0
2022-03-11 23:15:00,22616.0,15,1.0
2022-03-14 23:30:00,22635.0,15,0.0
2022-03-14 00:30:00,22611.0,15,2.0
2022-03-11 17:45:00,22649.0,15,0.0
2022-03-12 15:15:00,22614.0,15,0.0
2022-03-12 19:30:00,22627.0,15,0.0
2022-03-14 17:00:00,22634.0,15,0.0
2022-03-12 07:30:00,22644.0,15,0.0
2022-03-14 20:00:00,22609.0,15,0.0
2022-03-12 00:45:00,22665.0,15,0.0
2022-03-11 17:15:00,22685.0,15,0.0
2022-03-12 07:00:00,22674.0,15,11.0
2022-03-14 01:00:00,22655.0,15,0.0
2022-03-11 21:15:00,22619.0,15,0.0
2022-03-11 09:30:00,22631.0,15,4.0
2022-03-11 16:00:00,22676.0,15,0.0
2022-03-13 18:45:00,22683.0,15,6.0
2022-03-14 05:45:00,22616.0,15,0.0
2022-03-11 23:30:00,22662.0,15,0.0
2022-03-14 19:30:00,22606.0,15,0.0
2022-03-14 18:30:00,22679.0,15,0.0
2022-03-13 11:30:00,22682.0,15,0.0
2022-03-11 05:45:00,22607.0,15,0.0
2022-03-14 10:00:00,22659.0,15,0.0
2022-03-11 20:00:00,22628.0,15,0.0
2022-03-12 20:30:00,22628.0,15,0.0
2022-03-14 04:00:00,22663.0,15,0.0
2022-03-12 13:45:00,22614.0,15,0.0
2022-03-11 05:45:00,22674.0,15,3.0
2022-03-13 14:00:00,22613.0,15,0.0
2022-03-12 09:15:00,22670.0,15,0.0
2022-03-12 11:15:00,22688.0,15,0.0
2022-03-14 15:15:00,22667.0,15,0.0
2022-03-14 01:00:00,22658.0,15,0.0
2022-03-13 22:00:00,22654.0,15,0.0
2022-03-14 14:15:00,22666.0,15,0.0
2022-03-14 16:45:00,22641.0,15,0.0
2022-03-12 05:15:00,22645.0,15,0.0
2022-03-14 16:30:00,22669.0,15,0.0
2022-03-12 16:30:00,22658.0,15,0.0
2022-03-12 03:00:00,22685.0,15,0.0
2022-03-12 22:30:00,22689.0,15,0.0
2022-03-14 23:45:00,22634.0,15,0.0
2022-03-11 08:45:00,22604.0,15,0.0
2022-03-13 03:00:00,22643.0,15,0.0
